,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-12-14,4958.7455,4958.7455,4958.7455,4958.7455,0.0,0.0,2018-03-16,NQ,NQH18
2016-12-15,4909.158,4909.158,4909.158,4909.158,0.0,0.0,2018-03-16,NQ,NQH18
2016-12-16,4845.8299,4845.8299,4845.8299,4845.8299,0.0,0.0,2018-03-16,NQ,NQH18
2016-12-19,4768.2966,4768.2966,4768.2966,4768.2966,0.0,0.0,2018-03-16,NQ,NQH18
2016-12-20,4692.9575,4692.9575,4692.9575,4692.9575,0.0,0.0,2018-03-16,NQ,NQH18
2016-12-21,4669.4927,4669.4927,4669.4927,4669.4927,0.0,0.0,2018-03-16,NQ,NQH18
2016-12-22,4643.3435,4643.3435,4643.3435,4643.3435,0.0,0.0,2018-03-16,NQ,NQH18
2016-12-23,4630.8065,4630.8065,4630.8065,4630.8065,0.0,0.0,2018-03-16,NQ,NQH18
2016-12-27,4646.5512,4646.5512,4646.5512,4646.5512,0.0,0.0,2018-03-16,NQ,NQH18
2016-12-28,4638.6521,4638.6521,4638.6521,4638.6521,0.0,0.0,2018-03-16,NQ,NQH18
2016-12-29,4701.2739,4701.2739,4701.2739,4701.2739,0.0,0.0,2018-03-16,NQ,NQH18
2016-12-30,4761.4502,4761.4502,4761.4502,4761.4502,0.0,0.0,2018-03-16,NQ,NQH18
2017-01-03,4774.3061,4774.3061,4774.3061,4774.3061,0.0,0.0,2018-03-16,NQ,NQH18
2017-01-04,4796.7453,4796.7453,4796.7453,4796.7453,0.0,0.0,2018-03-16,NQ,NQH18
2017-01-05,4748.2982,4748.2982,4748.2982,4748.2982,0.0,0.0,2018-03-16,NQ,NQH18
2017-01-06,4802.4288,4802.4288,4802.4288,4802.4288,0.0,0.0,2018-03-16,NQ,NQH18
2017-01-09,4788.5018,4788.5018,4788.5018,4788.5018,0.0,0.0,2018-03-16,NQ,NQH18
2017-01-10,4858.8928,4858.8928,4858.8928,4858.8928,0.0,0.0,2018-03-16,NQ,NQH18
2017-01-11,4818.564,4818.564,4818.564,4818.564,0.0,0.0,2018-03-16,NQ,NQH18
2017-01-12,4814.7091,4814.7091,4814.7091,4814.7091,0.0,0.0,2018-03-16,NQ,NQH18
2017-01-13,4778.1173,4778.1173,4778.1173,4778.1173,0.0,0.0,2018-03-16,NQ,NQH18
2017-01-17,4754.7045,4754.7045,4754.7045,4754.7045,0.0,0.0,2018-03-16,NQ,NQH18
2017-01-18,4784.1837,4784.1837,4784.1837,4784.1837,0.0,0.0,2018-03-16,NQ,NQH18
2017-01-19,4824.3708,4824.3708,4824.3708,4824.3708,0.0,0.0,2018-03-16,NQ,NQH18
2017-01-20,4771.3027,4771.3027,4771.3027,4771.3027,0.0,0.0,2018-03-16,NQ,NQH18
2017-01-23,4835.2382,4835.2382,4835.2382,4835.2382,0.0,0.0,2018-03-16,NQ,NQH18
2017-01-24,4803.3256,4803.3256,4803.3256,4803.3256,1.0,1.0,2018-03-16,NQ,NQH18
2017-01-25,4786.9943,4786.9943,4786.9943,4786.9943,0.0,1.0,2018-03-16,NQ,NQH18
2017-01-26,4753.4853,4753.4853,4753.4853,4753.4853,0.0,1.0,2018-03-16,NQ,NQH18
2017-01-27,4706.9011,4706.9011,4706.9011,4706.9011,0.0,1.0,2018-03-16,NQ,NQH18
2017-01-30,4768.0908,4768.0908,4768.0908,4768.0908,1.0,0.0,2018-03-16,NQ,NQH18
2017-01-31,4768.0908,4768.0908,4768.0908,4768.0908,0.0,0.0,2018-03-16,NQ,NQH18
2017-02-01,4806.2355,4806.2355,4806.2355,4806.2355,0.0,0.0,2018-03-16,NQ,NQH18
2017-02-02,4818.7317,4818.7317,4818.7317,4818.7317,0.0,0.0,2018-03-16,NQ,NQH18
2017-02-03,4793.1924,4793.1924,4793.1924,4793.1924,0.0,0.0,2018-03-16,NQ,NQH18
2017-02-06,4830.1,4830.1,4830.1,4830.1,0.0,0.0,2018-03-16,NQ,NQH18
2017-02-07,4753.3014,4753.3014,4753.3014,4753.3014,0.0,0.0,2018-03-16,NQ,NQH18
2017-02-08,4809.3904,4809.3904,4809.3904,4809.3904,0.0,0.0,2018-03-16,NQ,NQH18
2017-02-09,4810.3523,4810.3523,4810.3523,4810.3523,0.0,0.0,2018-03-16,NQ,NQH18
2017-02-10,4853.1644,4853.1644,4853.1644,4853.1644,0.0,0.0,2018-03-16,NQ,NQH18
2017-02-13,4923.05,4923.05,4923.05,4923.05,0.0,0.0,2018-03-16,NQ,NQH18
2017-02-14,4990.4958,4990.4958,4990.4958,4990.4958,0.0,0.0,2018-03-16,NQ,NQH18
2017-02-15,4913.1431,4913.1431,4913.1431,4913.1431,0.0,0.0,2018-03-16,NQ,NQH18
2017-02-16,4861.0638,4861.0638,4861.0638,4861.0638,0.0,0.0,2018-03-16,NQ,NQH18
2017-02-17,4783.2868,4783.2868,4783.2868,4783.2868,0.0,0.0,2018-03-16,NQ,NQH18
2017-02-21,4745.9772,4745.9772,4745.9772,4745.9772,0.0,0.0,2018-03-16,NQ,NQH18
2017-02-22,4732.6885,4732.6885,4732.6885,4732.6885,0.0,0.0,2018-03-16,NQ,NQH18
2017-02-23,4780.0154,4780.0154,4780.0154,4780.0154,0.0,0.0,2018-03-16,NQ,NQH18
2017-02-24,4805.8275,4805.8275,4805.8275,4805.8275,0.0,0.0,2018-03-16,NQ,NQH18
2017-02-27,4786.1236,4786.1236,4786.1236,4786.1236,0.0,0.0,2018-03-16,NQ,NQH18
2017-02-28,4786.6022,4786.6022,4786.6022,4786.6022,0.0,0.0,2018-03-16,NQ,NQH18
2017-03-01,4775.1144,4775.1144,4775.1144,4775.1144,0.0,0.0,2018-03-16,NQ,NQH18
2017-03-02,4703.9652,4703.9652,4703.9652,4703.9652,0.0,0.0,2018-03-16,NQ,NQH18
2017-03-03,4708.6692,4708.6692,4708.6692,4708.6692,0.0,0.0,2018-03-16,NQ,NQH18
2017-03-06,4773.178,4773.178,4773.178,4773.178,0.0,0.0,2018-03-16,NQ,NQH18
2017-03-07,4752.6533,4752.6533,4752.6533,4752.6533,0.0,0.0,2018-03-16,NQ,NQH18
2017-03-08,4735.0685,4735.0685,4735.0685,4735.0685,0.0,0.0,2018-03-16,NQ,NQH18
2017-03-09,4717.0752,4717.0752,4717.0752,4717.0752,0.0,0.0,2018-03-16,NQ,NQH18
2017-03-10,4789.2465,4789.2465,4789.2465,4789.2465,0.0,0.0,2018-03-16,NQ,NQH18
2017-03-13,4813.1927,4813.1927,4813.1927,4813.1927,0.0,0.0,2018-03-16,NQ,NQH18
2017-03-14,4755.9157,4755.9157,4755.9157,4755.9157,0.0,0.0,2018-03-16,NQ,NQH18
2017-03-15,4693.1376,4693.1376,4693.1376,4693.1376,1.0,1.0,2018-03-16,NQ,NQH18
2017-03-16,4761.6574,4761.6574,4761.6574,4761.6574,0.0,1.0,2018-03-16,NQ,NQH18
2017-03-17,4780.704,4780.704,4780.704,4780.704,0.0,1.0,2018-03-16,NQ,NQH18
2017-03-20,4854.8049,4854.8049,4854.8049,4854.8049,0.0,1.0,2018-03-16,NQ,NQH18
2017-03-21,4887.8176,4887.8176,4887.8176,4887.8176,9.0,10.0,2018-03-16,NQ,NQH18
2017-03-22,4814.0116,4814.0116,4814.0116,4814.0116,1.0,9.0,2018-03-16,NQ,NQH18
2017-03-23,4792.3485,4792.3485,4792.3485,4792.3485,0.0,9.0,2018-03-16,NQ,NQH18
2017-03-24,4719.5048,4719.5048,4719.5048,4719.5048,4.0,7.0,2018-03-16,NQ,NQH18
