,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-03-16,4431.2364,4431.2364,4431.2364,4431.2364,0.0,0.0,2017-06-16,NQ,NQM17
2016-03-17,4431.2364,4431.2364,4431.2364,4431.2364,0.0,0.0,2017-06-16,NQ,NQM17
2016-03-18,4405.0921,4405.0921,4405.0921,4405.0921,0.0,0.0,2017-06-16,NQ,NQM17
2016-03-21,4461.4773,4461.4773,4461.4773,4461.4773,0.0,0.0,2017-06-16,NQ,NQM17
2016-03-22,4485.5693,4485.5693,4485.5693,4485.5693,0.0,0.0,2017-06-16,NQ,NQM17
2016-03-23,4547.4702,4547.4702,4547.4702,4547.4702,0.0,0.0,2017-06-16,NQ,NQM17
2016-03-24,4566.1148,4566.1148,4566.1148,4566.1148,0.0,0.0,2017-06-16,NQ,NQM17
2016-03-28,4613.1458,4613.1458,4613.1458,4613.1458,0.0,0.0,2017-06-16,NQ,NQM17
2016-03-29,4554.0975,4554.0975,4554.0975,4554.0975,0.0,0.0,2017-06-16,NQ,NQM17
2016-03-30,4525.4067,4525.4067,4525.4067,4525.4067,0.0,0.0,2017-06-16,NQ,NQM17
2016-03-31,4537.6253,4537.6253,4537.6253,4537.6253,0.0,0.0,2017-06-16,NQ,NQM17
2016-04-01,4555.7758,4555.7758,4555.7758,4555.7758,1.0,1.0,2017-06-16,NQ,NQM17
2016-04-04,4537.0971,4537.0971,4537.0971,4537.0971,0.0,1.0,2017-06-16,NQ,NQM17
2016-04-05,4476.7537,4476.7537,4476.7537,4476.7537,0.0,1.0,2017-06-16,NQ,NQM17
2016-04-06,4466.4572,4466.4572,4466.4572,4466.4572,0.0,1.0,2017-06-16,NQ,NQM17
2016-04-07,4436.9786,4436.9786,4436.9786,4436.9786,0.0,1.0,2017-06-16,NQ,NQM17
2016-04-08,4425.8862,4425.8862,4425.8862,4425.8862,0.0,1.0,2017-06-16,NQ,NQM17
2016-04-11,4441.3768,4441.3768,4441.3768,4441.3768,0.0,1.0,2017-06-16,NQ,NQM17
2016-04-12,4385.4155,4385.4155,4385.4155,4385.4155,0.0,1.0,2017-06-16,NQ,NQM17
2016-04-13,4336.7374,4336.7374,4336.7374,4336.7374,0.0,1.0,2017-06-16,NQ,NQM17
2016-04-14,4333.268,4333.268,4333.268,4333.268,0.0,1.0,2017-06-16,NQ,NQM17
2016-04-15,4349.3011,4349.3011,4349.3011,4349.3011,0.0,1.0,2017-06-16,NQ,NQM17
