,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-06-14,5857.3995,5857.3995,5857.3995,5857.3995,0.0,0.0,2018-09-21,NQ,NQU18
2017-06-15,5971.0331,5971.0331,5971.0331,5971.0331,0.0,0.0,2018-09-21,NQ,NQU18
2017-06-16,5952.5229,5952.5229,5952.5229,5952.5229,0.0,0.0,2018-09-21,NQ,NQU18
2017-06-19,5887.0451,5887.0451,5887.0451,5887.0451,0.0,0.0,2018-09-21,NQ,NQU18
2017-06-20,5905.8836,5905.8836,5905.8836,5905.8836,0.0,0.0,2018-09-21,NQ,NQU18
2017-06-21,5868.0859,5868.0859,5868.0859,5868.0859,0.0,0.0,2018-09-21,NQ,NQU18
2017-06-22,5935.5689,5935.5689,5935.5689,5935.5689,0.0,0.0,2018-09-21,NQ,NQU18
2017-06-23,5937.3496,5937.3496,5937.3496,5937.3496,0.0,0.0,2018-09-21,NQ,NQU18
2017-06-26,5894.6007,5894.6007,5894.6007,5894.6007,0.0,0.0,2018-09-21,NQ,NQU18
2017-06-27,5929.3788,5929.3788,5929.3788,5929.3788,0.0,0.0,2018-09-21,NQ,NQU18
2017-06-28,6007.0537,6007.0537,6007.0537,6007.0537,0.0,0.0,2018-09-21,NQ,NQU18
2017-06-29,6029.8805,6029.8805,6029.8805,6029.8805,0.0,0.0,2018-09-21,NQ,NQU18
2017-06-30,5961.1399,5961.1399,5961.1399,5961.1399,0.0,0.0,2018-09-21,NQ,NQU18
2017-07-03,5863.3772,5863.3772,5863.3772,5863.3772,0.0,0.0,2018-09-21,NQ,NQU18
2017-07-05,5759.5954,5759.5954,5759.5954,5759.5954,0.0,0.0,2018-09-21,NQ,NQU18
2017-07-06,5854.0528,5854.0528,5854.0528,5854.0528,0.0,0.0,2018-09-21,NQ,NQU18
2017-07-07,5930.7409,5930.7409,5930.7409,5930.7409,0.0,0.0,2018-09-21,NQ,NQU18
2017-07-10,6038.6804,6038.6804,6038.6804,6038.6804,0.0,0.0,2018-09-21,NQ,NQU18
2017-07-11,6083.9705,6083.9705,6083.9705,6083.9705,0.0,0.0,2018-09-21,NQ,NQU18
2017-07-12,6002.4453,6002.4453,6002.4453,6002.4453,0.0,0.0,2018-09-21,NQ,NQU18
2017-07-13,6096.6837,6096.6837,6096.6837,6096.6837,0.0,0.0,2018-09-21,NQ,NQU18
2017-07-14,5997.9174,5997.9174,5997.9174,5997.9174,0.0,0.0,2018-09-21,NQ,NQU18
2017-07-17,5994.3186,5994.3186,5994.3186,5994.3186,0.0,0.0,2018-09-21,NQ,NQU18
2017-07-18,6076.4408,6076.4408,6076.4408,6076.4408,0.0,0.0,2018-09-21,NQ,NQU18
2017-07-19,6030.8675,6030.8675,6030.8675,6030.8675,0.0,0.0,2018-09-21,NQ,NQU18
2017-07-20,6082.733,6082.733,6082.733,6082.733,0.0,0.0,2018-09-21,NQ,NQU18
2017-07-21,5979.9348,5979.9348,5979.9348,5979.9348,0.0,0.0,2018-09-21,NQ,NQU18
2017-07-24,5999.0706,5999.0706,5999.0706,5999.0706,0.0,0.0,2018-09-21,NQ,NQU18
2017-07-25,5882.0887,5882.0887,5882.0887,5882.0887,0.0,0.0,2018-09-21,NQ,NQU18
2017-07-26,5821.5032,5821.5032,5821.5032,5821.5032,0.0,0.0,2018-09-21,NQ,NQU18
2017-07-27,5870.4038,5870.4038,5870.4038,5870.4038,0.0,0.0,2018-09-21,NQ,NQU18
2017-07-28,5795.8497,5795.8497,5795.8497,5795.8497,0.0,0.0,2018-09-21,NQ,NQU18
2017-07-31,5803.3843,5803.3843,5803.3843,5803.3843,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-01,5746.5111,5746.5111,5746.5111,5746.5111,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-02,5650.5444,5650.5444,5650.5444,5650.5444,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-03,5553.355,5553.355,5553.355,5553.355,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-04,5588.8965,5588.8965,5588.8965,5588.8965,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-07,5584.9843,5584.9843,5584.9843,5584.9843,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-08,5483.8961,5483.8961,5483.8961,5483.8961,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-09,5488.2832,5488.2832,5488.2832,5488.2832,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-10,5419.1308,5419.1308,5419.1308,5419.1308,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-11,5339.4696,5339.4696,5339.4696,5339.4696,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-14,5308.5007,5308.5007,5308.5007,5308.5007,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-15,5308.5007,5308.5007,5308.5007,5308.5007,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-16,5371.6719,5371.6719,5371.6719,5371.6719,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-17,5373.2834,5373.2834,5373.2834,5373.2834,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-18,5438.3001,5438.3001,5438.3001,5438.3001,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-21,5474.1929,5474.1929,5474.1929,5474.1929,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-22,5557.9481,5557.9481,5557.9481,5557.9481,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-23,5656.3238,5656.3238,5656.3238,5656.3238,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-24,5659.7176,5659.7176,5659.7176,5659.7176,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-25,5691.978,5691.978,5691.978,5691.978,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-28,5760.2817,5760.2817,5760.2817,5760.2817,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-29,5696.3426,5696.3426,5696.3426,5696.3426,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-30,5641.6577,5641.6577,5641.6577,5641.6577,0.0,0.0,2018-09-21,NQ,NQU18
2017-08-31,5731.3601,5731.3601,5731.3601,5731.3601,0.0,0.0,2018-09-21,NQ,NQU18
2017-09-01,5699.2645,5699.2645,5699.2645,5699.2645,0.0,0.0,2018-09-21,NQ,NQU18
2017-09-05,5645.6914,5645.6914,5645.6914,5645.6914,0.0,0.0,2018-09-21,NQ,NQU18
2017-09-06,5571.1683,5571.1683,5571.1683,5571.1683,0.0,0.0,2018-09-21,NQ,NQU18
2017-09-07,5652.5074,5652.5074,5652.5074,5652.5074,0.0,0.0,2018-09-21,NQ,NQU18
2017-09-08,5763.8618,5763.8618,5763.8618,5763.8618,0.0,0.0,2018-09-21,NQ,NQU18
2017-09-11,5804.7852,5804.7852,5804.7852,5804.7852,0.0,0.0,2018-09-21,NQ,NQU18
2017-09-12,5813.4924,5813.4924,5813.4924,5813.4924,0.0,0.0,2018-09-21,NQ,NQU18
2017-09-13,5875.1154,5875.1154,5875.1154,5875.1154,0.0,0.0,2018-09-21,NQ,NQU18
2017-09-14,5816.9518,5816.9518,5816.9518,5816.9518,0.0,0.0,2018-09-21,NQ,NQU18
2017-09-15,5907.6962,5907.6962,5907.6962,5907.6962,0.0,0.0,2018-09-21,NQ,NQU18
2017-09-18,5791.9054,5791.9054,5791.9054,5791.9054,0.0,0.0,2018-09-21,NQ,NQU18
2017-09-19,5795.9597,5795.9597,5795.9597,5795.9597,0.0,0.0,2018-09-21,NQ,NQU18
2017-09-20,5820.3027,5820.3027,5820.3027,5820.3027,0.0,0.0,2018-09-21,NQ,NQU18
2017-09-21,5872.6854,5872.6854,5872.6854,5872.6854,0.0,0.0,2018-09-21,NQ,NQU18
2017-09-22,5786.9442,5786.9442,5786.9442,5786.9442,0.0,0.0,2018-09-21,NQ,NQU18
2017-09-25,5830.3463,5830.3463,5830.3463,5830.3463,0.0,0.0,2018-09-21,NQ,NQU18
2017-09-26,5863.5793,5863.5793,5863.5793,5863.5793,0.0,0.0,2018-09-21,NQ,NQU18
2017-09-27,5764.4848,5764.4848,5764.4848,5764.4848,0.0,0.0,2018-09-21,NQ,NQU18
2017-09-28,5664.7592,5664.7592,5664.7592,5664.7592,0.0,0.0,2018-09-21,NQ,NQU18
2017-09-29,5666.4586,5666.4586,5666.4586,5666.4586,0.0,0.0,2018-09-21,NQ,NQU18
2017-10-02,5776.9545,5776.9545,5776.9545,5776.9545,0.0,0.0,2018-09-21,NQ,NQU18
2017-10-03,5849.1664,5849.1664,5849.1664,5849.1664,0.0,0.0,2018-09-21,NQ,NQU18
