,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-09-13,6050.9294,6050.9294,6050.9294,6050.9294,0.0,0.0,2018-12-21,NQ,NQZ18
2017-09-14,5908.7326,5908.7326,5908.7326,5908.7326,0.0,0.0,2018-12-21,NQ,NQZ18
2017-09-15,5996.1818,5996.1818,5996.1818,5996.1818,0.0,0.0,2018-12-21,NQ,NQZ18
2017-09-18,5864.2658,5864.2658,5864.2658,5864.2658,0.0,0.0,2018-12-21,NQ,NQZ18
2017-09-19,5816.7652,5816.7652,5816.7652,5816.7652,2.0,2.0,2018-12-21,NQ,NQZ18
2017-09-20,5817.9286,5817.9286,5817.9286,5817.9286,0.0,2.0,2018-12-21,NQ,NQZ18
2017-09-21,5833.0552,5833.0552,5833.0552,5833.0552,0.0,2.0,2018-12-21,NQ,NQZ18
2017-09-22,5788.724,5788.724,5788.724,5788.724,0.0,2.0,2018-12-21,NQ,NQZ18
2017-09-25,5846.0324,5846.0324,5846.0324,5846.0324,0.0,2.0,2018-12-21,NQ,NQZ18
2017-09-26,5850.7092,5850.7092,5850.7092,5850.7092,0.0,2.0,2018-12-21,NQ,NQZ18
2017-09-27,5982.3502,5982.3502,5982.3502,5982.3502,0.0,2.0,2018-12-21,NQ,NQZ18
2017-09-28,5899.1955,5899.1955,5899.1955,5899.1955,0.0,2.0,2018-12-21,NQ,NQZ18
2017-09-29,5954.6479,5954.6479,5954.6479,5954.6479,0.0,2.0,2018-12-21,NQ,NQZ18
2017-10-02,6088.6275,6088.6275,6088.6275,6088.6275,2.0,4.0,2018-12-21,NQ,NQZ18
2017-10-03,6095.325,6095.325,6095.325,6095.325,0.0,4.0,2018-12-21,NQ,NQZ18
2017-10-04,5963.0564,5963.0564,5963.0564,5963.0564,0.0,4.0,2018-12-21,NQ,NQZ18
2017-10-05,6016.1276,6016.1276,6016.1276,6016.1276,0.0,4.0,2018-12-21,NQ,NQZ18
2017-10-06,6060.6469,6060.6469,6060.6469,6060.6469,0.0,4.0,2018-12-21,NQ,NQZ18
2017-10-09,6017.6163,6017.6163,6017.6163,6017.6163,0.0,4.0,2018-12-21,NQ,NQZ18
2017-10-10,5922.538,5922.538,5922.538,5922.538,0.0,5.0,2018-12-21,NQ,NQZ18
2017-10-11,5990.6472,5990.6472,5990.6472,5990.6472,0.0,4.0,2018-12-21,NQ,NQZ18
2017-10-12,5986.4537,5986.4537,5986.4537,5986.4537,0.0,3.0,2018-12-21,NQ,NQZ18
2017-10-13,6050.5088,6050.5088,6050.5088,6050.5088,0.0,4.0,2018-12-21,NQ,NQZ18
2017-10-16,6174.5442,6174.5442,6174.5442,6174.5442,0.0,4.0,2018-12-21,NQ,NQZ18
2017-10-17,6190.598,6190.598,6190.598,6190.598,0.0,4.0,2018-12-21,NQ,NQZ18
2017-10-18,6306.9812,6306.9812,6306.9812,6306.9812,0.0,4.0,2018-12-21,NQ,NQZ18
2017-10-19,6247.0649,6247.0649,6247.0649,6247.0649,0.0,5.0,2018-12-21,NQ,NQZ18
2017-10-20,6345.1438,6345.1438,6345.1438,6345.1438,0.0,4.0,2018-12-21,NQ,NQZ18
2017-10-23,6218.2409,6218.2409,6218.2409,6218.2409,0.0,4.0,2018-12-21,NQ,NQZ18
2017-10-24,6315.2455,6315.2455,6315.2455,6315.2455,0.0,4.0,2018-12-21,NQ,NQZ18
2017-10-25,6363.2414,6363.2414,6363.2414,6363.2414,0.0,3.0,2018-12-21,NQ,NQZ18
2017-10-26,6466.3259,6466.3259,6466.3259,6466.3259,0.0,5.0,2018-12-21,NQ,NQZ18
