,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-02-01,141.4537,141.4537,141.4537,141.4537,0.0,0.0,2019-01-10,OJ,OJF19
2016-02-02,140.025,140.025,140.025,140.025,0.0,0.0,2019-01-10,OJ,OJF19
2016-02-03,137.2665,137.2665,137.2665,137.2665,0.0,0.0,2019-01-10,OJ,OJF19
2016-02-04,140.8903,140.8903,140.8903,140.8903,0.0,0.0,2019-01-10,OJ,OJF19
2016-02-05,144.3562,144.3562,144.3562,144.3562,0.0,0.0,2019-01-10,OJ,OJF19
2016-02-08,148.5858,148.5858,148.5858,148.5858,0.0,0.0,2019-01-10,OJ,OJF19
2016-02-09,151.9884,151.9884,151.9884,151.9884,0.0,0.0,2019-01-10,OJ,OJF19
2016-02-10,155.3017,155.3017,155.3017,155.3017,0.0,0.0,2019-01-10,OJ,OJF19
2016-02-11,157.1187,157.1187,157.1187,157.1187,0.0,0.0,2019-01-10,OJ,OJF19
2016-02-12,159.9625,159.9625,159.9625,159.9625,0.0,0.0,2019-01-10,OJ,OJF19
2016-02-16,161.1942,161.1942,161.1942,161.1942,0.0,0.0,2019-01-10,OJ,OJF19
2016-02-17,161.6455,161.6455,161.6455,161.6455,0.0,0.0,2019-01-10,OJ,OJF19
2016-02-18,157.8468,157.8468,157.8468,157.8468,0.0,0.0,2019-01-10,OJ,OJF19
2016-02-19,162.4559,162.4559,162.4559,162.4559,0.0,0.0,2019-01-10,OJ,OJF19
2016-02-22,163.3657,163.3657,163.3657,163.3657,0.0,0.0,2019-01-10,OJ,OJF19
2016-02-23,162.3692,162.3692,162.3692,162.3692,0.0,0.0,2019-01-10,OJ,OJF19
2016-02-24,167.0941,167.0941,167.0941,167.0941,0.0,0.0,2019-01-10,OJ,OJF19
2016-02-25,170.2021,170.2021,170.2021,170.2021,0.0,0.0,2019-01-10,OJ,OJF19
2016-02-26,174.7635,174.7635,174.7635,174.7635,0.0,0.0,2019-01-10,OJ,OJF19
2016-02-29,177.6296,177.6296,177.6296,177.6296,0.0,0.0,2019-01-10,OJ,OJF19
2016-03-01,175.6757,175.6757,175.6757,175.6757,0.0,0.0,2019-01-10,OJ,OJF19
2016-03-02,176.5892,176.5892,176.5892,176.5892,0.0,0.0,2019-01-10,OJ,OJF19
2016-03-03,174.3818,174.3818,174.3818,174.3818,0.0,0.0,2019-01-10,OJ,OJF19
2016-03-04,175.5676,175.5676,175.5676,175.5676,0.0,0.0,2019-01-10,OJ,OJF19
2016-03-07,180.4659,180.4659,180.4659,180.4659,0.0,0.0,2019-01-10,OJ,OJF19
2016-03-08,178.4808,178.4808,178.4808,178.4808,0.0,0.0,2019-01-10,OJ,OJF19
2016-03-09,182.9964,182.9964,182.9964,182.9964,0.0,0.0,2019-01-10,OJ,OJF19
2016-03-10,182.0448,182.0448,182.0448,182.0448,0.0,0.0,2019-01-10,OJ,OJF19
2016-03-11,179.9877,179.9877,179.9877,179.9877,0.0,0.0,2019-01-10,OJ,OJF19
2016-03-14,177.4139,177.4139,177.4139,177.4139,0.0,0.0,2019-01-10,OJ,OJF19
2016-03-15,178.9574,178.9574,178.9574,178.9574,0.0,0.0,2019-01-10,OJ,OJF19
2016-03-16,174.6803,174.6803,174.6803,174.6803,0.0,0.0,2019-01-10,OJ,OJF19
2016-03-17,179.2744,179.2744,179.2744,179.2744,0.0,0.0,2019-01-10,OJ,OJF19
2016-03-18,175.0256,175.0256,175.0256,175.0256,0.0,0.0,2019-01-10,OJ,OJF19
2016-03-21,171.9977,171.9977,171.9977,171.9977,0.0,0.0,2019-01-10,OJ,OJF19
2016-03-22,174.9561,174.9561,174.9561,174.9561,0.0,0.0,2019-01-10,OJ,OJF19
2016-03-23,172.4542,172.4542,172.4542,172.4542,0.0,0.0,2019-01-10,OJ,OJF19
2016-03-24,176.8518,176.8518,176.8518,176.8518,0.0,0.0,2019-01-10,OJ,OJF19
2016-03-28,171.4578,171.4578,171.4578,171.4578,0.0,0.0,2019-01-10,OJ,OJF19
2016-03-29,175.5213,175.5213,175.5213,175.5213,0.0,0.0,2019-01-10,OJ,OJF19
2016-03-30,178.0664,178.0664,178.0664,178.0664,0.0,0.0,2019-01-10,OJ,OJF19
2016-03-31,175.0215,175.0215,175.0215,175.0215,0.0,0.0,2019-01-10,OJ,OJF19
2016-04-01,174.5489,174.5489,174.5489,174.5489,0.0,0.0,2019-01-10,OJ,OJF19
2016-04-04,169.6441,169.6441,169.6441,169.6441,0.0,0.0,2019-01-10,OJ,OJF19
2016-04-05,166.3021,166.3021,166.3021,166.3021,0.0,0.0,2019-01-10,OJ,OJF19
2016-04-06,169.5284,169.5284,169.5284,169.5284,0.0,0.0,2019-01-10,OJ,OJF19
2016-04-07,169.0876,169.0876,169.0876,169.0876,0.0,0.0,2019-01-10,OJ,OJF19
2016-04-08,165.6551,165.6551,165.6551,165.6551,0.0,0.0,2019-01-10,OJ,OJF19
2016-04-11,170.3431,170.3431,170.3431,170.3431,0.0,0.0,2019-01-10,OJ,OJF19
2016-04-12,165.3009,165.3009,165.3009,165.3009,0.0,0.0,2019-01-10,OJ,OJF19
2016-04-13,164.9703,164.9703,164.9703,164.9703,0.0,0.0,2019-01-10,OJ,OJF19
2016-04-14,168.7151,168.7151,168.7151,168.7151,0.0,0.0,2019-01-10,OJ,OJF19
2016-04-15,166.0831,166.0831,166.0831,166.0831,0.0,0.0,2019-01-10,OJ,OJF19
2016-04-18,171.0324,171.0324,171.0324,171.0324,0.0,0.0,2019-01-10,OJ,OJF19
2016-04-19,171.631,171.631,171.631,171.631,0.0,0.0,2019-01-10,OJ,OJF19
2016-04-20,169.0394,169.0394,169.0394,169.0394,0.0,0.0,2019-01-10,OJ,OJF19
2016-04-21,164.8641,164.8641,164.8641,164.8641,0.0,0.0,2019-01-10,OJ,OJF19
2016-04-22,163.1495,163.1495,163.1495,163.1495,0.0,0.0,2019-01-10,OJ,OJF19
2016-04-25,165.8415,165.8415,165.8415,165.8415,0.0,0.0,2019-01-10,OJ,OJF19
2016-04-26,170.568,170.568,170.568,170.568,0.0,0.0,2019-01-10,OJ,OJF19
2016-04-27,172.0349,172.0349,172.0349,172.0349,0.0,0.0,2019-01-10,OJ,OJF19
2016-04-28,171.1919,171.1919,171.1919,171.1919,0.0,0.0,2019-01-10,OJ,OJF19
2016-04-29,168.1789,168.1789,168.1789,168.1789,0.0,0.0,2019-01-10,OJ,OJF19
2016-05-02,163.9576,163.9576,163.9576,163.9576,0.0,0.0,2019-01-10,OJ,OJF19
2016-05-03,162.7935,162.7935,162.7935,162.7935,0.0,0.0,2019-01-10,OJ,OJF19
2016-05-04,161.5237,161.5237,161.5237,161.5237,0.0,0.0,2019-01-10,OJ,OJF19
2016-05-05,162.9613,162.9613,162.9613,162.9613,0.0,0.0,2019-01-10,OJ,OJF19
2016-05-06,161.6087,161.6087,161.6087,161.6087,0.0,0.0,2019-01-10,OJ,OJF19
2016-05-09,160.7199,160.7199,160.7199,160.7199,0.0,0.0,2019-01-10,OJ,OJF19
2016-05-10,164.2236,164.2236,164.2236,164.2236,0.0,0.0,2019-01-10,OJ,OJF19
2016-05-11,165.2911,165.2911,165.2911,165.2911,0.0,0.0,2019-01-10,OJ,OJF19
2016-05-12,162.7456,162.7456,162.7456,162.7456,0.0,0.0,2019-01-10,OJ,OJF19
2016-05-13,158.4817,158.4817,158.4817,158.4817,0.0,0.0,2019-01-10,OJ,OJF19
2016-05-16,155.1219,155.1219,155.1219,155.1219,0.0,0.0,2019-01-10,OJ,OJF19
2016-05-17,150.7475,150.7475,150.7475,150.7475,0.0,0.0,2019-01-10,OJ,OJF19
2016-05-18,154.0338,154.0338,154.0338,154.0338,0.0,0.0,2019-01-10,OJ,OJF19
2016-05-19,155.7282,155.7282,155.7282,155.7282,0.0,0.0,2019-01-10,OJ,OJF19
2016-05-20,153.6103,153.6103,153.6103,153.6103,0.0,0.0,2019-01-10,OJ,OJF19
2016-05-23,149.386,149.386,149.386,149.386,0.0,0.0,2019-01-10,OJ,OJF19
2016-05-24,147.4589,147.4589,147.4589,147.4589,0.0,0.0,2019-01-10,OJ,OJF19
2016-05-25,150.2901,150.2901,150.2901,150.2901,0.0,0.0,2019-01-10,OJ,OJF19
2016-05-26,152.1537,152.1537,152.1537,152.1537,0.0,0.0,2019-01-10,OJ,OJF19
2016-05-27,151.4234,151.4234,151.4234,151.4234,0.0,0.0,2019-01-10,OJ,OJF19
2016-05-31,152.6954,152.6954,152.6954,152.6954,0.0,0.0,2019-01-10,OJ,OJF19
