,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-04-01,126.3582,126.3582,126.3582,126.3582,0.0,0.0,2018-03-09,OJ,OJH18
2015-04-02,129.8836,129.8836,129.8836,129.8836,0.0,0.0,2018-03-09,OJ,OJH18
2015-04-06,126.4677,126.4677,126.4677,126.4677,0.0,0.0,2018-03-09,OJ,OJH18
2015-04-07,125.7974,125.7974,125.7974,125.7974,0.0,0.0,2018-03-09,OJ,OJH18
2015-04-08,129.0304,129.0304,129.0304,129.0304,0.0,0.0,2018-03-09,OJ,OJH18
2015-04-09,131.7658,131.7658,131.7658,131.7658,0.0,0.0,2018-03-09,OJ,OJH18
2015-04-10,133.9795,133.9795,133.9795,133.9795,0.0,0.0,2018-03-09,OJ,OJH18
2015-04-13,130.9114,130.9114,130.9114,130.9114,0.0,0.0,2018-03-09,OJ,OJH18
2015-04-14,131.6314,131.6314,131.6314,131.6314,0.0,0.0,2018-03-09,OJ,OJH18
2015-04-15,127.6561,127.6561,127.6561,127.6561,0.0,0.0,2018-03-09,OJ,OJH18
2015-04-16,127.605,127.605,127.605,127.605,0.0,0.0,2018-03-09,OJ,OJH18
2015-04-17,124.7722,124.7722,124.7722,124.7722,0.0,0.0,2018-03-09,OJ,OJH18
2015-04-20,122.5762,122.5762,122.5762,122.5762,0.0,0.0,2018-03-09,OJ,OJH18
2015-04-21,118.7518,118.7518,118.7518,118.7518,0.0,0.0,2018-03-09,OJ,OJH18
2015-04-22,116.6974,116.6974,116.6974,116.6974,0.0,0.0,2018-03-09,OJ,OJH18
2015-04-23,116.7557,116.7557,116.7557,116.7557,0.0,0.0,2018-03-09,OJ,OJH18
2015-04-24,118.2735,118.2735,118.2735,118.2735,0.0,0.0,2018-03-09,OJ,OJH18
2015-04-27,115.7424,115.7424,115.7424,115.7424,0.0,0.0,2018-03-09,OJ,OJH18
2015-04-28,116.7609,116.7609,116.7609,116.7609,0.0,0.0,2018-03-09,OJ,OJH18
2015-04-29,119.1311,119.1311,119.1311,119.1311,0.0,0.0,2018-03-09,OJ,OJH18
2015-04-30,118.869,118.869,118.869,118.869,0.0,0.0,2018-03-09,OJ,OJH18
2015-05-01,119.713,119.713,119.713,119.713,0.0,0.0,2018-03-09,OJ,OJH18
2015-05-04,116.6843,116.6843,116.6843,116.6843,0.0,0.0,2018-03-09,OJ,OJH18
2015-05-05,118.1078,118.1078,118.1078,118.1078,0.0,0.0,2018-03-09,OJ,OJH18
2015-05-06,117.5173,117.5173,117.5173,117.5173,0.0,0.0,2018-03-09,OJ,OJH18
2015-05-07,116.7769,116.7769,116.7769,116.7769,0.0,0.0,2018-03-09,OJ,OJH18
2015-05-08,114.6749,114.6749,114.6749,114.6749,0.0,0.0,2018-03-09,OJ,OJH18
2015-05-11,114.0901,114.0901,114.0901,114.0901,0.0,0.0,2018-03-09,OJ,OJH18
2015-05-12,115.4135,115.4135,115.4135,115.4135,0.0,0.0,2018-03-09,OJ,OJH18
2015-05-13,113.8208,113.8208,113.8208,113.8208,0.0,0.0,2018-03-09,OJ,OJH18
2015-05-14,110.6224,110.6224,110.6224,110.6224,0.0,0.0,2018-03-09,OJ,OJH18
2015-05-15,109.8702,109.8702,109.8702,109.8702,0.0,0.0,2018-03-09,OJ,OJH18
2015-05-18,108.1233,108.1233,108.1233,108.1233,0.0,0.0,2018-03-09,OJ,OJH18
2015-05-19,107.0961,107.0961,107.0961,107.0961,0.0,0.0,2018-03-09,OJ,OJH18
2015-05-20,109.4522,109.4522,109.4522,109.4522,0.0,0.0,2018-03-09,OJ,OJH18
2015-05-21,108.5328,108.5328,108.5328,108.5328,0.0,0.0,2018-03-09,OJ,OJH18
2015-05-22,112.1578,112.1578,112.1578,112.1578,0.0,0.0,2018-03-09,OJ,OJH18
2015-05-26,114.0869,114.0869,114.0869,114.0869,0.0,0.0,2018-03-09,OJ,OJH18
2015-05-27,117.3726,117.3726,117.3726,117.3726,0.0,0.0,2018-03-09,OJ,OJH18
2015-05-28,120.4243,120.4243,120.4243,120.4243,0.0,0.0,2018-03-09,OJ,OJH18
2015-05-29,117.6064,117.6064,117.6064,117.6064,0.0,0.0,2018-03-09,OJ,OJH18
2015-06-01,117.5946,117.5946,117.5946,117.5946,0.0,0.0,2018-03-09,OJ,OJH18
2015-06-02,118.1943,118.1943,118.1943,118.1943,0.0,0.0,2018-03-09,OJ,OJH18
2015-06-03,122.0829,122.0829,122.0829,122.0829,0.0,0.0,2018-03-09,OJ,OJH18
2015-06-04,117.9077,117.9077,117.9077,117.9077,0.0,0.0,2018-03-09,OJ,OJH18
2015-06-05,116.9762,116.9762,116.9762,116.9762,0.0,0.0,2018-03-09,OJ,OJH18
2015-06-08,114.2156,114.2156,114.2156,114.2156,0.0,0.0,2018-03-09,OJ,OJH18
2015-06-09,117.8819,117.8819,117.8819,117.8819,0.0,0.0,2018-03-09,OJ,OJH18
2015-06-10,121.7013,121.7013,121.7013,121.7013,0.0,0.0,2018-03-09,OJ,OJH18
2015-06-11,125.3888,125.3888,125.3888,125.3888,0.0,0.0,2018-03-09,OJ,OJH18
2015-06-12,121.6648,121.6648,121.6648,121.6648,0.0,0.0,2018-03-09,OJ,OJH18
2015-06-15,123.4898,123.4898,123.4898,123.4898,0.0,0.0,2018-03-09,OJ,OJH18
2015-06-16,127.5032,127.5032,127.5032,127.5032,0.0,0.0,2018-03-09,OJ,OJH18
2015-06-17,129.862,129.862,129.862,129.862,0.0,0.0,2018-03-09,OJ,OJH18
2015-06-18,127.966,127.966,127.966,127.966,0.0,0.0,2018-03-09,OJ,OJH18
2015-06-19,124.5109,124.5109,124.5109,124.5109,0.0,0.0,2018-03-09,OJ,OJH18
2015-06-22,123.4277,123.4277,123.4277,123.4277,0.0,0.0,2018-03-09,OJ,OJH18
2015-06-23,123.5018,123.5018,123.5018,123.5018,0.0,0.0,2018-03-09,OJ,OJH18
2015-06-24,122.8966,122.8966,122.8966,122.8966,0.0,0.0,2018-03-09,OJ,OJH18
2015-06-25,121.7414,121.7414,121.7414,121.7414,0.0,0.0,2018-03-09,OJ,OJH18
2015-06-26,123.5919,123.5919,123.5919,123.5919,0.0,0.0,2018-03-09,OJ,OJH18
2015-06-29,126.9289,126.9289,126.9289,126.9289,0.0,0.0,2018-03-09,OJ,OJH18
2015-06-30,126.1166,126.1166,126.1166,126.1166,0.0,0.0,2018-03-09,OJ,OJH18
2015-07-01,126.3688,126.3688,126.3688,126.3688,0.0,0.0,2018-03-09,OJ,OJH18
2015-07-02,123.4118,123.4118,123.4118,123.4118,0.0,0.0,2018-03-09,OJ,OJH18
2015-07-06,124.1893,124.1893,124.1893,124.1893,0.0,0.0,2018-03-09,OJ,OJH18
2015-07-07,126.1018,126.1018,126.1018,126.1018,0.0,0.0,2018-03-09,OJ,OJH18
2015-07-08,126.2153,126.2153,126.2153,126.2153,0.0,0.0,2018-03-09,OJ,OJH18
2015-07-09,127.5027,127.5027,127.5027,127.5027,0.0,0.0,2018-03-09,OJ,OJH18
2015-07-10,124.6466,124.6466,124.6466,124.6466,0.0,0.0,2018-03-09,OJ,OJH18
2015-07-13,125.0953,125.0953,125.0953,125.0953,0.0,0.0,2018-03-09,OJ,OJH18
2015-07-14,128.3603,128.3603,128.3603,128.3603,0.0,0.0,2018-03-09,OJ,OJH18
2015-07-15,127.5516,127.5516,127.5516,127.5516,0.0,0.0,2018-03-09,OJ,OJH18
2015-07-16,131.0465,131.0465,131.0465,131.0465,0.0,0.0,2018-03-09,OJ,OJH18
2015-07-17,132.239,132.239,132.239,132.239,0.0,0.0,2018-03-09,OJ,OJH18
2015-07-20,131.9349,131.9349,131.9349,131.9349,0.0,0.0,2018-03-09,OJ,OJH18
2015-07-21,135.3784,135.3784,135.3784,135.3784,0.0,0.0,2018-03-09,OJ,OJH18
2015-07-22,131.3035,131.3035,131.3035,131.3035,0.0,0.0,2018-03-09,OJ,OJH18
