,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-06-01,154.9721,154.9721,154.9721,154.9721,0.0,0.0,2019-05-10,OJ,OJK19
2016-06-02,157.1262,157.1262,157.1262,157.1262,0.0,0.0,2019-05-10,OJ,OJK19
2016-06-03,153.8894,153.8894,153.8894,153.8894,0.0,0.0,2019-05-10,OJ,OJK19
2016-06-06,151.5349,151.5349,151.5349,151.5349,0.0,0.0,2019-05-10,OJ,OJK19
2016-06-07,147.2162,147.2162,147.2162,147.2162,0.0,0.0,2019-05-10,OJ,OJK19
2016-06-08,151.0733,151.0733,151.0733,151.0733,0.0,0.0,2019-05-10,OJ,OJK19
2016-06-09,150.5445,150.5445,150.5445,150.5445,0.0,0.0,2019-05-10,OJ,OJK19
2016-06-10,146.9615,146.9615,146.9615,146.9615,0.0,0.0,2019-05-10,OJ,OJK19
2016-06-13,145.5948,145.5948,145.5948,145.5948,0.0,0.0,2019-05-10,OJ,OJK19
2016-06-14,144.5756,144.5756,144.5756,144.5756,0.0,0.0,2019-05-10,OJ,OJK19
2016-06-15,143.8238,143.8238,143.8238,143.8238,0.0,0.0,2019-05-10,OJ,OJK19
2016-06-16,146.6571,146.6571,146.6571,146.6571,0.0,0.0,2019-05-10,OJ,OJK19
2016-06-17,145.4545,145.4545,145.4545,145.4545,0.0,0.0,2019-05-10,OJ,OJK19
2016-06-20,143.68,143.68,143.68,143.68,0.0,0.0,2019-05-10,OJ,OJK19
2016-06-21,147.43,147.43,147.43,147.43,0.0,0.0,2019-05-10,OJ,OJK19
2016-06-22,143.9359,143.9359,143.9359,143.9359,0.0,0.0,2019-05-10,OJ,OJK19
2016-06-23,147.9805,147.9805,147.9805,147.9805,0.0,0.0,2019-05-10,OJ,OJK19
2016-06-24,145.6276,145.6276,145.6276,145.6276,0.0,0.0,2019-05-10,OJ,OJK19
2016-06-27,145.38,145.38,145.38,145.38,0.0,0.0,2019-05-10,OJ,OJK19
2016-06-28,147.6915,147.6915,147.6915,147.6915,0.0,0.0,2019-05-10,OJ,OJK19
2016-06-29,146.9087,146.9087,146.9087,146.9087,0.0,0.0,2019-05-10,OJ,OJK19
2016-06-30,146.9968,146.9968,146.9968,146.9968,0.0,0.0,2019-05-10,OJ,OJK19
2016-07-01,146.1883,146.1883,146.1883,146.1883,0.0,0.0,2019-05-10,OJ,OJK19
2016-07-05,143.016,143.016,143.016,143.016,0.0,0.0,2019-05-10,OJ,OJK19
2016-07-06,143.5309,143.5309,143.5309,143.5309,0.0,0.0,2019-05-10,OJ,OJK19
2016-07-07,141.5932,141.5932,141.5932,141.5932,0.0,0.0,2019-05-10,OJ,OJK19
2016-07-08,141.664,141.664,141.664,141.664,0.0,0.0,2019-05-10,OJ,OJK19
2016-07-11,139.9357,139.9357,139.9357,139.9357,0.0,0.0,2019-05-10,OJ,OJK19
2016-07-12,139.8937,139.8937,139.8937,139.8937,0.0,0.0,2019-05-10,OJ,OJK19
2016-07-13,140.9009,140.9009,140.9009,140.9009,0.0,0.0,2019-05-10,OJ,OJK19
2016-07-14,140.605,140.605,140.605,140.605,0.0,0.0,2019-05-10,OJ,OJK19
2016-07-15,138.1022,138.1022,138.1022,138.1022,0.0,0.0,2019-05-10,OJ,OJK19
2016-07-18,139.8285,139.8285,139.8285,139.8285,0.0,0.0,2019-05-10,OJ,OJK19
2016-07-19,136.4307,136.4307,136.4307,136.4307,0.0,0.0,2019-05-10,OJ,OJK19
2016-07-20,134.7799,134.7799,134.7799,134.7799,0.0,0.0,2019-05-10,OJ,OJK19
2016-07-21,132.2191,132.2191,132.2191,132.2191,0.0,0.0,2019-05-10,OJ,OJK19
2016-07-22,129.6673,129.6673,129.6673,129.6673,0.0,0.0,2019-05-10,OJ,OJK19
2016-07-25,131.2492,131.2492,131.2492,131.2492,0.0,0.0,2019-05-10,OJ,OJK19
2016-07-26,129.7267,129.7267,129.7267,129.7267,0.0,0.0,2019-05-10,OJ,OJK19
