,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-08-01,168.1395,168.1395,168.1395,168.1395,0.0,0.0,2019-07-11,OJ,OJN19
2016-08-02,172.4102,172.4102,172.4102,172.4102,0.0,0.0,2019-07-11,OJ,OJN19
2016-08-03,169.2551,169.2551,169.2551,169.2551,0.0,0.0,2019-07-11,OJ,OJN19
2016-08-04,172.8941,172.8941,172.8941,172.8941,0.0,0.0,2019-07-11,OJ,OJN19
2016-08-05,177.6141,177.6141,177.6141,177.6141,0.0,0.0,2019-07-11,OJ,OJN19
2016-08-08,175.1985,175.1985,175.1985,175.1985,0.0,0.0,2019-07-11,OJ,OJN19
2016-08-09,175.8993,175.8993,175.8993,175.8993,0.0,0.0,2019-07-11,OJ,OJN19
2016-08-10,172.61,172.61,172.61,172.61,0.0,0.0,2019-07-11,OJ,OJN19
2016-08-11,173.2141,173.2141,173.2141,173.2141,0.0,0.0,2019-07-11,OJ,OJN19
2016-08-12,171.5512,171.5512,171.5512,171.5512,0.0,0.0,2019-07-11,OJ,OJN19
2016-08-15,174.1931,174.1931,174.1931,174.1931,0.0,0.0,2019-07-11,OJ,OJN19
2016-08-16,178.3041,178.3041,178.3041,178.3041,0.0,0.0,2019-07-11,OJ,OJN19
2016-08-17,178.2149,178.2149,178.2149,178.2149,0.0,0.0,2019-07-11,OJ,OJN19
2016-08-18,174.8288,174.8288,174.8288,174.8288,0.0,0.0,2019-07-11,OJ,OJN19
2016-08-19,171.3847,171.3847,171.3847,171.3847,0.0,0.0,2019-07-11,OJ,OJN19
2016-08-22,170.5449,170.5449,170.5449,170.5449,0.0,0.0,2019-07-11,OJ,OJN19
2016-08-23,171.9434,171.9434,171.9434,171.9434,0.0,0.0,2019-07-11,OJ,OJN19
2016-08-24,171.0321,171.0321,171.0321,171.0321,0.0,0.0,2019-07-11,OJ,OJN19
2016-08-25,174.7777,174.7777,174.7777,174.7777,0.0,0.0,2019-07-11,OJ,OJN19
2016-08-26,176.3857,176.3857,176.3857,176.3857,0.0,0.0,2019-07-11,OJ,OJN19
2016-08-29,173.881,173.881,173.881,173.881,0.0,0.0,2019-07-11,OJ,OJN19
2016-08-30,174.42,174.42,174.42,174.42,0.0,0.0,2019-07-11,OJ,OJN19
2016-08-31,174.8212,174.8212,174.8212,174.8212,0.0,0.0,2019-07-11,OJ,OJN19
2016-09-01,175.5554,175.5554,175.5554,175.5554,0.0,0.0,2019-07-11,OJ,OJN19
2016-09-02,170.675,170.675,170.675,170.675,0.0,0.0,2019-07-11,OJ,OJN19
2016-09-06,168.9683,168.9683,168.9683,168.9683,0.0,0.0,2019-07-11,OJ,OJN19
2016-09-07,172.5504,172.5504,172.5504,172.5504,0.0,0.0,2019-07-11,OJ,OJN19
2016-09-08,174.7418,174.7418,174.7418,174.7418,0.0,0.0,2019-07-11,OJ,OJN19
2016-09-09,176.2795,176.2795,176.2795,176.2795,0.0,0.0,2019-07-11,OJ,OJN19
2016-09-12,178.9589,178.9589,178.9589,178.9589,0.0,0.0,2019-07-11,OJ,OJN19
2016-09-13,177.9746,177.9746,177.9746,177.9746,0.0,0.0,2019-07-11,OJ,OJN19
2016-09-14,173.899,173.899,173.899,173.899,0.0,0.0,2019-07-11,OJ,OJN19
2016-09-15,170.0211,170.0211,170.0211,170.0211,0.0,0.0,2019-07-11,OJ,OJN19
2016-09-16,171.2282,171.2282,171.2282,171.2282,0.0,0.0,2019-07-11,OJ,OJN19
2016-09-19,175.1151,175.1151,175.1151,175.1151,0.0,0.0,2019-07-11,OJ,OJN19
2016-09-20,170.8423,170.8423,170.8423,170.8423,0.0,0.0,2019-07-11,OJ,OJN19
2016-09-21,173.8662,173.8662,173.8662,173.8662,0.0,0.0,2019-07-11,OJ,OJN19
2016-09-22,177.9868,177.9868,177.9868,177.9868,0.0,0.0,2019-07-11,OJ,OJN19
2016-09-23,179.5531,179.5531,179.5531,179.5531,0.0,0.0,2019-07-11,OJ,OJN19
2016-09-26,178.7272,178.7272,178.7272,178.7272,0.0,0.0,2019-07-11,OJ,OJN19
2016-09-27,179.4421,179.4421,179.4421,179.4421,0.0,0.0,2019-07-11,OJ,OJN19
2016-09-28,181.1647,181.1647,181.1647,181.1647,0.0,0.0,2019-07-11,OJ,OJN19
2016-09-29,180.0052,180.0052,180.0052,180.0052,0.0,0.0,2019-07-11,OJ,OJN19
2016-09-30,175.6311,175.6311,175.6311,175.6311,0.0,0.0,2019-07-11,OJ,OJN19
2016-10-03,176.0175,176.0175,176.0175,176.0175,0.0,0.0,2019-07-11,OJ,OJN19
2016-10-04,173.2188,173.2188,173.2188,173.2188,0.0,0.0,2019-07-11,OJ,OJN19
2016-10-05,175.8171,175.8171,175.8171,175.8171,0.0,0.0,2019-07-11,OJ,OJN19
2016-10-06,177.2236,177.2236,177.2236,177.2236,0.0,0.0,2019-07-11,OJ,OJN19
2016-10-07,178.8895,178.8895,178.8895,178.8895,0.0,0.0,2019-07-11,OJ,OJN19
2016-10-10,173.5049,173.5049,173.5049,173.5049,0.0,0.0,2019-07-11,OJ,OJN19
2016-10-11,170.1216,170.1216,170.1216,170.1216,0.0,0.0,2019-07-11,OJ,OJN19
2016-10-12,172.8946,172.8946,172.8946,172.8946,0.0,0.0,2019-07-11,OJ,OJN19
2016-10-13,172.3759,172.3759,172.3759,172.3759,0.0,0.0,2019-07-11,OJ,OJN19
2016-10-14,177.4265,177.4265,177.4265,177.4265,0.0,0.0,2019-07-11,OJ,OJN19
2016-10-17,175.7587,175.7587,175.7587,175.7587,0.0,0.0,2019-07-11,OJ,OJN19
2016-10-18,172.8587,172.8587,172.8587,172.8587,0.0,0.0,2019-07-11,OJ,OJN19
2016-10-19,175.7627,175.7627,175.7627,175.7627,0.0,0.0,2019-07-11,OJ,OJN19
2016-10-20,174.7081,174.7081,174.7081,174.7081,0.0,0.0,2019-07-11,OJ,OJN19
2016-10-21,176.6474,176.6474,176.6474,176.6474,0.0,0.0,2019-07-11,OJ,OJN19
2016-10-24,179.8977,179.8977,179.8977,179.8977,0.0,0.0,2019-07-11,OJ,OJN19
2016-10-25,179.8797,179.8797,179.8797,179.8797,0.0,0.0,2019-07-11,OJ,OJN19
2016-10-26,183.6212,183.6212,183.6212,183.6212,0.0,0.0,2019-07-11,OJ,OJN19
2016-10-27,184.1537,184.1537,184.1537,184.1537,0.0,0.0,2019-07-11,OJ,OJN19
2016-10-28,178.6843,178.6843,178.6843,178.6843,0.0,0.0,2019-07-11,OJ,OJN19
2016-10-31,180.2746,180.2746,180.2746,180.2746,0.0,0.0,2019-07-11,OJ,OJN19
2016-11-01,175.6956,175.6956,175.6956,175.6956,0.0,0.0,2019-07-11,OJ,OJN19
2016-11-02,171.0045,171.0045,171.0045,171.0045,0.0,0.0,2019-07-11,OJ,OJN19
2016-11-03,170.8164,170.8164,170.8164,170.8164,0.0,0.0,2019-07-11,OJ,OJN19
2016-11-04,169.3474,169.3474,169.3474,169.3474,0.0,0.0,2019-07-11,OJ,OJN19
2016-11-07,164.8089,164.8089,164.8089,164.8089,0.0,0.0,2019-07-11,OJ,OJN19
2016-11-08,162.6499,162.6499,162.6499,162.6499,0.0,0.0,2019-07-11,OJ,OJN19
2016-11-09,166.1631,166.1631,166.1631,166.1631,0.0,0.0,2019-07-11,OJ,OJN19
2016-11-10,165.864,165.864,165.864,165.864,0.0,0.0,2019-07-11,OJ,OJN19
2016-11-11,169.1149,169.1149,169.1149,169.1149,0.0,0.0,2019-07-11,OJ,OJN19
2016-11-14,164.2613,164.2613,164.2613,164.2613,0.0,0.0,2019-07-11,OJ,OJN19
2016-11-15,166.4131,166.4131,166.4131,166.4131,0.0,0.0,2019-07-11,OJ,OJN19
2016-11-16,166.0969,166.0969,166.0969,166.0969,0.0,0.0,2019-07-11,OJ,OJN19
2016-11-17,163.2566,163.2566,163.2566,163.2566,0.0,0.0,2019-07-11,OJ,OJN19
2016-11-18,166.2605,166.2605,166.2605,166.2605,0.0,0.0,2019-07-11,OJ,OJN19
2016-11-21,168.5715,168.5715,168.5715,168.5715,0.0,0.0,2019-07-11,OJ,OJN19
2016-11-22,168.7064,168.7064,168.7064,168.7064,0.0,0.0,2019-07-11,OJ,OJN19
2016-11-23,169.415,169.415,169.415,169.415,0.0,0.0,2019-07-11,OJ,OJN19
2016-11-25,166.0606,166.0606,166.0606,166.0606,0.0,0.0,2019-07-11,OJ,OJN19
2016-11-28,168.2028,168.2028,168.2028,168.2028,0.0,0.0,2019-07-11,OJ,OJN19
2016-11-29,172.3238,172.3238,172.3238,172.3238,0.0,0.0,2019-07-11,OJ,OJN19
2016-11-30,174.2711,174.2711,174.2711,174.2711,0.0,0.0,2019-07-11,OJ,OJN19
2016-12-01,170.6637,170.6637,170.6637,170.6637,0.0,0.0,2019-07-11,OJ,OJN19
2016-12-02,168.6157,168.6157,168.6157,168.6157,0.0,0.0,2019-07-11,OJ,OJN19
2016-12-05,165.6986,165.6986,165.6986,165.6986,0.0,0.0,2019-07-11,OJ,OJN19
2016-12-06,165.6986,165.6986,165.6986,165.6986,0.0,0.0,2019-07-11,OJ,OJN19
2016-12-07,168.764,168.764,168.764,168.764,0.0,0.0,2019-07-11,OJ,OJN19
2016-12-08,169.3378,169.3378,169.3378,169.3378,0.0,0.0,2019-07-11,OJ,OJN19
2016-12-09,164.5117,164.5117,164.5117,164.5117,0.0,0.0,2019-07-11,OJ,OJN19
2016-12-12,160.695,160.695,160.695,160.695,0.0,0.0,2019-07-11,OJ,OJN19
2016-12-13,164.2142,164.2142,164.2142,164.2142,0.0,0.0,2019-07-11,OJ,OJN19
2016-12-14,166.0534,166.0534,166.0534,166.0534,0.0,0.0,2019-07-11,OJ,OJN19
2016-12-15,163.1309,163.1309,163.1309,163.1309,0.0,0.0,2019-07-11,OJ,OJN19
2016-12-16,160.6024,160.6024,160.6024,160.6024,0.0,0.0,2019-07-11,OJ,OJN19
2016-12-19,157.1655,157.1655,157.1655,157.1655,0.0,0.0,2019-07-11,OJ,OJN19
2016-12-20,157.857,157.857,157.857,157.857,0.0,0.0,2019-07-11,OJ,OJN19
2016-12-21,162.0244,162.0244,162.0244,162.0244,0.0,0.0,2019-07-11,OJ,OJN19
2016-12-22,157.1313,157.1313,157.1313,157.1313,0.0,0.0,2019-07-11,OJ,OJN19
2016-12-23,155.7171,155.7171,155.7171,155.7171,0.0,0.0,2019-07-11,OJ,OJN19
2016-12-27,151.466,151.466,151.466,151.466,0.0,0.0,2019-07-11,OJ,OJN19
2016-12-28,154.9194,154.9194,154.9194,154.9194,0.0,0.0,2019-07-11,OJ,OJN19
2016-12-29,157.522,157.522,157.522,157.522,0.0,0.0,2019-07-11,OJ,OJN19
2016-12-30,158.987,158.987,158.987,158.987,0.0,0.0,2019-07-11,OJ,OJN19
2017-01-03,163.2796,163.2796,163.2796,163.2796,0.0,0.0,2019-07-11,OJ,OJN19
2017-01-04,161.0753,161.0753,161.0753,161.0753,0.0,0.0,2019-07-11,OJ,OJN19
2017-01-05,162.5894,162.5894,162.5894,162.5894,0.0,0.0,2019-07-11,OJ,OJN19
2017-01-06,166.5078,166.5078,166.5078,166.5078,0.0,0.0,2019-07-11,OJ,OJN19
2017-01-09,162.8113,162.8113,162.8113,162.8113,0.0,0.0,2019-07-11,OJ,OJN19
2017-01-10,165.4,165.4,165.4,165.4,0.0,0.0,2019-07-11,OJ,OJN19
2017-01-11,164.7384,164.7384,164.7384,164.7384,0.0,0.0,2019-07-11,OJ,OJN19
2017-01-12,166.254,166.254,166.254,166.254,0.0,0.0,2019-07-11,OJ,OJN19
2017-01-13,166.2873,166.2873,166.2873,166.2873,0.0,0.0,2019-07-11,OJ,OJN19
2017-01-17,165.7884,165.7884,165.7884,165.7884,0.0,0.0,2019-07-11,OJ,OJN19
2017-01-18,167.3302,167.3302,167.3302,167.3302,0.0,0.0,2019-07-11,OJ,OJN19
2017-01-19,170.225,170.225,170.225,170.225,0.0,0.0,2019-07-11,OJ,OJN19
2017-01-20,170.0037,170.0037,170.0037,170.0037,0.0,0.0,2019-07-11,OJ,OJN19
