,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-10-03,188.3128,188.3128,188.3128,188.3128,0.0,0.0,2019-09-10,OJ,OJU19
2016-10-04,187.6914,187.6914,187.6914,187.6914,0.0,0.0,2019-09-10,OJ,OJU19
2016-10-05,189.4369,189.4369,189.4369,189.4369,0.0,0.0,2019-09-10,OJ,OJU19
2016-10-06,186.2922,186.2922,186.2922,186.2922,0.0,0.0,2019-09-10,OJ,OJU19
2016-10-07,186.1991,186.1991,186.1991,186.1991,0.0,0.0,2019-09-10,OJ,OJU19
2016-10-10,185.4729,185.4729,185.4729,185.4729,0.0,0.0,2019-09-10,OJ,OJU19
2016-10-11,184.2302,184.2302,184.2302,184.2302,0.0,0.0,2019-09-10,OJ,OJU19
2016-10-12,182.2405,182.2405,182.2405,182.2405,0.0,0.0,2019-09-10,OJ,OJU19
2016-10-13,182.04,182.04,182.04,182.04,0.0,0.0,2019-09-10,OJ,OJU19
2016-10-14,182.6771,182.6771,182.6771,182.6771,0.0,0.0,2019-09-10,OJ,OJU19
2016-10-17,177.5256,177.5256,177.5256,177.5256,0.0,0.0,2019-09-10,OJ,OJU19
2016-10-18,174.845,174.845,174.845,174.845,0.0,0.0,2019-09-10,OJ,OJU19
2016-10-19,169.8969,169.8969,169.8969,169.8969,0.0,0.0,2019-09-10,OJ,OJU19
2016-10-20,169.9139,169.9139,169.9139,169.9139,0.0,0.0,2019-09-10,OJ,OJU19
2016-10-21,165.683,165.683,165.683,165.683,0.0,0.0,2019-09-10,OJ,OJU19
2016-10-24,165.2688,165.2688,165.2688,165.2688,0.0,0.0,2019-09-10,OJ,OJU19
2016-10-25,168.4089,168.4089,168.4089,168.4089,0.0,0.0,2019-09-10,OJ,OJU19
2016-10-26,168.5436,168.5436,168.5436,168.5436,0.0,0.0,2019-09-10,OJ,OJU19
2016-10-27,165.4593,165.4593,165.4593,165.4593,0.0,0.0,2019-09-10,OJ,OJU19
2016-10-28,163.54,163.54,163.54,163.54,0.0,0.0,2019-09-10,OJ,OJU19
2016-10-31,167.7757,167.7757,167.7757,167.7757,0.0,0.0,2019-09-10,OJ,OJU19
2016-11-01,167.826,167.826,167.826,167.826,0.0,0.0,2019-09-10,OJ,OJU19
2016-11-02,167.2386,167.2386,167.2386,167.2386,0.0,0.0,2019-09-10,OJ,OJU19
2016-11-03,169.0782,169.0782,169.0782,169.0782,0.0,0.0,2019-09-10,OJ,OJU19
2016-11-04,171.0902,171.0902,171.0902,171.0902,0.0,0.0,2019-09-10,OJ,OJU19
2016-11-07,174.666,174.666,174.666,174.666,0.0,0.0,2019-09-10,OJ,OJU19
2016-11-08,175.4171,175.4171,175.4171,175.4171,0.0,0.0,2019-09-10,OJ,OJU19
2016-11-09,179.8902,179.8902,179.8902,179.8902,0.0,0.0,2019-09-10,OJ,OJU19
2016-11-10,177.9294,177.9294,177.9294,177.9294,0.0,0.0,2019-09-10,OJ,OJU19
2016-11-11,174.9046,174.9046,174.9046,174.9046,0.0,0.0,2019-09-10,OJ,OJU19
2016-11-14,178.0704,178.0704,178.0704,178.0704,0.0,0.0,2019-09-10,OJ,OJU19
2016-11-15,180.6346,180.6346,180.6346,180.6346,0.0,0.0,2019-09-10,OJ,OJU19
2016-11-16,179.045,179.045,179.045,179.045,0.0,0.0,2019-09-10,OJ,OJU19
2016-11-17,175.3925,175.3925,175.3925,175.3925,0.0,0.0,2019-09-10,OJ,OJU19
2016-11-18,179.9352,179.9352,179.9352,179.9352,0.0,0.0,2019-09-10,OJ,OJU19
2016-11-21,175.2929,175.2929,175.2929,175.2929,0.0,0.0,2019-09-10,OJ,OJU19
2016-11-22,177.1159,177.1159,177.1159,177.1159,0.0,0.0,2019-09-10,OJ,OJU19
2016-11-23,177.6827,177.6827,177.6827,177.6827,0.0,0.0,2019-09-10,OJ,OJU19
2016-11-25,180.7033,180.7033,180.7033,180.7033,0.0,0.0,2019-09-10,OJ,OJU19
2016-11-28,184.0282,184.0282,184.0282,184.0282,0.0,0.0,2019-09-10,OJ,OJU19
2016-11-29,180.9733,180.9733,180.9733,180.9733,0.0,0.0,2019-09-10,OJ,OJU19
2016-11-30,184.7375,184.7375,184.7375,184.7375,0.0,0.0,2019-09-10,OJ,OJU19
2016-12-01,179.9528,179.9528,179.9528,179.9528,0.0,0.0,2019-09-10,OJ,OJU19
2016-12-02,176.1018,176.1018,176.1018,176.1018,0.0,0.0,2019-09-10,OJ,OJU19
2016-12-05,177.7572,177.7572,177.7572,177.7572,0.0,0.0,2019-09-10,OJ,OJU19
2016-12-06,180.388,180.388,180.388,180.388,0.0,0.0,2019-09-10,OJ,OJU19
2016-12-07,175.8422,175.8422,175.8422,175.8422,0.0,0.0,2019-09-10,OJ,OJU19
2016-12-08,180.3438,180.3438,180.3438,180.3438,0.0,0.0,2019-09-10,OJ,OJU19
2016-12-09,176.5566,176.5566,176.5566,176.5566,0.0,0.0,2019-09-10,OJ,OJU19
2016-12-12,171.9661,171.9661,171.9661,171.9661,0.0,0.0,2019-09-10,OJ,OJU19
2016-12-13,176.1621,176.1621,176.1621,176.1621,0.0,0.0,2019-09-10,OJ,OJU19
2016-12-14,173.3611,173.3611,173.3611,173.3611,0.0,0.0,2019-09-10,OJ,OJU19
2016-12-15,168.6457,168.6457,168.6457,168.6457,0.0,0.0,2019-09-10,OJ,OJU19
2016-12-16,168.0048,168.0048,168.0048,168.0048,0.0,0.0,2019-09-10,OJ,OJU19
2016-12-19,167.4672,167.4672,167.4672,167.4672,0.0,0.0,2019-09-10,OJ,OJU19
2016-12-20,163.7327,163.7327,163.7327,163.7327,0.0,0.0,2019-09-10,OJ,OJU19
2016-12-21,161.8661,161.8661,161.8661,161.8661,0.0,0.0,2019-09-10,OJ,OJU19
2016-12-22,164.3427,164.3427,164.3427,164.3427,0.0,0.0,2019-09-10,OJ,OJU19
2016-12-23,161.779,161.779,161.779,161.779,0.0,0.0,2019-09-10,OJ,OJU19
2016-12-27,157.2492,157.2492,157.2492,157.2492,0.0,0.0,2019-09-10,OJ,OJU19
2016-12-28,160.6301,160.6301,160.6301,160.6301,0.0,0.0,2019-09-10,OJ,OJU19
2016-12-29,156.9677,156.9677,156.9677,156.9677,0.0,0.0,2019-09-10,OJ,OJU19
2016-12-30,156.4183,156.4183,156.4183,156.4183,0.0,0.0,2019-09-10,OJ,OJU19
2017-01-03,155.0575,155.0575,155.0575,155.0575,0.0,0.0,2019-09-10,OJ,OJU19
2017-01-04,151.026,151.026,151.026,151.026,0.0,0.0,2019-09-10,OJ,OJU19
2017-01-05,149.7725,149.7725,149.7725,149.7725,0.0,0.0,2019-09-10,OJ,OJU19
2017-01-06,152.4684,152.4684,152.4684,152.4684,0.0,0.0,2019-09-10,OJ,OJU19
2017-01-09,149.419,149.419,149.419,149.419,0.0,0.0,2019-09-10,OJ,OJU19
2017-01-10,146.072,146.072,146.072,146.072,0.0,0.0,2019-09-10,OJ,OJU19
2017-01-11,143.0045,143.0045,143.0045,143.0045,0.0,0.0,2019-09-10,OJ,OJU19
2017-01-12,140.1015,140.1015,140.1015,140.1015,0.0,0.0,2019-09-10,OJ,OJU19
2017-01-13,138.5744,138.5744,138.5744,138.5744,0.0,0.0,2019-09-10,OJ,OJU19
2017-01-17,142.4406,142.4406,142.4406,142.4406,0.0,0.0,2019-09-10,OJ,OJU19
2017-01-18,139.6773,139.6773,139.6773,139.6773,0.0,0.0,2019-09-10,OJ,OJU19
2017-01-19,143.1692,143.1692,143.1692,143.1692,0.0,0.0,2019-09-10,OJ,OJU19
2017-01-20,144.1714,144.1714,144.1714,144.1714,0.0,0.0,2019-09-10,OJ,OJU19
2017-01-23,140.3941,140.3941,140.3941,140.3941,0.0,0.0,2019-09-10,OJ,OJU19
2017-01-24,136.5052,136.5052,136.5052,136.5052,0.0,0.0,2019-09-10,OJ,OJU19
2017-01-25,133.4884,133.4884,133.4884,133.4884,0.0,0.0,2019-09-10,OJ,OJU19
2017-01-26,135.3572,135.3572,135.3572,135.3572,0.0,0.0,2019-09-10,OJ,OJU19
2017-01-27,134.5857,134.5857,134.5857,134.5857,0.0,0.0,2019-09-10,OJ,OJU19
2017-01-30,132.2843,132.2843,132.2843,132.2843,0.0,0.0,2019-09-10,OJ,OJU19
2017-01-31,132.906,132.906,132.906,132.906,0.0,0.0,2019-09-10,OJ,OJU19
2017-02-01,134.8464,134.8464,134.8464,134.8464,0.0,0.0,2019-09-10,OJ,OJU19
2017-02-02,135.2914,135.2914,135.2914,135.2914,0.0,0.0,2019-09-10,OJ,OJU19
2017-02-03,136.5631,136.5631,136.5631,136.5631,0.0,0.0,2019-09-10,OJ,OJU19
2017-02-06,136.6724,136.6724,136.6724,136.6724,0.0,0.0,2019-09-10,OJ,OJU19
2017-02-07,139.5289,139.5289,139.5289,139.5289,0.0,0.0,2019-09-10,OJ,OJU19
2017-02-08,138.1476,138.1476,138.1476,138.1476,0.0,0.0,2019-09-10,OJ,OJU19
2017-02-09,140.9796,140.9796,140.9796,140.9796,0.0,0.0,2019-09-10,OJ,OJU19
2017-02-10,143.5313,143.5313,143.5313,143.5313,0.0,0.0,2019-09-10,OJ,OJU19
2017-02-13,147.4066,147.4066,147.4066,147.4066,0.0,0.0,2019-09-10,OJ,OJU19
2017-02-14,149.485,149.485,149.485,149.485,0.0,0.0,2019-09-10,OJ,OJU19
2017-02-15,149.485,149.485,149.485,149.485,0.0,0.0,2019-09-10,OJ,OJU19
2017-02-16,153.1175,153.1175,153.1175,153.1175,0.0,0.0,2019-09-10,OJ,OJU19
2017-02-17,156.8383,156.8383,156.8383,156.8383,0.0,0.0,2019-09-10,OJ,OJU19
2017-02-21,158.7517,158.7517,158.7517,158.7517,0.0,0.0,2019-09-10,OJ,OJU19
2017-02-22,158.7517,158.7517,158.7517,158.7517,0.0,0.0,2019-09-10,OJ,OJU19
2017-02-23,156.1005,156.1005,156.1005,156.1005,0.0,0.0,2019-09-10,OJ,OJU19
2017-02-24,157.2713,157.2713,157.2713,157.2713,0.0,0.0,2019-09-10,OJ,OJU19
2017-02-27,160.7155,160.7155,160.7155,160.7155,0.0,0.0,2019-09-10,OJ,OJU19
2017-02-28,161.9852,161.9852,161.9852,161.9852,0.0,0.0,2019-09-10,OJ,OJU19
2017-03-01,161.9366,161.9366,161.9366,161.9366,0.0,0.0,2019-09-10,OJ,OJU19
2017-03-02,159.7019,159.7019,159.7019,159.7019,0.0,0.0,2019-09-10,OJ,OJU19
2017-03-03,155.7732,155.7732,155.7732,155.7732,0.0,0.0,2019-09-10,OJ,OJU19
2017-03-06,152.3929,152.3929,152.3929,152.3929,0.0,0.0,2019-09-10,OJ,OJU19
2017-03-07,150.0918,150.0918,150.0918,150.0918,0.0,0.0,2019-09-10,OJ,OJU19
2017-03-08,151.5627,151.5627,151.5627,151.5627,0.0,0.0,2019-09-10,OJ,OJU19
2017-03-09,150.5624,150.5624,150.5624,150.5624,0.0,0.0,2019-09-10,OJ,OJU19
2017-03-10,154.191,154.191,154.191,154.191,0.0,0.0,2019-09-10,OJ,OJU19
2017-03-13,150.7371,150.7371,150.7371,150.7371,0.0,0.0,2019-09-10,OJ,OJU19
2017-03-14,153.3599,153.3599,153.3599,153.3599,0.0,0.0,2019-09-10,OJ,OJU19
2017-03-15,150.4307,150.4307,150.4307,150.4307,0.0,0.0,2019-09-10,OJ,OJU19
