,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-12-01,138.9858,138.9858,138.9858,138.9858,0.0,0.0,2018-11-09,OJ,OJX18
2015-12-02,136.6925,136.6925,136.6925,136.6925,0.0,0.0,2018-11-09,OJ,OJX18
2015-12-03,139.5084,139.5084,139.5084,139.5084,0.0,0.0,2018-11-09,OJ,OJX18
2015-12-04,137.4158,137.4158,137.4158,137.4158,0.0,0.0,2018-11-09,OJ,OJX18
2015-12-07,134.8186,134.8186,134.8186,134.8186,0.0,0.0,2018-11-09,OJ,OJX18
2015-12-08,137.5419,137.5419,137.5419,137.5419,0.0,0.0,2018-11-09,OJ,OJX18
2015-12-09,135.7401,135.7401,135.7401,135.7401,0.0,0.0,2018-11-09,OJ,OJX18
2015-12-10,131.5322,131.5322,131.5322,131.5322,0.0,0.0,2018-11-09,OJ,OJX18
2015-12-11,128.0861,128.0861,128.0861,128.0861,0.0,0.0,2018-11-09,OJ,OJX18
2015-12-14,129.4566,129.4566,129.4566,129.4566,0.0,0.0,2018-11-09,OJ,OJX18
2015-12-15,125.9224,125.9224,125.9224,125.9224,0.0,0.0,2018-11-09,OJ,OJX18
2015-12-16,129.146,129.146,129.146,129.146,0.0,0.0,2018-11-09,OJ,OJX18
2015-12-17,125.4008,125.4008,125.4008,125.4008,0.0,0.0,2018-11-09,OJ,OJX18
2015-12-18,126.4416,126.4416,126.4416,126.4416,0.0,0.0,2018-11-09,OJ,OJX18
2015-12-21,129.0842,129.0842,129.0842,129.0842,0.0,0.0,2018-11-09,OJ,OJX18
2015-12-22,125.728,125.728,125.728,125.728,0.0,0.0,2018-11-09,OJ,OJX18
2015-12-23,124.3953,124.3953,124.3953,124.3953,0.0,0.0,2018-11-09,OJ,OJX18
2015-12-24,126.0249,126.0249,126.0249,126.0249,0.0,0.0,2018-11-09,OJ,OJX18
2015-12-28,123.3154,123.3154,123.3154,123.3154,0.0,0.0,2018-11-09,OJ,OJX18
2015-12-29,121.293,121.293,121.293,121.293,0.0,0.0,2018-11-09,OJ,OJX18
2015-12-30,123.1852,123.1852,123.1852,123.1852,0.0,0.0,2018-11-09,OJ,OJX18
2015-12-31,121.3497,121.3497,121.3497,121.3497,0.0,0.0,2018-11-09,OJ,OJX18
2016-01-04,119.5416,119.5416,119.5416,119.5416,0.0,0.0,2018-11-09,OJ,OJX18
2016-01-05,116.565,116.565,116.565,116.565,0.0,0.0,2018-11-09,OJ,OJX18
2016-01-06,115.3877,115.3877,115.3877,115.3877,0.0,0.0,2018-11-09,OJ,OJX18
2016-01-07,112.1568,112.1568,112.1568,112.1568,0.0,0.0,2018-11-09,OJ,OJX18
2016-01-08,108.9267,108.9267,108.9267,108.9267,0.0,0.0,2018-11-09,OJ,OJX18
2016-01-11,105.6698,105.6698,105.6698,105.6698,0.0,0.0,2018-11-09,OJ,OJX18
2016-01-12,107.4556,107.4556,107.4556,107.4556,0.0,0.0,2018-11-09,OJ,OJX18
2016-01-13,107.058,107.058,107.058,107.058,0.0,0.0,2018-11-09,OJ,OJX18
2016-01-14,106.2872,106.2872,106.2872,106.2872,0.0,0.0,2018-11-09,OJ,OJX18
2016-01-15,107.5201,107.5201,107.5201,107.5201,0.0,0.0,2018-11-09,OJ,OJX18
2016-01-19,105.1116,105.1116,105.1116,105.1116,0.0,0.0,2018-11-09,OJ,OJX18
2016-01-20,102.5153,102.5153,102.5153,102.5153,0.0,0.0,2018-11-09,OJ,OJX18
2016-01-21,101.6439,101.6439,101.6439,101.6439,0.0,0.0,2018-11-09,OJ,OJX18
2016-01-22,101.5016,101.5016,101.5016,101.5016,0.0,0.0,2018-11-09,OJ,OJX18
2016-01-25,99.299,99.299,99.299,99.299,0.0,0.0,2018-11-09,OJ,OJX18
2016-01-26,102.3177,102.3177,102.3177,102.3177,0.0,0.0,2018-11-09,OJ,OJX18
2016-01-27,100.3941,100.3941,100.3941,100.3941,0.0,0.0,2018-11-09,OJ,OJX18
2016-01-28,98.9585,98.9585,98.9585,98.9585,0.0,0.0,2018-11-09,OJ,OJX18
2016-01-29,95.97,95.97,95.97,95.97,0.0,0.0,2018-11-09,OJ,OJX18
2016-02-01,98.7339,98.7339,98.7339,98.7339,0.0,0.0,2018-11-09,OJ,OJX18
2016-02-02,100.3828,100.3828,100.3828,100.3828,0.0,0.0,2018-11-09,OJ,OJX18
2016-02-03,99.0276,99.0276,99.0276,99.0276,0.0,0.0,2018-11-09,OJ,OJX18
2016-02-04,96.4925,96.4925,96.4925,96.4925,0.0,0.0,2018-11-09,OJ,OJX18
