,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-10-28,701.4749,701.4749,701.4749,701.4749,0.0,0.0,2016-01-27,PA,PAF16
2015-10-29,695.1616,695.1616,695.1616,695.1616,0.0,0.0,2016-01-27,PA,PAF16
2015-10-30,720.1179,720.1179,720.1179,720.1179,0.0,0.0,2016-01-27,PA,PAF16
2015-11-02,744.2418,744.2418,744.2418,744.2418,2.0,2.0,2016-01-27,PA,PAF16
2015-11-03,711.7184,711.7184,711.7184,711.7184,0.0,2.0,2016-01-27,PA,PAF16
2015-11-04,685.7407,685.7407,685.7407,685.7407,0.0,2.0,2016-01-27,PA,PAF16
2015-11-05,670.3801,670.3801,670.3801,670.3801,0.0,2.0,2016-01-27,PA,PAF16
2015-11-06,686.2011,686.2011,686.2011,686.2011,2.0,2.0,2016-01-27,PA,PAF16
2015-11-09,679.6136,679.6136,679.6136,679.6136,0.0,2.0,2016-01-27,PA,PAF16
2015-11-10,679.9534,679.9534,679.9534,679.9534,2.0,1.0,2016-01-27,PA,PAF16
2015-11-11,688.5888,688.5888,688.5888,688.5888,2.0,1.0,2016-01-27,PA,PAF16
2015-11-12,682.8047,682.8047,682.8047,682.8047,0.0,1.0,2016-01-27,PA,PAF16
2015-11-13,708.9561,708.9561,708.9561,708.9561,1.0,2.0,2016-01-27,PA,PAF16
2015-11-16,702.0083,702.0083,702.0083,702.0083,3.0,2.0,2016-01-27,PA,PAF16
2015-11-17,728.9654,728.9654,728.9654,728.9654,10.0,3.0,2016-01-27,PA,PAF16
2015-11-18,734.7242,734.7242,734.7242,734.7242,5.0,3.0,2016-01-27,PA,PAF16
2015-11-19,755.4434,755.4434,755.4434,755.4434,0.0,4.0,2016-01-27,PA,PAF16
2015-11-20,743.2052,743.2052,743.2052,743.2052,13.0,9.0,2016-01-27,PA,PAF16
2015-11-23,726.4831,726.4831,726.4831,726.4831,1.0,12.0,2016-01-27,PA,PAF16
2015-11-24,705.3424,705.3424,705.3424,705.3424,6.0,13.0,2016-01-27,PA,PAF16
2015-11-25,682.4893,682.4893,682.4893,682.4893,5.0,12.0,2016-01-27,PA,PAF16
2015-11-27,659.3529,659.3529,659.3529,659.3529,3.0,16.0,2016-01-27,PA,PAF16
2015-11-30,662.9793,662.9793,662.9793,662.9793,8.0,18.0,2016-01-27,PA,PAF16
2015-12-01,651.7087,651.7087,651.7087,651.7087,27.0,34.0,2016-01-27,PA,PAF16
2015-12-02,664.2215,664.2215,664.2215,664.2215,3.0,28.0,2016-01-27,PA,PAF16
2015-12-03,683.2182,683.2182,683.2182,683.2182,6.0,27.0,2016-01-27,PA,PAF16
2015-12-04,661.1503,661.1503,661.1503,661.1503,8.0,23.0,2016-01-27,PA,PAF16
2015-12-07,639.9274,639.9274,639.9274,639.9274,2.0,26.0,2016-01-27,PA,PAF16
2015-12-08,661.9409,661.9409,661.9409,661.9409,8.0,30.0,2016-01-27,PA,PAF16
2015-12-09,636.721,636.721,636.721,636.721,2.0,21.0,2016-01-27,PA,PAF16
2015-12-10,644.1706,644.1706,644.1706,644.1706,2.0,29.0,2016-01-27,PA,PAF16
2015-12-11,639.3393,639.3393,639.3393,639.3393,0.0,20.0,2016-01-27,PA,PAF16
2015-12-14,636.6541,636.6541,636.6541,636.6541,4.0,23.0,2016-01-27,PA,PAF16
2015-12-15,620.8014,620.8014,620.8014,620.8014,4.0,25.0,2016-01-27,PA,PAF16
2015-12-16,647.3096,647.3096,647.3096,647.3096,3.0,25.0,2016-01-27,PA,PAF16
2015-12-17,673.0725,673.0725,673.0725,673.0725,4.0,26.0,2016-01-27,PA,PAF16
2015-12-18,693.8031,693.8031,693.8031,693.8031,2.0,22.0,2016-01-27,PA,PAF16
2015-12-21,671.0464,671.0464,671.0464,671.0464,9.0,16.0,2016-01-27,PA,PAF16
2015-12-22,693.5265,693.5265,693.5265,693.5265,8.0,20.0,2016-01-27,PA,PAF16
2015-12-23,670.7095,670.7095,670.7095,670.7095,3.0,19.0,2016-01-27,PA,PAF16
2015-12-24,666.2828,666.2828,666.2828,666.2828,2.0,20.0,2016-01-27,PA,PAF16
2015-12-28,695.3327,695.3327,695.3327,695.3327,1.0,15.0,2016-01-27,PA,PAF16
2015-12-29,694.7069,694.7069,694.7069,694.7069,29.0,4.0,2016-01-27,PA,PAF16
2015-12-30,717.4238,717.4238,717.4238,717.4238,1.0,4.0,2016-01-27,PA,PAF16
2015-12-31,717.639,717.639,717.639,717.639,1.0,5.0,2016-01-27,PA,PAF16
