,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-11-29,739.3169,739.3169,739.3169,739.3169,0.0,0.0,2017-02-24,PA,PAG17
2016-11-30,720.5383,720.5383,720.5383,720.5383,0.0,0.0,2017-02-24,PA,PAG17
2016-12-01,712.1801,712.1801,712.1801,712.1801,0.0,0.0,2017-02-24,PA,PAG17
2016-12-02,709.6163,709.6163,709.6163,709.6163,0.0,0.0,2017-02-24,PA,PAG17
2016-12-05,700.4622,700.4622,700.4622,700.4622,0.0,0.0,2017-02-24,PA,PAG17
2016-12-06,688.6944,688.6944,688.6944,688.6944,0.0,0.0,2017-02-24,PA,PAG17
2016-12-07,705.9806,705.9806,705.9806,705.9806,0.0,0.0,2017-02-24,PA,PAG17
2016-12-08,707.8867,707.8867,707.8867,707.8867,0.0,0.0,2017-02-24,PA,PAG17
2016-12-09,706.2586,706.2586,706.2586,706.2586,0.0,0.0,2017-02-24,PA,PAG17
2016-12-12,690.9328,690.9328,690.9328,690.9328,3.0,1.0,2017-02-24,PA,PAG17
2016-12-13,711.3153,711.3153,711.3153,711.3153,2.0,2.0,2017-02-24,PA,PAG17
2016-12-14,720.4201,720.4201,720.4201,720.4201,0.0,2.0,2017-02-24,PA,PAG17
2016-12-15,738.6467,738.6467,738.6467,738.6467,15.0,6.0,2017-02-24,PA,PAG17
2016-12-16,756.8174,756.8174,756.8174,756.8174,2.0,8.0,2017-02-24,PA,PAG17
2016-12-19,741.0756,741.0756,741.0756,741.0756,7.0,10.0,2017-02-24,PA,PAG17
2016-12-20,756.1194,756.1194,756.1194,756.1194,1.0,10.0,2017-02-24,PA,PAG17
2016-12-21,777.6688,777.6688,777.6688,777.6688,0.0,7.0,2017-02-24,PA,PAG17
2016-12-22,800.9211,800.9211,800.9211,800.9211,0.0,9.0,2017-02-24,PA,PAG17
2016-12-23,773.2092,773.2092,773.2092,773.2092,0.0,9.0,2017-02-24,PA,PAG17
2016-12-27,752.3326,752.3326,752.3326,752.3326,0.0,9.0,2017-02-24,PA,PAG17
2016-12-28,737.7373,737.7373,737.7373,737.7373,9.0,9.0,2017-02-24,PA,PAG17
2016-12-29,754.1151,754.1151,754.1151,754.1151,0.0,12.0,2017-02-24,PA,PAG17
2016-12-30,759.1677,759.1677,759.1677,759.1677,0.0,10.0,2017-02-24,PA,PAG17
2017-01-03,781.2595,781.2595,781.2595,781.2595,5.0,9.0,2017-02-24,PA,PAG17
2017-01-04,807.2754,807.2754,807.2754,807.2754,0.0,7.0,2017-02-24,PA,PAG17
2017-01-05,820.5954,820.5954,820.5954,820.5954,0.0,8.0,2017-02-24,PA,PAG17
2017-01-06,830.0322,830.0322,830.0322,830.0322,10.0,6.0,2017-02-24,PA,PAG17
2017-01-09,862.4865,862.4865,862.4865,862.4865,0.0,7.0,2017-02-24,PA,PAG17
2017-01-10,869.0414,869.0414,869.0414,869.0414,0.0,6.0,2017-02-24,PA,PAG17
2017-01-11,892.3317,892.3317,892.3317,892.3317,0.0,5.0,2017-02-24,PA,PAG17
2017-01-12,900.6304,900.6304,900.6304,900.6304,0.0,7.0,2017-02-24,PA,PAG17
2017-01-13,882.1675,882.1675,882.1675,882.1675,0.0,6.0,2017-02-24,PA,PAG17
2017-01-17,910.8379,910.8379,910.8379,910.8379,1.0,5.0,2017-02-24,PA,PAG17
2017-01-18,895.718,895.718,895.718,895.718,0.0,6.0,2017-02-24,PA,PAG17
2017-01-19,897.7782,897.7782,897.7782,897.7782,0.0,6.0,2017-02-24,PA,PAG17
2017-01-20,865.1889,865.1889,865.1889,865.1889,1.0,4.0,2017-02-24,PA,PAG17
2017-01-23,897.72,897.72,897.72,897.72,1.0,5.0,2017-02-24,PA,PAG17
