,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-12-29,567.5128,567.5128,567.5128,567.5128,0.0,0.0,2017-03-29,PA,PAH17
2015-12-30,586.3542,586.3542,586.3542,586.3542,0.0,0.0,2017-03-29,PA,PAH17
2015-12-31,604.1794,604.1794,604.1794,604.1794,0.0,0.0,2017-03-29,PA,PAH17
2016-01-04,589.0145,589.0145,589.0145,589.0145,0.0,0.0,2017-03-29,PA,PAH17
2016-01-05,597.5552,597.5552,597.5552,597.5552,0.0,0.0,2017-03-29,PA,PAH17
2016-01-06,590.0858,590.0858,590.0858,590.0858,0.0,0.0,2017-03-29,PA,PAH17
2016-01-07,591.561,591.561,591.561,591.561,0.0,0.0,2017-03-29,PA,PAH17
2016-01-08,607.0599,607.0599,607.0599,607.0599,0.0,0.0,2017-03-29,PA,PAH17
2016-01-11,614.5267,614.5267,614.5267,614.5267,0.0,0.0,2017-03-29,PA,PAH17
2016-01-12,591.4819,591.4819,591.4819,591.4819,0.0,0.0,2017-03-29,PA,PAH17
2016-01-13,576.4583,576.4583,576.4583,576.4583,0.0,0.0,2017-03-29,PA,PAH17
2016-01-14,590.0627,590.0627,590.0627,590.0627,0.0,0.0,2017-03-29,PA,PAH17
2016-01-15,583.867,583.867,583.867,583.867,0.0,0.0,2017-03-29,PA,PAH17
2016-01-19,605.3533,605.3533,605.3533,605.3533,0.0,0.0,2017-03-29,PA,PAH17
2016-01-20,614.7363,614.7363,614.7363,614.7363,0.0,0.0,2017-03-29,PA,PAH17
2016-01-21,620.2075,620.2075,620.2075,620.2075,0.0,0.0,2017-03-29,PA,PAH17
2016-01-22,639.3719,639.3719,639.3719,639.3719,0.0,0.0,2017-03-29,PA,PAH17
2016-01-25,620.958,620.958,620.958,620.958,0.0,0.0,2017-03-29,PA,PAH17
2016-01-26,621.2064,621.2064,621.2064,621.2064,0.0,0.0,2017-03-29,PA,PAH17
2016-01-27,630.5245,630.5245,630.5245,630.5245,0.0,0.0,2017-03-29,PA,PAH17
2016-01-28,643.5133,643.5133,643.5133,643.5133,0.0,0.0,2017-03-29,PA,PAH17
2016-01-29,651.0424,651.0424,651.0424,651.0424,0.0,0.0,2017-03-29,PA,PAH17
2016-02-01,643.4252,643.4252,643.4252,643.4252,0.0,0.0,2017-03-29,PA,PAH17
2016-02-02,641.4949,641.4949,641.4949,641.4949,0.0,0.0,2017-03-29,PA,PAH17
2016-02-03,649.1287,649.1287,649.1287,649.1287,0.0,0.0,2017-03-29,PA,PAH17
2016-02-04,662.3709,662.3709,662.3709,662.3709,0.0,0.0,2017-03-29,PA,PAH17
2016-02-05,677.6054,677.6054,677.6054,677.6054,0.0,0.0,2017-03-29,PA,PAH17
2016-02-08,683.6361,683.6361,683.6361,683.6361,0.0,0.0,2017-03-29,PA,PAH17
2016-02-09,691.2928,691.2928,691.2928,691.2928,0.0,0.0,2017-03-29,PA,PAH17
2016-02-10,709.8886,709.8886,709.8886,709.8886,0.0,0.0,2017-03-29,PA,PAH17
2016-02-11,734.4507,734.4507,734.4507,734.4507,0.0,0.0,2017-03-29,PA,PAH17
2016-02-12,738.6371,738.6371,738.6371,738.6371,0.0,0.0,2017-03-29,PA,PAH17
2016-02-16,726.6712,726.6712,726.6712,726.6712,0.0,0.0,2017-03-29,PA,PAH17
2016-02-17,722.3838,722.3838,722.3838,722.3838,0.0,0.0,2017-03-29,PA,PAH17
2016-02-18,715.2322,715.2322,715.2322,715.2322,0.0,0.0,2017-03-29,PA,PAH17
2016-02-19,702.0004,702.0004,702.0004,702.0004,0.0,0.0,2017-03-29,PA,PAH17
2016-02-22,712.5304,712.5304,712.5304,712.5304,1.0,1.0,2017-03-29,PA,PAH17
2016-02-23,705.1201,705.1201,705.1201,705.1201,0.0,1.0,2017-03-29,PA,PAH17
2016-02-24,693.2036,693.2036,693.2036,693.2036,1.0,1.0,2017-03-29,PA,PAH17
2016-02-25,685.9943,685.9943,685.9943,685.9943,0.0,1.0,2017-03-29,PA,PAH17
2016-02-26,694.7064,694.7064,694.7064,694.7064,0.0,1.0,2017-03-29,PA,PAH17
2016-02-29,714.3666,714.3666,714.3666,714.3666,0.0,1.0,2017-03-29,PA,PAH17
2016-03-01,701.0794,701.0794,701.0794,701.0794,0.0,1.0,2017-03-29,PA,PAH17
2016-03-02,687.6888,687.6888,687.6888,687.6888,0.0,1.0,2017-03-29,PA,PAH17
2016-03-03,664.2386,664.2386,664.2386,664.2386,0.0,1.0,2017-03-29,PA,PAH17
