,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-01-28,816.7637,816.7637,816.7637,816.7637,0.0,0.0,2015-04-28,PA,PAJ15
2015-01-29,805.4924,805.4924,805.4924,805.4924,0.0,0.0,2015-04-28,PA,PAJ15
2015-01-30,818.1386,818.1386,818.1386,818.1386,1.0,1.0,2015-04-28,PA,PAJ15
2015-02-02,826.6472,826.6472,826.6472,826.6472,0.0,1.0,2015-04-28,PA,PAJ15
2015-02-03,823.8366,823.8366,823.8366,823.8366,0.0,1.0,2015-04-28,PA,PAJ15
2015-02-04,801.7578,801.7578,801.7578,801.7578,0.0,1.0,2015-04-28,PA,PAJ15
2015-02-05,802.5596,802.5596,802.5596,802.5596,0.0,1.0,2015-04-28,PA,PAJ15
2015-02-06,811.3878,811.3878,811.3878,811.3878,0.0,1.0,2015-04-28,PA,PAJ15
2015-02-09,808.2234,808.2234,808.2234,808.2234,3.0,3.0,2015-04-28,PA,PAJ15
2015-02-10,791.574,791.574,791.574,791.574,0.0,3.0,2015-04-28,PA,PAJ15
2015-02-11,777.6423,777.6423,777.6423,777.6423,5.0,2.0,2015-04-28,PA,PAJ15
2015-02-12,797.3167,797.3167,797.3167,797.3167,1.0,1.0,2015-04-28,PA,PAJ15
2015-02-13,779.3771,779.3771,779.3771,779.3771,1.0,2.0,2015-04-28,PA,PAJ15
2015-02-17,759.7368,759.7368,759.7368,759.7368,1.0,1.0,2015-04-28,PA,PAJ15
2015-02-18,758.2933,758.2933,758.2933,758.2933,0.0,1.0,2015-04-28,PA,PAJ15
2015-02-19,742.445,742.445,742.445,742.445,0.0,1.0,2015-04-28,PA,PAJ15
2015-02-20,723.2899,723.2899,723.2899,723.2899,0.0,1.0,2015-04-28,PA,PAJ15
2015-02-23,702.7485,702.7485,702.7485,702.7485,4.0,5.0,2015-04-28,PA,PAJ15
2015-02-24,713.0086,713.0086,713.0086,713.0086,0.0,6.0,2015-04-28,PA,PAJ15
2015-02-25,711.5113,711.5113,711.5113,711.5113,4.0,8.0,2015-04-28,PA,PAJ15
2015-02-26,692.4428,692.4428,692.4428,692.4428,8.0,9.0,2015-04-28,PA,PAJ15
2015-02-27,708.2305,708.2305,708.2305,708.2305,6.0,7.0,2015-04-28,PA,PAJ15
