,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-02-25,811.0101,811.0101,811.0101,811.0101,0.0,0.0,2015-05-27,PA,PAK15
2015-02-26,821.7154,821.7154,821.7154,821.7154,0.0,0.0,2015-05-27,PA,PAK15
2015-02-27,806.678,806.678,806.678,806.678,0.0,0.0,2015-05-27,PA,PAK15
2015-03-02,825.2316,825.2316,825.2316,825.2316,0.0,0.0,2015-05-27,PA,PAK15
2015-03-03,805.8387,805.8387,805.8387,805.8387,0.0,0.0,2015-05-27,PA,PAK15
2015-03-04,824.6147,824.6147,824.6147,824.6147,0.0,0.0,2015-05-27,PA,PAK15
2015-03-05,830.4695,830.4695,830.4695,830.4695,0.0,0.0,2015-05-27,PA,PAK15
2015-03-06,832.8779,832.8779,832.8779,832.8779,0.0,0.0,2015-05-27,PA,PAK15
2015-03-09,820.9677,820.9677,820.9677,820.9677,0.0,0.0,2015-05-27,PA,PAK15
2015-03-10,836.4019,836.4019,836.4019,836.4019,0.0,0.0,2015-05-27,PA,PAK15
2015-03-11,814.8227,814.8227,814.8227,814.8227,0.0,0.0,2015-05-27,PA,PAK15
2015-03-12,827.1265,827.1265,827.1265,827.1265,0.0,0.0,2015-05-27,PA,PAK15
2015-03-13,816.3739,816.3739,816.3739,816.3739,0.0,0.0,2015-05-27,PA,PAK15
2015-03-16,827.15,827.15,827.15,827.15,0.0,0.0,2015-05-27,PA,PAK15
2015-03-17,823.7587,823.7587,823.7587,823.7587,0.0,0.0,2015-05-27,PA,PAK15
2015-03-18,845.3412,845.3412,845.3412,845.3412,0.0,0.0,2015-05-27,PA,PAK15
2015-03-19,857.5141,857.5141,857.5141,857.5141,0.0,0.0,2015-05-27,PA,PAK15
2015-03-20,859.6579,859.6579,859.6579,859.6579,0.0,0.0,2015-05-27,PA,PAK15
2015-03-23,871.7791,871.7791,871.7791,871.7791,0.0,0.0,2015-05-27,PA,PAK15
2015-03-24,875.7021,875.7021,875.7021,875.7021,0.0,0.0,2015-05-27,PA,PAK15
2015-03-25,895.0551,895.0551,895.0551,895.0551,0.0,0.0,2015-05-27,PA,PAK15
2015-03-26,881.4503,881.4503,881.4503,881.4503,0.0,0.0,2015-05-27,PA,PAK15
2015-03-27,899.3437,899.3437,899.3437,899.3437,0.0,0.0,2015-05-27,PA,PAK15
2015-03-30,921.8273,921.8273,921.8273,921.8273,0.0,0.0,2015-05-27,PA,PAK15
2015-03-31,909.2904,909.2904,909.2904,909.2904,2.0,1.0,2015-05-27,PA,PAK15
2015-04-01,906.4716,906.4716,906.4716,906.4716,0.0,1.0,2015-05-27,PA,PAK15
2015-04-02,919.8874,919.8874,919.8874,919.8874,0.0,1.0,2015-05-27,PA,PAK15
2015-04-06,904.1573,904.1573,904.1573,904.1573,0.0,1.0,2015-05-27,PA,PAK15
2015-04-07,890.4141,890.4141,890.4141,890.4141,32.0,0.0,2015-05-27,PA,PAK15
2015-04-08,898.1607,898.1607,898.1607,898.1607,0.0,0.0,2015-05-27,PA,PAK15
2015-04-09,876.8743,876.8743,876.8743,876.8743,0.0,0.0,2015-05-27,PA,PAK15
2015-04-10,894.9379,894.9379,894.9379,894.9379,0.0,0.0,2015-05-27,PA,PAK15
2015-04-13,887.7784,887.7784,887.7784,887.7784,0.0,0.0,2015-05-27,PA,PAK15
2015-04-14,872.5086,872.5086,872.5086,872.5086,0.0,0.0,2015-05-27,PA,PAK15
2015-04-15,857.1524,857.1524,857.1524,857.1524,0.0,0.0,2015-05-27,PA,PAK15
2015-04-16,873.2669,873.2669,873.2669,873.2669,0.0,0.0,2015-05-27,PA,PAK15
2015-04-17,872.3936,872.3936,872.3936,872.3936,0.0,0.0,2015-05-27,PA,PAK15
2015-04-20,870.0381,870.0381,870.0381,870.0381,0.0,0.0,2015-05-27,PA,PAK15
2015-04-21,856.1175,856.1175,856.1175,856.1175,0.0,0.0,2015-05-27,PA,PAK15
2015-04-22,869.2161,869.2161,869.2161,869.2161,0.0,0.0,2015-05-27,PA,PAK15
