,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-03-29,575.593,575.593,575.593,575.593,0.0,0.0,2017-06-28,PA,PAM17
2016-03-30,573.3482,573.3482,573.3482,573.3482,0.0,0.0,2017-06-28,PA,PAM17
2016-03-31,591.5807,591.5807,591.5807,591.5807,0.0,0.0,2017-06-28,PA,PAM17
2016-04-01,598.5614,598.5614,598.5614,598.5614,0.0,0.0,2017-06-28,PA,PAM17
2016-04-04,593.0546,593.0546,593.0546,593.0546,0.0,0.0,2017-06-28,PA,PAM17
2016-04-05,611.3207,611.3207,611.3207,611.3207,0.0,0.0,2017-06-28,PA,PAM17
2016-04-06,595.7932,595.7932,595.7932,595.7932,0.0,0.0,2017-06-28,PA,PAM17
2016-04-07,604.5514,604.5514,604.5514,604.5514,0.0,0.0,2017-06-28,PA,PAM17
2016-04-08,613.1965,613.1965,613.1965,613.1965,0.0,0.0,2017-06-28,PA,PAM17
2016-04-11,627.6679,627.6679,627.6679,627.6679,0.0,0.0,2017-06-28,PA,PAM17
2016-04-12,614.6124,614.6124,614.6124,614.6124,0.0,0.0,2017-06-28,PA,PAM17
2016-04-13,630.4079,630.4079,630.4079,630.4079,0.0,0.0,2017-06-28,PA,PAM17
2016-04-14,625.0494,625.0494,625.0494,625.0494,0.0,0.0,2017-06-28,PA,PAM17
2016-04-15,611.7358,611.7358,611.7358,611.7358,0.0,0.0,2017-06-28,PA,PAM17
2016-04-18,606.5972,606.5972,606.5972,606.5972,0.0,0.0,2017-06-28,PA,PAM17
2016-04-19,613.3304,613.3304,613.3304,613.3304,0.0,0.0,2017-06-28,PA,PAM17
2016-04-20,605.1118,605.1118,605.1118,605.1118,0.0,0.0,2017-06-28,PA,PAM17
2016-04-21,603.599,603.599,603.599,603.599,0.0,0.0,2017-06-28,PA,PAM17
2016-04-22,605.772,605.772,605.772,605.772,0.0,0.0,2017-06-28,PA,PAM17
2016-04-25,612.1326,612.1326,612.1326,612.1326,0.0,0.0,2017-06-28,PA,PAM17
2016-04-26,625.4771,625.4771,625.4771,625.4771,0.0,0.0,2017-06-28,PA,PAM17
2016-04-27,624.5389,624.5389,624.5389,624.5389,0.0,0.0,2017-06-28,PA,PAM17
2016-04-28,626.7872,626.7872,626.7872,626.7872,0.0,0.0,2017-06-28,PA,PAM17
2016-04-29,609.9266,609.9266,609.9266,609.9266,0.0,0.0,2017-06-28,PA,PAM17
2016-05-02,603.0954,603.0954,603.0954,603.0954,0.0,0.0,2017-06-28,PA,PAM17
2016-05-03,617.63,617.63,617.63,617.63,0.0,0.0,2017-06-28,PA,PAM17
2016-05-04,615.9624,615.9624,615.9624,615.9624,0.0,0.0,2017-06-28,PA,PAM17
2016-05-05,621.6909,621.6909,621.6909,621.6909,0.0,0.0,2017-06-28,PA,PAM17
2016-05-06,601.9211,601.9211,601.9211,601.9211,0.0,0.0,2017-06-28,PA,PAM17
2016-05-09,602.6434,602.6434,602.6434,602.6434,0.0,0.0,2017-06-28,PA,PAM17
2016-05-10,582.8767,582.8767,582.8767,582.8767,0.0,0.0,2017-06-28,PA,PAM17
2016-05-11,598.4978,598.4978,598.4978,598.4978,0.0,0.0,2017-06-28,PA,PAM17
2016-05-12,597.1811,597.1811,597.1811,597.1811,0.0,0.0,2017-06-28,PA,PAM17
2016-05-13,613.723,613.723,613.723,613.723,0.0,0.0,2017-06-28,PA,PAM17
2016-05-16,610.8385,610.8385,610.8385,610.8385,0.0,0.0,2017-06-28,PA,PAM17
2016-05-17,610.2277,610.2277,610.2277,610.2277,0.0,0.0,2017-06-28,PA,PAM17
2016-05-18,610.7769,610.7769,610.7769,610.7769,0.0,0.0,2017-06-28,PA,PAM17
2016-05-19,598.1338,598.1338,598.1338,598.1338,0.0,0.0,2017-06-28,PA,PAM17
2016-05-20,600.8852,600.8852,600.8852,600.8852,0.0,0.0,2017-06-28,PA,PAM17
2016-05-23,614.1648,614.1648,614.1648,614.1648,0.0,0.0,2017-06-28,PA,PAM17
2016-05-24,622.5174,622.5174,622.5174,622.5174,0.0,0.0,2017-06-28,PA,PAM17
2016-05-25,631.9797,631.9797,631.9797,631.9797,0.0,0.0,2017-06-28,PA,PAM17
2016-05-26,634.1916,634.1916,634.1916,634.1916,0.0,0.0,2017-06-28,PA,PAM17
2016-05-27,622.4591,622.4591,622.4591,622.4591,0.0,0.0,2017-06-28,PA,PAM17
2016-05-31,636.3399,636.3399,636.3399,636.3399,0.0,0.0,2017-06-28,PA,PAM17
2016-06-01,624.2494,624.2494,624.2494,624.2494,0.0,0.0,2017-06-28,PA,PAM17
2016-06-02,644.5375,644.5375,644.5375,644.5375,0.0,0.0,2017-06-28,PA,PAM17
2016-06-03,623.6545,623.6545,623.6545,623.6545,0.0,0.0,2017-06-28,PA,PAM17
2016-06-06,620.7233,620.7233,620.7233,620.7233,0.0,0.0,2017-06-28,PA,PAM17
2016-06-07,624.3856,624.3856,624.3856,624.3856,0.0,0.0,2017-06-28,PA,PAM17
2016-06-08,623.1993,623.1993,623.1993,623.1993,0.0,0.0,2017-06-28,PA,PAM17
2016-06-09,637.9691,637.9691,637.9691,637.9691,0.0,0.0,2017-06-28,PA,PAM17
2016-06-10,637.1397,637.1397,637.1397,637.1397,0.0,0.0,2017-06-28,PA,PAM17
2016-06-13,637.0123,637.0123,637.0123,637.0123,0.0,0.0,2017-06-28,PA,PAM17
2016-06-14,656.8234,656.8234,656.8234,656.8234,0.0,0.0,2017-06-28,PA,PAM17
2016-06-15,660.3702,660.3702,660.3702,660.3702,0.0,0.0,2017-06-28,PA,PAM17
2016-06-16,664.7286,664.7286,664.7286,664.7286,0.0,0.0,2017-06-28,PA,PAM17
2016-06-17,647.1798,647.1798,647.1798,647.1798,0.0,0.0,2017-06-28,PA,PAM17
2016-06-20,625.6934,625.6934,625.6934,625.6934,0.0,0.0,2017-06-28,PA,PAM17
2016-06-21,632.576,632.576,632.576,632.576,0.0,0.0,2017-06-28,PA,PAM17
2016-06-22,619.2286,619.2286,619.2286,619.2286,0.0,0.0,2017-06-28,PA,PAM17
2016-06-23,611.3025,611.3025,611.3025,611.3025,0.0,0.0,2017-06-28,PA,PAM17
2016-06-24,591.4352,591.4352,591.4352,591.4352,0.0,0.0,2017-06-28,PA,PAM17
