,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-04-26,980.9351,980.9351,980.9351,980.9351,0.0,0.0,2018-07-27,PA,PAN18
2018-04-27,992.1178,992.1178,992.1178,992.1178,0.0,0.0,2018-07-27,PA,PAN18
2018-04-30,977.4345,977.4345,977.4345,977.4345,0.0,0.0,2018-07-27,PA,PAN18
2018-05-01,964.2391,964.2391,964.2391,964.2391,0.0,0.0,2018-07-27,PA,PAN18
2018-05-02,950.6433,950.6433,950.6433,950.6433,0.0,0.0,2018-07-27,PA,PAN18
2018-05-03,934.7676,934.7676,934.7676,934.7676,0.0,0.0,2018-07-27,PA,PAN18
2018-05-04,924.0178,924.0178,924.0178,924.0178,0.0,0.0,2018-07-27,PA,PAN18
2018-05-07,915.8864,915.8864,915.8864,915.8864,0.0,0.0,2018-07-27,PA,PAN18
2018-05-08,904.3462,904.3462,904.3462,904.3462,0.0,0.0,2018-07-27,PA,PAN18
2018-05-09,930.1201,930.1201,930.1201,930.1201,0.0,0.0,2018-07-27,PA,PAN18
2018-05-10,956.5355,956.5355,956.5355,956.5355,0.0,0.0,2018-07-27,PA,PAN18
2018-05-11,945.2484,945.2484,945.2484,945.2484,0.0,0.0,2018-07-27,PA,PAN18
2018-05-14,938.8207,938.8207,938.8207,938.8207,0.0,0.0,2018-07-27,PA,PAN18
2018-05-15,938.3513,938.3513,938.3513,938.3513,0.0,0.0,2018-07-27,PA,PAN18
2018-05-16,938.539,938.539,938.539,938.539,0.0,0.0,2018-07-27,PA,PAN18
2018-05-17,964.8181,964.8181,964.8181,964.8181,0.0,0.0,2018-07-27,PA,PAN18
2018-05-18,969.5457,969.5457,969.5457,969.5457,0.0,0.0,2018-07-27,PA,PAN18
2018-05-21,944.4345,944.4345,944.4345,944.4345,0.0,0.0,2018-07-27,PA,PAN18
2018-05-22,950.5733,950.5733,950.5733,950.5733,0.0,0.0,2018-07-27,PA,PAN18
2018-05-23,943.3489,943.3489,943.3489,943.3489,0.0,0.0,2018-07-27,PA,PAN18
2018-05-24,929.293,929.293,929.293,929.293,0.0,0.0,2018-07-27,PA,PAN18
2018-05-25,949.5516,949.5516,949.5516,949.5516,0.0,0.0,2018-07-27,PA,PAN18
2018-05-29,966.2637,966.2637,966.2637,966.2637,0.0,0.0,2018-07-27,PA,PAN18
2018-05-30,959.8864,959.8864,959.8864,959.8864,0.0,0.0,2018-07-27,PA,PAN18
2018-05-31,968.8133,968.8133,968.8133,968.8133,0.0,0.0,2018-07-27,PA,PAN18
2018-06-01,972.2041,972.2041,972.2041,972.2041,0.0,0.0,2018-07-27,PA,PAN18
2018-06-04,968.6069,968.6069,968.6069,968.6069,0.0,0.0,2018-07-27,PA,PAN18
2018-06-05,958.4365,958.4365,958.4365,958.4365,0.0,0.0,2018-07-27,PA,PAN18
2018-06-06,960.5451,960.5451,960.5451,960.5451,0.0,0.0,2018-07-27,PA,PAN18
2018-06-07,939.6052,939.6052,939.6052,939.6052,0.0,0.0,2018-07-27,PA,PAN18
2018-06-08,919.6856,919.6856,919.6856,919.6856,0.0,0.0,2018-07-27,PA,PAN18
2018-06-11,939.4588,939.4588,939.4588,939.4588,0.0,0.0,2018-07-27,PA,PAN18
2018-06-12,954.5841,954.5841,954.5841,954.5841,0.0,0.0,2018-07-27,PA,PAN18
2018-06-13,971.0029,971.0029,971.0029,971.0029,0.0,0.0,2018-07-27,PA,PAN18
2018-06-14,945.2713,945.2713,945.2713,945.2713,0.0,0.0,2018-07-27,PA,PAN18
2018-06-15,966.4454,966.4454,966.4454,966.4454,0.0,0.0,2018-07-27,PA,PAN18
2018-06-18,947.9863,947.9863,947.9863,947.9863,0.0,0.0,2018-07-27,PA,PAN18
2018-06-19,951.1147,951.1147,951.1147,951.1147,0.0,0.0,2018-07-27,PA,PAN18
2018-06-20,970.8979,970.8979,970.8979,970.8979,0.0,0.0,2018-07-27,PA,PAN18
2018-06-21,996.3354,996.3354,996.3354,996.3354,0.0,0.0,2018-07-27,PA,PAN18
2018-06-22,1008.8892,1008.8892,1008.8892,1008.8892,0.0,0.0,2018-07-27,PA,PAN18
2018-06-25,1001.2216,1001.2216,1001.2216,1001.2216,0.0,0.0,2018-07-27,PA,PAN18
2018-06-26,1010.2326,1010.2326,1010.2326,1010.2326,0.0,0.0,2018-07-27,PA,PAN18
2018-06-27,1037.4079,1037.4079,1037.4079,1037.4079,0.0,0.0,2018-07-27,PA,PAN18
2018-06-28,1042.0762,1042.0762,1042.0762,1042.0762,0.0,0.0,2018-07-27,PA,PAN18
2018-06-29,1052.7054,1052.7054,1052.7054,1052.7054,0.0,0.0,2018-07-27,PA,PAN18
2018-07-02,1069.2329,1069.2329,1069.2329,1069.2329,0.0,0.0,2018-07-27,PA,PAN18
2018-07-03,1092.2214,1092.2214,1092.2214,1092.2214,0.0,0.0,2018-07-27,PA,PAN18
2018-07-05,1074.4182,1074.4182,1074.4182,1074.4182,0.0,0.0,2018-07-27,PA,PAN18
2018-07-06,1083.9805,1083.9805,1083.9805,1083.9805,0.0,0.0,2018-07-27,PA,PAN18
