,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-05-26,531.8309,531.8309,531.8309,531.8309,0.0,0.0,2016-08-29,PA,PAQ16
2016-05-27,518.216,518.216,518.216,518.216,0.0,0.0,2016-08-29,PA,PAQ16
2016-05-31,505.4161,505.4161,505.4161,505.4161,0.0,0.0,2016-08-29,PA,PAQ16
2016-06-01,492.8818,492.8818,492.8818,492.8818,0.0,0.0,2016-08-29,PA,PAQ16
2016-06-02,487.0658,487.0658,487.0658,487.0658,0.0,0.0,2016-08-29,PA,PAQ16
2016-06-03,478.3473,478.3473,478.3473,478.3473,0.0,0.0,2016-08-29,PA,PAQ16
2016-06-06,486.0487,486.0487,486.0487,486.0487,0.0,0.0,2016-08-29,PA,PAQ16
2016-06-07,469.6689,469.6689,469.6689,469.6689,0.0,0.0,2016-08-29,PA,PAQ16
2016-06-08,454.2168,454.2168,454.2168,454.2168,0.0,0.0,2016-08-29,PA,PAQ16
2016-06-09,459.8037,459.8037,459.8037,459.8037,1.0,1.0,2016-08-29,PA,PAQ16
2016-06-10,448.4006,448.4006,448.4006,448.4006,0.0,1.0,2016-08-29,PA,PAQ16
2016-06-13,456.3373,456.3373,456.3373,456.3373,0.0,1.0,2016-08-29,PA,PAQ16
2016-06-14,457.7976,457.7976,457.7976,457.7976,0.0,1.0,2016-08-29,PA,PAQ16
2016-06-15,456.47,456.47,456.47,456.47,0.0,1.0,2016-08-29,PA,PAQ16
2016-06-16,460.5782,460.5782,460.5782,460.5782,0.0,1.0,2016-08-29,PA,PAQ16
2016-06-17,464.6773,464.6773,464.6773,464.6773,0.0,1.0,2016-08-29,PA,PAQ16
2016-06-20,478.3853,478.3853,478.3853,478.3853,0.0,1.0,2016-08-29,PA,PAQ16
2016-06-21,465.7559,465.7559,465.7559,465.7559,0.0,1.0,2016-08-29,PA,PAQ16
2016-06-22,458.6298,458.6298,458.6298,458.6298,0.0,1.0,2016-08-29,PA,PAQ16
2016-06-23,449.6407,449.6407,449.6407,449.6407,0.0,1.0,2016-08-29,PA,PAQ16
2016-06-24,464.6137,464.6137,464.6137,464.6137,0.0,1.0,2016-08-29,PA,PAQ16
2016-06-27,478.6915,478.6915,478.6915,478.6915,0.0,1.0,2016-08-29,PA,PAQ16
2016-06-28,477.4469,477.4469,477.4469,477.4469,1.0,2.0,2016-08-29,PA,PAQ16
2016-06-29,492.2,492.2,492.2,492.2,1.0,2.0,2016-08-29,PA,PAQ16
2016-06-30,489.1976,489.1976,489.1976,489.1976,1.0,2.0,2016-08-29,PA,PAQ16
2016-07-01,473.3965,473.3965,473.3965,473.3965,1.0,2.0,2016-08-29,PA,PAQ16
2016-07-05,467.0056,467.0056,467.0056,467.0056,1.0,4.0,2016-08-29,PA,PAQ16
2016-07-06,474.6645,474.6645,474.6645,474.6645,6.0,6.0,2016-08-29,PA,PAQ16
2016-07-07,458.9056,458.9056,458.9056,458.9056,0.0,5.0,2016-08-29,PA,PAQ16
2016-07-08,473.9577,473.9577,473.9577,473.9577,1.0,6.0,2016-08-29,PA,PAQ16
2016-07-11,458.6015,458.6015,458.6015,458.6015,3.0,5.0,2016-08-29,PA,PAQ16
2016-07-12,447.1365,447.1365,447.1365,447.1365,0.0,6.0,2016-08-29,PA,PAQ16
2016-07-13,433.0517,433.0517,433.0517,433.0517,12.0,5.0,2016-08-29,PA,PAQ16
2016-07-14,444.9606,444.9606,444.9606,444.9606,6.0,2.0,2016-08-29,PA,PAQ16
2016-07-15,434.5485,434.5485,434.5485,434.5485,0.0,2.0,2016-08-29,PA,PAQ16
2016-07-18,430.5941,430.5941,430.5941,430.5941,0.0,2.0,2016-08-29,PA,PAQ16
2016-07-19,420.5613,420.5613,420.5613,420.5613,2.0,1.0,2016-08-29,PA,PAQ16
2016-07-20,417.5333,417.5333,417.5333,417.5333,2.0,1.0,2016-08-29,PA,PAQ16
2016-07-21,416.0302,416.0302,416.0302,416.0302,1.0,0.0,2016-08-29,PA,PAQ16
2016-07-22,403.0501,403.0501,403.0501,403.0501,0.0,0.0,2016-08-29,PA,PAQ16
2016-07-25,412.683,412.683,412.683,412.683,0.0,0.0,2016-08-29,PA,PAQ16
2016-07-26,423.6191,423.6191,423.6191,423.6191,0.0,0.0,2016-08-29,PA,PAQ16
2016-07-27,433.5318,433.5318,433.5318,433.5318,0.0,0.0,2016-08-29,PA,PAQ16
2016-07-28,431.0607,431.0607,431.0607,431.0607,1.0,1.0,2016-08-29,PA,PAQ16
2016-07-29,438.8629,438.8629,438.8629,438.8629,0.0,1.0,2016-08-29,PA,PAQ16
2016-08-01,424.8193,424.8193,424.8193,424.8193,0.0,1.0,2016-08-29,PA,PAQ16
2016-08-02,425.2866,425.2866,425.2866,425.2866,0.0,0.0,2016-08-29,PA,PAQ16
2016-08-03,416.9935,416.9935,416.9935,416.9935,0.0,0.0,2016-08-29,PA,PAQ16
2016-08-04,431.0045,431.0045,431.0045,431.0045,0.0,0.0,2016-08-29,PA,PAQ16
2016-08-05,435.2714,435.2714,435.2714,435.2714,0.0,0.0,2016-08-29,PA,PAQ16
2016-08-08,446.2838,446.2838,446.2838,446.2838,0.0,0.0,2016-08-29,PA,PAQ16
2016-08-09,461.2789,461.2789,461.2789,461.2789,0.0,0.0,2016-08-29,PA,PAQ16
2016-08-10,446.2412,446.2412,446.2412,446.2412,0.0,0.0,2016-08-29,PA,PAQ16
2016-08-11,434.4158,434.4158,434.4158,434.4158,0.0,0.0,2016-08-29,PA,PAQ16
2016-08-12,431.8093,431.8093,431.8093,431.8093,0.0,0.0,2016-08-29,PA,PAQ16
2016-08-15,446.3613,446.3613,446.3613,446.3613,0.0,0.0,2016-08-29,PA,PAQ16
2016-08-16,461.2698,461.2698,461.2698,461.2698,0.0,0.0,2016-08-29,PA,PAQ16
2016-08-17,473.0783,473.0783,473.0783,473.0783,0.0,0.0,2016-08-29,PA,PAQ16
2016-08-18,483.2495,483.2495,483.2495,483.2495,0.0,0.0,2016-08-29,PA,PAQ16
