,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-06-28,826.5347,826.5347,826.5347,826.5347,0.0,0.0,2018-09-26,PA,PAU18
2017-06-29,812.4836,812.4836,812.4836,812.4836,0.0,0.0,2018-09-26,PA,PAU18
2017-06-30,825.8896,825.8896,825.8896,825.8896,0.0,0.0,2018-09-26,PA,PAU18
2017-07-03,844.9676,844.9676,844.9676,844.9676,0.0,0.0,2018-09-26,PA,PAU18
2017-07-05,847.587,847.587,847.587,847.587,0.0,0.0,2018-09-26,PA,PAU18
2017-07-06,824.6174,824.6174,824.6174,824.6174,0.0,0.0,2018-09-26,PA,PAU18
2017-07-07,824.5349,824.5349,824.5349,824.5349,0.0,0.0,2018-09-26,PA,PAU18
2017-07-10,810.1055,810.1055,810.1055,810.1055,0.0,0.0,2018-09-26,PA,PAU18
2017-07-11,821.0419,821.0419,821.0419,821.0419,0.0,0.0,2018-09-26,PA,PAU18
2017-07-12,831.3049,831.3049,831.3049,831.3049,0.0,0.0,2018-09-26,PA,PAU18
2017-07-13,836.7915,836.7915,836.7915,836.7915,0.0,0.0,2018-09-26,PA,PAU18
2017-07-14,816.7085,816.7085,816.7085,816.7085,0.0,0.0,2018-09-26,PA,PAU18
2017-07-17,839.3313,839.3313,839.3313,839.3313,0.0,0.0,2018-09-26,PA,PAU18
2017-07-18,851.0819,851.0819,851.0819,851.0819,0.0,0.0,2018-09-26,PA,PAU18
2017-07-19,843.9328,843.9328,843.9328,843.9328,0.0,0.0,2018-09-26,PA,PAU18
2017-07-20,838.7004,838.7004,838.7004,838.7004,0.0,0.0,2018-09-26,PA,PAU18
2017-07-21,818.6555,818.6555,818.6555,818.6555,0.0,0.0,2018-09-26,PA,PAU18
2017-07-24,827.5788,827.5788,827.5788,827.5788,0.0,0.0,2018-09-26,PA,PAU18
2017-07-25,835.1925,835.1925,835.1925,835.1925,0.0,0.0,2018-09-26,PA,PAU18
2017-07-26,841.4564,841.4564,841.4564,841.4564,0.0,0.0,2018-09-26,PA,PAU18
2017-07-27,834.893,834.893,834.893,834.893,0.0,0.0,2018-09-26,PA,PAU18
2017-07-28,820.1989,820.1989,820.1989,820.1989,0.0,0.0,2018-09-26,PA,PAU18
2017-07-31,811.7509,811.7509,811.7509,811.7509,0.0,0.0,2018-09-26,PA,PAU18
2017-08-01,823.9272,823.9272,823.9272,823.9272,0.0,0.0,2018-09-26,PA,PAU18
2017-08-02,830.5186,830.5186,830.5186,830.5186,0.0,0.0,2018-09-26,PA,PAU18
2017-08-03,816.4828,816.4828,816.4828,816.4828,0.0,0.0,2018-09-26,PA,PAU18
2017-08-04,806.685,806.685,806.685,806.685,0.0,0.0,2018-09-26,PA,PAU18
2017-08-07,799.9088,799.9088,799.9088,799.9088,0.0,0.0,2018-09-26,PA,PAU18
2017-08-08,817.1868,817.1868,817.1868,817.1868,0.0,0.0,2018-09-26,PA,PAU18
