,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-07-27,694.6798,694.6798,694.6798,694.6798,0.0,0.0,2016-10-27,PA,PAV16
2016-07-28,674.6036,674.6036,674.6036,674.6036,0.0,0.0,2016-10-27,PA,PAV16
2016-07-29,662.5282,662.5282,662.5282,662.5282,15.0,0.0,2016-10-27,PA,PAV16
2016-08-01,648.0188,648.0188,648.0188,648.0188,0.0,0.0,2016-10-27,PA,PAV16
2016-08-02,632.4015,632.4015,632.4015,632.4015,0.0,0.0,2016-10-27,PA,PAV16
2016-08-03,654.4723,654.4723,654.4723,654.4723,0.0,0.0,2016-10-27,PA,PAV16
2016-08-04,643.2808,643.2808,643.2808,643.2808,0.0,0.0,2016-10-27,PA,PAV16
2016-08-05,664.7664,664.7664,664.7664,664.7664,0.0,0.0,2016-10-27,PA,PAV16
2016-08-08,664.8994,664.8994,664.8994,664.8994,12.0,10.0,2016-10-27,PA,PAV16
2016-08-09,664.6999,664.6999,664.6999,664.6999,0.0,12.0,2016-10-27,PA,PAV16
2016-08-10,686.7015,686.7015,686.7015,686.7015,0.0,10.0,2016-10-27,PA,PAV16
2016-08-11,697.8947,697.8947,697.8947,697.8947,0.0,11.0,2016-10-27,PA,PAV16
2016-08-12,711.5036,711.5036,711.5036,711.5036,2.0,10.0,2016-10-27,PA,PAV16
2016-08-15,713.4247,713.4247,713.4247,713.4247,0.0,10.0,2016-10-27,PA,PAV16
2016-08-16,701.5105,701.5105,701.5105,701.5105,0.0,9.0,2016-10-27,PA,PAV16
2016-08-17,695.1268,695.1268,695.1268,695.1268,6.0,17.0,2016-10-27,PA,PAV16
2016-08-18,683.5182,683.5182,683.5182,683.5182,6.0,9.0,2016-10-27,PA,PAV16
2016-08-19,663.9696,663.9696,663.9696,663.9696,0.0,9.0,2016-10-27,PA,PAV16
2016-08-22,647.3704,647.3704,647.3704,647.3704,0.0,9.0,2016-10-27,PA,PAV16
2016-08-23,653.1967,653.1967,653.1967,653.1967,0.0,12.0,2016-10-27,PA,PAV16
2016-08-24,650.8452,650.8452,650.8452,650.8452,7.0,11.0,2016-10-27,PA,PAV16
2016-08-25,660.0872,660.0872,660.0872,660.0872,1.0,13.0,2016-10-27,PA,PAV16
2016-08-26,645.4993,645.4993,645.4993,645.4993,0.0,12.0,2016-10-27,PA,PAV16
2016-08-29,663.5733,663.5733,663.5733,663.5733,6.0,14.0,2016-10-27,PA,PAV16
2016-08-30,649.7046,649.7046,649.7046,649.7046,5.0,12.0,2016-10-27,PA,PAV16
2016-08-31,630.5383,630.5383,630.5383,630.5383,7.0,12.0,2016-10-27,PA,PAV16
2016-09-01,628.8989,628.8989,628.8989,628.8989,4.0,13.0,2016-10-27,PA,PAV16
2016-09-02,641.0995,641.0995,641.0995,641.0995,2.0,14.0,2016-10-27,PA,PAV16
2016-09-06,653.5368,653.5368,653.5368,653.5368,3.0,14.0,2016-10-27,PA,PAV16
2016-09-07,639.0283,639.0283,639.0283,639.0283,5.0,10.0,2016-10-27,PA,PAV16
2016-09-08,656.2182,656.2182,656.2182,656.2182,2.0,11.0,2016-10-27,PA,PAV16
2016-09-09,634.7599,634.7599,634.7599,634.7599,0.0,12.0,2016-10-27,PA,PAV16
2016-09-12,637.2989,637.2989,637.2989,637.2989,1.0,8.0,2016-10-27,PA,PAV16
2016-09-13,625.8275,625.8275,625.8275,625.8275,0.0,9.0,2016-10-27,PA,PAV16
2016-09-14,607.4908,607.4908,607.4908,607.4908,0.0,8.0,2016-10-27,PA,PAV16
2016-09-15,606.8833,606.8833,606.8833,606.8833,0.0,12.0,2016-10-27,PA,PAV16
2016-09-16,601.482,601.482,601.482,601.482,4.0,5.0,2016-10-27,PA,PAV16
2016-09-19,599.6776,599.6776,599.6776,599.6776,0.0,7.0,2016-10-27,PA,PAV16
2016-09-20,582.5868,582.5868,582.5868,582.5868,0.0,5.0,2016-10-27,PA,PAV16
2016-09-21,595.2289,595.2289,595.2289,595.2289,1.0,6.0,2016-10-27,PA,PAV16
2016-09-22,583.4434,583.4434,583.4434,583.4434,3.0,7.0,2016-10-27,PA,PAV16
2016-09-23,569.7908,569.7908,569.7908,569.7908,2.0,7.0,2016-10-27,PA,PAV16
2016-09-26,581.0157,581.0157,581.0157,581.0157,4.0,5.0,2016-10-27,PA,PAV16
2016-09-27,566.9551,566.9551,566.9551,566.9551,4.0,4.0,2016-10-27,PA,PAV16
2016-09-28,547.9621,547.9621,547.9621,547.9621,2.0,3.0,2016-10-27,PA,PAV16
2016-09-29,565.1133,565.1133,565.1133,565.1133,0.0,3.0,2016-10-27,PA,PAV16
2016-09-30,546.0125,546.0125,546.0125,546.0125,0.0,3.0,2016-10-27,PA,PAV16
2016-10-03,558.6254,558.6254,558.6254,558.6254,0.0,3.0,2016-10-27,PA,PAV16
2016-10-04,568.8482,568.8482,568.8482,568.8482,1.0,3.0,2016-10-27,PA,PAV16
2016-10-05,553.7737,553.7737,553.7737,553.7737,0.0,2.0,2016-10-27,PA,PAV16
2016-10-06,570.6084,570.6084,570.6084,570.6084,0.0,2.0,2016-10-27,PA,PAV16
2016-10-07,571.8637,571.8637,571.8637,571.8637,0.0,2.0,2016-10-27,PA,PAV16
2016-10-10,564.1435,564.1435,564.1435,564.1435,0.0,2.0,2016-10-27,PA,PAV16
2016-10-11,575.8213,575.8213,575.8213,575.8213,0.0,2.0,2016-10-27,PA,PAV16
2016-10-12,561.944,561.944,561.944,561.944,0.0,2.0,2016-10-27,PA,PAV16
2016-10-13,554.1892,554.1892,554.1892,554.1892,0.0,2.0,2016-10-27,PA,PAV16
2016-10-14,540.667,540.667,540.667,540.667,0.0,2.0,2016-10-27,PA,PAV16
2016-10-17,536.9905,536.9905,536.9905,536.9905,0.0,2.0,2016-10-27,PA,PAV16
2016-10-18,543.1659,543.1659,543.1659,543.1659,0.0,2.0,2016-10-27,PA,PAV16
2016-10-19,534.6925,534.6925,534.6925,534.6925,0.0,2.0,2016-10-27,PA,PAV16
2016-10-20,535.4411,535.4411,535.4411,535.4411,0.0,2.0,2016-10-27,PA,PAV16
2016-10-21,552.7894,552.7894,552.7894,552.7894,0.0,2.0,2016-10-27,PA,PAV16
2016-10-24,550.9099,550.9099,550.9099,550.9099,0.0,2.0,2016-10-27,PA,PAV16
2016-10-25,544.5744,544.5744,544.5744,544.5744,0.0,2.0,2016-10-27,PA,PAV16
2016-10-26,562.8176,562.8176,562.8176,562.8176,0.0,2.0,2016-10-27,PA,PAV16
2016-10-27,559.6095,559.6095,559.6095,559.6095,0.0,2.0,2016-10-27,PA,PAV16
