,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-08-29,676.5861,676.5861,676.5861,676.5861,0.0,0.0,2016-11-28,PA,PAX16
2016-08-30,700.4019,700.4019,700.4019,700.4019,0.0,0.0,2016-11-28,PA,PAX16
2016-08-31,708.7367,708.7367,708.7367,708.7367,0.0,0.0,2016-11-28,PA,PAX16
2016-09-01,717.8085,717.8085,717.8085,717.8085,0.0,0.0,2016-11-28,PA,PAX16
2016-09-02,709.769,709.769,709.769,709.769,0.0,0.0,2016-11-28,PA,PAX16
2016-09-06,703.594,703.594,703.594,703.594,0.0,0.0,2016-11-28,PA,PAX16
2016-09-07,691.7033,691.7033,691.7033,691.7033,1.0,1.0,2016-11-28,PA,PAX16
2016-09-08,668.6696,668.6696,668.6696,668.6696,1.0,1.0,2016-11-28,PA,PAX16
2016-09-09,688.6628,688.6628,688.6628,688.6628,0.0,1.0,2016-11-28,PA,PAX16
2016-09-12,700.3701,700.3701,700.3701,700.3701,0.0,1.0,2016-11-28,PA,PAX16
2016-09-13,711.4359,711.4359,711.4359,711.4359,0.0,1.0,2016-11-28,PA,PAX16
2016-09-14,718.1945,718.1945,718.1945,718.1945,0.0,1.0,2016-11-28,PA,PAX16
2016-09-15,720.8518,720.8518,720.8518,720.8518,0.0,1.0,2016-11-28,PA,PAX16
2016-09-16,721.7168,721.7168,721.7168,721.7168,0.0,1.0,2016-11-28,PA,PAX16
2016-09-19,739.3989,739.3989,739.3989,739.3989,0.0,1.0,2016-11-28,PA,PAX16
2016-09-20,751.0075,751.0075,751.0075,751.0075,1.0,2.0,2016-11-28,PA,PAX16
2016-09-21,757.1658,757.1658,757.1658,757.1658,13.0,2.0,2016-11-28,PA,PAX16
2016-09-22,734.6023,734.6023,734.6023,734.6023,1.0,1.0,2016-11-28,PA,PAX16
2016-09-23,718.8818,718.8818,718.8818,718.8818,0.0,1.0,2016-11-28,PA,PAX16
2016-09-26,729.4494,729.4494,729.4494,729.4494,1.0,1.0,2016-11-28,PA,PAX16
2016-09-27,729.8871,729.8871,729.8871,729.8871,0.0,1.0,2016-11-28,PA,PAX16
2016-09-28,746.3096,746.3096,746.3096,746.3096,2.0,2.0,2016-11-28,PA,PAX16
2016-09-29,765.8629,765.8629,765.8629,765.8629,0.0,3.0,2016-11-28,PA,PAX16
2016-09-30,790.1408,790.1408,790.1408,790.1408,0.0,3.0,2016-11-28,PA,PAX16
2016-10-03,762.1698,762.1698,762.1698,762.1698,0.0,2.0,2016-11-28,PA,PAX16
2016-10-04,756.3011,756.3011,756.3011,756.3011,0.0,3.0,2016-11-28,PA,PAX16
2016-10-05,750.4776,750.4776,750.4776,750.4776,2.0,3.0,2016-11-28,PA,PAX16
2016-10-06,726.7625,726.7625,726.7625,726.7625,1.0,2.0,2016-11-28,PA,PAX16
2016-10-07,716.2971,716.2971,716.2971,716.2971,0.0,2.0,2016-11-28,PA,PAX16
2016-10-10,726.3253,726.3253,726.3253,726.3253,0.0,2.0,2016-11-28,PA,PAX16
