,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-09-28,700.2432,700.2432,700.2432,700.2432,0.0,0.0,2017-12-27,PA,PAZ17
2016-09-29,688.9693,688.9693,688.9693,688.9693,0.0,0.0,2017-12-27,PA,PAZ17
2016-09-30,675.6033,675.6033,675.6033,675.6033,0.0,0.0,2017-12-27,PA,PAZ17
2016-10-03,688.3046,688.3046,688.3046,688.3046,0.0,0.0,2017-12-27,PA,PAZ17
2016-10-04,689.4059,689.4059,689.4059,689.4059,0.0,0.0,2017-12-27,PA,PAZ17
2016-10-05,672.998,672.998,672.998,672.998,0.0,0.0,2017-12-27,PA,PAZ17
2016-10-06,655.1636,655.1636,655.1636,655.1636,0.0,0.0,2017-12-27,PA,PAZ17
2016-10-07,666.0393,666.0393,666.0393,666.0393,0.0,0.0,2017-12-27,PA,PAZ17
2016-10-10,651.453,651.453,651.453,651.453,0.0,0.0,2017-12-27,PA,PAZ17
2016-10-11,655.036,655.036,655.036,655.036,0.0,0.0,2017-12-27,PA,PAZ17
2016-10-12,666.4991,666.4991,666.4991,666.4991,0.0,0.0,2017-12-27,PA,PAZ17
2016-10-13,663.1666,663.1666,663.1666,663.1666,0.0,0.0,2017-12-27,PA,PAZ17
2016-10-14,673.8436,673.8436,673.8436,673.8436,0.0,0.0,2017-12-27,PA,PAZ17
2016-10-17,660.5015,660.5015,660.5015,660.5015,0.0,0.0,2017-12-27,PA,PAZ17
2016-10-18,648.8106,648.8106,648.8106,648.8106,0.0,0.0,2017-12-27,PA,PAZ17
2016-10-19,652.0547,652.0547,652.0547,652.0547,0.0,0.0,2017-12-27,PA,PAZ17
2016-10-20,657.0755,657.0755,657.0755,657.0755,0.0,0.0,2017-12-27,PA,PAZ17
2016-10-21,662.2007,662.2007,662.2007,662.2007,0.0,0.0,2017-12-27,PA,PAZ17
2016-10-24,648.3607,648.3607,648.3607,648.3607,0.0,0.0,2017-12-27,PA,PAZ17
2016-10-25,638.5705,638.5705,638.5705,638.5705,0.0,0.0,2017-12-27,PA,PAZ17
2016-10-26,646.3611,646.3611,646.3611,646.3611,0.0,0.0,2017-12-27,PA,PAZ17
2016-10-27,655.6687,655.6687,655.6687,655.6687,0.0,0.0,2017-12-27,PA,PAZ17
2016-10-28,646.686,646.686,646.686,646.686,0.0,0.0,2017-12-27,PA,PAZ17
2016-10-31,640.4778,640.4778,640.4778,640.4778,0.0,0.0,2017-12-27,PA,PAZ17
2016-11-01,642.4633,642.4633,642.4633,642.4633,0.0,0.0,2017-12-27,PA,PAZ17
2016-11-02,651.1366,651.1366,651.1366,651.1366,0.0,0.0,2017-12-27,PA,PAZ17
2016-11-03,631.863,631.863,631.863,631.863,0.0,0.0,2017-12-27,PA,PAZ17
2016-11-04,646.5222,646.5222,646.5222,646.5222,0.0,0.0,2017-12-27,PA,PAZ17
2016-11-07,628.4196,628.4196,628.4196,628.4196,0.0,0.0,2017-12-27,PA,PAZ17
2016-11-08,619.7474,619.7474,619.7474,619.7474,0.0,0.0,2017-12-27,PA,PAZ17
2016-11-09,610.1413,610.1413,610.1413,610.1413,0.0,0.0,2017-12-27,PA,PAZ17
2016-11-10,600.6231,600.6231,600.6231,600.6231,0.0,0.0,2017-12-27,PA,PAZ17
2016-11-11,600.8633,600.8633,600.8633,600.8633,0.0,0.0,2017-12-27,PA,PAZ17
2016-11-14,610.7175,610.7175,610.7175,610.7175,0.0,0.0,2017-12-27,PA,PAZ17
2016-11-15,619.2065,619.2065,619.2065,619.2065,0.0,0.0,2017-12-27,PA,PAZ17
2016-11-16,628.8661,628.8661,628.8661,628.8661,0.0,0.0,2017-12-27,PA,PAZ17
2016-11-17,615.9743,615.9743,615.9743,615.9743,0.0,0.0,2017-12-27,PA,PAZ17
2016-11-18,629.8953,629.8953,629.8953,629.8953,0.0,0.0,2017-12-27,PA,PAZ17
2016-11-21,637.3281,637.3281,637.3281,637.3281,0.0,0.0,2017-12-27,PA,PAZ17
2016-11-22,650.9669,650.9669,650.9669,650.9669,0.0,0.0,2017-12-27,PA,PAZ17
2016-11-23,663.9862,663.9862,663.9862,663.9862,0.0,0.0,2017-12-27,PA,PAZ17
2016-11-25,682.5778,682.5778,682.5778,682.5778,0.0,0.0,2017-12-27,PA,PAZ17
2016-11-28,679.8475,679.8475,679.8475,679.8475,0.0,0.0,2017-12-27,PA,PAZ17
2016-11-29,690.0452,690.0452,690.0452,690.0452,0.0,0.0,2017-12-27,PA,PAZ17
2016-11-30,708.6074,708.6074,708.6074,708.6074,0.0,0.0,2017-12-27,PA,PAZ17
2016-12-01,720.3703,720.3703,720.3703,720.3703,0.0,0.0,2017-12-27,PA,PAZ17
2016-12-02,730.0953,730.0953,730.0953,730.0953,0.0,0.0,2017-12-27,PA,PAZ17
2016-12-05,740.9737,740.9737,740.9737,740.9737,0.0,0.0,2017-12-27,PA,PAZ17
2016-12-06,748.3834,748.3834,748.3834,748.3834,0.0,0.0,2017-12-27,PA,PAZ17
2016-12-07,742.9202,742.9202,742.9202,742.9202,0.0,0.0,2017-12-27,PA,PAZ17
2016-12-08,756.2928,756.2928,756.2928,756.2928,0.0,0.0,2017-12-27,PA,PAZ17
2016-12-09,767.6372,767.6372,767.6372,767.6372,0.0,0.0,2017-12-27,PA,PAZ17
2016-12-12,785.5231,785.5231,785.5231,785.5231,0.0,0.0,2017-12-27,PA,PAZ17
2016-12-13,788.5081,788.5081,788.5081,788.5081,0.0,0.0,2017-12-27,PA,PAZ17
2016-12-14,772.9745,772.9745,772.9745,772.9745,0.0,0.0,2017-12-27,PA,PAZ17
2016-12-15,772.4334,772.4334,772.4334,772.4334,0.0,0.0,2017-12-27,PA,PAZ17
2016-12-16,771.661,771.661,771.661,771.661,0.0,0.0,2017-12-27,PA,PAZ17
2016-12-19,770.5807,770.5807,770.5807,770.5807,0.0,0.0,2017-12-27,PA,PAZ17
2016-12-20,777.4389,777.4389,777.4389,777.4389,0.0,0.0,2017-12-27,PA,PAZ17
2016-12-21,789.0227,789.0227,789.0227,789.0227,0.0,0.0,2017-12-27,PA,PAZ17
2016-12-22,803.6196,803.6196,803.6196,803.6196,0.0,0.0,2017-12-27,PA,PAZ17
2016-12-23,782.5648,782.5648,782.5648,782.5648,0.0,0.0,2017-12-27,PA,PAZ17
2016-12-27,782.2518,782.2518,782.2518,782.2518,0.0,0.0,2017-12-27,PA,PAZ17
2016-12-28,762.7737,762.7737,762.7737,762.7737,0.0,0.0,2017-12-27,PA,PAZ17
2016-12-29,754.6883,754.6883,754.6883,754.6883,0.0,0.0,2017-12-27,PA,PAZ17
2016-12-30,755.6694,755.6694,755.6694,755.6694,0.0,0.0,2017-12-27,PA,PAZ17
2017-01-03,734.7374,734.7374,734.7374,734.7374,0.0,0.0,2017-12-27,PA,PAZ17
2017-01-04,754.7223,754.7223,754.7223,754.7223,0.0,0.0,2017-12-27,PA,PAZ17
2017-01-05,750.7977,750.7977,750.7977,750.7977,0.0,0.0,2017-12-27,PA,PAZ17
2017-01-06,742.9894,742.9894,742.9894,742.9894,0.0,0.0,2017-12-27,PA,PAZ17
2017-01-09,723.8946,723.8946,723.8946,723.8946,1.0,1.0,2017-12-27,PA,PAZ17
2017-01-10,714.5564,714.5564,714.5564,714.5564,0.0,1.0,2017-12-27,PA,PAZ17
2017-01-11,704.6955,704.6955,704.6955,704.6955,0.0,1.0,2017-12-27,PA,PAZ17
2017-01-12,717.0277,717.0277,717.0277,717.0277,0.0,1.0,2017-12-27,PA,PAZ17
2017-01-13,699.6039,699.6039,699.6039,699.6039,0.0,1.0,2017-12-27,PA,PAZ17
2017-01-17,710.4478,710.4478,710.4478,710.4478,0.0,1.0,2017-12-27,PA,PAZ17
2017-01-18,722.5965,722.5965,722.5965,722.5965,0.0,1.0,2017-12-27,PA,PAZ17
2017-01-19,710.1678,710.1678,710.1678,710.1678,0.0,1.0,2017-12-27,PA,PAZ17
2017-01-20,709.1025,709.1025,709.1025,709.1025,0.0,1.0,2017-12-27,PA,PAZ17
2017-01-23,713.5698,713.5698,713.5698,713.5698,0.0,1.0,2017-12-27,PA,PAZ17
2017-01-24,701.011,701.011,701.011,701.011,0.0,1.0,2017-12-27,PA,PAZ17
2017-01-25,702.5532,702.5532,702.5532,702.5532,0.0,1.0,2017-12-27,PA,PAZ17
2017-01-26,712.8105,712.8105,712.8105,712.8105,0.0,1.0,2017-12-27,PA,PAZ17
2017-01-27,724.0729,724.0729,724.0729,724.0729,0.0,1.0,2017-12-27,PA,PAZ17
2017-01-30,737.6855,737.6855,737.6855,737.6855,0.0,1.0,2017-12-27,PA,PAZ17
2017-01-31,724.6285,724.6285,724.6285,724.6285,0.0,1.0,2017-12-27,PA,PAZ17
2017-02-01,739.8457,739.8457,739.8457,739.8457,0.0,1.0,2017-12-27,PA,PAZ17
2017-02-02,734.8887,734.8887,734.8887,734.8887,0.0,1.0,2017-12-27,PA,PAZ17
2017-02-03,747.3083,747.3083,747.3083,747.3083,0.0,1.0,2017-12-27,PA,PAZ17
2017-02-06,754.5572,754.5572,754.5572,754.5572,0.0,1.0,2017-12-27,PA,PAZ17
2017-02-07,767.3092,767.3092,767.3092,767.3092,0.0,1.0,2017-12-27,PA,PAZ17
2017-02-08,779.5094,779.5094,779.5094,779.5094,0.0,1.0,2017-12-27,PA,PAZ17
2017-02-09,789.5651,789.5651,789.5651,789.5651,0.0,1.0,2017-12-27,PA,PAZ17
2017-02-10,778.0374,778.0374,778.0374,778.0374,0.0,1.0,2017-12-27,PA,PAZ17
2017-02-13,798.2664,798.2664,798.2664,798.2664,0.0,1.0,2017-12-27,PA,PAZ17
2017-02-14,776.2342,776.2342,776.2342,776.2342,0.0,1.0,2017-12-27,PA,PAZ17
2017-02-15,785.0056,785.0056,785.0056,785.0056,0.0,1.0,2017-12-27,PA,PAZ17
2017-02-16,777.548,777.548,777.548,777.548,0.0,1.0,2017-12-27,PA,PAZ17
2017-02-17,783.2241,783.2241,783.2241,783.2241,0.0,1.0,2017-12-27,PA,PAZ17
2017-02-21,760.119,760.119,760.119,760.119,0.0,1.0,2017-12-27,PA,PAZ17
2017-02-22,758.6748,758.6748,758.6748,758.6748,0.0,1.0,2017-12-27,PA,PAZ17
2017-02-23,763.9855,763.9855,763.9855,763.9855,0.0,1.0,2017-12-27,PA,PAZ17
2017-02-24,742.4411,742.4411,742.4411,742.4411,0.0,1.0,2017-12-27,PA,PAZ17
2017-02-27,746.0791,746.0791,746.0791,746.0791,0.0,1.0,2017-12-27,PA,PAZ17
2017-02-28,732.0528,732.0528,732.0528,732.0528,0.0,1.0,2017-12-27,PA,PAZ17
2017-03-01,725.7571,725.7571,725.7571,725.7571,0.0,1.0,2017-12-27,PA,PAZ17
2017-03-02,732.1438,732.1438,732.1438,732.1438,0.0,1.0,2017-12-27,PA,PAZ17
2017-03-03,722.6259,722.6259,722.6259,722.6259,0.0,1.0,2017-12-27,PA,PAZ17
2017-03-06,704.1989,704.1989,704.1989,704.1989,0.0,1.0,2017-12-27,PA,PAZ17
2017-03-07,696.8752,696.8752,696.8752,696.8752,0.0,1.0,2017-12-27,PA,PAZ17
2017-03-08,717.1543,717.1543,717.1543,717.1543,0.0,1.0,2017-12-27,PA,PAZ17
2017-03-09,699.9426,699.9426,699.9426,699.9426,0.0,1.0,2017-12-27,PA,PAZ17
2017-03-10,713.9415,713.9415,713.9415,713.9415,0.0,1.0,2017-12-27,PA,PAZ17
2017-03-13,720.2242,720.2242,720.2242,720.2242,0.0,1.0,2017-12-27,PA,PAZ17
2017-03-14,716.5511,716.5511,716.5511,716.5511,0.0,1.0,2017-12-27,PA,PAZ17
2017-03-15,706.9493,706.9493,706.9493,706.9493,0.0,1.0,2017-12-27,PA,PAZ17
2017-03-16,687.9324,687.9324,687.9324,687.9324,0.0,1.0,2017-12-27,PA,PAZ17
2017-03-17,705.6123,705.6123,705.6123,705.6123,0.0,1.0,2017-12-27,PA,PAZ17
2017-03-20,691.9234,691.9234,691.9234,691.9234,0.0,1.0,2017-12-27,PA,PAZ17
2017-03-21,692.5461,692.5461,692.5461,692.5461,22.0,28.0,2017-12-27,PA,PAZ17
2017-03-22,704.4579,704.4579,704.4579,704.4579,0.0,27.0,2017-12-27,PA,PAZ17
2017-03-23,719.6037,719.6037,719.6037,719.6037,0.0,27.0,2017-12-27,PA,PAZ17
2017-03-24,708.3779,708.3779,708.3779,708.3779,0.0,30.0,2017-12-27,PA,PAZ17
2017-03-27,698.2481,698.2481,698.2481,698.2481,0.0,26.0,2017-12-27,PA,PAZ17
2017-03-28,683.934,683.934,683.934,683.934,0.0,25.0,2017-12-27,PA,PAZ17
