,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-10-27,966.5891,966.5891,966.5891,966.5891,0.0,0.0,2019-01-29,PL,PLF19
2017-10-30,958.3731,958.3731,958.3731,958.3731,0.0,0.0,2019-01-29,PL,PLF19
2017-10-31,958.6606,958.6606,958.6606,958.6606,0.0,0.0,2019-01-29,PL,PLF19
2017-11-01,963.6456,963.6456,963.6456,963.6456,0.0,0.0,2019-01-29,PL,PLF19
2017-11-02,967.1147,967.1147,967.1147,967.1147,1.0,1.0,2019-01-29,PL,PLF19
2017-11-03,953.3817,953.3817,953.3817,953.3817,0.0,1.0,2019-01-29,PL,PLF19
2017-11-06,946.136,946.136,946.136,946.136,0.0,1.0,2019-01-29,PL,PLF19
2017-11-07,955.3135,955.3135,955.3135,955.3135,0.0,1.0,2019-01-29,PL,PLF19
2017-11-08,974.8019,974.8019,974.8019,974.8019,0.0,1.0,2019-01-29,PL,PLF19
2017-11-09,952.6739,952.6739,952.6739,952.6739,0.0,1.0,2019-01-29,PL,PLF19
2017-11-10,947.4342,947.4342,947.4342,947.4342,0.0,1.0,2019-01-29,PL,PLF19
2017-11-13,951.6029,951.6029,951.6029,951.6029,0.0,1.0,2019-01-29,PL,PLF19
2017-11-14,951.0319,951.0319,951.0319,951.0319,0.0,1.0,2019-01-29,PL,PLF19
2017-11-15,967.2945,967.2945,967.2945,967.2945,0.0,1.0,2019-01-29,PL,PLF19
2017-11-16,989.2521,989.2521,989.2521,989.2521,0.0,1.0,2019-01-29,PL,PLF19
2017-11-17,992.8134,992.8134,992.8134,992.8134,0.0,1.0,2019-01-29,PL,PLF19
2017-11-20,1002.4437,1002.4437,1002.4437,1002.4437,0.0,1.0,2019-01-29,PL,PLF19
2017-11-21,981.6931,981.6931,981.6931,981.6931,0.0,1.0,2019-01-29,PL,PLF19
2017-11-22,983.0675,983.0675,983.0675,983.0675,0.0,1.0,2019-01-29,PL,PLF19
2017-11-24,974.908,974.908,974.908,974.908,0.0,1.0,2019-01-29,PL,PLF19
2017-11-27,983.9746,983.9746,983.9746,983.9746,0.0,1.0,2019-01-29,PL,PLF19
2017-11-28,970.4941,970.4941,970.4941,970.4941,0.0,1.0,2019-01-29,PL,PLF19
2017-11-29,950.8901,950.8901,950.8901,950.8901,0.0,1.0,2019-01-29,PL,PLF19
2017-11-30,970.3833,970.3833,970.3833,970.3833,0.0,1.0,2019-01-29,PL,PLF19
2017-12-01,955.7305,955.7305,955.7305,955.7305,0.0,1.0,2019-01-29,PL,PLF19
2017-12-04,941.5857,941.5857,941.5857,941.5857,0.0,1.0,2019-01-29,PL,PLF19
2017-12-05,947.3294,947.3294,947.3294,947.3294,0.0,1.0,2019-01-29,PL,PLF19
2017-12-06,949.2241,949.2241,949.2241,949.2241,0.0,1.0,2019-01-29,PL,PLF19
2017-12-07,933.8467,933.8467,933.8467,933.8467,0.0,1.0,2019-01-29,PL,PLF19
2017-12-08,949.1618,949.1618,949.1618,949.1618,0.0,1.0,2019-01-29,PL,PLF19
2017-12-11,962.545,962.545,962.545,962.545,0.0,1.0,2019-01-29,PL,PLF19
2017-12-12,969.7641,969.7641,969.7641,969.7641,1.0,2.0,2019-01-29,PL,PLF19
2017-12-13,967.6306,967.6306,967.6306,967.6306,0.0,2.0,2019-01-29,PL,PLF19
2017-12-14,952.9226,952.9226,952.9226,952.9226,0.0,2.0,2019-01-29,PL,PLF19
2017-12-15,953.9708,953.9708,953.9708,953.9708,0.0,2.0,2019-01-29,PL,PLF19
2017-12-18,936.0361,936.0361,936.0361,936.0361,1.0,3.0,2019-01-29,PL,PLF19
2017-12-19,945.6773,945.6773,945.6773,945.6773,1.0,4.0,2019-01-29,PL,PLF19
2017-12-20,946.623,946.623,946.623,946.623,0.0,3.0,2019-01-29,PL,PLF19
2017-12-21,952.8707,952.8707,952.8707,952.8707,0.0,4.0,2019-01-29,PL,PLF19
2017-12-22,959.8267,959.8267,959.8267,959.8267,0.0,4.0,2019-01-29,PL,PLF19
2017-12-26,958.195,958.195,958.195,958.195,0.0,3.0,2019-01-29,PL,PLF19
2017-12-27,968.831,968.831,968.831,968.831,0.0,3.0,2019-01-29,PL,PLF19
2017-12-28,966.2152,966.2152,966.2152,966.2152,0.0,3.0,2019-01-29,PL,PLF19
2017-12-29,944.6686,944.6686,944.6686,944.6686,0.0,4.0,2019-01-29,PL,PLF19
2018-01-02,948.3528,948.3528,948.3528,948.3528,0.0,4.0,2019-01-29,PL,PLF19
2018-01-03,931.567,931.567,931.567,931.567,3.0,4.0,2019-01-29,PL,PLF19
2018-01-04,942.5595,942.5595,942.5595,942.5595,0.0,4.0,2019-01-29,PL,PLF19
2018-01-05,933.5109,933.5109,933.5109,933.5109,1.0,4.0,2019-01-29,PL,PLF19
2018-01-08,919.975,919.975,919.975,919.975,0.0,5.0,2019-01-29,PL,PLF19
2018-01-09,932.3947,932.3947,932.3947,932.3947,0.0,6.0,2019-01-29,PL,PLF19
2018-01-10,915.1454,915.1454,915.1454,915.1454,2.0,5.0,2019-01-29,PL,PLF19
2018-01-11,930.5198,930.5198,930.5198,930.5198,0.0,6.0,2019-01-29,PL,PLF19
2018-01-12,947.2692,947.2692,947.2692,947.2692,0.0,6.0,2019-01-29,PL,PLF19
2018-01-16,968.0144,968.0144,968.0144,968.0144,0.0,7.0,2019-01-29,PL,PLF19
2018-01-17,947.8797,947.8797,947.8797,947.8797,0.0,6.0,2019-01-29,PL,PLF19
2018-01-18,932.4293,932.4293,932.4293,932.4293,0.0,6.0,2019-01-29,PL,PLF19
2018-01-19,949.8657,949.8657,949.8657,949.8657,0.0,7.0,2019-01-29,PL,PLF19
2018-01-22,959.3644,959.3644,959.3644,959.3644,0.0,7.0,2019-01-29,PL,PLF19
2018-01-23,944.3983,944.3983,944.3983,944.3983,0.0,5.0,2019-01-29,PL,PLF19
2018-01-24,929.8546,929.8546,929.8546,929.8546,0.0,7.0,2019-01-29,PL,PLF19
2018-01-25,939.804,939.804,939.804,939.804,2.0,7.0,2019-01-29,PL,PLF19
2018-01-26,950.0479,950.0479,950.0479,950.0479,0.0,6.0,2019-01-29,PL,PLF19
2018-01-29,971.044,971.044,971.044,971.044,0.0,6.0,2019-01-29,PL,PLF19
2018-01-30,992.3099,992.3099,992.3099,992.3099,0.0,6.0,2019-01-29,PL,PLF19
2018-01-31,972.4637,972.4637,972.4637,972.4637,0.0,6.0,2019-01-29,PL,PLF19
2018-02-01,967.4069,967.4069,967.4069,967.4069,12.0,8.0,2019-01-29,PL,PLF19
2018-02-02,978.919,978.919,978.919,978.919,0.0,9.0,2019-01-29,PL,PLF19
2018-02-05,962.2774,962.2774,962.2774,962.2774,0.0,8.0,2019-01-29,PL,PLF19
2018-02-06,962.1812,962.1812,962.1812,962.1812,0.0,6.0,2019-01-29,PL,PLF19
2018-02-07,946.0166,946.0166,946.0166,946.0166,0.0,8.0,2019-01-29,PL,PLF19
2018-02-08,946.4896,946.4896,946.4896,946.4896,0.0,7.0,2019-01-29,PL,PLF19
2018-02-09,964.5676,964.5676,964.5676,964.5676,0.0,9.0,2019-01-29,PL,PLF19
2018-02-12,962.3491,962.3491,962.3491,962.3491,3.0,10.0,2019-01-29,PL,PLF19
2018-02-13,972.55,972.55,972.55,972.55,2.0,12.0,2019-01-29,PL,PLF19
2018-02-14,971.4802,971.4802,971.4802,971.4802,0.0,11.0,2019-01-29,PL,PLF19
2018-02-15,981.2922,981.2922,981.2922,981.2922,2.0,11.0,2019-01-29,PL,PLF19
2018-02-16,997.7779,997.7779,997.7779,997.7779,4.0,13.0,2019-01-29,PL,PLF19
2018-02-20,987.1017,987.1017,987.1017,987.1017,0.0,12.0,2019-01-29,PL,PLF19
2018-02-21,978.4152,978.4152,978.4152,978.4152,0.0,12.0,2019-01-29,PL,PLF19
2018-02-22,963.8368,963.8368,963.8368,963.8368,0.0,12.0,2019-01-29,PL,PLF19
2018-02-23,980.3184,980.3184,980.3184,980.3184,0.0,13.0,2019-01-29,PL,PLF19
2018-02-26,981.0046,981.0046,981.0046,981.0046,6.0,12.0,2019-01-29,PL,PLF19
2018-02-27,980.7103,980.7103,980.7103,980.7103,7.0,12.0,2019-01-29,PL,PLF19
2018-02-28,981.1026,981.1026,981.1026,981.1026,1.0,9.0,2019-01-29,PL,PLF19
2018-03-01,968.4464,968.4464,968.4464,968.4464,16.0,11.0,2019-01-29,PL,PLF19
2018-03-02,984.3289,984.3289,984.3289,984.3289,0.0,14.0,2019-01-29,PL,PLF19
2018-03-05,992.6957,992.6957,992.6957,992.6957,0.0,11.0,2019-01-29,PL,PLF19
2018-03-06,997.1628,997.1628,997.1628,997.1628,0.0,13.0,2019-01-29,PL,PLF19
2018-03-07,984.1997,984.1997,984.1997,984.1997,6.0,17.0,2019-01-29,PL,PLF19
2018-03-08,976.8182,976.8182,976.8182,976.8182,0.0,13.0,2019-01-29,PL,PLF19
2018-03-09,974.6692,974.6692,974.6692,974.6692,2.0,17.0,2019-01-29,PL,PLF19
2018-03-12,971.7452,971.7452,971.7452,971.7452,0.0,17.0,2019-01-29,PL,PLF19
2018-03-13,982.3372,982.3372,982.3372,982.3372,0.0,18.0,2019-01-29,PL,PLF19
2018-03-14,974.7732,974.7732,974.7732,974.7732,0.0,19.0,2019-01-29,PL,PLF19
2018-03-15,990.1746,990.1746,990.1746,990.1746,0.0,17.0,2019-01-29,PL,PLF19
2018-03-16,1002.7498,1002.7498,1002.7498,1002.7498,0.0,18.0,2019-01-29,PL,PLF19
2018-03-19,1005.6578,1005.6578,1005.6578,1005.6578,0.0,19.0,2019-01-29,PL,PLF19
2018-03-20,992.3831,992.3831,992.3831,992.3831,0.0,15.0,2019-01-29,PL,PLF19
2018-03-21,981.1692,981.1692,981.1692,981.1692,1.0,21.0,2019-01-29,PL,PLF19
2018-03-22,1000.1058,1000.1058,1000.1058,1000.1058,2.0,16.0,2019-01-29,PL,PLF19
2018-03-23,983.6041,983.6041,983.6041,983.6041,2.0,15.0,2019-01-29,PL,PLF19
2018-03-26,975.5385,975.5385,975.5385,975.5385,0.0,15.0,2019-01-29,PL,PLF19
2018-03-27,990.6593,990.6593,990.6593,990.6593,3.0,20.0,2019-01-29,PL,PLF19
2018-03-28,993.7303,993.7303,993.7303,993.7303,26.0,28.0,2019-01-29,PL,PLF19
2018-03-29,982.998,982.998,982.998,982.998,17.0,28.0,2019-01-29,PL,PLF19
2018-04-02,961.5686,961.5686,961.5686,961.5686,1.0,28.0,2019-01-29,PL,PLF19
2018-04-03,952.3375,952.3375,952.3375,952.3375,5.0,32.0,2019-01-29,PL,PLF19
2018-04-04,961.7656,961.7656,961.7656,961.7656,11.0,43.0,2019-01-29,PL,PLF19
2018-04-05,954.0715,954.0715,954.0715,954.0715,12.0,41.0,2019-01-29,PL,PLF19
2018-04-06,972.9621,972.9621,972.9621,972.9621,10.0,60.0,2019-01-29,PL,PLF19
2018-04-09,962.3568,962.3568,962.3568,962.3568,1.0,43.0,2019-01-29,PL,PLF19
2018-04-10,962.6455,962.6455,962.6455,962.6455,0.0,59.0,2019-01-29,PL,PLF19
2018-04-11,963.0306,963.0306,963.0306,963.0306,3.0,53.0,2019-01-29,PL,PLF19
2018-04-12,950.7038,950.7038,950.7038,950.7038,2.0,49.0,2019-01-29,PL,PLF19
2018-04-13,942.908,942.908,942.908,942.908,2.0,61.0,2019-01-29,PL,PLF19
2018-04-16,943.8509,943.8509,943.8509,943.8509,1.0,49.0,2019-01-29,PL,PLF19
2018-04-17,936.772,936.772,936.772,936.772,6.0,63.0,2019-01-29,PL,PLF19
2018-04-18,919.7227,919.7227,919.7227,919.7227,19.0,60.0,2019-01-29,PL,PLF19
2018-04-19,932.2309,932.2309,932.2309,932.2309,6.0,52.0,2019-01-29,PL,PLF19
2018-04-20,925.3324,925.3324,925.3324,925.3324,5.0,70.0,2019-01-29,PL,PLF19
2018-04-23,915.0612,915.0612,915.0612,915.0612,4.0,65.0,2019-01-29,PL,PLF19
2018-04-24,931.5323,931.5323,931.5323,931.5323,4.0,55.0,2019-01-29,PL,PLF19
2018-04-25,911.877,911.877,911.877,911.877,15.0,63.0,2019-01-29,PL,PLF19
2018-04-26,893.913,893.913,893.913,893.913,19.0,82.0,2019-01-29,PL,PLF19
2018-04-27,879.8786,879.8786,879.8786,879.8786,4.0,74.0,2019-01-29,PL,PLF19
2018-04-30,875.7432,875.7432,875.7432,875.7432,15.0,65.0,2019-01-29,PL,PLF19
2018-05-01,860.3301,860.3301,860.3301,860.3301,11.0,79.0,2019-01-29,PL,PLF19
2018-05-02,871.0842,871.0842,871.0842,871.0842,9.0,70.0,2019-01-29,PL,PLF19
2018-05-03,871.1713,871.1713,871.1713,871.1713,8.0,85.0,2019-01-29,PL,PLF19
2018-05-04,876.2241,876.2241,876.2241,876.2241,21.0,71.0,2019-01-29,PL,PLF19
2018-05-07,888.0531,888.0531,888.0531,888.0531,3.0,89.0,2019-01-29,PL,PLF19
2018-05-08,878.8173,878.8173,878.8173,878.8173,5.0,66.0,2019-01-29,PL,PLF19
2018-05-09,871.1716,871.1716,871.1716,871.1716,4.0,68.0,2019-01-29,PL,PLF19
2018-05-10,864.7249,864.7249,864.7249,864.7249,13.0,93.0,2019-01-29,PL,PLF19
2018-05-11,872.7668,872.7668,872.7668,872.7668,6.0,75.0,2019-01-29,PL,PLF19
2018-05-14,862.5554,862.5554,862.5554,862.5554,15.0,89.0,2019-01-29,PL,PLF19
2018-05-15,858.9327,858.9327,858.9327,858.9327,47.0,80.0,2019-01-29,PL,PLF19
2018-05-16,866.1477,866.1477,866.1477,866.1477,12.0,86.0,2019-01-29,PL,PLF19
2018-05-17,853.4153,853.4153,853.4153,853.4153,16.0,124.0,2019-01-29,PL,PLF19
2018-05-18,870.7396,870.7396,870.7396,870.7396,22.0,105.0,2019-01-29,PL,PLF19
2018-05-21,872.6552,872.6552,872.6552,872.6552,13.0,103.0,2019-01-29,PL,PLF19
2018-05-22,857.1219,857.1219,857.1219,857.1219,7.0,118.0,2019-01-29,PL,PLF19
2018-05-23,870.8359,870.8359,870.8359,870.8359,12.0,128.0,2019-01-29,PL,PLF19
2018-05-24,875.7126,875.7126,875.7126,875.7126,5.0,159.0,2019-01-29,PL,PLF19
2018-05-25,861.0882,861.0882,861.0882,861.0882,9.0,142.0,2019-01-29,PL,PLF19
2018-05-29,871.1629,871.1629,871.1629,871.1629,24.0,142.0,2019-01-29,PL,PLF19
2018-05-30,881.4426,881.4426,881.4426,881.4426,6.0,148.0,2019-01-29,PL,PLF19
2018-05-31,893.9591,893.9591,893.9591,893.9591,18.0,156.0,2019-01-29,PL,PLF19
2018-06-01,912.4641,912.4641,912.4641,912.4641,9.0,131.0,2019-01-29,PL,PLF19
2018-06-04,909.5442,909.5442,909.5442,909.5442,39.0,169.0,2019-01-29,PL,PLF19
2018-06-05,901.1764,901.1764,901.1764,901.1764,43.0,202.0,2019-01-29,PL,PLF19
2018-06-06,896.7606,896.7606,896.7606,896.7606,45.0,222.0,2019-01-29,PL,PLF19
