,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-11-29,916.9405,916.9405,916.9405,916.9405,0.0,0.0,2017-02-24,PL,PLG17
2016-11-30,907.3126,907.3126,907.3126,907.3126,1.0,1.0,2017-02-24,PL,PLG17
2016-12-01,886.7166,886.7166,886.7166,886.7166,0.0,1.0,2017-02-24,PL,PLG17
2016-12-02,885.5639,885.5639,885.5639,885.5639,0.0,1.0,2017-02-24,PL,PLG17
2016-12-05,902.7438,902.7438,902.7438,902.7438,0.0,1.0,2017-02-24,PL,PLG17
2016-12-06,879.7238,879.7238,879.7238,879.7238,1.0,2.0,2017-02-24,PL,PLG17
2016-12-07,883.7705,883.7705,883.7705,883.7705,1.0,3.0,2017-02-24,PL,PLG17
2016-12-08,899.59,899.59,899.59,899.59,0.0,3.0,2017-02-24,PL,PLG17
2016-12-09,915.9625,915.9625,915.9625,915.9625,10.0,10.0,2017-02-24,PL,PLG17
2016-12-12,899.75,899.75,899.75,899.75,3.0,12.0,2017-02-24,PL,PLG17
2016-12-13,910.9969,910.9969,910.9969,910.9969,17.0,32.0,2017-02-24,PL,PLG17
2016-12-14,915.0053,915.0053,915.0053,915.0053,15.0,18.0,2017-02-24,PL,PLG17
2016-12-15,913.5413,913.5413,913.5413,913.5413,74.0,72.0,2017-02-24,PL,PLG17
2016-12-16,911.6229,911.6229,911.6229,911.6229,14.0,54.0,2017-02-24,PL,PLG17
2016-12-19,915.4517,915.4517,915.4517,915.4517,21.0,53.0,2017-02-24,PL,PLG17
2016-12-20,902.2692,902.2692,902.2692,902.2692,20.0,63.0,2017-02-24,PL,PLG17
2016-12-21,875.8327,875.8327,875.8327,875.8327,100.0,128.0,2017-02-24,PL,PLG17
2016-12-22,896.0644,896.0644,896.0644,896.0644,44.0,203.0,2017-02-24,PL,PLG17
2016-12-23,915.4194,915.4194,915.4194,915.4194,38.0,146.0,2017-02-24,PL,PLG17
2016-12-27,918.5318,918.5318,918.5318,918.5318,59.0,281.0,2017-02-24,PL,PLG17
2016-12-28,906.6827,906.6827,906.6827,906.6827,71.0,368.0,2017-02-24,PL,PLG17
2016-12-29,911.3975,911.3975,911.3975,911.3975,155.0,429.0,2017-02-24,PL,PLG17
2016-12-30,901.5544,901.5544,901.5544,901.5544,50.0,369.0,2017-02-24,PL,PLG17
2017-01-03,914.2663,914.2663,914.2663,914.2663,139.0,308.0,2017-02-24,PL,PLG17
2017-01-04,904.5751,904.5751,904.5751,904.5751,142.0,263.0,2017-02-24,PL,PLG17
2017-01-05,900.5045,900.5045,900.5045,900.5045,63.0,207.0,2017-02-24,PL,PLG17
2017-01-06,886.4566,886.4566,886.4566,886.4566,72.0,178.0,2017-02-24,PL,PLG17
