,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-12-29,901.5303,901.5303,901.5303,901.5303,0.0,0.0,2017-03-29,PL,PLH17
2016-12-30,910.3653,910.3653,910.3653,910.3653,0.0,0.0,2017-03-29,PL,PLH17
2017-01-03,890.6104,890.6104,890.6104,890.6104,0.0,0.0,2017-03-29,PL,PLH17
2017-01-04,874.3122,874.3122,874.3122,874.3122,6.0,7.0,2017-03-29,PL,PLH17
2017-01-05,855.6019,855.6019,855.6019,855.6019,14.0,3.0,2017-03-29,PL,PLH17
2017-01-06,873.0562,873.0562,873.0562,873.0562,2.0,4.0,2017-03-29,PL,PLH17
2017-01-09,874.8023,874.8023,874.8023,874.8023,28.0,7.0,2017-03-29,PL,PLH17
2017-01-10,869.466,869.466,869.466,869.466,0.0,5.0,2017-03-29,PL,PLH17
2017-01-11,879.8126,879.8126,879.8126,879.8126,4.0,7.0,2017-03-29,PL,PLH17
2017-01-12,880.2525,880.2525,880.2525,880.2525,180.0,84.0,2017-03-29,PL,PLH17
2017-01-13,875.4991,875.4991,875.4991,875.4991,156.0,64.0,2017-03-29,PL,PLH17
2017-01-17,862.6293,862.6293,862.6293,862.6293,6.0,30.0,2017-03-29,PL,PLH17
2017-01-18,871.2556,871.2556,871.2556,871.2556,19.0,39.0,2017-03-29,PL,PLH17
2017-01-19,866.1152,866.1152,866.1152,866.1152,16.0,41.0,2017-03-29,PL,PLH17
2017-01-20,883.5241,883.5241,883.5241,883.5241,3.0,35.0,2017-03-29,PL,PLH17
2017-01-23,883.9659,883.9659,883.9659,883.9659,8.0,40.0,2017-03-29,PL,PLH17
2017-01-24,904.7391,904.7391,904.7391,904.7391,17.0,46.0,2017-03-29,PL,PLH17
2017-01-25,888.2728,888.2728,888.2728,888.2728,26.0,46.0,2017-03-29,PL,PLH17
2017-01-26,871.0403,871.0403,871.0403,871.0403,17.0,48.0,2017-03-29,PL,PLH17
2017-01-27,874.176,874.176,874.176,874.176,72.0,66.0,2017-03-29,PL,PLH17
2017-01-30,869.2806,869.2806,869.2806,869.2806,6.0,76.0,2017-03-29,PL,PLH17
2017-01-31,890.491,890.491,890.491,890.491,22.0,61.0,2017-03-29,PL,PLH17
2017-02-01,907.5884,907.5884,907.5884,907.5884,12.0,72.0,2017-03-29,PL,PLH17
2017-02-02,896.5158,896.5158,896.5158,896.5158,16.0,84.0,2017-03-29,PL,PLH17
2017-02-03,902.7914,902.7914,902.7914,902.7914,11.0,63.0,2017-03-29,PL,PLH17
2017-02-06,886.2703,886.2703,886.2703,886.2703,2.0,83.0,2017-03-29,PL,PLH17
2017-02-07,907.3635,907.3635,907.3635,907.3635,17.0,71.0,2017-03-29,PL,PLH17
2017-02-08,926.2367,926.2367,926.2367,926.2367,29.0,86.0,2017-03-29,PL,PLH17
2017-02-09,909.9349,909.9349,909.9349,909.9349,23.0,70.0,2017-03-29,PL,PLH17
2017-02-10,931.9553,931.9553,931.9553,931.9553,52.0,69.0,2017-03-29,PL,PLH17
2017-02-13,917.8828,917.8828,917.8828,917.8828,14.0,83.0,2017-03-29,PL,PLH17
2017-02-14,920.5447,920.5447,920.5447,920.5447,3.0,87.0,2017-03-29,PL,PLH17
2017-02-15,918.3354,918.3354,918.3354,918.3354,10.0,95.0,2017-03-29,PL,PLH17
2017-02-16,903.091,903.091,903.091,903.091,26.0,93.0,2017-03-29,PL,PLH17
2017-02-17,893.5182,893.5182,893.5182,893.5182,16.0,80.0,2017-03-29,PL,PLH17
2017-02-21,887.3529,887.3529,887.3529,887.3529,8.0,76.0,2017-03-29,PL,PLH17
2017-02-22,890.3699,890.3699,890.3699,890.3699,9.0,103.0,2017-03-29,PL,PLH17
2017-02-23,889.3905,889.3905,889.3905,889.3905,13.0,80.0,2017-03-29,PL,PLH17
2017-02-24,892.3255,892.3255,892.3255,892.3255,23.0,81.0,2017-03-29,PL,PLH17
2017-02-27,893.5748,893.5748,893.5748,893.5748,4.0,94.0,2017-03-29,PL,PLH17
2017-02-28,892.4132,892.4132,892.4132,892.4132,2.0,21.0,2017-03-29,PL,PLH17
2017-03-01,876.796,876.796,876.796,876.796,2.0,27.0,2017-03-29,PL,PLH17
2017-03-02,873.2011,873.2011,873.2011,873.2011,2.0,9.0,2017-03-29,PL,PLH17
2017-03-03,894.5072,894.5072,894.5072,894.5072,0.0,5.0,2017-03-29,PL,PLH17
2017-03-06,898.6219,898.6219,898.6219,898.6219,0.0,4.0,2017-03-29,PL,PLH17
2017-03-07,919.4699,919.4699,919.4699,919.4699,2.0,6.0,2017-03-29,PL,PLH17
2017-03-08,932.7103,932.7103,932.7103,932.7103,0.0,5.0,2017-03-29,PL,PLH17
2017-03-09,942.9701,942.9701,942.9701,942.9701,0.0,5.0,2017-03-29,PL,PLH17
2017-03-10,940.3298,940.3298,940.3298,940.3298,0.0,6.0,2017-03-29,PL,PLH17
2017-03-13,926.507,926.507,926.507,926.507,0.0,5.0,2017-03-29,PL,PLH17
2017-03-14,945.6857,945.6857,945.6857,945.6857,0.0,5.0,2017-03-29,PL,PLH17
2017-03-15,943.2269,943.2269,943.2269,943.2269,0.0,5.0,2017-03-29,PL,PLH17
2017-03-16,923.8907,923.8907,923.8907,923.8907,0.0,6.0,2017-03-29,PL,PLH17
2017-03-17,925.7385,925.7385,925.7385,925.7385,0.0,4.0,2017-03-29,PL,PLH17
2017-03-20,942.3092,942.3092,942.3092,942.3092,0.0,5.0,2017-03-29,PL,PLH17
2017-03-21,938.3515,938.3515,938.3515,938.3515,0.0,5.0,2017-03-29,PL,PLH17
2017-03-22,948.861,948.861,948.861,948.861,0.0,5.0,2017-03-29,PL,PLH17
2017-03-23,938.8031,938.8031,938.8031,938.8031,0.0,4.0,2017-03-29,PL,PLH17
2017-03-24,960.5833,960.5833,960.5833,960.5833,3.0,4.0,2017-03-29,PL,PLH17
2017-03-27,965.7704,965.7704,965.7704,965.7704,0.0,4.0,2017-03-29,PL,PLH17
2017-03-28,987.4037,987.4037,987.4037,987.4037,0.0,4.0,2017-03-29,PL,PLH17
2017-03-29,1005.8681,1005.8681,1005.8681,1005.8681,0.0,6.0,2017-03-29,PL,PLH17
