,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-01-27,870.2416,870.2416,870.2416,870.2416,0.0,0.0,2017-04-26,PL,PLJ17
2016-01-28,894.2603,894.2603,894.2603,894.2603,0.0,0.0,2017-04-26,PL,PLJ17
2016-01-29,891.3092,891.3092,891.3092,891.3092,0.0,0.0,2017-04-26,PL,PLJ17
2016-02-01,902.6288,902.6288,902.6288,902.6288,0.0,0.0,2017-04-26,PL,PLJ17
2016-02-02,896.852,896.852,896.852,896.852,0.0,0.0,2017-04-26,PL,PLJ17
2016-02-03,894.8789,894.8789,894.8789,894.8789,0.0,0.0,2017-04-26,PL,PLJ17
2016-02-04,919.1301,919.1301,919.1301,919.1301,0.0,0.0,2017-04-26,PL,PLJ17
2016-02-05,912.3285,912.3285,912.3285,912.3285,0.0,0.0,2017-04-26,PL,PLJ17
2016-02-08,887.5132,887.5132,887.5132,887.5132,0.0,0.0,2017-04-26,PL,PLJ17
2016-02-09,862.3966,862.3966,862.3966,862.3966,0.0,0.0,2017-04-26,PL,PLJ17
2016-02-10,840.9229,840.9229,840.9229,840.9229,0.0,0.0,2017-04-26,PL,PLJ17
2016-02-11,837.1387,837.1387,837.1387,837.1387,0.0,0.0,2017-04-26,PL,PLJ17
2016-02-12,860.0763,860.0763,860.0763,860.0763,0.0,0.0,2017-04-26,PL,PLJ17
2016-02-16,868.161,868.161,868.161,868.161,1.0,1.0,2017-04-26,PL,PLJ17
2016-02-17,878.058,878.058,878.058,878.058,0.0,1.0,2017-04-26,PL,PLJ17
2016-02-18,853.7358,853.7358,853.7358,853.7358,0.0,1.0,2017-04-26,PL,PLJ17
2016-02-19,876.0183,876.0183,876.0183,876.0183,0.0,1.0,2017-04-26,PL,PLJ17
2016-02-22,890.823,890.823,890.823,890.823,0.0,1.0,2017-04-26,PL,PLJ17
2016-02-23,892.0702,892.0702,892.0702,892.0702,0.0,1.0,2017-04-26,PL,PLJ17
