,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-02-26,991.1674,991.1674,991.1674,991.1674,0.0,0.0,2018-05-29,PL,PLK18
2018-02-27,972.137,972.137,972.137,972.137,0.0,0.0,2018-05-29,PL,PLK18
2018-02-28,959.4992,959.4992,959.4992,959.4992,0.0,0.0,2018-05-29,PL,PLK18
2018-03-01,950.0961,950.0961,950.0961,950.0961,0.0,0.0,2018-05-29,PL,PLK18
2018-03-02,936.5097,936.5097,936.5097,936.5097,2.0,0.0,2018-05-29,PL,PLK18
2018-03-05,949.3399,949.3399,949.3399,949.3399,0.0,0.0,2018-05-29,PL,PLK18
2018-03-06,963.6749,963.6749,963.6749,963.6749,1.0,1.0,2018-05-29,PL,PLK18
2018-03-07,949.5089,949.5089,949.5089,949.5089,0.0,1.0,2018-05-29,PL,PLK18
2018-03-08,954.7312,954.7312,954.7312,954.7312,0.0,1.0,2018-05-29,PL,PLK18
2018-03-09,969.816,969.816,969.816,969.816,2.0,1.0,2018-05-29,PL,PLK18
2018-03-12,988.5334,988.5334,988.5334,988.5334,0.0,1.0,2018-05-29,PL,PLK18
2018-03-13,991.7956,991.7956,991.7956,991.7956,0.0,1.0,2018-05-29,PL,PLK18
2018-03-14,995.3661,995.3661,995.3661,995.3661,0.0,1.0,2018-05-29,PL,PLK18
2018-03-15,1010.3961,1010.3961,1010.3961,1010.3961,1.0,2.0,2018-05-29,PL,PLK18
2018-03-16,1029.3915,1029.3915,1029.3915,1029.3915,14.0,9.0,2018-05-29,PL,PLK18
2018-03-19,1036.2884,1036.2884,1036.2884,1036.2884,7.0,9.0,2018-05-29,PL,PLK18
2018-03-20,1039.19,1039.19,1039.19,1039.19,0.0,11.0,2018-05-29,PL,PLK18
2018-03-21,1030.9804,1030.9804,1030.9804,1030.9804,1.0,11.0,2018-05-29,PL,PLK18
2018-03-22,1010.8763,1010.8763,1010.8763,1010.8763,4.0,11.0,2018-05-29,PL,PLK18
2018-03-23,1017.7503,1017.7503,1017.7503,1017.7503,4.0,13.0,2018-05-29,PL,PLK18
2018-03-26,1024.8746,1024.8746,1024.8746,1024.8746,29.0,31.0,2018-05-29,PL,PLK18
2018-03-27,1006.5293,1006.5293,1006.5293,1006.5293,28.0,33.0,2018-05-29,PL,PLK18
2018-03-28,1016.0913,1016.0913,1016.0913,1016.0913,15.0,33.0,2018-05-29,PL,PLK18
2018-03-29,1034.6858,1034.6858,1034.6858,1034.6858,9.0,30.0,2018-05-29,PL,PLK18
2018-04-02,1043.5841,1043.5841,1043.5841,1043.5841,1.0,38.0,2018-05-29,PL,PLK18
2018-04-03,1054.333,1054.333,1054.333,1054.333,2.0,36.0,2018-05-29,PL,PLK18
2018-04-04,1074.6816,1074.6816,1074.6816,1074.6816,3.0,32.0,2018-05-29,PL,PLK18
2018-04-05,1067.5887,1067.5887,1067.5887,1067.5887,20.0,27.0,2018-05-29,PL,PLK18
2018-04-06,1065.7738,1065.7738,1065.7738,1065.7738,8.0,31.0,2018-05-29,PL,PLK18
