,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-03-27,1135.1422,1135.1422,1135.1422,1135.1422,0.0,0.0,2015-06-26,PL,PLM15
2015-03-30,1151.8288,1151.8288,1151.8288,1151.8288,2.0,2.0,2015-06-26,PL,PLM15
2015-03-31,1127.8708,1127.8708,1127.8708,1127.8708,0.0,2.0,2015-06-26,PL,PLM15
2015-04-01,1109.9377,1109.9377,1109.9377,1109.9377,0.0,2.0,2015-06-26,PL,PLM15
2015-04-02,1114.3775,1114.3775,1114.3775,1114.3775,0.0,2.0,2015-06-26,PL,PLM15
2015-04-06,1110.5886,1110.5886,1110.5886,1110.5886,10.0,10.0,2015-06-26,PL,PLM15
2015-04-07,1118.5848,1118.5848,1118.5848,1118.5848,21.0,23.0,2015-06-26,PL,PLM15
2015-04-08,1113.9986,1113.9986,1113.9986,1113.9986,22.0,3.0,2015-06-26,PL,PLM15
2015-04-09,1097.957,1097.957,1097.957,1097.957,0.0,3.0,2015-06-26,PL,PLM15
2015-04-10,1089.2831,1089.2831,1089.2831,1089.2831,0.0,3.0,2015-06-26,PL,PLM15
2015-04-13,1099.9581,1099.9581,1099.9581,1099.9581,1.0,3.0,2015-06-26,PL,PLM15
2015-04-14,1105.1279,1105.1279,1105.1279,1105.1279,7.0,6.0,2015-06-26,PL,PLM15
2015-04-15,1113.5269,1113.5269,1113.5269,1113.5269,2.0,4.0,2015-06-26,PL,PLM15
2015-04-16,1094.2629,1094.2629,1094.2629,1094.2629,0.0,5.0,2015-06-26,PL,PLM15
2015-04-17,1111.3334,1111.3334,1111.3334,1111.3334,0.0,3.0,2015-06-26,PL,PLM15
2015-04-20,1133.5601,1133.5601,1133.5601,1133.5601,7.0,8.0,2015-06-26,PL,PLM15
2015-04-21,1107.0348,1107.0348,1107.0348,1107.0348,3.0,7.0,2015-06-26,PL,PLM15
2015-04-22,1099.7284,1099.7284,1099.7284,1099.7284,10.0,17.0,2015-06-26,PL,PLM15
2015-04-23,1074.3247,1074.3247,1074.3247,1074.3247,2.0,19.0,2015-06-26,PL,PLM15
2015-04-24,1093.3402,1093.3402,1093.3402,1093.3402,2.0,15.0,2015-06-26,PL,PLM15
2015-04-27,1074.5347,1074.5347,1074.5347,1074.5347,7.0,13.0,2015-06-26,PL,PLM15
2015-04-28,1085.495,1085.495,1085.495,1085.495,9.0,6.0,2015-06-26,PL,PLM15
2015-04-29,1098.8466,1098.8466,1098.8466,1098.8466,0.0,6.0,2015-06-26,PL,PLM15
2015-04-30,1085.5506,1085.5506,1085.5506,1085.5506,4.0,5.0,2015-06-26,PL,PLM15
2015-05-01,1106.6103,1106.6103,1106.6103,1106.6103,2.0,5.0,2015-06-26,PL,PLM15
2015-05-04,1083.4821,1083.4821,1083.4821,1083.4821,4.0,3.0,2015-06-26,PL,PLM15
2015-05-05,1080.8817,1080.8817,1080.8817,1080.8817,0.0,3.0,2015-06-26,PL,PLM15
2015-05-06,1090.1773,1090.1773,1090.1773,1090.1773,0.0,4.0,2015-06-26,PL,PLM15
2015-05-07,1065.8663,1065.8663,1065.8663,1065.8663,6.0,9.0,2015-06-26,PL,PLM15
2015-05-08,1083.3465,1083.3465,1083.3465,1083.3465,8.0,6.0,2015-06-26,PL,PLM15
2015-05-11,1070.0213,1070.0213,1070.0213,1070.0213,19.0,17.0,2015-06-26,PL,PLM15
2015-05-12,1081.8985,1081.8985,1081.8985,1081.8985,4.0,11.0,2015-06-26,PL,PLM15
2015-05-13,1104.0774,1104.0774,1104.0774,1104.0774,0.0,16.0,2015-06-26,PL,PLM15
2015-05-14,1093.0366,1093.0366,1093.0366,1093.0366,5.0,10.0,2015-06-26,PL,PLM15
2015-05-15,1075.0015,1075.0015,1075.0015,1075.0015,0.0,9.0,2015-06-26,PL,PLM15
2015-05-18,1062.424,1062.424,1062.424,1062.424,1.0,7.0,2015-06-26,PL,PLM15
2015-05-19,1074.3231,1074.3231,1074.3231,1074.3231,4.0,13.0,2015-06-26,PL,PLM15
2015-05-20,1080.1244,1080.1244,1080.1244,1080.1244,2.0,11.0,2015-06-26,PL,PLM15
2015-05-21,1091.3577,1091.3577,1091.3577,1091.3577,9.0,6.0,2015-06-26,PL,PLM15
2015-05-22,1069.4214,1069.4214,1069.4214,1069.4214,4.0,7.0,2015-06-26,PL,PLM15
2015-05-26,1064.0743,1064.0743,1064.0743,1064.0743,8.0,9.0,2015-06-26,PL,PLM15
2015-05-27,1086.207,1086.207,1086.207,1086.207,6.0,8.0,2015-06-26,PL,PLM15
2015-05-28,1092.0725,1092.0725,1092.0725,1092.0725,8.0,8.0,2015-06-26,PL,PLM15
2015-05-29,1083.4451,1083.4451,1083.4451,1083.4451,0.0,7.0,2015-06-26,PL,PLM15
2015-06-01,1072.5023,1072.5023,1072.5023,1072.5023,5.0,2.0,2015-06-26,PL,PLM15
2015-06-02,1079.7953,1079.7953,1079.7953,1079.7953,1.0,2.0,2015-06-26,PL,PLM15
2015-06-03,1055.6079,1055.6079,1055.6079,1055.6079,0.0,2.0,2015-06-26,PL,PLM15
2015-06-04,1032.0678,1032.0678,1032.0678,1032.0678,0.0,2.0,2015-06-26,PL,PLM15
2015-06-05,1046.7232,1046.7232,1046.7232,1046.7232,3.0,2.0,2015-06-26,PL,PLM15
2015-06-08,1028.6149,1028.6149,1028.6149,1028.6149,1.0,3.0,2015-06-26,PL,PLM15
2015-06-09,1051.7587,1051.7587,1051.7587,1051.7587,0.0,3.0,2015-06-26,PL,PLM15
2015-06-10,1064.0643,1064.0643,1064.0643,1064.0643,0.0,3.0,2015-06-26,PL,PLM15
2015-06-11,1065.2348,1065.2348,1065.2348,1065.2348,0.0,2.0,2015-06-26,PL,PLM15
2015-06-12,1064.5957,1064.5957,1064.5957,1064.5957,0.0,3.0,2015-06-26,PL,PLM15
2015-06-15,1066.512,1066.512,1066.512,1066.512,2.0,5.0,2015-06-26,PL,PLM15
2015-06-16,1050.621,1050.621,1050.621,1050.621,0.0,6.0,2015-06-26,PL,PLM15
