,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-04-28,1160.3549,1160.3549,1160.3549,1160.3549,0.0,0.0,2016-07-27,PL,PLN16
2015-04-29,1128.5612,1128.5612,1128.5612,1128.5612,0.0,0.0,2016-07-27,PL,PLN16
2015-04-30,1126.0784,1126.0784,1126.0784,1126.0784,0.0,0.0,2016-07-27,PL,PLN16
2015-05-01,1101.4173,1101.4173,1101.4173,1101.4173,0.0,0.0,2016-07-27,PL,PLN16
2015-05-04,1074.9833,1074.9833,1074.9833,1074.9833,0.0,0.0,2016-07-27,PL,PLN16
2015-05-05,1069.5009,1069.5009,1069.5009,1069.5009,0.0,0.0,2016-07-27,PL,PLN16
2015-05-06,1095.9176,1095.9176,1095.9176,1095.9176,0.0,0.0,2016-07-27,PL,PLN16
2015-05-07,1102.4931,1102.4931,1102.4931,1102.4931,0.0,0.0,2016-07-27,PL,PLN16
2015-05-08,1086.7274,1086.7274,1086.7274,1086.7274,0.0,0.0,2016-07-27,PL,PLN16
2015-05-11,1076.8382,1076.8382,1076.8382,1076.8382,0.0,0.0,2016-07-27,PL,PLN16
2015-05-12,1089.4372,1089.4372,1089.4372,1089.4372,0.0,0.0,2016-07-27,PL,PLN16
2015-05-13,1079.7412,1079.7412,1079.7412,1079.7412,0.0,0.0,2016-07-27,PL,PLN16
2015-05-14,1095.0735,1095.0735,1095.0735,1095.0735,0.0,0.0,2016-07-27,PL,PLN16
2015-05-15,1112.5947,1112.5947,1112.5947,1112.5947,0.0,0.0,2016-07-27,PL,PLN16
2015-05-18,1126.5021,1126.5021,1126.5021,1126.5021,0.0,0.0,2016-07-27,PL,PLN16
2015-05-19,1120.5316,1120.5316,1120.5316,1120.5316,0.0,0.0,2016-07-27,PL,PLN16
2015-05-20,1103.8357,1103.8357,1103.8357,1103.8357,0.0,0.0,2016-07-27,PL,PLN16
2015-05-21,1116.861,1116.861,1116.861,1116.861,0.0,0.0,2016-07-27,PL,PLN16
2015-05-22,1110.2715,1110.2715,1110.2715,1110.2715,0.0,0.0,2016-07-27,PL,PLN16
2015-05-26,1085.0683,1085.0683,1085.0683,1085.0683,0.0,0.0,2016-07-27,PL,PLN16
2015-05-27,1096.4615,1096.4615,1096.4615,1096.4615,0.0,0.0,2016-07-27,PL,PLN16
2015-05-28,1078.0409,1078.0409,1078.0409,1078.0409,0.0,0.0,2016-07-27,PL,PLN16
2015-05-29,1089.0369,1089.0369,1089.0369,1089.0369,0.0,0.0,2016-07-27,PL,PLN16
2015-06-01,1094.3732,1094.3732,1094.3732,1094.3732,0.0,0.0,2016-07-27,PL,PLN16
2015-06-02,1090.1051,1090.1051,1090.1051,1090.1051,0.0,0.0,2016-07-27,PL,PLN16
2015-06-03,1115.5045,1115.5045,1115.5045,1115.5045,0.0,0.0,2016-07-27,PL,PLN16
2015-06-04,1138.8185,1138.8185,1138.8185,1138.8185,0.0,0.0,2016-07-27,PL,PLN16
