,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-05-27,1108.5921,1108.5921,1108.5921,1108.5921,0.0,0.0,2015-08-27,PL,PLQ15
2015-05-28,1111.4744,1111.4744,1111.4744,1111.4744,0.0,0.0,2015-08-27,PL,PLQ15
2015-05-29,1116.1426,1116.1426,1116.1426,1116.1426,0.0,0.0,2015-08-27,PL,PLQ15
2015-06-01,1092.4804,1092.4804,1092.4804,1092.4804,0.0,0.0,2015-08-27,PL,PLQ15
2015-06-02,1115.4225,1115.4225,1115.4225,1115.4225,0.0,0.0,2015-08-27,PL,PLQ15
2015-06-03,1120.2188,1120.2188,1120.2188,1120.2188,0.0,0.0,2015-08-27,PL,PLQ15
2015-06-04,1099.4948,1099.4948,1099.4948,1099.4948,0.0,0.0,2015-08-27,PL,PLQ15
2015-06-05,1104.9923,1104.9923,1104.9923,1104.9923,0.0,0.0,2015-08-27,PL,PLQ15
2015-06-08,1118.1417,1118.1417,1118.1417,1118.1417,0.0,0.0,2015-08-27,PL,PLQ15
2015-06-09,1098.7978,1098.7978,1098.7978,1098.7978,1.0,1.0,2015-08-27,PL,PLQ15
2015-06-10,1121.7627,1121.7627,1121.7627,1121.7627,0.0,1.0,2015-08-27,PL,PLQ15
2015-06-11,1120.1922,1120.1922,1120.1922,1120.1922,1.0,0.0,2015-08-27,PL,PLQ15
2015-06-12,1101.0369,1101.0369,1101.0369,1101.0369,1.0,1.0,2015-08-27,PL,PLQ15
2015-06-15,1091.3478,1091.3478,1091.3478,1091.3478,2.0,1.0,2015-08-27,PL,PLQ15
2015-06-16,1075.5233,1075.5233,1075.5233,1075.5233,1.0,2.0,2015-08-27,PL,PLQ15
2015-06-17,1086.7087,1086.7087,1086.7087,1086.7087,2.0,4.0,2015-08-27,PL,PLQ15
2015-06-18,1081.9272,1081.9272,1081.9272,1081.9272,1.0,3.0,2015-08-27,PL,PLQ15
2015-06-19,1101.0773,1101.0773,1101.0773,1101.0773,1.0,3.0,2015-08-27,PL,PLQ15
2015-06-22,1116.1621,1116.1621,1116.1621,1116.1621,5.0,8.0,2015-08-27,PL,PLQ15
2015-06-23,1136.8111,1136.8111,1136.8111,1136.8111,4.0,9.0,2015-08-27,PL,PLQ15
2015-06-24,1154.7727,1154.7727,1154.7727,1154.7727,8.0,11.0,2015-08-27,PL,PLQ15
2015-06-25,1134.4487,1134.4487,1134.4487,1134.4487,8.0,10.0,2015-08-27,PL,PLQ15
2015-06-26,1135.81,1135.81,1135.81,1135.81,12.0,14.0,2015-08-27,PL,PLQ15
2015-06-29,1124.5655,1124.5655,1124.5655,1124.5655,11.0,12.0,2015-08-27,PL,PLQ15
2015-06-30,1108.0344,1108.0344,1108.0344,1108.0344,8.0,13.0,2015-08-27,PL,PLQ15
2015-07-01,1100.7214,1100.7214,1100.7214,1100.7214,0.0,17.0,2015-08-27,PL,PLQ15
2015-07-02,1080.1379,1080.1379,1080.1379,1080.1379,2.0,13.0,2015-08-27,PL,PLQ15
2015-07-06,1099.1483,1099.1483,1099.1483,1099.1483,12.0,28.0,2015-08-27,PL,PLQ15
2015-07-07,1109.92,1109.92,1109.92,1109.92,18.0,34.0,2015-08-27,PL,PLQ15
2015-07-08,1118.1334,1118.1334,1118.1334,1118.1334,12.0,29.0,2015-08-27,PL,PLQ15
2015-07-09,1110.8655,1110.8655,1110.8655,1110.8655,4.0,29.0,2015-08-27,PL,PLQ15
2015-07-10,1124.307,1124.307,1124.307,1124.307,8.0,31.0,2015-08-27,PL,PLQ15
2015-07-13,1141.0592,1141.0592,1141.0592,1141.0592,0.0,28.0,2015-08-27,PL,PLQ15
2015-07-14,1126.4536,1126.4536,1126.4536,1126.4536,0.0,34.0,2015-08-27,PL,PLQ15
2015-07-15,1114.4005,1114.4005,1114.4005,1114.4005,0.0,33.0,2015-08-27,PL,PLQ15
2015-07-16,1100.9163,1100.9163,1100.9163,1100.9163,0.0,35.0,2015-08-27,PL,PLQ15
2015-07-17,1121.1732,1121.1732,1121.1732,1121.1732,0.0,26.0,2015-08-27,PL,PLQ15
2015-07-20,1104.8041,1104.8041,1104.8041,1104.8041,22.0,28.0,2015-08-27,PL,PLQ15
2015-07-21,1088.0111,1088.0111,1088.0111,1088.0111,0.0,25.0,2015-08-27,PL,PLQ15
2015-07-22,1075.8254,1075.8254,1075.8254,1075.8254,0.0,17.0,2015-08-27,PL,PLQ15
2015-07-23,1076.6861,1076.6861,1076.6861,1076.6861,3.0,17.0,2015-08-27,PL,PLQ15
2015-07-24,1079.5932,1079.5932,1079.5932,1079.5932,0.0,18.0,2015-08-27,PL,PLQ15
2015-07-27,1065.6664,1065.6664,1065.6664,1065.6664,19.0,8.0,2015-08-27,PL,PLQ15
2015-07-28,1064.4942,1064.4942,1064.4942,1064.4942,2.0,7.0,2015-08-27,PL,PLQ15
2015-07-29,1058.533,1058.533,1058.533,1058.533,10.0,6.0,2015-08-27,PL,PLQ15
2015-07-30,1071.4471,1071.4471,1071.4471,1071.4471,5.0,4.0,2015-08-27,PL,PLQ15
2015-07-31,1087.7331,1087.7331,1087.7331,1087.7331,0.0,4.0,2015-08-27,PL,PLQ15
2015-08-03,1110.793,1110.793,1110.793,1110.793,2.0,4.0,2015-08-27,PL,PLQ15
2015-08-04,1092.2428,1092.2428,1092.2428,1092.2428,2.0,6.0,2015-08-27,PL,PLQ15
2015-08-05,1089.2937,1089.2937,1089.2937,1089.2937,0.0,6.0,2015-08-27,PL,PLQ15
2015-08-06,1097.2455,1097.2455,1097.2455,1097.2455,0.0,5.0,2015-08-27,PL,PLQ15
2015-08-07,1096.5872,1096.5872,1096.5872,1096.5872,2.0,6.0,2015-08-27,PL,PLQ15
2015-08-10,1073.9975,1073.9975,1073.9975,1073.9975,0.0,5.0,2015-08-27,PL,PLQ15
2015-08-11,1065.0833,1065.0833,1065.0833,1065.0833,0.0,6.0,2015-08-27,PL,PLQ15
2015-08-12,1062.7401,1062.7401,1062.7401,1062.7401,0.0,6.0,2015-08-27,PL,PLQ15
2015-08-13,1057.9578,1057.9578,1057.9578,1057.9578,2.0,7.0,2015-08-27,PL,PLQ15
2015-08-14,1069.4895,1069.4895,1069.4895,1069.4895,0.0,7.0,2015-08-27,PL,PLQ15
2015-08-17,1065.3185,1065.3185,1065.3185,1065.3185,1.0,5.0,2015-08-27,PL,PLQ15
2015-08-18,1051.3628,1051.3628,1051.3628,1051.3628,0.0,4.0,2015-08-27,PL,PLQ15
2015-08-19,1047.7882,1047.7882,1047.7882,1047.7882,3.0,2.0,2015-08-27,PL,PLQ15
2015-08-20,1044.7496,1044.7496,1044.7496,1044.7496,1.0,1.0,2015-08-27,PL,PLQ15
2015-08-21,1036.6006,1036.6006,1036.6006,1036.6006,1.0,0.0,2015-08-27,PL,PLQ15
2015-08-24,1032.2469,1032.2469,1032.2469,1032.2469,0.0,0.0,2015-08-27,PL,PLQ15
2015-08-25,1017.2793,1017.2793,1017.2793,1017.2793,0.0,0.0,2015-08-27,PL,PLQ15
2015-08-26,1017.2793,1017.2793,1017.2793,1017.2793,2.0,0.0,2015-08-27,PL,PLQ15
2015-08-27,1009.548,1009.548,1009.548,1009.548,2.0,0.0,2015-08-27,PL,PLQ15
