,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-06-28,918.6308,918.6308,918.6308,918.6308,0.0,0.0,2017-09-27,PL,PLU17
2017-06-29,910.7306,910.7306,910.7306,910.7306,0.0,0.0,2017-09-27,PL,PLU17
2017-06-30,904.1733,904.1733,904.1733,904.1733,0.0,0.0,2017-09-27,PL,PLU17
2017-07-03,905.5296,905.5296,905.5296,905.5296,2.0,2.0,2017-09-27,PL,PLU17
2017-07-05,901.2736,901.2736,901.2736,901.2736,3.0,4.0,2017-09-27,PL,PLU17
2017-07-06,909.2949,909.2949,909.2949,909.2949,0.0,3.0,2017-09-27,PL,PLU17
2017-07-07,916.1146,916.1146,916.1146,916.1146,2.0,6.0,2017-09-27,PL,PLU17
2017-07-10,928.8486,928.8486,928.8486,928.8486,7.0,6.0,2017-09-27,PL,PLU17
2017-07-11,933.4,933.4,933.4,933.4,39.0,31.0,2017-09-27,PL,PLU17
2017-07-12,932.4666,932.4666,932.4666,932.4666,3.0,42.0,2017-09-27,PL,PLU17
2017-07-13,920.4378,920.4378,920.4378,920.4378,3.0,38.0,2017-09-27,PL,PLU17
2017-07-14,913.9947,913.9947,913.9947,913.9947,3.0,42.0,2017-09-27,PL,PLU17
2017-07-17,910.4301,910.4301,910.4301,910.4301,3.0,35.0,2017-09-27,PL,PLU17
2017-07-18,916.1658,916.1658,916.1658,916.1658,1.0,38.0,2017-09-27,PL,PLU17
2017-07-19,929.3586,929.3586,929.3586,929.3586,0.0,45.0,2017-09-27,PL,PLU17
2017-07-20,926.3847,926.3847,926.3847,926.3847,2.0,48.0,2017-09-27,PL,PLU17
2017-07-21,917.3061,917.3061,917.3061,917.3061,0.0,46.0,2017-09-27,PL,PLU17
2017-07-24,905.5646,905.5646,905.5646,905.5646,1.0,41.0,2017-09-27,PL,PLU17
2017-07-25,919.5103,919.5103,919.5103,919.5103,0.0,39.0,2017-09-27,PL,PLU17
2017-07-26,904.3384,904.3384,904.3384,904.3384,8.0,41.0,2017-09-27,PL,PLU17
2017-07-27,891.8585,891.8585,891.8585,891.8585,15.0,46.0,2017-09-27,PL,PLU17
2017-07-28,894.7124,894.7124,894.7124,894.7124,0.0,58.0,2017-09-27,PL,PLU17
2017-07-31,893.0124,893.0124,893.0124,893.0124,11.0,49.0,2017-09-27,PL,PLU17
2017-08-01,882.9214,882.9214,882.9214,882.9214,0.0,35.0,2017-09-27,PL,PLU17
2017-08-02,886.8945,886.8945,886.8945,886.8945,13.0,35.0,2017-09-27,PL,PLU17
2017-08-03,875.0988,875.0988,875.0988,875.0988,2.0,49.0,2017-09-27,PL,PLU17
2017-08-04,879.9118,879.9118,879.9118,879.9118,10.0,41.0,2017-09-27,PL,PLU17
2017-08-07,894.2544,894.2544,894.2544,894.2544,36.0,17.0,2017-09-27,PL,PLU17
2017-08-08,906.4163,906.4163,906.4163,906.4163,5.0,21.0,2017-09-27,PL,PLU17
2017-08-09,901.1591,901.1591,901.1591,901.1591,6.0,20.0,2017-09-27,PL,PLU17
2017-08-10,887.6417,887.6417,887.6417,887.6417,3.0,18.0,2017-09-27,PL,PLU17
2017-08-11,899.2698,899.2698,899.2698,899.2698,14.0,20.0,2017-09-27,PL,PLU17
2017-08-14,892.0756,892.0756,892.0756,892.0756,24.0,22.0,2017-09-27,PL,PLU17
2017-08-15,885.385,885.385,885.385,885.385,18.0,21.0,2017-09-27,PL,PLU17
2017-08-16,871.573,871.573,871.573,871.573,5.0,19.0,2017-09-27,PL,PLU17
2017-08-17,857.2792,857.2792,857.2792,857.2792,4.0,21.0,2017-09-27,PL,PLU17
2017-08-18,865.5948,865.5948,865.5948,865.5948,2.0,21.0,2017-09-27,PL,PLU17
2017-08-21,864.5561,864.5561,864.5561,864.5561,1.0,24.0,2017-09-27,PL,PLU17
2017-08-22,870.5215,870.5215,870.5215,870.5215,1.0,22.0,2017-09-27,PL,PLU17
2017-08-23,863.035,863.035,863.035,863.035,0.0,27.0,2017-09-27,PL,PLU17
2017-08-24,867.5228,867.5228,867.5228,867.5228,0.0,22.0,2017-09-27,PL,PLU17
2017-08-25,857.286,857.286,857.286,857.286,5.0,19.0,2017-09-27,PL,PLU17
