,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-07-27,1141.1401,1141.1401,1141.1401,1141.1401,0.0,0.0,2017-10-27,PL,PLV17
2016-07-28,1149.6987,1149.6987,1149.6987,1149.6987,0.0,0.0,2017-10-27,PL,PLV17
2016-07-29,1131.4185,1131.4185,1131.4185,1131.4185,0.0,0.0,2017-10-27,PL,PLV17
2016-08-01,1147.8241,1147.8241,1147.8241,1147.8241,0.0,0.0,2017-10-27,PL,PLV17
2016-08-02,1143.118,1143.118,1143.118,1143.118,0.0,0.0,2017-10-27,PL,PLV17
2016-08-03,1135.6877,1135.6877,1135.6877,1135.6877,0.0,0.0,2017-10-27,PL,PLV17
2016-08-04,1137.2777,1137.2777,1137.2777,1137.2777,0.0,0.0,2017-10-27,PL,PLV17
2016-08-05,1127.6108,1127.6108,1127.6108,1127.6108,0.0,0.0,2017-10-27,PL,PLV17
2016-08-08,1112.0498,1112.0498,1112.0498,1112.0498,0.0,0.0,2017-10-27,PL,PLV17
2016-08-09,1106.0447,1106.0447,1106.0447,1106.0447,0.0,0.0,2017-10-27,PL,PLV17
2016-08-10,1127.2808,1127.2808,1127.2808,1127.2808,0.0,0.0,2017-10-27,PL,PLV17
2016-08-11,1132.6917,1132.6917,1132.6917,1132.6917,0.0,0.0,2017-10-27,PL,PLV17
2016-08-12,1137.9021,1137.9021,1137.9021,1137.9021,0.0,0.0,2017-10-27,PL,PLV17
2016-08-15,1131.7574,1131.7574,1131.7574,1131.7574,0.0,0.0,2017-10-27,PL,PLV17
2016-08-16,1146.4702,1146.4702,1146.4702,1146.4702,0.0,0.0,2017-10-27,PL,PLV17
2016-08-17,1118.3817,1118.3817,1118.3817,1118.3817,0.0,0.0,2017-10-27,PL,PLV17
2016-08-18,1105.1848,1105.1848,1105.1848,1105.1848,0.0,0.0,2017-10-27,PL,PLV17
2016-08-19,1099.9904,1099.9904,1099.9904,1099.9904,0.0,0.0,2017-10-27,PL,PLV17
2016-08-22,1101.4204,1101.4204,1101.4204,1101.4204,0.0,0.0,2017-10-27,PL,PLV17
2016-08-23,1100.7595,1100.7595,1100.7595,1100.7595,0.0,0.0,2017-10-27,PL,PLV17
2016-08-24,1099.5487,1099.5487,1099.5487,1099.5487,0.0,0.0,2017-10-27,PL,PLV17
2016-08-25,1102.7374,1102.7374,1102.7374,1102.7374,0.0,0.0,2017-10-27,PL,PLV17
2016-08-26,1111.0079,1111.0079,1111.0079,1111.0079,0.0,0.0,2017-10-27,PL,PLV17
2016-08-29,1110.6746,1110.6746,1110.6746,1110.6746,0.0,0.0,2017-10-27,PL,PLV17
2016-08-30,1086.0176,1086.0176,1086.0176,1086.0176,0.0,0.0,2017-10-27,PL,PLV17
