,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-08-27,981.1476,981.1476,981.1476,981.1476,0.0,0.0,2015-11-25,PL,PLX15
2015-08-28,979.1853,979.1853,979.1853,979.1853,0.0,0.0,2015-11-25,PL,PLX15
2015-08-31,958.5245,958.5245,958.5245,958.5245,0.0,0.0,2015-11-25,PL,PLX15
2015-09-01,965.5217,965.5217,965.5217,965.5217,1.0,1.0,2015-11-25,PL,PLX15
2015-09-02,965.232,965.232,965.232,965.232,0.0,1.0,2015-11-25,PL,PLX15
2015-09-03,957.5101,957.5101,957.5101,957.5101,7.0,8.0,2015-11-25,PL,PLX15
2015-09-04,948.7968,948.7968,948.7968,948.7968,10.0,9.0,2015-11-25,PL,PLX15
2015-09-08,962.839,962.839,962.839,962.839,2.0,2.0,2015-11-25,PL,PLX15
2015-09-09,954.1734,954.1734,954.1734,954.1734,2.0,3.0,2015-11-25,PL,PLX15
2015-09-10,958.4672,958.4672,958.4672,958.4672,3.0,6.0,2015-11-25,PL,PLX15
2015-09-11,980.7036,980.7036,980.7036,980.7036,7.0,4.0,2015-11-25,PL,PLX15
2015-09-14,983.4496,983.4496,983.4496,983.4496,1.0,6.0,2015-11-25,PL,PLX15
2015-09-15,1000.955,1000.955,1000.955,1000.955,0.0,7.0,2015-11-25,PL,PLX15
2015-09-16,997.5518,997.5518,997.5518,997.5518,0.0,6.0,2015-11-25,PL,PLX15
2015-09-17,1010.3205,1010.3205,1010.3205,1010.3205,0.0,6.0,2015-11-25,PL,PLX15
2015-09-18,1024.566,1024.566,1024.566,1024.566,1.0,7.0,2015-11-25,PL,PLX15
2015-09-21,1027.7422,1027.7422,1027.7422,1027.7422,0.0,5.0,2015-11-25,PL,PLX15
2015-09-22,1049.9414,1049.9414,1049.9414,1049.9414,6.0,12.0,2015-11-25,PL,PLX15
2015-09-23,1031.8824,1031.8824,1031.8824,1031.8824,7.0,13.0,2015-11-25,PL,PLX15
2015-09-24,1049.5276,1049.5276,1049.5276,1049.5276,4.0,14.0,2015-11-25,PL,PLX15
2015-09-25,1046.0642,1046.0642,1046.0642,1046.0642,2.0,14.0,2015-11-25,PL,PLX15
2015-09-28,1032.8838,1032.8838,1032.8838,1032.8838,76.0,38.0,2015-11-25,PL,PLX15
2015-09-29,1010.8834,1010.8834,1010.8834,1010.8834,51.0,50.0,2015-11-25,PL,PLX15
2015-09-30,996.6299,996.6299,996.6299,996.6299,14.0,69.0,2015-11-25,PL,PLX15
2015-10-01,976.6973,976.6973,976.6973,976.6973,23.0,47.0,2015-11-25,PL,PLX15
2015-10-02,969.5674,969.5674,969.5674,969.5674,16.0,50.0,2015-11-25,PL,PLX15
2015-10-05,992.2553,992.2553,992.2553,992.2553,19.0,55.0,2015-11-25,PL,PLX15
2015-10-06,973.8986,973.8986,973.8986,973.8986,23.0,31.0,2015-11-25,PL,PLX15
2015-10-07,969.0291,969.0291,969.0291,969.0291,12.0,38.0,2015-11-25,PL,PLX15
2015-10-08,976.3937,976.3937,976.3937,976.3937,7.0,29.0,2015-11-25,PL,PLX15
2015-10-09,994.8475,994.8475,994.8475,994.8475,18.0,24.0,2015-11-25,PL,PLX15
2015-10-12,994.0516,994.0516,994.0516,994.0516,12.0,25.0,2015-11-25,PL,PLX15
2015-10-13,1018.9029,1018.9029,1018.9029,1018.9029,3.0,31.0,2015-11-25,PL,PLX15
2015-10-14,999.1362,999.1362,999.1362,999.1362,1.0,30.0,2015-11-25,PL,PLX15
2015-10-15,1011.5255,1011.5255,1011.5255,1011.5255,8.0,27.0,2015-11-25,PL,PLX15
2015-10-16,1026.2938,1026.2938,1026.2938,1026.2938,2.0,26.0,2015-11-25,PL,PLX15
2015-10-19,1013.5678,1013.5678,1013.5678,1013.5678,2.0,22.0,2015-11-25,PL,PLX15
