,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-09-28,1021.9212,1021.9212,1021.9212,1021.9212,0.0,0.0,2016-12-28,PL,PLZ16
2016-09-29,999.7455,999.7455,999.7455,999.7455,0.0,0.0,2016-12-28,PL,PLZ16
2016-09-30,1001.4451,1001.4451,1001.4451,1001.4451,1.0,1.0,2016-12-28,PL,PLZ16
2016-10-03,1001.5452,1001.5452,1001.5452,1001.5452,10.0,3.0,2016-12-28,PL,PLZ16
2016-10-04,983.5174,983.5174,983.5174,983.5174,0.0,3.0,2016-12-28,PL,PLZ16
2016-10-05,1002.2042,1002.2042,1002.2042,1002.2042,1.0,4.0,2016-12-28,PL,PLZ16
2016-10-06,987.0709,987.0709,987.0709,987.0709,2.0,3.0,2016-12-28,PL,PLZ16
2016-10-07,963.3812,963.3812,963.3812,963.3812,11.0,4.0,2016-12-28,PL,PLZ16
2016-10-10,954.9034,954.9034,954.9034,954.9034,3.0,7.0,2016-12-28,PL,PLZ16
2016-10-11,945.5453,945.5453,945.5453,945.5453,16.0,6.0,2016-12-28,PL,PLZ16
2016-10-12,927.5799,927.5799,927.5799,927.5799,11.0,13.0,2016-12-28,PL,PLZ16
2016-10-13,922.1072,922.1072,922.1072,922.1072,7.0,9.0,2016-12-28,PL,PLZ16
2016-10-14,944.6988,944.6988,944.6988,944.6988,2.0,11.0,2016-12-28,PL,PLZ16
2016-10-17,968.6941,968.6941,968.6941,968.6941,3.0,10.0,2016-12-28,PL,PLZ16
2016-10-18,972.8595,972.8595,972.8595,972.8595,6.0,7.0,2016-12-28,PL,PLZ16
2016-10-19,962.158,962.158,962.158,962.158,2.0,6.0,2016-12-28,PL,PLZ16
2016-10-20,953.8834,953.8834,953.8834,953.8834,34.0,39.0,2016-12-28,PL,PLZ16
2016-10-21,949.4955,949.4955,949.4955,949.4955,0.0,8.0,2016-12-28,PL,PLZ16
2016-10-24,974.2773,974.2773,974.2773,974.2773,2.0,6.0,2016-12-28,PL,PLZ16
2016-10-25,950.7972,950.7972,950.7972,950.7972,6.0,7.0,2016-12-28,PL,PLZ16
2016-10-26,957.3577,957.3577,957.3577,957.3577,2.0,9.0,2016-12-28,PL,PLZ16
2016-10-27,933.8067,933.8067,933.8067,933.8067,2.0,13.0,2016-12-28,PL,PLZ16
2016-10-28,958.9261,958.9261,958.9261,958.9261,6.0,11.0,2016-12-28,PL,PLZ16
2016-10-31,981.6526,981.6526,981.6526,981.6526,6.0,13.0,2016-12-28,PL,PLZ16
2016-11-01,986.4627,986.4627,986.4627,986.4627,6.0,18.0,2016-12-28,PL,PLZ16
2016-11-02,1010.0392,1010.0392,1010.0392,1010.0392,37.0,16.0,2016-12-28,PL,PLZ16
2016-11-03,1005.999,1005.999,1005.999,1005.999,8.0,21.0,2016-12-28,PL,PLZ16
2016-11-04,992.418,992.418,992.418,992.418,11.0,16.0,2016-12-28,PL,PLZ16
2016-11-07,1019.7095,1019.7095,1019.7095,1019.7095,10.0,21.0,2016-12-28,PL,PLZ16
2016-11-08,1042.8569,1042.8569,1042.8569,1042.8569,5.0,18.0,2016-12-28,PL,PLZ16
2016-11-09,1068.6155,1068.6155,1068.6155,1068.6155,37.0,28.0,2016-12-28,PL,PLZ16
2016-11-10,1057.8225,1057.8225,1057.8225,1057.8225,43.0,30.0,2016-12-28,PL,PLZ16
2016-11-11,1053.697,1053.697,1053.697,1053.697,21.0,27.0,2016-12-28,PL,PLZ16
2016-11-14,1053.0648,1053.0648,1053.0648,1053.0648,10.0,26.0,2016-12-28,PL,PLZ16
2016-11-15,1052.7489,1052.7489,1052.7489,1052.7489,7.0,35.0,2016-12-28,PL,PLZ16
2016-11-16,1034.3258,1034.3258,1034.3258,1034.3258,21.0,28.0,2016-12-28,PL,PLZ16
2016-11-17,1011.0535,1011.0535,1011.0535,1011.0535,23.0,36.0,2016-12-28,PL,PLZ16
2016-11-18,1019.7486,1019.7486,1019.7486,1019.7486,26.0,34.0,2016-12-28,PL,PLZ16
2016-11-21,1002.7188,1002.7188,1002.7188,1002.7188,81.0,62.0,2016-12-28,PL,PLZ16
2016-11-22,1031.2963,1031.2963,1031.2963,1031.2963,89.0,156.0,2016-12-28,PL,PLZ16
2016-11-23,1011.4954,1011.4954,1011.4954,1011.4954,71.0,168.0,2016-12-28,PL,PLZ16
2016-11-25,1008.5621,1008.5621,1008.5621,1008.5621,75.0,47.0,2016-12-28,PL,PLZ16
2016-11-28,1004.1244,1004.1244,1004.1244,1004.1244,15.0,38.0,2016-12-28,PL,PLZ16
2016-11-29,1003.7228,1003.7228,1003.7228,1003.7228,30.0,27.0,2016-12-28,PL,PLZ16
2016-11-30,984.3509,984.3509,984.3509,984.3509,0.0,29.0,2016-12-28,PL,PLZ16
2016-12-01,954.0329,954.0329,954.0329,954.0329,0.0,17.0,2016-12-28,PL,PLZ16
2016-12-02,967.771,967.771,967.771,967.771,1.0,9.0,2016-12-28,PL,PLZ16
2016-12-05,959.1578,959.1578,959.1578,959.1578,0.0,8.0,2016-12-28,PL,PLZ16
2016-12-06,964.4332,964.4332,964.4332,964.4332,0.0,10.0,2016-12-28,PL,PLZ16
2016-12-07,984.7827,984.7827,984.7827,984.7827,0.0,11.0,2016-12-28,PL,PLZ16
2016-12-08,992.0701,992.0701,992.0701,992.0701,0.0,1.0,2016-12-28,PL,PLZ16
2016-12-09,1012.4075,1012.4075,1012.4075,1012.4075,0.0,1.0,2016-12-28,PL,PLZ16
2016-12-12,1007.143,1007.143,1007.143,1007.143,0.0,1.0,2016-12-28,PL,PLZ16
2016-12-13,990.4244,990.4244,990.4244,990.4244,0.0,0.0,2016-12-28,PL,PLZ16
2016-12-14,974.1814,974.1814,974.1814,974.1814,0.0,0.0,2016-12-28,PL,PLZ16
2016-12-15,954.1133,954.1133,954.1133,954.1133,0.0,0.0,2016-12-28,PL,PLZ16
2016-12-16,955.8307,955.8307,955.8307,955.8307,0.0,0.0,2016-12-28,PL,PLZ16
2016-12-19,962.2348,962.2348,962.2348,962.2348,0.0,0.0,2016-12-28,PL,PLZ16
2016-12-20,932.1169,932.1169,932.1169,932.1169,0.0,0.0,2016-12-28,PL,PLZ16
2016-12-21,919.1605,919.1605,919.1605,919.1605,13.0,2.0,2016-12-28,PL,PLZ16
2016-12-22,915.4839,915.4839,915.4839,915.4839,0.0,0.0,2016-12-28,PL,PLZ16
2016-12-23,891.0405,891.0405,891.0405,891.0405,0.0,0.0,2016-12-28,PL,PLZ16
2016-12-27,893.7136,893.7136,893.7136,893.7136,0.0,0.0,2016-12-28,PL,PLZ16
2016-12-28,875.9287,875.9287,875.9287,875.9287,0.0,0.0,2016-12-28,PL,PLZ16
