,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-30,1.5278,1.5278,1.5278,1.5278,0.0,0.0,2019-12-31,RB,RBF20
2015-12-01,1.4948,1.4948,1.4948,1.4948,0.0,0.0,2019-12-31,RB,RBF20
2015-12-02,1.538,1.538,1.538,1.538,0.0,0.0,2019-12-31,RB,RBF20
2015-12-03,1.5763,1.5763,1.5763,1.5763,0.0,0.0,2019-12-31,RB,RBF20
2015-12-04,1.5596,1.5596,1.5596,1.5596,0.0,0.0,2019-12-31,RB,RBF20
2015-12-07,1.5393,1.5393,1.5393,1.5393,0.0,0.0,2019-12-31,RB,RBF20
2015-12-08,1.5093,1.5093,1.5093,1.5093,0.0,0.0,2019-12-31,RB,RBF20
2015-12-09,1.4968,1.4968,1.4968,1.4968,0.0,0.0,2019-12-31,RB,RBF20
2015-12-10,1.4993,1.4993,1.4993,1.4993,0.0,0.0,2019-12-31,RB,RBF20
2015-12-11,1.4999,1.4999,1.4999,1.4999,0.0,0.0,2019-12-31,RB,RBF20
2015-12-14,1.5017,1.5017,1.5017,1.5017,0.0,0.0,2019-12-31,RB,RBF20
2015-12-15,1.5055,1.5055,1.5055,1.5055,0.0,0.0,2019-12-31,RB,RBF20
2015-12-16,1.4706,1.4706,1.4706,1.4706,0.0,0.0,2019-12-31,RB,RBF20
2015-12-17,1.4363,1.4363,1.4363,1.4363,0.0,0.0,2019-12-31,RB,RBF20
2015-12-18,1.4333,1.4333,1.4333,1.4333,0.0,0.0,2019-12-31,RB,RBF20
2015-12-21,1.4734,1.4734,1.4734,1.4734,0.0,0.0,2019-12-31,RB,RBF20
2015-12-22,1.4746,1.4746,1.4746,1.4746,0.0,0.0,2019-12-31,RB,RBF20
2015-12-23,1.5025,1.5025,1.5025,1.5025,0.0,0.0,2019-12-31,RB,RBF20
2015-12-24,1.5452,1.5452,1.5452,1.5452,0.0,0.0,2019-12-31,RB,RBF20
2015-12-28,1.5619,1.5619,1.5619,1.5619,0.0,0.0,2019-12-31,RB,RBF20
2015-12-29,1.5838,1.5838,1.5838,1.5838,0.0,0.0,2019-12-31,RB,RBF20
2015-12-30,1.586,1.586,1.586,1.586,0.0,0.0,2019-12-31,RB,RBF20
2015-12-31,1.5736,1.5736,1.5736,1.5736,0.0,0.0,2019-12-31,RB,RBF20
2016-01-04,1.5878,1.5878,1.5878,1.5878,0.0,0.0,2019-12-31,RB,RBF20
2016-01-05,1.5807,1.5807,1.5807,1.5807,0.0,0.0,2019-12-31,RB,RBF20
2016-01-06,1.6262,1.6262,1.6262,1.6262,0.0,0.0,2019-12-31,RB,RBF20
2016-01-07,1.6677,1.6677,1.6677,1.6677,0.0,0.0,2019-12-31,RB,RBF20
2016-01-08,1.6819,1.6819,1.6819,1.6819,0.0,0.0,2019-12-31,RB,RBF20
2016-01-11,1.7033,1.7033,1.7033,1.7033,0.0,0.0,2019-12-31,RB,RBF20
2016-01-12,1.6762,1.6762,1.6762,1.6762,0.0,0.0,2019-12-31,RB,RBF20
2016-01-13,1.7189,1.7189,1.7189,1.7189,0.0,0.0,2019-12-31,RB,RBF20
2016-01-14,1.7103,1.7103,1.7103,1.7103,0.0,0.0,2019-12-31,RB,RBF20
