,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-01-30,1.6861,1.6861,1.6861,1.6861,0.0,0.0,2018-01-31,RB,RBG18
2015-02-02,1.708,1.708,1.708,1.708,0.0,0.0,2018-01-31,RB,RBG18
2015-02-03,1.7543,1.7543,1.7543,1.7543,0.0,0.0,2018-01-31,RB,RBG18
2015-02-04,1.7764,1.7764,1.7764,1.7764,0.0,0.0,2018-01-31,RB,RBG18
2015-02-05,1.7883,1.7883,1.7883,1.7883,0.0,0.0,2018-01-31,RB,RBG18
2015-02-06,1.7364,1.7364,1.7364,1.7364,0.0,0.0,2018-01-31,RB,RBG18
2015-02-09,1.7779,1.7779,1.7779,1.7779,0.0,0.0,2018-01-31,RB,RBG18
2015-02-10,1.7573,1.7573,1.7573,1.7573,0.0,0.0,2018-01-31,RB,RBG18
2015-02-11,1.7759,1.7759,1.7759,1.7759,0.0,0.0,2018-01-31,RB,RBG18
2015-02-12,1.7466,1.7466,1.7466,1.7466,0.0,0.0,2018-01-31,RB,RBG18
2015-02-13,1.7945,1.7945,1.7945,1.7945,0.0,0.0,2018-01-31,RB,RBG18
2015-02-17,1.8112,1.8112,1.8112,1.8112,0.0,0.0,2018-01-31,RB,RBG18
2015-02-18,1.8695,1.8695,1.8695,1.8695,0.0,0.0,2018-01-31,RB,RBG18
2015-02-19,1.9271,1.9271,1.9271,1.9271,0.0,0.0,2018-01-31,RB,RBG18
2015-02-20,1.9483,1.9483,1.9483,1.9483,0.0,0.0,2018-01-31,RB,RBG18
2015-02-23,1.9446,1.9446,1.9446,1.9446,0.0,0.0,2018-01-31,RB,RBG18
2015-02-24,1.9386,1.9386,1.9386,1.9386,0.0,0.0,2018-01-31,RB,RBG18
2015-02-25,1.9217,1.9217,1.9217,1.9217,0.0,0.0,2018-01-31,RB,RBG18
2015-02-26,1.9311,1.9311,1.9311,1.9311,0.0,0.0,2018-01-31,RB,RBG18
2015-02-27,1.9079,1.9079,1.9079,1.9079,0.0,0.0,2018-01-31,RB,RBG18
2015-03-02,1.8903,1.8903,1.8903,1.8903,0.0,0.0,2018-01-31,RB,RBG18
2015-03-03,1.9022,1.9022,1.9022,1.9022,0.0,0.0,2018-01-31,RB,RBG18
2015-03-04,1.9326,1.9326,1.9326,1.9326,0.0,0.0,2018-01-31,RB,RBG18
2015-03-05,1.9299,1.9299,1.9299,1.9299,0.0,0.0,2018-01-31,RB,RBG18
2015-03-06,1.9805,1.9805,1.9805,1.9805,0.0,0.0,2018-01-31,RB,RBG18
2015-03-09,1.9181,1.9181,1.9181,1.9181,0.0,0.0,2018-01-31,RB,RBG18
2015-03-10,1.9409,1.9409,1.9409,1.9409,0.0,0.0,2018-01-31,RB,RBG18
2015-03-11,1.9166,1.9166,1.9166,1.9166,0.0,0.0,2018-01-31,RB,RBG18
2015-03-12,1.9227,1.9227,1.9227,1.9227,0.0,0.0,2018-01-31,RB,RBG18
2015-03-13,1.9092,1.9092,1.9092,1.9092,0.0,0.0,2018-01-31,RB,RBG18
2015-03-16,1.8993,1.8993,1.8993,1.8993,0.0,0.0,2018-01-31,RB,RBG18
2015-03-17,1.9126,1.9126,1.9126,1.9126,0.0,0.0,2018-01-31,RB,RBG18
2015-03-18,1.8988,1.8988,1.8988,1.8988,0.0,0.0,2018-01-31,RB,RBG18
2015-03-19,1.9227,1.9227,1.9227,1.9227,0.0,0.0,2018-01-31,RB,RBG18
2015-03-20,1.9106,1.9106,1.9106,1.9106,0.0,0.0,2018-01-31,RB,RBG18
2015-03-23,1.8988,1.8988,1.8988,1.8988,0.0,0.0,2018-01-31,RB,RBG18
2015-03-24,1.8498,1.8498,1.8498,1.8498,0.0,0.0,2018-01-31,RB,RBG18
2015-03-25,1.8979,1.8979,1.8979,1.8979,0.0,0.0,2018-01-31,RB,RBG18
2015-03-26,1.8835,1.8835,1.8835,1.8835,0.0,0.0,2018-01-31,RB,RBG18
2015-03-27,1.8771,1.8771,1.8771,1.8771,0.0,0.0,2018-01-31,RB,RBG18
2015-03-30,1.8236,1.8236,1.8236,1.8236,0.0,0.0,2018-01-31,RB,RBG18
2015-03-31,1.8572,1.8572,1.8572,1.8572,0.0,0.0,2018-01-31,RB,RBG18
