,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-02-27,1.7781,1.7781,1.7781,1.7781,0.0,0.0,2018-02-28,RB,RBH18
2015-03-02,1.8114,1.8114,1.8114,1.8114,0.0,0.0,2018-02-28,RB,RBH18
2015-03-03,1.7994,1.7994,1.7994,1.7994,0.0,0.0,2018-02-28,RB,RBH18
2015-03-04,1.7663,1.7663,1.7663,1.7663,0.0,0.0,2018-02-28,RB,RBH18
2015-03-05,1.8064,1.8064,1.8064,1.8064,0.0,0.0,2018-02-28,RB,RBH18
2015-03-06,1.7562,1.7562,1.7562,1.7562,0.0,0.0,2018-02-28,RB,RBH18
2015-03-09,1.8013,1.8013,1.8013,1.8013,0.0,0.0,2018-02-28,RB,RBH18
2015-03-10,1.7874,1.7874,1.7874,1.7874,0.0,0.0,2018-02-28,RB,RBH18
2015-03-11,1.7517,1.7517,1.7517,1.7517,0.0,0.0,2018-02-28,RB,RBH18
2015-03-12,1.7654,1.7654,1.7654,1.7654,0.0,0.0,2018-02-28,RB,RBH18
2015-03-13,1.8102,1.8102,1.8102,1.8102,0.0,0.0,2018-02-28,RB,RBH18
2015-03-16,1.8022,1.8022,1.8022,1.8022,0.0,0.0,2018-02-28,RB,RBH18
2015-03-17,1.7667,1.7667,1.7667,1.7667,0.0,0.0,2018-02-28,RB,RBH18
2015-03-18,1.7314,1.7314,1.7314,1.7314,0.0,0.0,2018-02-28,RB,RBH18
2015-03-19,1.7614,1.7614,1.7614,1.7614,0.0,0.0,2018-02-28,RB,RBH18
2015-03-20,1.7785,1.7785,1.7785,1.7785,0.0,0.0,2018-02-28,RB,RBH18
2015-03-23,1.7991,1.7991,1.7991,1.7991,0.0,0.0,2018-02-28,RB,RBH18
2015-03-24,1.8538,1.8538,1.8538,1.8538,0.0,0.0,2018-02-28,RB,RBH18
2015-03-25,1.8677,1.8677,1.8677,1.8677,0.0,0.0,2018-02-28,RB,RBH18
