,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-30,1.7546,1.7546,1.7546,1.7546,0.0,0.0,2019-03-29,RB,RBJ19
2015-12-01,1.7883,1.7883,1.7883,1.7883,0.0,0.0,2019-03-29,RB,RBJ19
2015-12-02,1.7731,1.7731,1.7731,1.7731,0.0,0.0,2019-03-29,RB,RBJ19
2015-12-03,1.7804,1.7804,1.7804,1.7804,0.0,0.0,2019-03-29,RB,RBJ19
2015-12-04,1.7982,1.7982,1.7982,1.7982,0.0,0.0,2019-03-29,RB,RBJ19
2015-12-07,1.7495,1.7495,1.7495,1.7495,0.0,0.0,2019-03-29,RB,RBJ19
2015-12-08,1.7892,1.7892,1.7892,1.7892,0.0,0.0,2019-03-29,RB,RBJ19
2015-12-09,1.8132,1.8132,1.8132,1.8132,0.0,0.0,2019-03-29,RB,RBJ19
2015-12-10,1.8313,1.8313,1.8313,1.8313,0.0,0.0,2019-03-29,RB,RBJ19
2015-12-11,1.8,1.8,1.8,1.8,0.0,0.0,2019-03-29,RB,RBJ19
2015-12-14,1.8131,1.8131,1.8131,1.8131,0.0,0.0,2019-03-29,RB,RBJ19
2015-12-15,1.8504,1.8504,1.8504,1.8504,0.0,0.0,2019-03-29,RB,RBJ19
2015-12-16,1.8226,1.8226,1.8226,1.8226,0.0,0.0,2019-03-29,RB,RBJ19
2015-12-17,1.8375,1.8375,1.8375,1.8375,0.0,0.0,2019-03-29,RB,RBJ19
2015-12-18,1.8011,1.8011,1.8011,1.8011,0.0,0.0,2019-03-29,RB,RBJ19
2015-12-21,1.7779,1.7779,1.7779,1.7779,0.0,0.0,2019-03-29,RB,RBJ19
2015-12-22,1.7884,1.7884,1.7884,1.7884,0.0,0.0,2019-03-29,RB,RBJ19
2015-12-23,1.7591,1.7591,1.7591,1.7591,0.0,0.0,2019-03-29,RB,RBJ19
2015-12-24,1.7508,1.7508,1.7508,1.7508,0.0,0.0,2019-03-29,RB,RBJ19
2015-12-28,1.7364,1.7364,1.7364,1.7364,0.0,0.0,2019-03-29,RB,RBJ19
2015-12-29,1.722,1.722,1.722,1.722,0.0,0.0,2019-03-29,RB,RBJ19
2015-12-30,1.7408,1.7408,1.7408,1.7408,0.0,0.0,2019-03-29,RB,RBJ19
2015-12-31,1.7431,1.7431,1.7431,1.7431,0.0,0.0,2019-03-29,RB,RBJ19
2016-01-04,1.7159,1.7159,1.7159,1.7159,0.0,0.0,2019-03-29,RB,RBJ19
2016-01-05,1.7008,1.7008,1.7008,1.7008,0.0,0.0,2019-03-29,RB,RBJ19
2016-01-06,1.6943,1.6943,1.6943,1.6943,0.0,0.0,2019-03-29,RB,RBJ19
2016-01-07,1.7007,1.7007,1.7007,1.7007,0.0,0.0,2019-03-29,RB,RBJ19
2016-01-08,1.743,1.743,1.743,1.743,0.0,0.0,2019-03-29,RB,RBJ19
2016-01-11,1.785,1.785,1.785,1.785,0.0,0.0,2019-03-29,RB,RBJ19
2016-01-12,1.8228,1.8228,1.8228,1.8228,0.0,0.0,2019-03-29,RB,RBJ19
2016-01-13,1.7842,1.7842,1.7842,1.7842,0.0,0.0,2019-03-29,RB,RBJ19
2016-01-14,1.7573,1.7573,1.7573,1.7573,0.0,0.0,2019-03-29,RB,RBJ19
2016-01-15,1.7946,1.7946,1.7946,1.7946,0.0,0.0,2019-03-29,RB,RBJ19
2016-01-19,1.7454,1.7454,1.7454,1.7454,0.0,0.0,2019-03-29,RB,RBJ19
2016-01-20,1.7314,1.7314,1.7314,1.7314,0.0,0.0,2019-03-29,RB,RBJ19
2016-01-21,1.7153,1.7153,1.7153,1.7153,0.0,0.0,2019-03-29,RB,RBJ19
2016-01-22,1.6752,1.6752,1.6752,1.6752,0.0,0.0,2019-03-29,RB,RBJ19
2016-01-25,1.7199,1.7199,1.7199,1.7199,0.0,0.0,2019-03-29,RB,RBJ19
2016-01-26,1.766,1.766,1.766,1.766,0.0,0.0,2019-03-29,RB,RBJ19
2016-01-27,1.7506,1.7506,1.7506,1.7506,0.0,0.0,2019-03-29,RB,RBJ19
2016-01-28,1.7716,1.7716,1.7716,1.7716,0.0,0.0,2019-03-29,RB,RBJ19
2016-01-29,1.7659,1.7659,1.7659,1.7659,0.0,0.0,2019-03-29,RB,RBJ19
2016-02-01,1.7604,1.7604,1.7604,1.7604,0.0,0.0,2019-03-29,RB,RBJ19
2016-02-02,1.8026,1.8026,1.8026,1.8026,0.0,0.0,2019-03-29,RB,RBJ19
2016-02-03,1.8352,1.8352,1.8352,1.8352,0.0,0.0,2019-03-29,RB,RBJ19
2016-02-04,1.88,1.88,1.88,1.88,0.0,0.0,2019-03-29,RB,RBJ19
2016-02-05,1.8689,1.8689,1.8689,1.8689,0.0,0.0,2019-03-29,RB,RBJ19
2016-02-08,1.8403,1.8403,1.8403,1.8403,0.0,0.0,2019-03-29,RB,RBJ19
2016-02-09,1.8751,1.8751,1.8751,1.8751,0.0,0.0,2019-03-29,RB,RBJ19
2016-02-10,1.8243,1.8243,1.8243,1.8243,0.0,0.0,2019-03-29,RB,RBJ19
2016-02-11,1.8022,1.8022,1.8022,1.8022,0.0,0.0,2019-03-29,RB,RBJ19
2016-02-12,1.7559,1.7559,1.7559,1.7559,0.0,0.0,2019-03-29,RB,RBJ19
2016-02-16,1.7803,1.7803,1.7803,1.7803,0.0,0.0,2019-03-29,RB,RBJ19
2016-02-17,1.8221,1.8221,1.8221,1.8221,0.0,0.0,2019-03-29,RB,RBJ19
2016-02-18,1.8498,1.8498,1.8498,1.8498,0.0,0.0,2019-03-29,RB,RBJ19
2016-02-19,1.8431,1.8431,1.8431,1.8431,0.0,0.0,2019-03-29,RB,RBJ19
2016-02-22,1.8472,1.8472,1.8472,1.8472,0.0,0.0,2019-03-29,RB,RBJ19
2016-02-23,1.833,1.833,1.833,1.833,0.0,0.0,2019-03-29,RB,RBJ19
2016-02-24,1.839,1.839,1.839,1.839,0.0,0.0,2019-03-29,RB,RBJ19
2016-02-25,1.8028,1.8028,1.8028,1.8028,0.0,0.0,2019-03-29,RB,RBJ19
2016-02-26,1.7637,1.7637,1.7637,1.7637,0.0,0.0,2019-03-29,RB,RBJ19
2016-02-29,1.7323,1.7323,1.7323,1.7323,0.0,0.0,2019-03-29,RB,RBJ19
2016-03-01,1.7567,1.7567,1.7567,1.7567,0.0,0.0,2019-03-29,RB,RBJ19
2016-03-02,1.7609,1.7609,1.7609,1.7609,0.0,0.0,2019-03-29,RB,RBJ19
2016-03-03,1.7218,1.7218,1.7218,1.7218,0.0,0.0,2019-03-29,RB,RBJ19
2016-03-04,1.7211,1.7211,1.7211,1.7211,0.0,0.0,2019-03-29,RB,RBJ19
2016-03-07,1.7151,1.7151,1.7151,1.7151,0.0,0.0,2019-03-29,RB,RBJ19
2016-03-08,1.7597,1.7597,1.7597,1.7597,0.0,0.0,2019-03-29,RB,RBJ19
2016-03-09,1.7235,1.7235,1.7235,1.7235,0.0,0.0,2019-03-29,RB,RBJ19
2016-03-10,1.7318,1.7318,1.7318,1.7318,0.0,0.0,2019-03-29,RB,RBJ19
2016-03-11,1.6909,1.6909,1.6909,1.6909,0.0,0.0,2019-03-29,RB,RBJ19
2016-03-14,1.7054,1.7054,1.7054,1.7054,0.0,0.0,2019-03-29,RB,RBJ19
2016-03-15,1.7501,1.7501,1.7501,1.7501,0.0,0.0,2019-03-29,RB,RBJ19
2016-03-16,1.7156,1.7156,1.7156,1.7156,0.0,0.0,2019-03-29,RB,RBJ19
2016-03-17,1.7518,1.7518,1.7518,1.7518,0.0,0.0,2019-03-29,RB,RBJ19
2016-03-18,1.7762,1.7762,1.7762,1.7762,0.0,0.0,2019-03-29,RB,RBJ19
2016-03-21,1.7593,1.7593,1.7593,1.7593,0.0,0.0,2019-03-29,RB,RBJ19
2016-03-22,1.728,1.728,1.728,1.728,0.0,0.0,2019-03-29,RB,RBJ19
2016-03-23,1.7567,1.7567,1.7567,1.7567,0.0,0.0,2019-03-29,RB,RBJ19
2016-03-24,1.7562,1.7562,1.7562,1.7562,0.0,0.0,2019-03-29,RB,RBJ19
2016-03-28,1.8001,1.8001,1.8001,1.8001,0.0,0.0,2019-03-29,RB,RBJ19
2016-03-29,1.8275,1.8275,1.8275,1.8275,0.0,0.0,2019-03-29,RB,RBJ19
2016-03-30,1.8624,1.8624,1.8624,1.8624,0.0,0.0,2019-03-29,RB,RBJ19
2016-03-31,1.8222,1.8222,1.8222,1.8222,0.0,0.0,2019-03-29,RB,RBJ19
