,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-30,1.7668,1.7668,1.7668,1.7668,0.0,0.0,2019-04-30,RB,RBK19
2015-12-01,1.7737,1.7737,1.7737,1.7737,0.0,0.0,2019-04-30,RB,RBK19
2015-12-02,1.7453,1.7453,1.7453,1.7453,0.0,0.0,2019-04-30,RB,RBK19
2015-12-03,1.7757,1.7757,1.7757,1.7757,0.0,0.0,2019-04-30,RB,RBK19
2015-12-04,1.7318,1.7318,1.7318,1.7318,0.0,0.0,2019-04-30,RB,RBK19
2015-12-07,1.7242,1.7242,1.7242,1.7242,0.0,0.0,2019-04-30,RB,RBK19
2015-12-08,1.7176,1.7176,1.7176,1.7176,0.0,0.0,2019-04-30,RB,RBK19
2015-12-09,1.7368,1.7368,1.7368,1.7368,0.0,0.0,2019-04-30,RB,RBK19
2015-12-10,1.7781,1.7781,1.7781,1.7781,0.0,0.0,2019-04-30,RB,RBK19
2015-12-11,1.7875,1.7875,1.7875,1.7875,0.0,0.0,2019-04-30,RB,RBK19
2015-12-14,1.8043,1.8043,1.8043,1.8043,0.0,0.0,2019-04-30,RB,RBK19
2015-12-15,1.7974,1.7974,1.7974,1.7974,0.0,0.0,2019-04-30,RB,RBK19
2015-12-16,1.7832,1.7832,1.7832,1.7832,0.0,0.0,2019-04-30,RB,RBK19
2015-12-17,1.7602,1.7602,1.7602,1.7602,0.0,0.0,2019-04-30,RB,RBK19
2015-12-18,1.7215,1.7215,1.7215,1.7215,0.0,0.0,2019-04-30,RB,RBK19
2015-12-21,1.6788,1.6788,1.6788,1.6788,0.0,0.0,2019-04-30,RB,RBK19
2015-12-22,1.6833,1.6833,1.6833,1.6833,0.0,0.0,2019-04-30,RB,RBK19
2015-12-23,1.6648,1.6648,1.6648,1.6648,0.0,0.0,2019-04-30,RB,RBK19
2015-12-24,1.7064,1.7064,1.7064,1.7064,0.0,0.0,2019-04-30,RB,RBK19
2015-12-28,1.6603,1.6603,1.6603,1.6603,0.0,0.0,2019-04-30,RB,RBK19
2015-12-29,1.6827,1.6827,1.6827,1.6827,0.0,0.0,2019-04-30,RB,RBK19
2015-12-30,1.6452,1.6452,1.6452,1.6452,0.0,0.0,2019-04-30,RB,RBK19
2015-12-31,1.6847,1.6847,1.6847,1.6847,0.0,0.0,2019-04-30,RB,RBK19
2016-01-04,1.686,1.686,1.686,1.686,0.0,0.0,2019-04-30,RB,RBK19
2016-01-05,1.6511,1.6511,1.6511,1.6511,0.0,0.0,2019-04-30,RB,RBK19
2016-01-06,1.6395,1.6395,1.6395,1.6395,0.0,0.0,2019-04-30,RB,RBK19
2016-01-07,1.6564,1.6564,1.6564,1.6564,0.0,0.0,2019-04-30,RB,RBK19
2016-01-08,1.6637,1.6637,1.6637,1.6637,0.0,0.0,2019-04-30,RB,RBK19
2016-01-11,1.671,1.671,1.671,1.671,0.0,0.0,2019-04-30,RB,RBK19
2016-01-12,1.689,1.689,1.689,1.689,0.0,0.0,2019-04-30,RB,RBK19
2016-01-13,1.725,1.725,1.725,1.725,0.0,0.0,2019-04-30,RB,RBK19
2016-01-14,1.7043,1.7043,1.7043,1.7043,0.0,0.0,2019-04-30,RB,RBK19
2016-01-15,1.7133,1.7133,1.7133,1.7133,0.0,0.0,2019-04-30,RB,RBK19
2016-01-19,1.7219,1.7219,1.7219,1.7219,0.0,0.0,2019-04-30,RB,RBK19
2016-01-20,1.6764,1.6764,1.6764,1.6764,0.0,0.0,2019-04-30,RB,RBK19
2016-01-21,1.6479,1.6479,1.6479,1.6479,0.0,0.0,2019-04-30,RB,RBK19
2016-01-22,1.6299,1.6299,1.6299,1.6299,0.0,0.0,2019-04-30,RB,RBK19
2016-01-25,1.5978,1.5978,1.5978,1.5978,0.0,0.0,2019-04-30,RB,RBK19
2016-01-26,1.5837,1.5837,1.5837,1.5837,0.0,0.0,2019-04-30,RB,RBK19
