,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-30,1.7354,1.7354,1.7354,1.7354,0.0,0.0,2019-05-31,RB,RBM19
2015-12-01,1.7007,1.7007,1.7007,1.7007,0.0,0.0,2019-05-31,RB,RBM19
2015-12-02,1.6565,1.6565,1.6565,1.6565,0.0,0.0,2019-05-31,RB,RBM19
2015-12-03,1.655,1.655,1.655,1.655,0.0,0.0,2019-05-31,RB,RBM19
2015-12-04,1.6416,1.6416,1.6416,1.6416,0.0,0.0,2019-05-31,RB,RBM19
2015-12-07,1.6089,1.6089,1.6089,1.6089,0.0,0.0,2019-05-31,RB,RBM19
2015-12-08,1.5973,1.5973,1.5973,1.5973,0.0,0.0,2019-05-31,RB,RBM19
2015-12-09,1.5772,1.5772,1.5772,1.5772,0.0,0.0,2019-05-31,RB,RBM19
2015-12-10,1.5854,1.5854,1.5854,1.5854,0.0,0.0,2019-05-31,RB,RBM19
2015-12-11,1.596,1.596,1.596,1.596,0.0,0.0,2019-05-31,RB,RBM19
2015-12-14,1.6255,1.6255,1.6255,1.6255,0.0,0.0,2019-05-31,RB,RBM19
2015-12-15,1.6294,1.6294,1.6294,1.6294,0.0,0.0,2019-05-31,RB,RBM19
2015-12-16,1.6151,1.6151,1.6151,1.6151,0.0,0.0,2019-05-31,RB,RBM19
2015-12-17,1.6109,1.6109,1.6109,1.6109,0.0,0.0,2019-05-31,RB,RBM19
2015-12-18,1.6504,1.6504,1.6504,1.6504,0.0,0.0,2019-05-31,RB,RBM19
2015-12-21,1.6415,1.6415,1.6415,1.6415,0.0,0.0,2019-05-31,RB,RBM19
2015-12-22,1.686,1.686,1.686,1.686,0.0,0.0,2019-05-31,RB,RBM19
2015-12-23,1.673,1.673,1.673,1.673,0.0,0.0,2019-05-31,RB,RBM19
2015-12-24,1.7178,1.7178,1.7178,1.7178,0.0,0.0,2019-05-31,RB,RBM19
2015-12-28,1.7274,1.7274,1.7274,1.7274,0.0,0.0,2019-05-31,RB,RBM19
2015-12-29,1.7013,1.7013,1.7013,1.7013,0.0,0.0,2019-05-31,RB,RBM19
2015-12-30,1.697,1.697,1.697,1.697,0.0,0.0,2019-05-31,RB,RBM19
2015-12-31,1.7107,1.7107,1.7107,1.7107,0.0,0.0,2019-05-31,RB,RBM19
2016-01-04,1.6975,1.6975,1.6975,1.6975,0.0,0.0,2019-05-31,RB,RBM19
2016-01-05,1.7072,1.7072,1.7072,1.7072,0.0,0.0,2019-05-31,RB,RBM19
