,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-30,1.7019,1.7019,1.7019,1.7019,0.0,0.0,2019-06-28,RB,RBN19
2015-12-01,1.6862,1.6862,1.6862,1.6862,0.0,0.0,2019-06-28,RB,RBN19
2015-12-02,1.6742,1.6742,1.6742,1.6742,0.0,0.0,2019-06-28,RB,RBN19
2015-12-03,1.6585,1.6585,1.6585,1.6585,0.0,0.0,2019-06-28,RB,RBN19
2015-12-04,1.6273,1.6273,1.6273,1.6273,0.0,0.0,2019-06-28,RB,RBN19
2015-12-07,1.6387,1.6387,1.6387,1.6387,0.0,0.0,2019-06-28,RB,RBN19
2015-12-08,1.614,1.614,1.614,1.614,0.0,0.0,2019-06-28,RB,RBN19
2015-12-09,1.6492,1.6492,1.6492,1.6492,0.0,0.0,2019-06-28,RB,RBN19
2015-12-10,1.6586,1.6586,1.6586,1.6586,0.0,0.0,2019-06-28,RB,RBN19
2015-12-11,1.6465,1.6465,1.6465,1.6465,0.0,0.0,2019-06-28,RB,RBN19
2015-12-14,1.6267,1.6267,1.6267,1.6267,0.0,0.0,2019-06-28,RB,RBN19
2015-12-15,1.6036,1.6036,1.6036,1.6036,0.0,0.0,2019-06-28,RB,RBN19
2015-12-16,1.5598,1.5598,1.5598,1.5598,0.0,0.0,2019-06-28,RB,RBN19
2015-12-17,1.5372,1.5372,1.5372,1.5372,0.0,0.0,2019-06-28,RB,RBN19
2015-12-18,1.5071,1.5071,1.5071,1.5071,0.0,0.0,2019-06-28,RB,RBN19
2015-12-21,1.5377,1.5377,1.5377,1.5377,1.0,1.0,2019-06-28,RB,RBN19
2015-12-22,1.5165,1.5165,1.5165,1.5165,0.0,1.0,2019-06-28,RB,RBN19
2015-12-23,1.4901,1.4901,1.4901,1.4901,0.0,1.0,2019-06-28,RB,RBN19
2015-12-24,1.4971,1.4971,1.4971,1.4971,0.0,1.0,2019-06-28,RB,RBN19
2015-12-28,1.4898,1.4898,1.4898,1.4898,0.0,1.0,2019-06-28,RB,RBN19
2015-12-29,1.4825,1.4825,1.4825,1.4825,0.0,1.0,2019-06-28,RB,RBN19
2015-12-30,1.4764,1.4764,1.4764,1.4764,0.0,1.0,2019-06-28,RB,RBN19
2015-12-31,1.4621,1.4621,1.4621,1.4621,0.0,1.0,2019-06-28,RB,RBN19
2016-01-04,1.4947,1.4947,1.4947,1.4947,0.0,1.0,2019-06-28,RB,RBN19
2016-01-05,1.5165,1.5165,1.5165,1.5165,0.0,1.0,2019-06-28,RB,RBN19
2016-01-06,1.4831,1.4831,1.4831,1.4831,0.0,1.0,2019-06-28,RB,RBN19
2016-01-07,1.4984,1.4984,1.4984,1.4984,0.0,1.0,2019-06-28,RB,RBN19
2016-01-08,1.4617,1.4617,1.4617,1.4617,0.0,1.0,2019-06-28,RB,RBN19
