,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-30,1.7207,1.7207,1.7207,1.7207,0.0,0.0,2019-07-31,RB,RBQ19
2015-12-01,1.7334,1.7334,1.7334,1.7334,0.0,0.0,2019-07-31,RB,RBQ19
2015-12-02,1.7587,1.7587,1.7587,1.7587,0.0,0.0,2019-07-31,RB,RBQ19
2015-12-03,1.7395,1.7395,1.7395,1.7395,0.0,0.0,2019-07-31,RB,RBQ19
2015-12-04,1.7315,1.7315,1.7315,1.7315,0.0,0.0,2019-07-31,RB,RBQ19
2015-12-07,1.7651,1.7651,1.7651,1.7651,0.0,0.0,2019-07-31,RB,RBQ19
2015-12-08,1.8066,1.8066,1.8066,1.8066,0.0,0.0,2019-07-31,RB,RBQ19
2015-12-09,1.7576,1.7576,1.7576,1.7576,0.0,0.0,2019-07-31,RB,RBQ19
2015-12-10,1.7291,1.7291,1.7291,1.7291,0.0,0.0,2019-07-31,RB,RBQ19
2015-12-11,1.7746,1.7746,1.7746,1.7746,0.0,0.0,2019-07-31,RB,RBQ19
2015-12-14,1.7719,1.7719,1.7719,1.7719,0.0,0.0,2019-07-31,RB,RBQ19
2015-12-15,1.8151,1.8151,1.8151,1.8151,0.0,0.0,2019-07-31,RB,RBQ19
2015-12-16,1.7699,1.7699,1.7699,1.7699,0.0,0.0,2019-07-31,RB,RBQ19
2015-12-17,1.7789,1.7789,1.7789,1.7789,0.0,0.0,2019-07-31,RB,RBQ19
2015-12-18,1.7732,1.7732,1.7732,1.7732,0.0,0.0,2019-07-31,RB,RBQ19
2015-12-21,1.7909,1.7909,1.7909,1.7909,0.0,0.0,2019-07-31,RB,RBQ19
2015-12-22,1.8299,1.8299,1.8299,1.8299,0.0,0.0,2019-07-31,RB,RBQ19
2015-12-23,1.8482,1.8482,1.8482,1.8482,0.0,0.0,2019-07-31,RB,RBQ19
2015-12-24,1.8811,1.8811,1.8811,1.8811,0.0,0.0,2019-07-31,RB,RBQ19
2015-12-28,1.8303,1.8303,1.8303,1.8303,0.0,0.0,2019-07-31,RB,RBQ19
2015-12-29,1.8664,1.8664,1.8664,1.8664,0.0,0.0,2019-07-31,RB,RBQ19
2015-12-30,1.9172,1.9172,1.9172,1.9172,0.0,0.0,2019-07-31,RB,RBQ19
2015-12-31,1.9276,1.9276,1.9276,1.9276,0.0,0.0,2019-07-31,RB,RBQ19
2016-01-04,1.9112,1.9112,1.9112,1.9112,0.0,0.0,2019-07-31,RB,RBQ19
2016-01-05,1.8797,1.8797,1.8797,1.8797,0.0,0.0,2019-07-31,RB,RBQ19
2016-01-06,1.857,1.857,1.857,1.857,0.0,0.0,2019-07-31,RB,RBQ19
2016-01-07,1.907,1.907,1.907,1.907,0.0,0.0,2019-07-31,RB,RBQ19
2016-01-08,1.8691,1.8691,1.8691,1.8691,0.0,0.0,2019-07-31,RB,RBQ19
2016-01-11,1.8648,1.8648,1.8648,1.8648,0.0,0.0,2019-07-31,RB,RBQ19
2016-01-12,1.8506,1.8506,1.8506,1.8506,0.0,0.0,2019-07-31,RB,RBQ19
2016-01-13,1.8027,1.8027,1.8027,1.8027,0.0,0.0,2019-07-31,RB,RBQ19
2016-01-14,1.8108,1.8108,1.8108,1.8108,0.0,0.0,2019-07-31,RB,RBQ19
2016-01-15,1.8557,1.8557,1.8557,1.8557,0.0,0.0,2019-07-31,RB,RBQ19
2016-01-19,1.8154,1.8154,1.8154,1.8154,0.0,0.0,2019-07-31,RB,RBQ19
2016-01-20,1.7938,1.7938,1.7938,1.7938,0.0,0.0,2019-07-31,RB,RBQ19
2016-01-21,1.7976,1.7976,1.7976,1.7976,0.0,0.0,2019-07-31,RB,RBQ19
2016-01-22,1.8452,1.8452,1.8452,1.8452,0.0,0.0,2019-07-31,RB,RBQ19
2016-01-25,1.8478,1.8478,1.8478,1.8478,0.0,0.0,2019-07-31,RB,RBQ19
2016-01-26,1.8885,1.8885,1.8885,1.8885,0.0,0.0,2019-07-31,RB,RBQ19
2016-01-27,1.8938,1.8938,1.8938,1.8938,0.0,0.0,2019-07-31,RB,RBQ19
2016-01-28,1.8872,1.8872,1.8872,1.8872,0.0,0.0,2019-07-31,RB,RBQ19
2016-01-29,1.8562,1.8562,1.8562,1.8562,0.0,0.0,2019-07-31,RB,RBQ19
2016-02-01,1.8141,1.8141,1.8141,1.8141,0.0,0.0,2019-07-31,RB,RBQ19
2016-02-02,1.7689,1.7689,1.7689,1.7689,0.0,0.0,2019-07-31,RB,RBQ19
2016-02-03,1.7799,1.7799,1.7799,1.7799,0.0,0.0,2019-07-31,RB,RBQ19
2016-02-04,1.7934,1.7934,1.7934,1.7934,0.0,0.0,2019-07-31,RB,RBQ19
2016-02-05,1.762,1.762,1.762,1.762,0.0,0.0,2019-07-31,RB,RBQ19
2016-02-08,1.7698,1.7698,1.7698,1.7698,0.0,0.0,2019-07-31,RB,RBQ19
2016-02-09,1.811,1.811,1.811,1.811,0.0,0.0,2019-07-31,RB,RBQ19
2016-02-10,1.7737,1.7737,1.7737,1.7737,0.0,0.0,2019-07-31,RB,RBQ19
2016-02-11,1.7982,1.7982,1.7982,1.7982,0.0,0.0,2019-07-31,RB,RBQ19
2016-02-12,1.771,1.771,1.771,1.771,0.0,0.0,2019-07-31,RB,RBQ19
2016-02-16,1.7377,1.7377,1.7377,1.7377,0.0,0.0,2019-07-31,RB,RBQ19
2016-02-17,1.7142,1.7142,1.7142,1.7142,0.0,0.0,2019-07-31,RB,RBQ19
2016-02-18,1.7157,1.7157,1.7157,1.7157,0.0,0.0,2019-07-31,RB,RBQ19
2016-02-19,1.6879,1.6879,1.6879,1.6879,0.0,0.0,2019-07-31,RB,RBQ19
2016-02-22,1.6693,1.6693,1.6693,1.6693,0.0,0.0,2019-07-31,RB,RBQ19
2016-02-23,1.6693,1.6693,1.6693,1.6693,0.0,0.0,2019-07-31,RB,RBQ19
2016-02-24,1.6691,1.6691,1.6691,1.6691,0.0,0.0,2019-07-31,RB,RBQ19
2016-02-25,1.6457,1.6457,1.6457,1.6457,0.0,0.0,2019-07-31,RB,RBQ19
2016-02-26,1.6579,1.6579,1.6579,1.6579,0.0,0.0,2019-07-31,RB,RBQ19
2016-02-29,1.6388,1.6388,1.6388,1.6388,0.0,0.0,2019-07-31,RB,RBQ19
2016-03-01,1.6626,1.6626,1.6626,1.6626,0.0,0.0,2019-07-31,RB,RBQ19
2016-03-02,1.6978,1.6978,1.6978,1.6978,0.0,0.0,2019-07-31,RB,RBQ19
2016-03-03,1.7015,1.7015,1.7015,1.7015,0.0,0.0,2019-07-31,RB,RBQ19
2016-03-04,1.7326,1.7326,1.7326,1.7326,0.0,0.0,2019-07-31,RB,RBQ19
2016-03-07,1.7175,1.7175,1.7175,1.7175,0.0,0.0,2019-07-31,RB,RBQ19
2016-03-08,1.7632,1.7632,1.7632,1.7632,0.0,0.0,2019-07-31,RB,RBQ19
2016-03-09,1.7181,1.7181,1.7181,1.7181,0.0,0.0,2019-07-31,RB,RBQ19
2016-03-10,1.7085,1.7085,1.7085,1.7085,0.0,0.0,2019-07-31,RB,RBQ19
2016-03-11,1.6827,1.6827,1.6827,1.6827,0.0,0.0,2019-07-31,RB,RBQ19
