,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-07-27,1.7039,1.7039,1.7039,1.7039,0.0,0.0,2018-08-31,RB,RBU18
2015-07-28,1.7436,1.7436,1.7436,1.7436,0.0,0.0,2018-08-31,RB,RBU18
2015-07-29,1.7779,1.7779,1.7779,1.7779,0.0,0.0,2018-08-31,RB,RBU18
2015-07-30,1.7713,1.7713,1.7713,1.7713,0.0,0.0,2018-08-31,RB,RBU18
2015-07-31,1.8119,1.8119,1.8119,1.8119,0.0,0.0,2018-08-31,RB,RBU18
2015-08-03,1.8072,1.8072,1.8072,1.8072,0.0,0.0,2018-08-31,RB,RBU18
2015-08-04,1.8209,1.8209,1.8209,1.8209,0.0,0.0,2018-08-31,RB,RBU18
2015-08-05,1.8595,1.8595,1.8595,1.8595,0.0,0.0,2018-08-31,RB,RBU18
2015-08-06,1.8128,1.8128,1.8128,1.8128,0.0,0.0,2018-08-31,RB,RBU18
2015-08-07,1.8264,1.8264,1.8264,1.8264,0.0,0.0,2018-08-31,RB,RBU18
2015-08-10,1.8691,1.8691,1.8691,1.8691,0.0,0.0,2018-08-31,RB,RBU18
2015-08-11,1.91,1.91,1.91,1.91,0.0,0.0,2018-08-31,RB,RBU18
2015-08-12,1.9625,1.9625,1.9625,1.9625,0.0,0.0,2018-08-31,RB,RBU18
2015-08-13,1.913,1.913,1.913,1.913,0.0,0.0,2018-08-31,RB,RBU18
2015-08-14,1.8948,1.8948,1.8948,1.8948,0.0,0.0,2018-08-31,RB,RBU18
2015-08-17,1.8529,1.8529,1.8529,1.8529,0.0,0.0,2018-08-31,RB,RBU18
2015-08-18,1.8082,1.8082,1.8082,1.8082,0.0,0.0,2018-08-31,RB,RBU18
2015-08-19,1.7843,1.7843,1.7843,1.7843,0.0,0.0,2018-08-31,RB,RBU18
2015-08-20,1.7832,1.7832,1.7832,1.7832,0.0,0.0,2018-08-31,RB,RBU18
2015-08-21,1.7417,1.7417,1.7417,1.7417,0.0,0.0,2018-08-31,RB,RBU18
2015-08-24,1.7636,1.7636,1.7636,1.7636,0.0,0.0,2018-08-31,RB,RBU18
2015-08-25,1.7199,1.7199,1.7199,1.7199,0.0,0.0,2018-08-31,RB,RBU18
