,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-30,1.5669,1.5669,1.5669,1.5669,0.0,0.0,2019-09-30,RB,RBV19
2015-12-01,1.5729,1.5729,1.5729,1.5729,0.0,0.0,2019-09-30,RB,RBV19
2015-12-02,1.5333,1.5333,1.5333,1.5333,0.0,0.0,2019-09-30,RB,RBV19
2015-12-03,1.4904,1.4904,1.4904,1.4904,0.0,0.0,2019-09-30,RB,RBV19
2015-12-04,1.518,1.518,1.518,1.518,0.0,0.0,2019-09-30,RB,RBV19
2015-12-07,1.5584,1.5584,1.5584,1.5584,0.0,0.0,2019-09-30,RB,RBV19
2015-12-08,1.603,1.603,1.603,1.603,0.0,0.0,2019-09-30,RB,RBV19
2015-12-09,1.6235,1.6235,1.6235,1.6235,0.0,0.0,2019-09-30,RB,RBV19
2015-12-10,1.6438,1.6438,1.6438,1.6438,0.0,0.0,2019-09-30,RB,RBV19
2015-12-11,1.6157,1.6157,1.6157,1.6157,0.0,0.0,2019-09-30,RB,RBV19
2015-12-14,1.5682,1.5682,1.5682,1.5682,0.0,0.0,2019-09-30,RB,RBV19
2015-12-15,1.5456,1.5456,1.5456,1.5456,0.0,0.0,2019-09-30,RB,RBV19
2015-12-16,1.542,1.542,1.542,1.542,0.0,0.0,2019-09-30,RB,RBV19
2015-12-17,1.5048,1.5048,1.5048,1.5048,0.0,0.0,2019-09-30,RB,RBV19
2015-12-18,1.518,1.518,1.518,1.518,0.0,0.0,2019-09-30,RB,RBV19
2015-12-21,1.4738,1.4738,1.4738,1.4738,0.0,0.0,2019-09-30,RB,RBV19
2015-12-22,1.4517,1.4517,1.4517,1.4517,0.0,0.0,2019-09-30,RB,RBV19
2015-12-23,1.4661,1.4661,1.4661,1.4661,0.0,0.0,2019-09-30,RB,RBV19
2015-12-24,1.5054,1.5054,1.5054,1.5054,0.0,0.0,2019-09-30,RB,RBV19
2015-12-28,1.4756,1.4756,1.4756,1.4756,0.0,0.0,2019-09-30,RB,RBV19
2015-12-29,1.5191,1.5191,1.5191,1.5191,0.0,0.0,2019-09-30,RB,RBV19
2015-12-30,1.4924,1.4924,1.4924,1.4924,0.0,0.0,2019-09-30,RB,RBV19
2015-12-31,1.5173,1.5173,1.5173,1.5173,0.0,0.0,2019-09-30,RB,RBV19
2016-01-04,1.4816,1.4816,1.4816,1.4816,0.0,0.0,2019-09-30,RB,RBV19
2016-01-05,1.4606,1.4606,1.4606,1.4606,0.0,0.0,2019-09-30,RB,RBV19
2016-01-06,1.4293,1.4293,1.4293,1.4293,0.0,0.0,2019-09-30,RB,RBV19
2016-01-07,1.444,1.444,1.444,1.444,0.0,0.0,2019-09-30,RB,RBV19
2016-01-08,1.4839,1.4839,1.4839,1.4839,0.0,0.0,2019-09-30,RB,RBV19
2016-01-11,1.4643,1.4643,1.4643,1.4643,0.0,0.0,2019-09-30,RB,RBV19
2016-01-12,1.4992,1.4992,1.4992,1.4992,0.0,0.0,2019-09-30,RB,RBV19
2016-01-13,1.5008,1.5008,1.5008,1.5008,0.0,0.0,2019-09-30,RB,RBV19
2016-01-14,1.4832,1.4832,1.4832,1.4832,0.0,0.0,2019-09-30,RB,RBV19
2016-01-15,1.5007,1.5007,1.5007,1.5007,0.0,0.0,2019-09-30,RB,RBV19
2016-01-19,1.4656,1.4656,1.4656,1.4656,0.0,0.0,2019-09-30,RB,RBV19
2016-01-20,1.5034,1.5034,1.5034,1.5034,0.0,0.0,2019-09-30,RB,RBV19
2016-01-21,1.5066,1.5066,1.5066,1.5066,0.0,0.0,2019-09-30,RB,RBV19
2016-01-22,1.4689,1.4689,1.4689,1.4689,0.0,0.0,2019-09-30,RB,RBV19
2016-01-25,1.4379,1.4379,1.4379,1.4379,0.0,0.0,2019-09-30,RB,RBV19
2016-01-26,1.4326,1.4326,1.4326,1.4326,0.0,0.0,2019-09-30,RB,RBV19
2016-01-27,1.4707,1.4707,1.4707,1.4707,0.0,0.0,2019-09-30,RB,RBV19
2016-01-28,1.4354,1.4354,1.4354,1.4354,0.0,0.0,2019-09-30,RB,RBV19
2016-01-29,1.4746,1.4746,1.4746,1.4746,0.0,0.0,2019-09-30,RB,RBV19
2016-02-01,1.4457,1.4457,1.4457,1.4457,0.0,0.0,2019-09-30,RB,RBV19
2016-02-02,1.4379,1.4379,1.4379,1.4379,0.0,0.0,2019-09-30,RB,RBV19
2016-02-03,1.4461,1.4461,1.4461,1.4461,0.0,0.0,2019-09-30,RB,RBV19
2016-02-04,1.4277,1.4277,1.4277,1.4277,0.0,0.0,2019-09-30,RB,RBV19
2016-02-05,1.3892,1.3892,1.3892,1.3892,0.0,0.0,2019-09-30,RB,RBV19
2016-02-08,1.4188,1.4188,1.4188,1.4188,0.0,0.0,2019-09-30,RB,RBV19
2016-02-09,1.4372,1.4372,1.4372,1.4372,0.0,0.0,2019-09-30,RB,RBV19
2016-02-10,1.4227,1.4227,1.4227,1.4227,0.0,0.0,2019-09-30,RB,RBV19
2016-02-11,1.3914,1.3914,1.3914,1.3914,0.0,0.0,2019-09-30,RB,RBV19
2016-02-12,1.4169,1.4169,1.4169,1.4169,0.0,0.0,2019-09-30,RB,RBV19
