,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-30,1.5771,1.5771,1.5771,1.5771,0.0,0.0,2019-10-31,RB,RBX19
2015-12-01,1.5512,1.5512,1.5512,1.5512,0.0,0.0,2019-10-31,RB,RBX19
2015-12-02,1.5357,1.5357,1.5357,1.5357,0.0,0.0,2019-10-31,RB,RBX19
2015-12-03,1.4984,1.4984,1.4984,1.4984,0.0,0.0,2019-10-31,RB,RBX19
2015-12-04,1.5185,1.5185,1.5185,1.5185,0.0,0.0,2019-10-31,RB,RBX19
2015-12-07,1.4975,1.4975,1.4975,1.4975,0.0,0.0,2019-10-31,RB,RBX19
2015-12-08,1.4693,1.4693,1.4693,1.4693,0.0,0.0,2019-10-31,RB,RBX19
2015-12-09,1.5018,1.5018,1.5018,1.5018,0.0,0.0,2019-10-31,RB,RBX19
2015-12-10,1.5245,1.5245,1.5245,1.5245,0.0,0.0,2019-10-31,RB,RBX19
2015-12-11,1.5009,1.5009,1.5009,1.5009,0.0,0.0,2019-10-31,RB,RBX19
2015-12-14,1.5351,1.5351,1.5351,1.5351,0.0,0.0,2019-10-31,RB,RBX19
2015-12-15,1.5799,1.5799,1.5799,1.5799,0.0,0.0,2019-10-31,RB,RBX19
2015-12-16,1.5889,1.5889,1.5889,1.5889,0.0,0.0,2019-10-31,RB,RBX19
2015-12-17,1.608,1.608,1.608,1.608,0.0,0.0,2019-10-31,RB,RBX19
2015-12-18,1.6273,1.6273,1.6273,1.6273,0.0,0.0,2019-10-31,RB,RBX19
2015-12-21,1.6506,1.6506,1.6506,1.6506,0.0,0.0,2019-10-31,RB,RBX19
2015-12-22,1.6267,1.6267,1.6267,1.6267,0.0,0.0,2019-10-31,RB,RBX19
2015-12-23,1.6165,1.6165,1.6165,1.6165,0.0,0.0,2019-10-31,RB,RBX19
2015-12-24,1.5821,1.5821,1.5821,1.5821,0.0,0.0,2019-10-31,RB,RBX19
2015-12-28,1.6193,1.6193,1.6193,1.6193,0.0,0.0,2019-10-31,RB,RBX19
2015-12-29,1.5808,1.5808,1.5808,1.5808,0.0,0.0,2019-10-31,RB,RBX19
2015-12-30,1.6276,1.6276,1.6276,1.6276,0.0,0.0,2019-10-31,RB,RBX19
2015-12-31,1.6156,1.6156,1.6156,1.6156,0.0,0.0,2019-10-31,RB,RBX19
2016-01-04,1.6329,1.6329,1.6329,1.6329,0.0,0.0,2019-10-31,RB,RBX19
2016-01-05,1.5867,1.5867,1.5867,1.5867,0.0,0.0,2019-10-31,RB,RBX19
2016-01-06,1.5775,1.5775,1.5775,1.5775,0.0,0.0,2019-10-31,RB,RBX19
2016-01-07,1.5982,1.5982,1.5982,1.5982,0.0,0.0,2019-10-31,RB,RBX19
2016-01-08,1.6287,1.6287,1.6287,1.6287,0.0,0.0,2019-10-31,RB,RBX19
2016-01-11,1.6026,1.6026,1.6026,1.6026,0.0,0.0,2019-10-31,RB,RBX19
2016-01-12,1.6422,1.6422,1.6422,1.6422,0.0,0.0,2019-10-31,RB,RBX19
2016-01-13,1.6658,1.6658,1.6658,1.6658,0.0,0.0,2019-10-31,RB,RBX19
2016-01-14,1.6951,1.6951,1.6951,1.6951,0.0,0.0,2019-10-31,RB,RBX19
2016-01-15,1.7414,1.7414,1.7414,1.7414,0.0,0.0,2019-10-31,RB,RBX19
2016-01-19,1.72,1.72,1.72,1.72,0.0,0.0,2019-10-31,RB,RBX19
2016-01-20,1.7014,1.7014,1.7014,1.7014,0.0,0.0,2019-10-31,RB,RBX19
2016-01-21,1.7235,1.7235,1.7235,1.7235,0.0,0.0,2019-10-31,RB,RBX19
2016-01-22,1.7662,1.7662,1.7662,1.7662,0.0,0.0,2019-10-31,RB,RBX19
2016-01-25,1.7824,1.7824,1.7824,1.7824,0.0,0.0,2019-10-31,RB,RBX19
2016-01-26,1.7571,1.7571,1.7571,1.7571,0.0,0.0,2019-10-31,RB,RBX19
2016-01-27,1.7659,1.7659,1.7659,1.7659,0.0,0.0,2019-10-31,RB,RBX19
2016-01-28,1.7509,1.7509,1.7509,1.7509,0.0,0.0,2019-10-31,RB,RBX19
2016-01-29,1.7642,1.7642,1.7642,1.7642,0.0,0.0,2019-10-31,RB,RBX19
2016-02-01,1.7212,1.7212,1.7212,1.7212,0.0,0.0,2019-10-31,RB,RBX19
