,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-30,1.5563,1.5563,1.5563,1.5563,0.0,0.0,2019-11-29,RB,RBZ19
2015-12-01,1.5804,1.5804,1.5804,1.5804,0.0,0.0,2019-11-29,RB,RBZ19
2015-12-02,1.5867,1.5867,1.5867,1.5867,0.0,0.0,2019-11-29,RB,RBZ19
2015-12-03,1.5824,1.5824,1.5824,1.5824,0.0,0.0,2019-11-29,RB,RBZ19
2015-12-04,1.5723,1.5723,1.5723,1.5723,0.0,0.0,2019-11-29,RB,RBZ19
2015-12-07,1.5795,1.5795,1.5795,1.5795,0.0,0.0,2019-11-29,RB,RBZ19
2015-12-08,1.6128,1.6128,1.6128,1.6128,0.0,0.0,2019-11-29,RB,RBZ19
2015-12-09,1.5931,1.5931,1.5931,1.5931,0.0,0.0,2019-11-29,RB,RBZ19
2015-12-10,1.636,1.636,1.636,1.636,0.0,0.0,2019-11-29,RB,RBZ19
2015-12-11,1.6367,1.6367,1.6367,1.6367,0.0,0.0,2019-11-29,RB,RBZ19
2015-12-14,1.6342,1.6342,1.6342,1.6342,0.0,0.0,2019-11-29,RB,RBZ19
2015-12-15,1.6126,1.6126,1.6126,1.6126,0.0,0.0,2019-11-29,RB,RBZ19
2015-12-16,1.6542,1.6542,1.6542,1.6542,0.0,0.0,2019-11-29,RB,RBZ19
2015-12-17,1.6921,1.6921,1.6921,1.6921,0.0,0.0,2019-11-29,RB,RBZ19
2015-12-18,1.7039,1.7039,1.7039,1.7039,0.0,0.0,2019-11-29,RB,RBZ19
2015-12-21,1.7255,1.7255,1.7255,1.7255,0.0,0.0,2019-11-29,RB,RBZ19
2015-12-22,1.6777,1.6777,1.6777,1.6777,0.0,0.0,2019-11-29,RB,RBZ19
2015-12-23,1.6987,1.6987,1.6987,1.6987,0.0,0.0,2019-11-29,RB,RBZ19
2015-12-24,1.6985,1.6985,1.6985,1.6985,0.0,0.0,2019-11-29,RB,RBZ19
2015-12-28,1.7155,1.7155,1.7155,1.7155,0.0,0.0,2019-11-29,RB,RBZ19
2015-12-29,1.6965,1.6965,1.6965,1.6965,0.0,0.0,2019-11-29,RB,RBZ19
2015-12-30,1.7065,1.7065,1.7065,1.7065,0.0,0.0,2019-11-29,RB,RBZ19
2015-12-31,1.7224,1.7224,1.7224,1.7224,0.0,0.0,2019-11-29,RB,RBZ19
2016-01-04,1.6904,1.6904,1.6904,1.6904,0.0,0.0,2019-11-29,RB,RBZ19
2016-01-05,1.7332,1.7332,1.7332,1.7332,0.0,0.0,2019-11-29,RB,RBZ19
2016-01-06,1.694,1.694,1.694,1.694,0.0,0.0,2019-11-29,RB,RBZ19
2016-01-07,1.6747,1.6747,1.6747,1.6747,0.0,0.0,2019-11-29,RB,RBZ19
2016-01-08,1.6312,1.6312,1.6312,1.6312,0.0,0.0,2019-11-29,RB,RBZ19
2016-01-11,1.6325,1.6325,1.6325,1.6325,0.0,0.0,2019-11-29,RB,RBZ19
2016-01-12,1.6317,1.6317,1.6317,1.6317,0.0,0.0,2019-11-29,RB,RBZ19
2016-01-13,1.6741,1.6741,1.6741,1.6741,0.0,0.0,2019-11-29,RB,RBZ19
2016-01-14,1.6724,1.6724,1.6724,1.6724,0.0,0.0,2019-11-29,RB,RBZ19
2016-01-15,1.6231,1.6231,1.6231,1.6231,0.0,0.0,2019-11-29,RB,RBZ19
2016-01-19,1.6142,1.6142,1.6142,1.6142,0.0,0.0,2019-11-29,RB,RBZ19
2016-01-20,1.615,1.615,1.615,1.615,0.0,0.0,2019-11-29,RB,RBZ19
2016-01-21,1.6237,1.6237,1.6237,1.6237,0.0,0.0,2019-11-29,RB,RBZ19
2016-01-22,1.5808,1.5808,1.5808,1.5808,0.0,0.0,2019-11-29,RB,RBZ19
2016-01-25,1.5342,1.5342,1.5342,1.5342,0.0,0.0,2019-11-29,RB,RBZ19
2016-01-26,1.5368,1.5368,1.5368,1.5368,0.0,0.0,2019-11-29,RB,RBZ19
2016-01-27,1.499,1.499,1.499,1.499,0.0,0.0,2019-11-29,RB,RBZ19
2016-01-28,1.4887,1.4887,1.4887,1.4887,0.0,0.0,2019-11-29,RB,RBZ19
2016-01-29,1.5057,1.5057,1.5057,1.5057,0.0,0.0,2019-11-29,RB,RBZ19
2016-02-01,1.5351,1.5351,1.5351,1.5351,0.0,0.0,2019-11-29,RB,RBZ19
2016-02-02,1.525,1.525,1.525,1.525,0.0,0.0,2019-11-29,RB,RBZ19
2016-02-03,1.5104,1.5104,1.5104,1.5104,0.0,0.0,2019-11-29,RB,RBZ19
2016-02-04,1.5389,1.5389,1.5389,1.5389,0.0,0.0,2019-11-29,RB,RBZ19
2016-02-05,1.564,1.564,1.564,1.564,0.0,0.0,2019-11-29,RB,RBZ19
2016-02-08,1.5319,1.5319,1.5319,1.5319,0.0,0.0,2019-11-29,RB,RBZ19
2016-02-09,1.515,1.515,1.515,1.515,0.0,0.0,2019-11-29,RB,RBZ19
2016-02-10,1.5309,1.5309,1.5309,1.5309,0.0,0.0,2019-11-29,RB,RBZ19
2016-02-11,1.5649,1.5649,1.5649,1.5649,0.0,0.0,2019-11-29,RB,RBZ19
2016-02-12,1.5441,1.5441,1.5441,1.5441,0.0,0.0,2019-11-29,RB,RBZ19
2016-02-16,1.5467,1.5467,1.5467,1.5467,0.0,0.0,2019-11-29,RB,RBZ19
2016-02-17,1.5716,1.5716,1.5716,1.5716,0.0,0.0,2019-11-29,RB,RBZ19
2016-02-18,1.6118,1.6118,1.6118,1.6118,0.0,0.0,2019-11-29,RB,RBZ19
2016-02-19,1.621,1.621,1.621,1.621,0.0,0.0,2019-11-29,RB,RBZ19
2016-02-22,1.5892,1.5892,1.5892,1.5892,0.0,0.0,2019-11-29,RB,RBZ19
2016-02-23,1.5879,1.5879,1.5879,1.5879,0.0,0.0,2019-11-29,RB,RBZ19
2016-02-24,1.6125,1.6125,1.6125,1.6125,0.0,0.0,2019-11-29,RB,RBZ19
2016-02-25,1.6027,1.6027,1.6027,1.6027,0.0,0.0,2019-11-29,RB,RBZ19
2016-02-26,1.6458,1.6458,1.6458,1.6458,0.0,0.0,2019-11-29,RB,RBZ19
2016-02-29,1.6692,1.6692,1.6692,1.6692,0.0,0.0,2019-11-29,RB,RBZ19
2016-03-01,1.6455,1.6455,1.6455,1.6455,0.0,0.0,2019-11-29,RB,RBZ19
2016-03-02,1.6346,1.6346,1.6346,1.6346,0.0,0.0,2019-11-29,RB,RBZ19
2016-03-03,1.5949,1.5949,1.5949,1.5949,0.0,0.0,2019-11-29,RB,RBZ19
2016-03-04,1.5936,1.5936,1.5936,1.5936,0.0,0.0,2019-11-29,RB,RBZ19
2016-03-07,1.5579,1.5579,1.5579,1.5579,0.0,0.0,2019-11-29,RB,RBZ19
2016-03-08,1.5595,1.5595,1.5595,1.5595,0.0,0.0,2019-11-29,RB,RBZ19
2016-03-09,1.5264,1.5264,1.5264,1.5264,0.0,0.0,2019-11-29,RB,RBZ19
2016-03-10,1.4899,1.4899,1.4899,1.4899,0.0,0.0,2019-11-29,RB,RBZ19
2016-03-11,1.4729,1.4729,1.4729,1.4729,0.0,0.0,2019-11-29,RB,RBZ19
2016-03-14,1.5075,1.5075,1.5075,1.5075,0.0,0.0,2019-11-29,RB,RBZ19
2016-03-15,1.4662,1.4662,1.4662,1.4662,0.0,0.0,2019-11-29,RB,RBZ19
2016-03-16,1.4534,1.4534,1.4534,1.4534,0.0,0.0,2019-11-29,RB,RBZ19
2016-03-17,1.4243,1.4243,1.4243,1.4243,0.0,0.0,2019-11-29,RB,RBZ19
2016-03-18,1.4128,1.4128,1.4128,1.4128,0.0,0.0,2019-11-29,RB,RBZ19
2016-03-21,1.4374,1.4374,1.4374,1.4374,0.0,0.0,2019-11-29,RB,RBZ19
2016-03-22,1.4213,1.4213,1.4213,1.4213,6.0,6.0,2019-11-29,RB,RBZ19
2016-03-23,1.4455,1.4455,1.4455,1.4455,0.0,5.0,2019-11-29,RB,RBZ19
2016-03-24,1.4365,1.4365,1.4365,1.4365,0.0,6.0,2019-11-29,RB,RBZ19
2016-03-28,1.3997,1.3997,1.3997,1.3997,0.0,4.0,2019-11-29,RB,RBZ19
2016-03-29,1.4061,1.4061,1.4061,1.4061,0.0,5.0,2019-11-29,RB,RBZ19
2016-03-30,1.4093,1.4093,1.4093,1.4093,0.0,6.0,2019-11-29,RB,RBZ19
2016-03-31,1.3749,1.3749,1.3749,1.3749,0.0,4.0,2019-11-29,RB,RBZ19
2016-04-01,1.3463,1.3463,1.3463,1.3463,0.0,4.0,2019-11-29,RB,RBZ19
2016-04-04,1.3452,1.3452,1.3452,1.3452,0.0,6.0,2019-11-29,RB,RBZ19
2016-04-05,1.3293,1.3293,1.3293,1.3293,0.0,4.0,2019-11-29,RB,RBZ19
2016-04-06,1.3075,1.3075,1.3075,1.3075,0.0,4.0,2019-11-29,RB,RBZ19
2016-04-07,1.3167,1.3167,1.3167,1.3167,0.0,4.0,2019-11-29,RB,RBZ19
2016-04-08,1.3071,1.3071,1.3071,1.3071,0.0,5.0,2019-11-29,RB,RBZ19
2016-04-11,1.2757,1.2757,1.2757,1.2757,0.0,6.0,2019-11-29,RB,RBZ19
2016-04-12,1.2934,1.2934,1.2934,1.2934,0.0,6.0,2019-11-29,RB,RBZ19
2016-04-13,1.3294,1.3294,1.3294,1.3294,0.0,5.0,2019-11-29,RB,RBZ19
2016-04-14,1.3285,1.3285,1.3285,1.3285,0.0,5.0,2019-11-29,RB,RBZ19
2016-04-15,1.3118,1.3118,1.3118,1.3118,0.0,6.0,2019-11-29,RB,RBZ19
2016-04-18,1.3223,1.3223,1.3223,1.3223,0.0,5.0,2019-11-29,RB,RBZ19
2016-04-19,1.299,1.299,1.299,1.299,0.0,5.0,2019-11-29,RB,RBZ19
