,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-11-14,11.1265,11.1265,11.1265,11.1265,0.0,0.0,2019-01-14,RR,RRF19
2017-11-15,10.9552,10.9552,10.9552,10.9552,0.0,0.0,2019-01-14,RR,RRF19
2017-11-16,11.079,11.079,11.079,11.079,0.0,0.0,2019-01-14,RR,RRF19
2017-11-17,11.2042,11.2042,11.2042,11.2042,0.0,0.0,2019-01-14,RR,RRF19
2017-11-20,11.1751,11.1751,11.1751,11.1751,0.0,0.0,2019-01-14,RR,RRF19
2017-11-21,11.165,11.165,11.165,11.165,0.0,0.0,2019-01-14,RR,RRF19
2017-11-22,11.2945,11.2945,11.2945,11.2945,0.0,0.0,2019-01-14,RR,RRF19
2017-11-24,11.177,11.177,11.177,11.177,0.0,0.0,2019-01-14,RR,RRF19
2017-11-27,11.0183,11.0183,11.0183,11.0183,0.0,0.0,2019-01-14,RR,RRF19
2017-11-28,10.993,10.993,10.993,10.993,0.0,0.0,2019-01-14,RR,RRF19
2017-11-29,11.0227,11.0227,11.0227,11.0227,0.0,0.0,2019-01-14,RR,RRF19
2017-11-30,11.2244,11.2244,11.2244,11.2244,0.0,0.0,2019-01-14,RR,RRF19
2017-12-01,11.1402,11.1402,11.1402,11.1402,0.0,0.0,2019-01-14,RR,RRF19
2017-12-04,11.0678,11.0678,11.0678,11.0678,0.0,0.0,2019-01-14,RR,RRF19
2017-12-05,11.0767,11.0767,11.0767,11.0767,0.0,0.0,2019-01-14,RR,RRF19
2017-12-06,10.8973,10.8973,10.8973,10.8973,0.0,0.0,2019-01-14,RR,RRF19
2017-12-07,10.8199,10.8199,10.8199,10.8199,0.0,0.0,2019-01-14,RR,RRF19
2017-12-08,10.6717,10.6717,10.6717,10.6717,0.0,0.0,2019-01-14,RR,RRF19
2017-12-11,10.4529,10.4529,10.4529,10.4529,0.0,0.0,2019-01-14,RR,RRF19
2017-12-12,10.4592,10.4592,10.4592,10.4592,0.0,0.0,2019-01-14,RR,RRF19
2017-12-13,10.3316,10.3316,10.3316,10.3316,0.0,0.0,2019-01-14,RR,RRF19
2017-12-14,10.3223,10.3223,10.3223,10.3223,0.0,0.0,2019-01-14,RR,RRF19
2017-12-15,10.4709,10.4709,10.4709,10.4709,0.0,0.0,2019-01-14,RR,RRF19
2017-12-18,10.4887,10.4887,10.4887,10.4887,0.0,0.0,2019-01-14,RR,RRF19
2017-12-19,10.495,10.495,10.495,10.495,0.0,0.0,2019-01-14,RR,RRF19
2017-12-20,10.5842,10.5842,10.5842,10.5842,0.0,0.0,2019-01-14,RR,RRF19
2017-12-21,10.7684,10.7684,10.7684,10.7684,0.0,0.0,2019-01-14,RR,RRF19
2017-12-22,10.8578,10.8578,10.8578,10.8578,0.0,0.0,2019-01-14,RR,RRF19
2017-12-26,10.936,10.936,10.936,10.936,0.0,0.0,2019-01-14,RR,RRF19
2017-12-27,10.7698,10.7698,10.7698,10.7698,0.0,0.0,2019-01-14,RR,RRF19
2017-12-28,10.5619,10.5619,10.5619,10.5619,0.0,0.0,2019-01-14,RR,RRF19
2017-12-29,10.5513,10.5513,10.5513,10.5513,0.0,0.0,2019-01-14,RR,RRF19
2018-01-02,10.7813,10.7813,10.7813,10.7813,0.0,0.0,2019-01-14,RR,RRF19
2018-01-03,10.6314,10.6314,10.6314,10.6314,0.0,0.0,2019-01-14,RR,RRF19
2018-01-04,10.4794,10.4794,10.4794,10.4794,0.0,0.0,2019-01-14,RR,RRF19
2018-01-05,10.69,10.69,10.69,10.69,0.0,0.0,2019-01-14,RR,RRF19
2018-01-08,10.8044,10.8044,10.8044,10.8044,0.0,0.0,2019-01-14,RR,RRF19
2018-01-09,10.9719,10.9719,10.9719,10.9719,0.0,0.0,2019-01-14,RR,RRF19
2018-01-10,10.7459,10.7459,10.7459,10.7459,0.0,0.0,2019-01-14,RR,RRF19
2018-01-11,10.6159,10.6159,10.6159,10.6159,0.0,0.0,2019-01-14,RR,RRF19
2018-01-12,10.6329,10.6329,10.6329,10.6329,0.0,0.0,2019-01-14,RR,RRF19
2018-01-16,10.6765,10.6765,10.6765,10.6765,0.0,0.0,2019-01-14,RR,RRF19
2018-01-17,10.6199,10.6199,10.6199,10.6199,0.0,0.0,2019-01-14,RR,RRF19
2018-01-18,10.8408,10.8408,10.8408,10.8408,0.0,0.0,2019-01-14,RR,RRF19
2018-01-19,10.8885,10.8885,10.8885,10.8885,0.0,0.0,2019-01-14,RR,RRF19
2018-01-22,10.6653,10.6653,10.6653,10.6653,0.0,0.0,2019-01-14,RR,RRF19
2018-01-23,10.581,10.581,10.581,10.581,0.0,0.0,2019-01-14,RR,RRF19
2018-01-24,10.4265,10.4265,10.4265,10.4265,0.0,0.0,2019-01-14,RR,RRF19
2018-01-25,10.4317,10.4317,10.4317,10.4317,0.0,0.0,2019-01-14,RR,RRF19
2018-01-26,10.4421,10.4421,10.4421,10.4421,0.0,0.0,2019-01-14,RR,RRF19
2018-01-29,10.5747,10.5747,10.5747,10.5747,0.0,0.0,2019-01-14,RR,RRF19
2018-01-30,10.4002,10.4002,10.4002,10.4002,0.0,0.0,2019-01-14,RR,RRF19
2018-01-31,10.4158,10.4158,10.4158,10.4158,0.0,0.0,2019-01-14,RR,RRF19
2018-02-01,10.2158,10.2158,10.2158,10.2158,0.0,0.0,2019-01-14,RR,RRF19
2018-02-02,10.1719,10.1719,10.1719,10.1719,0.0,0.0,2019-01-14,RR,RRF19
2018-02-05,10.2807,10.2807,10.2807,10.2807,0.0,0.0,2019-01-14,RR,RRF19
2018-02-06,10.4688,10.4688,10.4688,10.4688,0.0,0.0,2019-01-14,RR,RRF19
2018-02-07,10.5473,10.5473,10.5473,10.5473,0.0,0.0,2019-01-14,RR,RRF19
2018-02-08,10.7139,10.7139,10.7139,10.7139,0.0,0.0,2019-01-14,RR,RRF19
2018-02-09,10.5146,10.5146,10.5146,10.5146,0.0,0.0,2019-01-14,RR,RRF19
2018-02-12,10.4757,10.4757,10.4757,10.4757,0.0,0.0,2019-01-14,RR,RRF19
2018-02-13,10.4003,10.4003,10.4003,10.4003,0.0,0.0,2019-01-14,RR,RRF19
2018-02-14,10.5854,10.5854,10.5854,10.5854,0.0,0.0,2019-01-14,RR,RRF19
2018-02-15,10.3853,10.3853,10.3853,10.3853,0.0,0.0,2019-01-14,RR,RRF19
2018-02-16,10.4466,10.4466,10.4466,10.4466,0.0,0.0,2019-01-14,RR,RRF19
