,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-01-12,11.3455,11.3455,11.3455,11.3455,0.0,0.0,2019-03-14,RR,RRH19
2018-01-16,11.4646,11.4646,11.4646,11.4646,0.0,0.0,2019-03-14,RR,RRH19
2018-01-17,11.3717,11.3717,11.3717,11.3717,0.0,0.0,2019-03-14,RR,RRH19
2018-01-18,11.3774,11.3774,11.3774,11.3774,0.0,0.0,2019-03-14,RR,RRH19
2018-01-19,11.349,11.349,11.349,11.349,0.0,0.0,2019-03-14,RR,RRH19
2018-01-22,11.2662,11.2662,11.2662,11.2662,0.0,0.0,2019-03-14,RR,RRH19
2018-01-23,11.3901,11.3901,11.3901,11.3901,0.0,0.0,2019-03-14,RR,RRH19
2018-01-24,11.2204,11.2204,11.2204,11.2204,0.0,0.0,2019-03-14,RR,RRH19
2018-01-25,11.0599,11.0599,11.0599,11.0599,0.0,0.0,2019-03-14,RR,RRH19
2018-01-26,10.9814,10.9814,10.9814,10.9814,0.0,0.0,2019-03-14,RR,RRH19
2018-01-29,10.7706,10.7706,10.7706,10.7706,0.0,0.0,2019-03-14,RR,RRH19
2018-01-30,10.7124,10.7124,10.7124,10.7124,0.0,0.0,2019-03-14,RR,RRH19
2018-01-31,10.8045,10.8045,10.8045,10.8045,0.0,0.0,2019-03-14,RR,RRH19
2018-02-01,10.7915,10.7915,10.7915,10.7915,0.0,0.0,2019-03-14,RR,RRH19
2018-02-02,10.839,10.839,10.839,10.839,0.0,0.0,2019-03-14,RR,RRH19
2018-02-05,10.6255,10.6255,10.6255,10.6255,0.0,0.0,2019-03-14,RR,RRH19
2018-02-06,10.5872,10.5872,10.5872,10.5872,0.0,0.0,2019-03-14,RR,RRH19
2018-02-07,10.5554,10.5554,10.5554,10.5554,0.0,0.0,2019-03-14,RR,RRH19
2018-02-08,10.4498,10.4498,10.4498,10.4498,0.0,0.0,2019-03-14,RR,RRH19
2018-02-09,10.3631,10.3631,10.3631,10.3631,0.0,0.0,2019-03-14,RR,RRH19
2018-02-12,10.4533,10.4533,10.4533,10.4533,0.0,0.0,2019-03-14,RR,RRH19
2018-02-13,10.6718,10.6718,10.6718,10.6718,0.0,0.0,2019-03-14,RR,RRH19
2018-02-14,10.7198,10.7198,10.7198,10.7198,0.0,0.0,2019-03-14,RR,RRH19
2018-02-15,10.6823,10.6823,10.6823,10.6823,0.0,0.0,2019-03-14,RR,RRH19
2018-02-16,10.5552,10.5552,10.5552,10.5552,0.0,0.0,2019-03-14,RR,RRH19
2018-02-20,10.5805,10.5805,10.5805,10.5805,0.0,0.0,2019-03-14,RR,RRH19
2018-02-21,10.5816,10.5816,10.5816,10.5816,0.0,0.0,2019-03-14,RR,RRH19
2018-02-22,10.6768,10.6768,10.6768,10.6768,0.0,0.0,2019-03-14,RR,RRH19
2018-02-23,10.6053,10.6053,10.6053,10.6053,0.0,0.0,2019-03-14,RR,RRH19
2018-02-26,10.5703,10.5703,10.5703,10.5703,0.0,0.0,2019-03-14,RR,RRH19
2018-02-27,10.4931,10.4931,10.4931,10.4931,0.0,0.0,2019-03-14,RR,RRH19
2018-02-28,10.4574,10.4574,10.4574,10.4574,0.0,0.0,2019-03-14,RR,RRH19
2018-03-01,10.3288,10.3288,10.3288,10.3288,0.0,0.0,2019-03-14,RR,RRH19
2018-03-02,10.3515,10.3515,10.3515,10.3515,0.0,0.0,2019-03-14,RR,RRH19
2018-03-05,10.4664,10.4664,10.4664,10.4664,0.0,0.0,2019-03-14,RR,RRH19
2018-03-06,10.3555,10.3555,10.3555,10.3555,0.0,0.0,2019-03-14,RR,RRH19
2018-03-07,10.1494,10.1494,10.1494,10.1494,0.0,0.0,2019-03-14,RR,RRH19
2018-03-08,10.1068,10.1068,10.1068,10.1068,0.0,0.0,2019-03-14,RR,RRH19
2018-03-09,10.2483,10.2483,10.2483,10.2483,0.0,0.0,2019-03-14,RR,RRH19
2018-03-12,10.236,10.236,10.236,10.236,0.0,0.0,2019-03-14,RR,RRH19
2018-03-13,10.15,10.15,10.15,10.15,0.0,0.0,2019-03-14,RR,RRH19
2018-03-14,10.1287,10.1287,10.1287,10.1287,0.0,0.0,2019-03-14,RR,RRH19
2018-03-15,10.2188,10.2188,10.2188,10.2188,0.0,0.0,2019-03-14,RR,RRH19
2018-03-16,10.4038,10.4038,10.4038,10.4038,0.0,0.0,2019-03-14,RR,RRH19
2018-03-19,10.281,10.281,10.281,10.281,0.0,0.0,2019-03-14,RR,RRH19
2018-03-20,10.3807,10.3807,10.3807,10.3807,0.0,0.0,2019-03-14,RR,RRH19
2018-03-21,10.5759,10.5759,10.5759,10.5759,0.0,0.0,2019-03-14,RR,RRH19
2018-03-22,10.7187,10.7187,10.7187,10.7187,0.0,0.0,2019-03-14,RR,RRH19
2018-03-23,10.6415,10.6415,10.6415,10.6415,0.0,0.0,2019-03-14,RR,RRH19
2018-03-26,10.7894,10.7894,10.7894,10.7894,0.0,0.0,2019-03-14,RR,RRH19
2018-03-27,10.9394,10.9394,10.9394,10.9394,0.0,0.0,2019-03-14,RR,RRH19
2018-03-28,10.748,10.748,10.748,10.748,0.0,0.0,2019-03-14,RR,RRH19
2018-03-29,10.7727,10.7727,10.7727,10.7727,0.0,0.0,2019-03-14,RR,RRH19
2018-04-02,10.9537,10.9537,10.9537,10.9537,0.0,0.0,2019-03-14,RR,RRH19
2018-04-03,11.0128,11.0128,11.0128,11.0128,0.0,0.0,2019-03-14,RR,RRH19
2018-04-04,11.058,11.058,11.058,11.058,0.0,0.0,2019-03-14,RR,RRH19
2018-04-05,10.901,10.901,10.901,10.901,0.0,0.0,2019-03-14,RR,RRH19
2018-04-06,10.9435,10.9435,10.9435,10.9435,0.0,0.0,2019-03-14,RR,RRH19
2018-04-09,10.9632,10.9632,10.9632,10.9632,0.0,0.0,2019-03-14,RR,RRH19
2018-04-10,11.1013,11.1013,11.1013,11.1013,0.0,0.0,2019-03-14,RR,RRH19
2018-04-11,11.2945,11.2945,11.2945,11.2945,0.0,0.0,2019-03-14,RR,RRH19
2018-04-12,11.2267,11.2267,11.2267,11.2267,0.0,0.0,2019-03-14,RR,RRH19
2018-04-13,11.1481,11.1481,11.1481,11.1481,0.0,0.0,2019-03-14,RR,RRH19
2018-04-16,11.2261,11.2261,11.2261,11.2261,0.0,0.0,2019-03-14,RR,RRH19
2018-04-17,11.0622,11.0622,11.0622,11.0622,0.0,0.0,2019-03-14,RR,RRH19
2018-04-18,11.1551,11.1551,11.1551,11.1551,0.0,0.0,2019-03-14,RR,RRH19
2018-04-19,11.2298,11.2298,11.2298,11.2298,0.0,0.0,2019-03-14,RR,RRH19
2018-04-20,11.1197,11.1197,11.1197,11.1197,0.0,0.0,2019-03-14,RR,RRH19
2018-04-23,11.172,11.172,11.172,11.172,0.0,0.0,2019-03-14,RR,RRH19
2018-04-24,11.2837,11.2837,11.2837,11.2837,0.0,0.0,2019-03-14,RR,RRH19
2018-04-25,11.1562,11.1562,11.1562,11.1562,0.0,0.0,2019-03-14,RR,RRH19
2018-04-26,11.347,11.347,11.347,11.347,0.0,0.0,2019-03-14,RR,RRH19
2018-04-27,11.1416,11.1416,11.1416,11.1416,0.0,0.0,2019-03-14,RR,RRH19
2018-04-30,10.9722,10.9722,10.9722,10.9722,0.0,0.0,2019-03-14,RR,RRH19
2018-05-01,10.9294,10.9294,10.9294,10.9294,0.0,0.0,2019-03-14,RR,RRH19
2018-05-02,11.0857,11.0857,11.0857,11.0857,0.0,0.0,2019-03-14,RR,RRH19
2018-05-03,11.0203,11.0203,11.0203,11.0203,0.0,0.0,2019-03-14,RR,RRH19
2018-05-04,11.2143,11.2143,11.2143,11.2143,0.0,0.0,2019-03-14,RR,RRH19
2018-05-07,11.1616,11.1616,11.1616,11.1616,0.0,0.0,2019-03-14,RR,RRH19
2018-05-08,11.1984,11.1984,11.1984,11.1984,0.0,0.0,2019-03-14,RR,RRH19
2018-05-09,11.3597,11.3597,11.3597,11.3597,0.0,0.0,2019-03-14,RR,RRH19
2018-05-10,11.2552,11.2552,11.2552,11.2552,0.0,0.0,2019-03-14,RR,RRH19
2018-05-11,11.3058,11.3058,11.3058,11.3058,0.0,0.0,2019-03-14,RR,RRH19
2018-05-14,11.3148,11.3148,11.3148,11.3148,0.0,0.0,2019-03-14,RR,RRH19
2018-05-15,11.2854,11.2854,11.2854,11.2854,0.0,0.0,2019-03-14,RR,RRH19
2018-05-16,11.0823,11.0823,11.0823,11.0823,0.0,0.0,2019-03-14,RR,RRH19
2018-05-17,11.0114,11.0114,11.0114,11.0114,0.0,0.0,2019-03-14,RR,RRH19
2018-05-18,11.1138,11.1138,11.1138,11.1138,0.0,0.0,2019-03-14,RR,RRH19
2018-05-21,11.046,11.046,11.046,11.046,0.0,0.0,2019-03-14,RR,RRH19
2018-05-22,10.9256,10.9256,10.9256,10.9256,0.0,0.0,2019-03-14,RR,RRH19
2018-05-23,10.7158,10.7158,10.7158,10.7158,0.0,0.0,2019-03-14,RR,RRH19
2018-05-24,10.9001,10.9001,10.9001,10.9001,0.0,0.0,2019-03-14,RR,RRH19
2018-05-25,10.7399,10.7399,10.7399,10.7399,0.0,0.0,2019-03-14,RR,RRH19
2018-05-29,10.9107,10.9107,10.9107,10.9107,0.0,0.0,2019-03-14,RR,RRH19
2018-05-30,10.9489,10.9489,10.9489,10.9489,0.0,0.0,2019-03-14,RR,RRH19
2018-05-31,10.8832,10.8832,10.8832,10.8832,0.0,0.0,2019-03-14,RR,RRH19
2018-06-01,11.0171,11.0171,11.0171,11.0171,0.0,0.0,2019-03-14,RR,RRH19
2018-06-04,11.1074,11.1074,11.1074,11.1074,0.0,0.0,2019-03-14,RR,RRH19
2018-06-05,10.9563,10.9563,10.9563,10.9563,0.0,0.0,2019-03-14,RR,RRH19
2018-06-06,10.8577,10.8577,10.8577,10.8577,0.0,0.0,2019-03-14,RR,RRH19
2018-06-07,10.9174,10.9174,10.9174,10.9174,0.0,0.0,2019-03-14,RR,RRH19
2018-06-08,10.7067,10.7067,10.7067,10.7067,0.0,0.0,2019-03-14,RR,RRH19
2018-06-11,10.5932,10.5932,10.5932,10.5932,0.0,0.0,2019-03-14,RR,RRH19
2018-06-12,10.6388,10.6388,10.6388,10.6388,0.0,0.0,2019-03-14,RR,RRH19
2018-06-13,10.7941,10.7941,10.7941,10.7941,0.0,0.0,2019-03-14,RR,RRH19
2018-06-14,10.8232,10.8232,10.8232,10.8232,0.0,0.0,2019-03-14,RR,RRH19
2018-06-15,10.8286,10.8286,10.8286,10.8286,0.0,0.0,2019-03-14,RR,RRH19
2018-06-18,10.9391,10.9391,10.9391,10.9391,0.0,0.0,2019-03-14,RR,RRH19
2018-06-19,10.8286,10.8286,10.8286,10.8286,0.0,0.0,2019-03-14,RR,RRH19
2018-06-20,10.8189,10.8189,10.8189,10.8189,0.0,0.0,2019-03-14,RR,RRH19
2018-06-21,11.019,11.019,11.019,11.019,0.0,0.0,2019-03-14,RR,RRH19
2018-06-22,10.7975,10.7975,10.7975,10.7975,0.0,0.0,2019-03-14,RR,RRH19
2018-06-25,10.818,10.818,10.818,10.818,0.0,0.0,2019-03-14,RR,RRH19
2018-06-26,10.9673,10.9673,10.9673,10.9673,0.0,0.0,2019-03-14,RR,RRH19
2018-06-27,10.8905,10.8905,10.8905,10.8905,0.0,0.0,2019-03-14,RR,RRH19
2018-06-28,11.0876,11.0876,11.0876,11.0876,0.0,0.0,2019-03-14,RR,RRH19
2018-06-29,11.0943,11.0943,11.0943,11.0943,0.0,0.0,2019-03-14,RR,RRH19
2018-07-02,10.9013,10.9013,10.9013,10.9013,0.0,0.0,2019-03-14,RR,RRH19
2018-07-03,11.0964,11.0964,11.0964,11.0964,0.0,0.0,2019-03-14,RR,RRH19
2018-07-05,11.0553,11.0553,11.0553,11.0553,0.0,0.0,2019-03-14,RR,RRH19
2018-07-06,11.1504,11.1504,11.1504,11.1504,0.0,0.0,2019-03-14,RR,RRH19
2018-07-09,11.2251,11.2251,11.2251,11.2251,0.0,0.0,2019-03-14,RR,RRH19
2018-07-10,11.2296,11.2296,11.2296,11.2296,0.0,0.0,2019-03-14,RR,RRH19
2018-07-11,11.1824,11.1824,11.1824,11.1824,0.0,0.0,2019-03-14,RR,RRH19
2018-07-12,11.1366,11.1366,11.1366,11.1366,0.0,0.0,2019-03-14,RR,RRH19
2018-07-13,11.0676,11.0676,11.0676,11.0676,0.0,0.0,2019-03-14,RR,RRH19
2018-07-16,11.124,11.124,11.124,11.124,0.0,0.0,2019-03-14,RR,RRH19
2018-07-17,11.1807,11.1807,11.1807,11.1807,0.0,0.0,2019-03-14,RR,RRH19
2018-07-18,11.155,11.155,11.155,11.155,0.0,0.0,2019-03-14,RR,RRH19
2018-07-19,11.1963,11.1963,11.1963,11.1963,0.0,0.0,2019-03-14,RR,RRH19
2018-07-20,11.1493,11.1493,11.1493,11.1493,2.0,1.0,2019-03-14,RR,RRH19
2018-07-23,11.2162,11.2162,11.2162,11.2162,43.0,29.0,2019-03-14,RR,RRH19
2018-07-24,11.3373,11.3373,11.3373,11.3373,0.0,31.0,2019-03-14,RR,RRH19
2018-07-25,11.1638,11.1638,11.1638,11.1638,0.0,26.0,2019-03-14,RR,RRH19
2018-07-26,10.993,10.993,10.993,10.993,0.0,32.0,2019-03-14,RR,RRH19
2018-07-27,11.0754,11.0754,11.0754,11.0754,0.0,25.0,2019-03-14,RR,RRH19
2018-07-30,11.2659,11.2659,11.2659,11.2659,0.0,27.0,2019-03-14,RR,RRH19
2018-07-31,11.0642,11.0642,11.0642,11.0642,0.0,25.0,2019-03-14,RR,RRH19
2018-08-01,10.9558,10.9558,10.9558,10.9558,0.0,30.0,2019-03-14,RR,RRH19
2018-08-02,11.1015,11.1015,11.1015,11.1015,0.0,22.0,2019-03-14,RR,RRH19
2018-08-03,11.3146,11.3146,11.3146,11.3146,0.0,29.0,2019-03-14,RR,RRH19
2018-08-06,11.2524,11.2524,11.2524,11.2524,0.0,29.0,2019-03-14,RR,RRH19
2018-08-07,11.1703,11.1703,11.1703,11.1703,0.0,23.0,2019-03-14,RR,RRH19
2018-08-08,11.3233,11.3233,11.3233,11.3233,0.0,22.0,2019-03-14,RR,RRH19
2018-08-09,11.1251,11.1251,11.1251,11.1251,0.0,29.0,2019-03-14,RR,RRH19
2018-08-10,11.0839,11.0839,11.0839,11.0839,0.0,27.0,2019-03-14,RR,RRH19
2018-08-13,11.1825,11.1825,11.1825,11.1825,0.0,24.0,2019-03-14,RR,RRH19
2018-08-14,11.1367,11.1367,11.1367,11.1367,1.0,28.0,2019-03-14,RR,RRH19
2018-08-15,11.3216,11.3216,11.3216,11.3216,7.0,33.0,2019-03-14,RR,RRH19
2018-08-16,11.4733,11.4733,11.4733,11.4733,3.0,35.0,2019-03-14,RR,RRH19
2018-08-17,11.7085,11.7085,11.7085,11.7085,10.0,36.0,2019-03-14,RR,RRH19
2018-08-20,11.6371,11.6371,11.6371,11.6371,36.0,65.0,2019-03-14,RR,RRH19
2018-08-21,11.494,11.494,11.494,11.494,5.0,61.0,2019-03-14,RR,RRH19
2018-08-22,11.2975,11.2975,11.2975,11.2975,53.0,102.0,2019-03-14,RR,RRH19
2018-08-23,11.2026,11.2026,11.2026,11.2026,94.0,159.0,2019-03-14,RR,RRH19
2018-08-24,11.355,11.355,11.355,11.355,46.0,150.0,2019-03-14,RR,RRH19
2018-08-27,11.2494,11.2494,11.2494,11.2494,14.0,196.0,2019-03-14,RR,RRH19
2018-08-28,11.3203,11.3203,11.3203,11.3203,29.0,239.0,2019-03-14,RR,RRH19
2018-08-29,11.0962,11.0962,11.0962,11.0962,143.0,278.0,2019-03-14,RR,RRH19
2018-08-30,11.2948,11.2948,11.2948,11.2948,0.0,278.0,2019-03-14,RR,RRH19
2018-08-31,11.2214,11.2214,11.2214,11.2214,3.0,310.0,2019-03-14,RR,RRH19
2018-09-04,11.0576,11.0576,11.0576,11.0576,1.0,251.0,2019-03-14,RR,RRH19
2018-09-05,11.0687,11.0687,11.0687,11.0687,96.0,415.0,2019-03-14,RR,RRH19
2018-09-06,11.2192,11.2192,11.2192,11.2192,58.0,476.0,2019-03-14,RR,RRH19
2018-09-07,11.3449,11.3449,11.3449,11.3449,26.0,478.0,2019-03-14,RR,RRH19
2018-09-10,11.2383,11.2383,11.2383,11.2383,59.0,412.0,2019-03-14,RR,RRH19
2018-09-11,11.1181,11.1181,11.1181,11.1181,23.0,424.0,2019-03-14,RR,RRH19
2018-09-12,11.1648,11.1648,11.1648,11.1648,12.0,546.0,2019-03-14,RR,RRH19
2018-09-13,11.3725,11.3725,11.3725,11.3725,4.0,516.0,2019-03-14,RR,RRH19
2018-09-14,11.476,11.476,11.476,11.476,11.0,447.0,2019-03-14,RR,RRH19
2018-09-17,11.3991,11.3991,11.3991,11.3991,13.0,541.0,2019-03-14,RR,RRH19
2018-09-18,11.3079,11.3079,11.3079,11.3079,18.0,498.0,2019-03-14,RR,RRH19
2018-09-19,11.3113,11.3113,11.3113,11.3113,39.0,434.0,2019-03-14,RR,RRH19
2018-09-20,11.4911,11.4911,11.4911,11.4911,32.0,450.0,2019-03-14,RR,RRH19
2018-09-21,11.375,11.375,11.375,11.375,16.0,490.0,2019-03-14,RR,RRH19
2018-09-24,11.185,11.185,11.185,11.185,4.0,592.0,2019-03-14,RR,RRH19
2018-09-25,11.3237,11.3237,11.3237,11.3237,18.0,494.0,2019-03-14,RR,RRH19
2018-09-26,11.2977,11.2977,11.2977,11.2977,57.0,581.0,2019-03-14,RR,RRH19
2018-09-27,11.5124,11.5124,11.5124,11.5124,31.0,596.0,2019-03-14,RR,RRH19
2018-09-28,11.4756,11.4756,11.4756,11.4756,25.0,527.0,2019-03-14,RR,RRH19
2018-10-01,11.2863,11.2863,11.2863,11.2863,20.0,504.0,2019-03-14,RR,RRH19
2018-10-02,11.2479,11.2479,11.2479,11.2479,66.0,656.0,2019-03-14,RR,RRH19
2018-10-03,11.159,11.159,11.159,11.159,19.0,502.0,2019-03-14,RR,RRH19
2018-10-04,11.024,11.024,11.024,11.024,118.0,598.0,2019-03-14,RR,RRH19
2018-10-05,11.1927,11.1927,11.1927,11.1927,19.0,624.0,2019-03-14,RR,RRH19
2018-10-08,11.336,11.336,11.336,11.336,10.0,723.0,2019-03-14,RR,RRH19
2018-10-09,11.1115,11.1115,11.1115,11.1115,26.0,613.0,2019-03-14,RR,RRH19
2018-10-10,11.0648,11.0648,11.0648,11.0648,51.0,682.0,2019-03-14,RR,RRH19
2018-10-11,10.9431,10.9431,10.9431,10.9431,30.0,758.0,2019-03-14,RR,RRH19
2018-10-12,11.0296,11.0296,11.0296,11.0296,36.0,711.0,2019-03-14,RR,RRH19
2018-10-15,11.0097,11.0097,11.0097,11.0097,25.0,842.0,2019-03-14,RR,RRH19
2018-10-16,10.7796,10.7796,10.7796,10.7796,40.0,630.0,2019-03-14,RR,RRH19
2018-10-17,10.7354,10.7354,10.7354,10.7354,28.0,826.0,2019-03-14,RR,RRH19
2018-10-18,10.5518,10.5518,10.5518,10.5518,170.0,774.0,2019-03-14,RR,RRH19
2018-10-19,10.4115,10.4115,10.4115,10.4115,136.0,1055.0,2019-03-14,RR,RRH19
2018-10-22,10.5656,10.5656,10.5656,10.5656,11.0,1063.0,2019-03-14,RR,RRH19
2018-10-23,10.7072,10.7072,10.7072,10.7072,10.0,970.0,2019-03-14,RR,RRH19
2018-10-24,10.568,10.568,10.568,10.568,10.0,915.0,2019-03-14,RR,RRH19
2018-10-25,10.7825,10.7825,10.7825,10.7825,85.0,835.0,2019-03-14,RR,RRH19
2018-10-26,10.7006,10.7006,10.7006,10.7006,58.0,1075.0,2019-03-14,RR,RRH19
2018-10-29,10.9157,10.9157,10.9157,10.9157,59.0,830.0,2019-03-14,RR,RRH19
2018-10-30,10.8797,10.8797,10.8797,10.8797,49.0,931.0,2019-03-14,RR,RRH19
2018-10-31,10.9167,10.9167,10.9167,10.9167,46.0,1096.0,2019-03-14,RR,RRH19
2018-11-01,10.8392,10.8392,10.8392,10.8392,55.0,946.0,2019-03-14,RR,RRH19
2018-11-02,10.6213,10.6213,10.6213,10.6213,31.0,1150.0,2019-03-14,RR,RRH19
2018-11-05,10.5788,10.5788,10.5788,10.5788,7.0,897.0,2019-03-14,RR,RRH19
2018-11-06,10.4,10.4,10.4,10.4,10.0,973.0,2019-03-14,RR,RRH19
2018-11-07,10.4291,10.4291,10.4291,10.4291,13.0,813.0,2019-03-14,RR,RRH19
2018-11-08,10.4698,10.4698,10.4698,10.4698,14.0,1091.0,2019-03-14,RR,RRH19
2018-11-09,10.4342,10.4342,10.4342,10.4342,46.0,1063.0,2019-03-14,RR,RRH19
2018-11-12,10.2568,10.2568,10.2568,10.2568,6.0,1148.0,2019-03-14,RR,RRH19
2018-11-13,10.3173,10.3173,10.3173,10.3173,73.0,859.0,2019-03-14,RR,RRH19
2018-11-14,10.3039,10.3039,10.3039,10.3039,14.0,928.0,2019-03-14,RR,RRH19
2018-11-15,10.3801,10.3801,10.3801,10.3801,87.0,1000.0,2019-03-14,RR,RRH19
2018-11-16,10.5265,10.5265,10.5265,10.5265,88.0,911.0,2019-03-14,RR,RRH19
2018-11-19,10.3539,10.3539,10.3539,10.3539,64.0,1175.0,2019-03-14,RR,RRH19
2018-11-20,10.3932,10.3932,10.3932,10.3932,63.0,985.0,2019-03-14,RR,RRH19
2018-11-21,10.3246,10.3246,10.3246,10.3246,23.0,961.0,2019-03-14,RR,RRH19
2018-11-23,10.1098,10.1098,10.1098,10.1098,51.0,946.0,2019-03-14,RR,RRH19
2018-11-26,9.9521,9.9521,9.9521,9.9521,32.0,1154.0,2019-03-14,RR,RRH19
2018-11-27,9.7819,9.7819,9.7819,9.7819,89.0,1257.0,2019-03-14,RR,RRH19
2018-11-28,9.7193,9.7193,9.7193,9.7193,53.0,1131.0,2019-03-14,RR,RRH19
2018-11-29,9.6629,9.6629,9.6629,9.6629,233.0,1302.0,2019-03-14,RR,RRH19
2018-11-30,9.6387,9.6387,9.6387,9.6387,198.0,1241.0,2019-03-14,RR,RRH19
2018-12-03,9.5635,9.5635,9.5635,9.5635,536.0,1958.0,2019-03-14,RR,RRH19
2018-12-04,9.5444,9.5444,9.5444,9.5444,481.0,1926.0,2019-03-14,RR,RRH19
2018-12-05,9.7458,9.7458,9.7458,9.7458,233.0,1625.0,2019-03-14,RR,RRH19
2018-12-06,9.6678,9.6678,9.6678,9.6678,340.0,1831.0,2019-03-14,RR,RRH19
2018-12-07,9.575,9.575,9.575,9.575,127.0,2529.0,2019-03-14,RR,RRH19
2018-12-10,9.733,9.733,9.733,9.733,468.0,2221.0,2019-03-14,RR,RRH19
2018-12-11,9.7476,9.7476,9.7476,9.7476,556.0,2613.0,2019-03-14,RR,RRH19
2018-12-12,9.5673,9.5673,9.5673,9.5673,876.0,3921.0,2019-03-14,RR,RRH19
2018-12-13,9.597,9.597,9.597,9.597,338.0,3474.0,2019-03-14,RR,RRH19
