,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-03-14,11.1106,11.1106,11.1106,11.1106,0.0,0.0,2017-05-12,RR,RRK17
2016-03-15,10.8895,10.8895,10.8895,10.8895,0.0,0.0,2017-05-12,RR,RRK17
2016-03-16,10.8285,10.8285,10.8285,10.8285,0.0,0.0,2017-05-12,RR,RRK17
2016-03-17,11.0819,11.0819,11.0819,11.0819,0.0,0.0,2017-05-12,RR,RRK17
2016-03-18,11.0043,11.0043,11.0043,11.0043,0.0,0.0,2017-05-12,RR,RRK17
2016-03-21,10.9163,10.9163,10.9163,10.9163,0.0,0.0,2017-05-12,RR,RRK17
2016-03-22,10.7012,10.7012,10.7012,10.7012,0.0,0.0,2017-05-12,RR,RRK17
2016-03-23,10.9912,10.9912,10.9912,10.9912,0.0,0.0,2017-05-12,RR,RRK17
2016-03-24,10.9527,10.9527,10.9527,10.9527,0.0,0.0,2017-05-12,RR,RRK17
2016-03-28,11.2156,11.2156,11.2156,11.2156,0.0,0.0,2017-05-12,RR,RRK17
2016-03-29,11.4881,11.4881,11.4881,11.4881,0.0,0.0,2017-05-12,RR,RRK17
2016-03-30,11.4755,11.4755,11.4755,11.4755,0.0,0.0,2017-05-12,RR,RRK17
2016-03-31,11.3137,11.3137,11.3137,11.3137,0.0,0.0,2017-05-12,RR,RRK17
2016-04-01,11.1587,11.1587,11.1587,11.1587,0.0,0.0,2017-05-12,RR,RRK17
2016-04-04,11.0627,11.0627,11.0627,11.0627,0.0,0.0,2017-05-12,RR,RRK17
2016-04-05,11.3216,11.3216,11.3216,11.3216,0.0,0.0,2017-05-12,RR,RRK17
2016-04-06,11.5514,11.5514,11.5514,11.5514,0.0,0.0,2017-05-12,RR,RRK17
2016-04-07,11.6311,11.6311,11.6311,11.6311,0.0,0.0,2017-05-12,RR,RRK17
2016-04-08,11.6869,11.6869,11.6869,11.6869,0.0,0.0,2017-05-12,RR,RRK17
2016-04-11,11.7979,11.7979,11.7979,11.7979,0.0,0.0,2017-05-12,RR,RRK17
2016-04-12,11.7625,11.7625,11.7625,11.7625,0.0,0.0,2017-05-12,RR,RRK17
2016-04-13,11.5555,11.5555,11.5555,11.5555,0.0,0.0,2017-05-12,RR,RRK17
2016-04-14,11.8571,11.8571,11.8571,11.8571,0.0,0.0,2017-05-12,RR,RRK17
2016-04-15,11.8334,11.8334,11.8334,11.8334,0.0,0.0,2017-05-12,RR,RRK17
2016-04-18,11.8926,11.8926,11.8926,11.8926,0.0,0.0,2017-05-12,RR,RRK17
2016-04-19,12.1114,12.1114,12.1114,12.1114,0.0,0.0,2017-05-12,RR,RRK17
2016-04-20,12.2265,12.2265,12.2265,12.2265,0.0,0.0,2017-05-12,RR,RRK17
2016-04-21,12.2375,12.2375,12.2375,12.2375,0.0,0.0,2017-05-12,RR,RRK17
2016-04-22,12.4504,12.4504,12.4504,12.4504,0.0,0.0,2017-05-12,RR,RRK17
2016-04-25,12.2848,12.2848,12.2848,12.2848,0.0,0.0,2017-05-12,RR,RRK17
2016-04-26,12.5821,12.5821,12.5821,12.5821,0.0,0.0,2017-05-12,RR,RRK17
2016-04-27,12.2663,12.2663,12.2663,12.2663,0.0,0.0,2017-05-12,RR,RRK17
2016-04-28,12.3448,12.3448,12.3448,12.3448,0.0,0.0,2017-05-12,RR,RRK17
2016-04-29,12.4682,12.4682,12.4682,12.4682,0.0,0.0,2017-05-12,RR,RRK17
2016-05-02,12.3971,12.3971,12.3971,12.3971,0.0,0.0,2017-05-12,RR,RRK17
2016-05-03,12.4293,12.4293,12.4293,12.4293,0.0,0.0,2017-05-12,RR,RRK17
2016-05-04,12.7487,12.7487,12.7487,12.7487,0.0,0.0,2017-05-12,RR,RRK17
