,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-05-12,11.4198,11.4198,11.4198,11.4198,0.0,0.0,2018-07-13,RR,RRN18
2017-05-15,11.2028,11.2028,11.2028,11.2028,0.0,0.0,2018-07-13,RR,RRN18
2017-05-16,11.2431,11.2431,11.2431,11.2431,0.0,0.0,2018-07-13,RR,RRN18
2017-05-17,11.2723,11.2723,11.2723,11.2723,0.0,0.0,2018-07-13,RR,RRN18
2017-05-18,11.0074,11.0074,11.0074,11.0074,0.0,0.0,2018-07-13,RR,RRN18
2017-05-19,10.8357,10.8357,10.8357,10.8357,0.0,0.0,2018-07-13,RR,RRN18
2017-05-22,10.7848,10.7848,10.7848,10.7848,0.0,0.0,2018-07-13,RR,RRN18
2017-05-23,11.0458,11.0458,11.0458,11.0458,0.0,0.0,2018-07-13,RR,RRN18
2017-05-24,11.0513,11.0513,11.0513,11.0513,0.0,0.0,2018-07-13,RR,RRN18
2017-05-25,11.2104,11.2104,11.2104,11.2104,0.0,0.0,2018-07-13,RR,RRN18
2017-05-26,11.3864,11.3864,11.3864,11.3864,0.0,0.0,2018-07-13,RR,RRN18
2017-05-30,11.4752,11.4752,11.4752,11.4752,0.0,0.0,2018-07-13,RR,RRN18
2017-05-31,11.7139,11.7139,11.7139,11.7139,0.0,0.0,2018-07-13,RR,RRN18
2017-06-01,11.7303,11.7303,11.7303,11.7303,0.0,0.0,2018-07-13,RR,RRN18
2017-06-02,11.8863,11.8863,11.8863,11.8863,0.0,0.0,2018-07-13,RR,RRN18
2017-06-05,11.6521,11.6521,11.6521,11.6521,0.0,0.0,2018-07-13,RR,RRN18
2017-06-06,11.7139,11.7139,11.7139,11.7139,0.0,0.0,2018-07-13,RR,RRN18
2017-06-07,11.7725,11.7725,11.7725,11.7725,0.0,0.0,2018-07-13,RR,RRN18
2017-06-08,11.5053,11.5053,11.5053,11.5053,0.0,0.0,2018-07-13,RR,RRN18
2017-06-09,11.6146,11.6146,11.6146,11.6146,0.0,0.0,2018-07-13,RR,RRN18
2017-06-12,11.5588,11.5588,11.5588,11.5588,0.0,0.0,2018-07-13,RR,RRN18
2017-06-13,11.7299,11.7299,11.7299,11.7299,0.0,0.0,2018-07-13,RR,RRN18
2017-06-14,12.0067,12.0067,12.0067,12.0067,0.0,0.0,2018-07-13,RR,RRN18
2017-06-15,11.883,11.883,11.883,11.883,0.0,0.0,2018-07-13,RR,RRN18
2017-06-16,11.9032,11.9032,11.9032,11.9032,0.0,0.0,2018-07-13,RR,RRN18
2017-06-19,11.7044,11.7044,11.7044,11.7044,0.0,0.0,2018-07-13,RR,RRN18
2017-06-20,11.6389,11.6389,11.6389,11.6389,0.0,0.0,2018-07-13,RR,RRN18
2017-06-21,11.6284,11.6284,11.6284,11.6284,0.0,0.0,2018-07-13,RR,RRN18
2017-06-22,11.4098,11.4098,11.4098,11.4098,0.0,0.0,2018-07-13,RR,RRN18
2017-06-23,11.6106,11.6106,11.6106,11.6106,0.0,0.0,2018-07-13,RR,RRN18
2017-06-26,11.7522,11.7522,11.7522,11.7522,0.0,0.0,2018-07-13,RR,RRN18
2017-06-27,11.9109,11.9109,11.9109,11.9109,0.0,0.0,2018-07-13,RR,RRN18
2017-06-28,11.9157,11.9157,11.9157,11.9157,0.0,0.0,2018-07-13,RR,RRN18
2017-06-29,12.0992,12.0992,12.0992,12.0992,0.0,0.0,2018-07-13,RR,RRN18
2017-06-30,12.1561,12.1561,12.1561,12.1561,0.0,0.0,2018-07-13,RR,RRN18
2017-07-03,11.9567,11.9567,11.9567,11.9567,0.0,0.0,2018-07-13,RR,RRN18
2017-07-05,11.8802,11.8802,11.8802,11.8802,0.0,0.0,2018-07-13,RR,RRN18
2017-07-06,12.0441,12.0441,12.0441,12.0441,0.0,0.0,2018-07-13,RR,RRN18
2017-07-07,12.3006,12.3006,12.3006,12.3006,0.0,0.0,2018-07-13,RR,RRN18
2017-07-10,12.5257,12.5257,12.5257,12.5257,0.0,0.0,2018-07-13,RR,RRN18
2017-07-11,12.4731,12.4731,12.4731,12.4731,0.0,0.0,2018-07-13,RR,RRN18
2017-07-12,12.4145,12.4145,12.4145,12.4145,0.0,0.0,2018-07-13,RR,RRN18
2017-07-13,12.4021,12.4021,12.4021,12.4021,0.0,0.0,2018-07-13,RR,RRN18
2017-07-14,12.097,12.097,12.097,12.097,0.0,0.0,2018-07-13,RR,RRN18
2017-07-17,12.0172,12.0172,12.0172,12.0172,0.0,0.0,2018-07-13,RR,RRN18
2017-07-18,12.0388,12.0388,12.0388,12.0388,0.0,0.0,2018-07-13,RR,RRN18
2017-07-19,12.0292,12.0292,12.0292,12.0292,0.0,0.0,2018-07-13,RR,RRN18
2017-07-20,11.862,11.862,11.862,11.862,0.0,0.0,2018-07-13,RR,RRN18
2017-07-21,11.7552,11.7552,11.7552,11.7552,0.0,0.0,2018-07-13,RR,RRN18
2017-07-24,11.6612,11.6612,11.6612,11.6612,0.0,0.0,2018-07-13,RR,RRN18
2017-07-25,11.6111,11.6111,11.6111,11.6111,0.0,0.0,2018-07-13,RR,RRN18
2017-07-26,11.7191,11.7191,11.7191,11.7191,0.0,0.0,2018-07-13,RR,RRN18
2017-07-27,11.691,11.691,11.691,11.691,0.0,0.0,2018-07-13,RR,RRN18
2017-07-28,11.9739,11.9739,11.9739,11.9739,0.0,0.0,2018-07-13,RR,RRN18
2017-07-31,12.0673,12.0673,12.0673,12.0673,0.0,0.0,2018-07-13,RR,RRN18
2017-08-01,11.8911,11.8911,11.8911,11.8911,0.0,0.0,2018-07-13,RR,RRN18
2017-08-02,12.1717,12.1717,12.1717,12.1717,0.0,0.0,2018-07-13,RR,RRN18
2017-08-03,12.1425,12.1425,12.1425,12.1425,0.0,0.0,2018-07-13,RR,RRN18
2017-08-04,12.27,12.27,12.27,12.27,0.0,0.0,2018-07-13,RR,RRN18
2017-08-07,12.4172,12.4172,12.4172,12.4172,0.0,0.0,2018-07-13,RR,RRN18
2017-08-08,12.1155,12.1155,12.1155,12.1155,0.0,0.0,2018-07-13,RR,RRN18
2017-08-09,11.981,11.981,11.981,11.981,0.0,0.0,2018-07-13,RR,RRN18
2017-08-10,12.2733,12.2733,12.2733,12.2733,0.0,0.0,2018-07-13,RR,RRN18
2017-08-11,12.1506,12.1506,12.1506,12.1506,0.0,0.0,2018-07-13,RR,RRN18
2017-08-14,12.1871,12.1871,12.1871,12.1871,0.0,0.0,2018-07-13,RR,RRN18
2017-08-15,12.4589,12.4589,12.4589,12.4589,0.0,0.0,2018-07-13,RR,RRN18
2017-08-16,12.3717,12.3717,12.3717,12.3717,0.0,0.0,2018-07-13,RR,RRN18
2017-08-17,12.1787,12.1787,12.1787,12.1787,0.0,0.0,2018-07-13,RR,RRN18
2017-08-18,12.158,12.158,12.158,12.158,0.0,0.0,2018-07-13,RR,RRN18
2017-08-21,12.023,12.023,12.023,12.023,0.0,0.0,2018-07-13,RR,RRN18
2017-08-22,12.2995,12.2995,12.2995,12.2995,0.0,0.0,2018-07-13,RR,RRN18
2017-08-23,12.2134,12.2134,12.2134,12.2134,0.0,0.0,2018-07-13,RR,RRN18
2017-08-24,12.4125,12.4125,12.4125,12.4125,0.0,0.0,2018-07-13,RR,RRN18
2017-08-25,12.6905,12.6905,12.6905,12.6905,0.0,0.0,2018-07-13,RR,RRN18
2017-08-28,12.7831,12.7831,12.7831,12.7831,0.0,0.0,2018-07-13,RR,RRN18
2017-08-29,12.7959,12.7959,12.7959,12.7959,1.0,1.0,2018-07-13,RR,RRN18
2017-08-30,12.6871,12.6871,12.6871,12.6871,0.0,1.0,2018-07-13,RR,RRN18
2017-08-31,12.408,12.408,12.408,12.408,0.0,1.0,2018-07-13,RR,RRN18
2017-09-01,12.1375,12.1375,12.1375,12.1375,0.0,1.0,2018-07-13,RR,RRN18
2017-09-05,12.4324,12.4324,12.4324,12.4324,0.0,1.0,2018-07-13,RR,RRN18
2017-09-06,12.4361,12.4361,12.4361,12.4361,0.0,1.0,2018-07-13,RR,RRN18
2017-09-07,12.6662,12.6662,12.6662,12.6662,0.0,1.0,2018-07-13,RR,RRN18
2017-09-08,12.5927,12.5927,12.5927,12.5927,0.0,1.0,2018-07-13,RR,RRN18
2017-09-11,12.5889,12.5889,12.5889,12.5889,0.0,1.0,2018-07-13,RR,RRN18
2017-09-12,12.3145,12.3145,12.3145,12.3145,0.0,1.0,2018-07-13,RR,RRN18
2017-09-13,12.5571,12.5571,12.5571,12.5571,0.0,1.0,2018-07-13,RR,RRN18
2017-09-14,12.6852,12.6852,12.6852,12.6852,0.0,1.0,2018-07-13,RR,RRN18
2017-09-15,12.5254,12.5254,12.5254,12.5254,0.0,1.0,2018-07-13,RR,RRN18
2017-09-18,12.4991,12.4991,12.4991,12.4991,0.0,1.0,2018-07-13,RR,RRN18
2017-09-19,12.4929,12.4929,12.4929,12.4929,0.0,1.0,2018-07-13,RR,RRN18
2017-09-20,12.6466,12.6466,12.6466,12.6466,0.0,1.0,2018-07-13,RR,RRN18
2017-09-21,12.7022,12.7022,12.7022,12.7022,0.0,1.0,2018-07-13,RR,RRN18
2017-09-22,12.6361,12.6361,12.6361,12.6361,0.0,1.0,2018-07-13,RR,RRN18
2017-09-25,12.8067,12.8067,12.8067,12.8067,0.0,1.0,2018-07-13,RR,RRN18
2017-09-26,12.5992,12.5992,12.5992,12.5992,0.0,1.0,2018-07-13,RR,RRN18
2017-09-27,12.4896,12.4896,12.4896,12.4896,0.0,1.0,2018-07-13,RR,RRN18
2017-09-28,12.3522,12.3522,12.3522,12.3522,0.0,1.0,2018-07-13,RR,RRN18
