,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-07-15,11.8604,11.8604,11.8604,11.8604,0.0,0.0,2016-09-14,RR,RRU16
2015-07-16,11.5437,11.5437,11.5437,11.5437,0.0,0.0,2016-09-14,RR,RRU16
2015-07-17,11.6407,11.6407,11.6407,11.6407,0.0,0.0,2016-09-14,RR,RRU16
2015-07-20,11.6977,11.6977,11.6977,11.6977,0.0,0.0,2016-09-14,RR,RRU16
2015-07-21,11.5585,11.5585,11.5585,11.5585,0.0,0.0,2016-09-14,RR,RRU16
2015-07-22,11.8937,11.8937,11.8937,11.8937,0.0,0.0,2016-09-14,RR,RRU16
2015-07-23,12.0079,12.0079,12.0079,12.0079,0.0,0.0,2016-09-14,RR,RRU16
2015-07-24,12.0775,12.0775,12.0775,12.0775,0.0,0.0,2016-09-14,RR,RRU16
2015-07-27,11.7466,11.7466,11.7466,11.7466,0.0,0.0,2016-09-14,RR,RRU16
2015-07-28,12.0226,12.0226,12.0226,12.0226,0.0,0.0,2016-09-14,RR,RRU16
2015-07-29,12.0551,12.0551,12.0551,12.0551,0.0,0.0,2016-09-14,RR,RRU16
2015-07-30,11.9659,11.9659,11.9659,11.9659,0.0,0.0,2016-09-14,RR,RRU16
2015-07-31,12.1502,12.1502,12.1502,12.1502,0.0,0.0,2016-09-14,RR,RRU16
2015-08-03,12.2243,12.2243,12.2243,12.2243,0.0,0.0,2016-09-14,RR,RRU16
2015-08-04,12.2598,12.2598,12.2598,12.2598,0.0,0.0,2016-09-14,RR,RRU16
2015-08-05,12.2561,12.2561,12.2561,12.2561,0.0,0.0,2016-09-14,RR,RRU16
2015-08-06,12.4093,12.4093,12.4093,12.4093,0.0,0.0,2016-09-14,RR,RRU16
2015-08-07,12.1475,12.1475,12.1475,12.1475,0.0,0.0,2016-09-14,RR,RRU16
2015-08-10,12.3491,12.3491,12.3491,12.3491,0.0,0.0,2016-09-14,RR,RRU16
2015-08-11,12.4504,12.4504,12.4504,12.4504,0.0,0.0,2016-09-14,RR,RRU16
2015-08-12,12.5089,12.5089,12.5089,12.5089,0.0,0.0,2016-09-14,RR,RRU16
2015-08-13,12.8379,12.8379,12.8379,12.8379,0.0,0.0,2016-09-14,RR,RRU16
2015-08-14,12.8893,12.8893,12.8893,12.8893,0.0,0.0,2016-09-14,RR,RRU16
2015-08-17,13.013,13.013,13.013,13.013,0.0,0.0,2016-09-14,RR,RRU16
2015-08-18,13.1405,13.1405,13.1405,13.1405,0.0,0.0,2016-09-14,RR,RRU16
2015-08-19,13.5071,13.5071,13.5071,13.5071,0.0,0.0,2016-09-14,RR,RRU16
2015-08-20,13.8299,13.8299,13.8299,13.8299,0.0,0.0,2016-09-14,RR,RRU16
2015-08-21,14.0415,14.0415,14.0415,14.0415,0.0,0.0,2016-09-14,RR,RRU16
2015-08-24,14.1201,14.1201,14.1201,14.1201,0.0,0.0,2016-09-14,RR,RRU16
2015-08-25,14.0382,14.0382,14.0382,14.0382,0.0,0.0,2016-09-14,RR,RRU16
2015-08-26,14.3148,14.3148,14.3148,14.3148,0.0,0.0,2016-09-14,RR,RRU16
