,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2017-09-15,12.3364,12.3364,12.3364,12.3364,0.0,0.0,2018-11-14,RR,RRX18
2017-09-18,12.3167,12.3167,12.3167,12.3167,0.0,0.0,2018-11-14,RR,RRX18
2017-09-19,12.3906,12.3906,12.3906,12.3906,0.0,0.0,2018-11-14,RR,RRX18
2017-09-20,12.5281,12.5281,12.5281,12.5281,0.0,0.0,2018-11-14,RR,RRX18
2017-09-21,12.6308,12.6308,12.6308,12.6308,0.0,0.0,2018-11-14,RR,RRX18
2017-09-22,12.6321,12.6321,12.6321,12.6321,0.0,0.0,2018-11-14,RR,RRX18
2017-09-25,12.5399,12.5399,12.5399,12.5399,0.0,0.0,2018-11-14,RR,RRX18
2017-09-26,12.5424,12.5424,12.5424,12.5424,0.0,0.0,2018-11-14,RR,RRX18
2017-09-27,12.6992,12.6992,12.6992,12.6992,0.0,0.0,2018-11-14,RR,RRX18
2017-09-28,12.5074,12.5074,12.5074,12.5074,0.0,0.0,2018-11-14,RR,RRX18
2017-09-29,12.7463,12.7463,12.7463,12.7463,0.0,0.0,2018-11-14,RR,RRX18
2017-10-02,12.7208,12.7208,12.7208,12.7208,0.0,0.0,2018-11-14,RR,RRX18
2017-10-03,12.6775,12.6775,12.6775,12.6775,0.0,0.0,2018-11-14,RR,RRX18
2017-10-04,12.4392,12.4392,12.4392,12.4392,0.0,0.0,2018-11-14,RR,RRX18
2017-10-05,12.2775,12.2775,12.2775,12.2775,0.0,0.0,2018-11-14,RR,RRX18
2017-10-06,12.4653,12.4653,12.4653,12.4653,0.0,0.0,2018-11-14,RR,RRX18
2017-10-09,12.742,12.742,12.742,12.742,0.0,0.0,2018-11-14,RR,RRX18
2017-10-10,12.8197,12.8197,12.8197,12.8197,0.0,0.0,2018-11-14,RR,RRX18
2017-10-11,12.8312,12.8312,12.8312,12.8312,0.0,0.0,2018-11-14,RR,RRX18
2017-10-12,12.8902,12.8902,12.8902,12.8902,0.0,0.0,2018-11-14,RR,RRX18
