,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-04-01,15.1598,15.1598,15.1598,15.1598,0.0,0.0,2019-02-28,SB,SBH19
2016-04-04,15.1734,15.1734,15.1734,15.1734,0.0,0.0,2019-02-28,SB,SBH19
2016-04-05,15.2098,15.2098,15.2098,15.2098,0.0,0.0,2019-02-28,SB,SBH19
2016-04-06,15.333,15.333,15.333,15.333,0.0,0.0,2019-02-28,SB,SBH19
2016-04-07,15.655,15.655,15.655,15.655,0.0,0.0,2019-02-28,SB,SBH19
2016-04-08,16.0276,16.0276,16.0276,16.0276,0.0,0.0,2019-02-28,SB,SBH19
2016-04-11,16.034,16.034,16.034,16.034,0.0,0.0,2019-02-28,SB,SBH19
2016-04-12,16.3611,16.3611,16.3611,16.3611,0.0,0.0,2019-02-28,SB,SBH19
2016-04-13,16.7521,16.7521,16.7521,16.7521,0.0,0.0,2019-02-28,SB,SBH19
2016-04-14,16.6399,16.6399,16.6399,16.6399,0.0,0.0,2019-02-28,SB,SBH19
2016-04-15,16.3254,16.3254,16.3254,16.3254,0.0,0.0,2019-02-28,SB,SBH19
2016-04-18,16.5262,16.5262,16.5262,16.5262,0.0,0.0,2019-02-28,SB,SBH19
2016-04-19,16.5295,16.5295,16.5295,16.5295,1.0,1.0,2019-02-28,SB,SBH19
2016-04-20,16.2783,16.2783,16.2783,16.2783,0.0,1.0,2019-02-28,SB,SBH19
2016-04-21,16.6364,16.6364,16.6364,16.6364,0.0,1.0,2019-02-28,SB,SBH19
2016-04-22,16.6497,16.6497,16.6497,16.6497,0.0,1.0,2019-02-28,SB,SBH19
2016-04-25,16.4449,16.4449,16.4449,16.4449,2.0,3.0,2019-02-28,SB,SBH19
2016-04-26,16.8198,16.8198,16.8198,16.8198,0.0,3.0,2019-02-28,SB,SBH19
2016-04-27,16.4615,16.4615,16.4615,16.4615,1.0,3.0,2019-02-28,SB,SBH19
2016-04-28,16.799,16.799,16.799,16.799,0.0,4.0,2019-02-28,SB,SBH19
2016-04-29,16.7385,16.7385,16.7385,16.7385,4.0,9.0,2019-02-28,SB,SBH19
2016-05-02,16.9996,16.9996,16.9996,16.9996,0.0,7.0,2019-02-28,SB,SBH19
2016-05-03,16.6324,16.6324,16.6324,16.6324,0.0,8.0,2019-02-28,SB,SBH19
2016-05-04,16.2964,16.2964,16.2964,16.2964,0.0,7.0,2019-02-28,SB,SBH19
2016-05-05,16.4056,16.4056,16.4056,16.4056,0.0,8.0,2019-02-28,SB,SBH19
2016-05-06,16.3974,16.3974,16.3974,16.3974,0.0,9.0,2019-02-28,SB,SBH19
2016-05-09,16.3548,16.3548,16.3548,16.3548,0.0,9.0,2019-02-28,SB,SBH19
2016-05-10,16.3057,16.3057,16.3057,16.3057,0.0,7.0,2019-02-28,SB,SBH19
2016-05-11,15.9029,15.9029,15.9029,15.9029,372.0,308.0,2019-02-28,SB,SBH19
2016-05-12,16.046,16.046,16.046,16.046,7.0,388.0,2019-02-28,SB,SBH19
2016-05-13,16.2963,16.2963,16.2963,16.2963,8.0,408.0,2019-02-28,SB,SBH19
2016-05-16,16.1887,16.1887,16.1887,16.1887,0.0,355.0,2019-02-28,SB,SBH19
2016-05-17,16.5869,16.5869,16.5869,16.5869,1.0,356.0,2019-02-28,SB,SBH19
2016-05-18,16.1772,16.1772,16.1772,16.1772,0.0,417.0,2019-02-28,SB,SBH19
2016-05-19,16.0526,16.0526,16.0526,16.0526,0.0,315.0,2019-02-28,SB,SBH19
2016-05-20,16.2757,16.2757,16.2757,16.2757,62.0,427.0,2019-02-28,SB,SBH19
2016-05-23,15.999,15.999,15.999,15.999,4.0,361.0,2019-02-28,SB,SBH19
2016-05-24,15.6518,15.6518,15.6518,15.6518,0.0,473.0,2019-02-28,SB,SBH19
2016-05-25,15.428,15.428,15.428,15.428,9.0,334.0,2019-02-28,SB,SBH19
2016-05-26,15.0577,15.0577,15.0577,15.0577,2.0,456.0,2019-02-28,SB,SBH19
2016-05-27,14.9914,14.9914,14.9914,14.9914,1.0,439.0,2019-02-28,SB,SBH19
2016-05-31,14.9659,14.9659,14.9659,14.9659,2.0,499.0,2019-02-28,SB,SBH19
2016-06-01,14.8297,14.8297,14.8297,14.8297,0.0,438.0,2019-02-28,SB,SBH19
2016-06-02,14.9558,14.9558,14.9558,14.9558,8.0,459.0,2019-02-28,SB,SBH19
2016-06-03,14.7823,14.7823,14.7823,14.7823,34.0,439.0,2019-02-28,SB,SBH19
2016-06-06,14.5266,14.5266,14.5266,14.5266,37.0,603.0,2019-02-28,SB,SBH19
2016-06-07,14.1736,14.1736,14.1736,14.1736,11.0,639.0,2019-02-28,SB,SBH19
2016-06-08,14.1608,14.1608,14.1608,14.1608,58.0,637.0,2019-02-28,SB,SBH19
2016-06-09,14.393,14.393,14.393,14.393,250.0,608.0,2019-02-28,SB,SBH19
2016-06-10,14.4448,14.4448,14.4448,14.4448,7.0,824.0,2019-02-28,SB,SBH19
2016-06-13,14.504,14.504,14.504,14.504,2.0,804.0,2019-02-28,SB,SBH19
2016-06-14,14.723,14.723,14.723,14.723,7.0,900.0,2019-02-28,SB,SBH19
2016-06-15,14.9424,14.9424,14.9424,14.9424,77.0,760.0,2019-02-28,SB,SBH19
2016-06-16,15.0321,15.0321,15.0321,15.0321,232.0,1201.0,2019-02-28,SB,SBH19
2016-06-17,15.2846,15.2846,15.2846,15.2846,48.0,1018.0,2019-02-28,SB,SBH19
2016-06-20,15.0018,15.0018,15.0018,15.0018,0.0,1176.0,2019-02-28,SB,SBH19
2016-06-21,14.6718,14.6718,14.6718,14.6718,23.0,1152.0,2019-02-28,SB,SBH19
2016-06-22,14.3637,14.3637,14.3637,14.3637,19.0,1218.0,2019-02-28,SB,SBH19
2016-06-23,14.4729,14.4729,14.4729,14.4729,46.0,1157.0,2019-02-28,SB,SBH19
2016-06-24,14.6176,14.6176,14.6176,14.6176,2.0,1236.0,2019-02-28,SB,SBH19
2016-06-27,14.5957,14.5957,14.5957,14.5957,360.0,1260.0,2019-02-28,SB,SBH19
2016-06-28,14.8015,14.8015,14.8015,14.8015,4.0,1446.0,2019-02-28,SB,SBH19
2016-06-29,14.7941,14.7941,14.7941,14.7941,117.0,1149.0,2019-02-28,SB,SBH19
2016-06-30,14.6772,14.6772,14.6772,14.6772,4.0,1254.0,2019-02-28,SB,SBH19
2016-07-01,14.7315,14.7315,14.7315,14.7315,2.0,1084.0,2019-02-28,SB,SBH19
2016-07-05,14.7919,14.7919,14.7919,14.7919,4.0,1139.0,2019-02-28,SB,SBH19
2016-07-06,15.0996,15.0996,15.0996,15.0996,33.0,1105.0,2019-02-28,SB,SBH19
2016-07-07,15.2325,15.2325,15.2325,15.2325,2.0,1464.0,2019-02-28,SB,SBH19
2016-07-08,15.429,15.429,15.429,15.429,46.0,1223.0,2019-02-28,SB,SBH19
2016-07-11,15.1574,15.1574,15.1574,15.1574,117.0,1515.0,2019-02-28,SB,SBH19
2016-07-12,15.165,15.165,15.165,15.165,7.0,1230.0,2019-02-28,SB,SBH19
2016-07-13,14.9421,14.9421,14.9421,14.9421,55.0,1607.0,2019-02-28,SB,SBH19
2016-07-14,14.7628,14.7628,14.7628,14.7628,69.0,1439.0,2019-02-28,SB,SBH19
