,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-06-01,14.9285,14.9285,14.9285,14.9285,0.0,0.0,2018-04-30,SB,SBK18
2015-06-02,14.5628,14.5628,14.5628,14.5628,0.0,0.0,2018-04-30,SB,SBK18
2015-06-03,14.6473,14.6473,14.6473,14.6473,3.0,4.0,2018-04-30,SB,SBK18
2015-06-04,14.5492,14.5492,14.5492,14.5492,0.0,3.0,2018-04-30,SB,SBK18
2015-06-05,14.3091,14.3091,14.3091,14.3091,0.0,3.0,2018-04-30,SB,SBK18
2015-06-08,13.9728,13.9728,13.9728,13.9728,0.0,3.0,2018-04-30,SB,SBK18
2015-06-09,13.7045,13.7045,13.7045,13.7045,0.0,3.0,2018-04-30,SB,SBK18
2015-06-10,13.8827,13.8827,13.8827,13.8827,0.0,3.0,2018-04-30,SB,SBK18
2015-06-11,14.0118,14.0118,14.0118,14.0118,1.0,3.0,2018-04-30,SB,SBK18
2015-06-12,13.9095,13.9095,13.9095,13.9095,0.0,3.0,2018-04-30,SB,SBK18
2015-06-15,13.6703,13.6703,13.6703,13.6703,0.0,3.0,2018-04-30,SB,SBK18
2015-06-16,13.4529,13.4529,13.4529,13.4529,7.0,10.0,2018-04-30,SB,SBK18
2015-06-17,13.7489,13.7489,13.7489,13.7489,2.0,11.0,2018-04-30,SB,SBK18
2015-06-18,13.4313,13.4313,13.4313,13.4313,0.0,9.0,2018-04-30,SB,SBK18
2015-06-19,13.2983,13.2983,13.2983,13.2983,0.0,9.0,2018-04-30,SB,SBK18
2015-06-22,13.3488,13.3488,13.3488,13.3488,1.0,12.0,2018-04-30,SB,SBK18
2015-06-23,13.2527,13.2527,13.2527,13.2527,0.0,11.0,2018-04-30,SB,SBK18
2015-06-24,12.9399,12.9399,12.9399,12.9399,6.0,12.0,2018-04-30,SB,SBK18
2015-06-25,12.8843,12.8843,12.8843,12.8843,2.0,11.0,2018-04-30,SB,SBK18
2015-06-26,12.8972,12.8972,12.8972,12.8972,1.0,12.0,2018-04-30,SB,SBK18
2015-06-29,12.6509,12.6509,12.6509,12.6509,0.0,11.0,2018-04-30,SB,SBK18
2015-06-30,12.5927,12.5927,12.5927,12.5927,2.0,14.0,2018-04-30,SB,SBK18
2015-07-01,12.6431,12.6431,12.6431,12.6431,2.0,16.0,2018-04-30,SB,SBK18
2015-07-02,12.4737,12.4737,12.4737,12.4737,2.0,17.0,2018-04-30,SB,SBK18
2015-07-06,12.218,12.218,12.218,12.218,20.0,34.0,2018-04-30,SB,SBK18
2015-07-07,12.4086,12.4086,12.4086,12.4086,6.0,40.0,2018-04-30,SB,SBK18
