,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-08-01,16.5923,16.5923,16.5923,16.5923,0.0,0.0,2019-06-28,SB,SBN19
2016-08-02,16.297,16.297,16.297,16.297,0.0,0.0,2019-06-28,SB,SBN19
2016-08-03,16.3589,16.3589,16.3589,16.3589,0.0,0.0,2019-06-28,SB,SBN19
2016-08-04,16.6452,16.6452,16.6452,16.6452,1.0,1.0,2019-06-28,SB,SBN19
2016-08-05,16.6219,16.6219,16.6219,16.6219,19.0,17.0,2019-06-28,SB,SBN19
2016-08-08,16.5521,16.5521,16.5521,16.5521,11.0,29.0,2019-06-28,SB,SBN19
2016-08-09,16.6746,16.6746,16.6746,16.6746,0.0,23.0,2019-06-28,SB,SBN19
2016-08-10,17.0164,17.0164,17.0164,17.0164,9.0,41.0,2019-06-28,SB,SBN19
2016-08-11,16.8411,16.8411,16.8411,16.8411,1.0,41.0,2019-06-28,SB,SBN19
2016-08-12,16.7552,16.7552,16.7552,16.7552,0.0,43.0,2019-06-28,SB,SBN19
2016-08-15,16.973,16.973,16.973,16.973,0.0,38.0,2019-06-28,SB,SBN19
2016-08-16,16.9696,16.9696,16.9696,16.9696,7.0,34.0,2019-06-28,SB,SBN19
2016-08-17,17.3684,17.3684,17.3684,17.3684,9.0,42.0,2019-06-28,SB,SBN19
2016-08-18,17.2816,17.2816,17.2816,17.2816,0.0,46.0,2019-06-28,SB,SBN19
2016-08-19,17.1364,17.1364,17.1364,17.1364,0.0,40.0,2019-06-28,SB,SBN19
2016-08-22,17.4586,17.4586,17.4586,17.4586,1.0,58.0,2019-06-28,SB,SBN19
2016-08-23,17.1915,17.1915,17.1915,17.1915,0.0,54.0,2019-06-28,SB,SBN19
2016-08-24,16.8735,16.8735,16.8735,16.8735,0.0,46.0,2019-06-28,SB,SBN19
2016-08-25,16.644,16.644,16.644,16.644,3.0,48.0,2019-06-28,SB,SBN19
2016-08-26,16.7139,16.7139,16.7139,16.7139,0.0,57.0,2019-06-28,SB,SBN19
2016-08-29,17.0348,17.0348,17.0348,17.0348,0.0,61.0,2019-06-28,SB,SBN19
2016-08-30,16.8338,16.8338,16.8338,16.8338,0.0,59.0,2019-06-28,SB,SBN19
2016-08-31,16.4449,16.4449,16.4449,16.4449,0.0,46.0,2019-06-28,SB,SBN19
2016-09-01,16.7146,16.7146,16.7146,16.7146,0.0,57.0,2019-06-28,SB,SBN19
2016-09-02,16.5842,16.5842,16.5842,16.5842,0.0,49.0,2019-06-28,SB,SBN19
2016-09-06,16.3603,16.3603,16.3603,16.3603,6.0,168.0,2019-06-28,SB,SBN19
2016-09-07,16.3963,16.3963,16.3963,16.3963,0.0,168.0,2019-06-28,SB,SBN19
