,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-11-02,14.5037,14.5037,14.5037,14.5037,2.0,2.0,2018-09-28,SB,SBV18
2015-11-03,14.7894,14.7894,14.7894,14.7894,56.0,49.0,2018-09-28,SB,SBV18
2015-11-04,14.7998,14.7998,14.7998,14.7998,17.0,58.0,2018-09-28,SB,SBV18
2015-11-05,14.4624,14.4624,14.4624,14.4624,8.0,44.0,2018-09-28,SB,SBV18
2015-11-06,14.4523,14.4523,14.4523,14.4523,18.0,68.0,2018-09-28,SB,SBV18
2015-11-09,14.1416,14.1416,14.1416,14.1416,8.0,78.0,2018-09-28,SB,SBV18
2015-11-10,13.7923,13.7923,13.7923,13.7923,6.0,68.0,2018-09-28,SB,SBV18
2015-11-11,13.9192,13.9192,13.9192,13.9192,0.0,87.0,2018-09-28,SB,SBV18
2015-11-12,13.6339,13.6339,13.6339,13.6339,2.0,84.0,2018-09-28,SB,SBV18
2015-11-13,13.428,13.428,13.428,13.428,0.0,65.0,2018-09-28,SB,SBV18
2015-11-16,13.706,13.706,13.706,13.706,7.0,80.0,2018-09-28,SB,SBV18
2015-11-17,14.0555,14.0555,14.0555,14.0555,9.0,85.0,2018-09-28,SB,SBV18
2015-11-18,13.8714,13.8714,13.8714,13.8714,5.0,82.0,2018-09-28,SB,SBV18
2015-11-19,13.9241,13.9241,13.9241,13.9241,6.0,66.0,2018-09-28,SB,SBV18
2015-11-20,13.7946,13.7946,13.7946,13.7946,36.0,107.0,2018-09-28,SB,SBV18
2015-11-23,13.9615,13.9615,13.9615,13.9615,6.0,88.0,2018-09-28,SB,SBV18
2015-11-24,13.8763,13.8763,13.8763,13.8763,7.0,111.0,2018-09-28,SB,SBV18
2015-11-25,13.954,13.954,13.954,13.954,3.0,75.0,2018-09-28,SB,SBV18
2015-11-27,14.2191,14.2191,14.2191,14.2191,2.0,119.0,2018-09-28,SB,SBV18
2015-11-30,13.976,13.976,13.976,13.976,7.0,130.0,2018-09-28,SB,SBV18
2015-12-01,13.9914,13.9914,13.9914,13.9914,26.0,138.0,2018-09-28,SB,SBV18
2015-12-02,14.0795,14.0795,14.0795,14.0795,17.0,135.0,2018-09-28,SB,SBV18
2015-12-03,13.7317,13.7317,13.7317,13.7317,8.0,110.0,2018-09-28,SB,SBV18
2015-12-04,14.0187,14.0187,14.0187,14.0187,31.0,152.0,2018-09-28,SB,SBV18
2015-12-07,14.0243,14.0243,14.0243,14.0243,2.0,161.0,2018-09-28,SB,SBV18
2015-12-08,13.9079,13.9079,13.9079,13.9079,8.0,135.0,2018-09-28,SB,SBV18
2015-12-09,14.1416,14.1416,14.1416,14.1416,4.0,134.0,2018-09-28,SB,SBV18
2015-12-10,14.119,14.119,14.119,14.119,37.0,166.0,2018-09-28,SB,SBV18
2015-12-11,14.1614,14.1614,14.1614,14.1614,3.0,219.0,2018-09-28,SB,SBV18
2015-12-14,14.1118,14.1118,14.1118,14.1118,15.0,163.0,2018-09-28,SB,SBV18
2015-12-15,13.9354,13.9354,13.9354,13.9354,6.0,228.0,2018-09-28,SB,SBV18
2015-12-16,13.9939,13.9939,13.9939,13.9939,18.0,166.0,2018-09-28,SB,SBV18
2015-12-17,13.728,13.728,13.728,13.728,1.0,229.0,2018-09-28,SB,SBV18
2015-12-18,13.9339,13.9339,13.9339,13.9339,11.0,170.0,2018-09-28,SB,SBV18
2015-12-21,13.8196,13.8196,13.8196,13.8196,4.0,231.0,2018-09-28,SB,SBV18
2015-12-22,14.0117,14.0117,14.0117,14.0117,1.0,246.0,2018-09-28,SB,SBV18
2015-12-23,13.7539,13.7539,13.7539,13.7539,25.0,224.0,2018-09-28,SB,SBV18
2015-12-24,13.8873,13.8873,13.8873,13.8873,16.0,195.0,2018-09-28,SB,SBV18
2015-12-28,14.0428,14.0428,14.0428,14.0428,44.0,342.0,2018-09-28,SB,SBV18
2015-12-29,13.7914,13.7914,13.7914,13.7914,0.0,304.0,2018-09-28,SB,SBV18
2015-12-30,13.5418,13.5418,13.5418,13.5418,15.0,260.0,2018-09-28,SB,SBV18
2015-12-31,13.3509,13.3509,13.3509,13.3509,11.0,283.0,2018-09-28,SB,SBV18
2016-01-04,13.0064,13.0064,13.0064,13.0064,4.0,290.0,2018-09-28,SB,SBV18
2016-01-05,12.7957,12.7957,12.7957,12.7957,6.0,306.0,2018-09-28,SB,SBV18
2016-01-06,12.8635,12.8635,12.8635,12.8635,34.0,280.0,2018-09-28,SB,SBV18
2016-01-07,12.9793,12.9793,12.9793,12.9793,28.0,307.0,2018-09-28,SB,SBV18
2016-01-08,12.6457,12.6457,12.6457,12.6457,82.0,380.0,2018-09-28,SB,SBV18
2016-01-11,12.3586,12.3586,12.3586,12.3586,186.0,425.0,2018-09-28,SB,SBV18
2016-01-12,12.0521,12.0521,12.0521,12.0521,5.0,425.0,2018-09-28,SB,SBV18
2016-01-13,11.7954,11.7954,11.7954,11.7954,16.0,583.0,2018-09-28,SB,SBV18
2016-01-14,12.0478,12.0478,12.0478,12.0478,21.0,480.0,2018-09-28,SB,SBV18
2016-01-15,11.9538,11.9538,11.9538,11.9538,35.0,612.0,2018-09-28,SB,SBV18
2016-01-19,12.102,12.102,12.102,12.102,7.0,571.0,2018-09-28,SB,SBV18
2016-01-20,12.194,12.194,12.194,12.194,28.0,586.0,2018-09-28,SB,SBV18
2016-01-21,12.1684,12.1684,12.1684,12.1684,40.0,493.0,2018-09-28,SB,SBV18
2016-01-22,12.1282,12.1282,12.1282,12.1282,43.0,549.0,2018-09-28,SB,SBV18
2016-01-25,12.3004,12.3004,12.3004,12.3004,266.0,889.0,2018-09-28,SB,SBV18
2016-01-26,12.0495,12.0495,12.0495,12.0495,342.0,1133.0,2018-09-28,SB,SBV18
2016-01-27,11.8049,11.8049,11.8049,11.8049,31.0,1300.0,2018-09-28,SB,SBV18
2016-01-28,11.7884,11.7884,11.7884,11.7884,187.0,1297.0,2018-09-28,SB,SBV18
2016-01-29,11.5243,11.5243,11.5243,11.5243,0.0,1309.0,2018-09-28,SB,SBV18
2016-02-01,11.2627,11.2627,11.2627,11.2627,0.0,1297.0,2018-09-28,SB,SBV18
2016-02-02,11.123,11.123,11.123,11.123,8.0,1085.0,2018-09-28,SB,SBV18
2016-02-03,10.935,10.935,10.935,10.935,0.0,1144.0,2018-09-28,SB,SBV18
2016-02-04,10.9973,10.9973,10.9973,10.9973,0.0,1144.0,2018-09-28,SB,SBV18
2016-02-05,10.7873,10.7873,10.7873,10.7873,0.0,1002.0,2018-09-28,SB,SBV18
2016-02-08,10.7075,10.7075,10.7075,10.7075,0.0,1309.0,2018-09-28,SB,SBV18
2016-02-09,10.4816,10.4816,10.4816,10.4816,0.0,1262.0,2018-09-28,SB,SBV18
2016-02-10,10.3674,10.3674,10.3674,10.3674,0.0,1262.0,2018-09-28,SB,SBV18
2016-02-11,10.159,10.159,10.159,10.159,1.0,1038.0,2018-09-28,SB,SBV18
2016-02-12,10.3693,10.3693,10.3693,10.3693,0.0,1250.0,2018-09-28,SB,SBV18
2016-02-16,10.5725,10.5725,10.5725,10.5725,0.0,1049.0,2018-09-28,SB,SBV18
2016-02-17,10.8199,10.8199,10.8199,10.8199,0.0,1297.0,2018-09-28,SB,SBV18
2016-02-18,10.9292,10.9292,10.9292,10.9292,0.0,1320.0,2018-09-28,SB,SBV18
2016-02-19,11.1259,11.1259,11.1259,11.1259,5.0,1148.0,2018-09-28,SB,SBV18
2016-02-22,11.1793,11.1793,11.1793,11.1793,0.0,1124.0,2018-09-28,SB,SBV18
2016-02-23,11.0507,11.0507,11.0507,11.0507,0.0,1242.0,2018-09-28,SB,SBV18
2016-02-24,10.7987,10.7987,10.7987,10.7987,0.0,1278.0,2018-09-28,SB,SBV18
2016-02-25,10.6259,10.6259,10.6259,10.6259,0.0,1053.0,2018-09-28,SB,SBV18
2016-02-26,10.6259,10.6259,10.6259,10.6259,146.0,1367.0,2018-09-28,SB,SBV18
2016-02-29,10.5643,10.5643,10.5643,10.5643,0.0,1133.0,2018-09-28,SB,SBV18
2016-03-01,10.7819,10.7819,10.7819,10.7819,0.0,1172.0,2018-09-28,SB,SBV18
2016-03-02,10.9824,10.9824,10.9824,10.9824,12.0,1062.0,2018-09-28,SB,SBV18
2016-03-03,10.9703,10.9703,10.9703,10.9703,90.0,1275.0,2018-09-28,SB,SBV18
2016-03-04,11.1118,11.1118,11.1118,11.1118,4.0,1376.0,2018-09-28,SB,SBV18
2016-03-07,11.0274,11.0274,11.0274,11.0274,0.0,1348.0,2018-09-28,SB,SBV18
2016-03-08,10.9767,10.9767,10.9767,10.9767,0.0,1446.0,2018-09-28,SB,SBV18
2016-03-09,10.7517,10.7517,10.7517,10.7517,72.0,1627.0,2018-09-28,SB,SBV18
2016-03-10,10.5582,10.5582,10.5582,10.5582,21.0,1482.0,2018-09-28,SB,SBV18
2016-03-11,10.3101,10.3101,10.3101,10.3101,5.0,1214.0,2018-09-28,SB,SBV18
2016-03-14,10.0668,10.0668,10.0668,10.0668,1.0,1214.0,2018-09-28,SB,SBV18
2016-03-15,10.0859,10.0859,10.0859,10.0859,0.0,1639.0,2018-09-28,SB,SBV18
2016-03-16,9.8277,9.8277,9.8277,9.8277,1.0,1551.0,2018-09-28,SB,SBV18
2016-03-17,9.7589,9.7589,9.7589,9.7589,0.0,1404.0,2018-09-28,SB,SBV18
2016-03-18,9.5579,9.5579,9.5579,9.5579,2.0,1346.0,2018-09-28,SB,SBV18
2016-03-21,9.3811,9.3811,9.3811,9.3811,2.0,1404.0,2018-09-28,SB,SBV18
2016-03-22,9.4036,9.4036,9.4036,9.4036,3.0,1712.0,2018-09-28,SB,SBV18
2016-03-23,9.6199,9.6199,9.6199,9.6199,288.0,1683.0,2018-09-28,SB,SBV18
2016-03-24,9.5227,9.5227,9.5227,9.5227,20.0,1774.0,2018-09-28,SB,SBV18
2016-03-28,9.5303,9.5303,9.5303,9.5303,6.0,1929.0,2018-09-28,SB,SBV18
2016-03-29,9.4217,9.4217,9.4217,9.4217,0.0,1686.0,2018-09-28,SB,SBV18
2016-03-30,9.3407,9.3407,9.3407,9.3407,18.0,1571.0,2018-09-28,SB,SBV18
2016-03-31,9.5752,9.5752,9.5752,9.5752,119.0,1448.0,2018-09-28,SB,SBV18
2016-04-01,9.6786,9.6786,9.6786,9.6786,246.0,2100.0,2018-09-28,SB,SBV18
2016-04-04,9.575,9.575,9.575,9.575,135.0,1614.0,2018-09-28,SB,SBV18
2016-04-05,9.7924,9.7924,9.7924,9.7924,26.0,1612.0,2018-09-28,SB,SBV18
2016-04-06,9.6485,9.6485,9.6485,9.6485,83.0,2204.0,2018-09-28,SB,SBV18
