,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-06-19,1.1856,1.1856,1.1856,1.1856,0.0,0.0,2018-09-26,SF,SFM23
2018-06-20,1.1819,1.1819,1.1819,1.1819,0.0,0.0,2018-09-26,SF,SFM23
2018-06-21,1.1763,1.1763,1.1763,1.1763,0.0,0.0,2018-09-26,SF,SFM23
2018-06-22,1.1774,1.1774,1.1774,1.1774,0.0,0.0,2018-09-26,SF,SFM23
2018-06-25,1.178,1.178,1.178,1.178,0.0,0.0,2018-09-26,SF,SFM23
2018-06-26,1.1754,1.1754,1.1754,1.1754,0.0,0.0,2018-09-26,SF,SFM23
2018-06-27,1.1675,1.1675,1.1675,1.1675,0.0,0.0,2018-09-26,SF,SFM23
2018-06-28,1.1659,1.1659,1.1659,1.1659,0.0,0.0,2018-09-26,SF,SFM23
2018-06-29,1.1653,1.1653,1.1653,1.1653,0.0,0.0,2018-09-26,SF,SFM23
2018-07-02,1.171,1.171,1.171,1.171,0.0,0.0,2018-09-26,SF,SFM23
2018-07-03,1.173,1.173,1.173,1.173,0.0,0.0,2018-09-26,SF,SFM23
2018-07-05,1.1682,1.1682,1.1682,1.1682,0.0,0.0,2018-09-26,SF,SFM23
2018-07-06,1.167,1.167,1.167,1.167,0.0,0.0,2018-09-26,SF,SFM23
2018-07-09,1.1617,1.1617,1.1617,1.1617,0.0,0.0,2018-09-26,SF,SFM23
2018-07-10,1.1654,1.1654,1.1654,1.1654,0.0,0.0,2018-09-26,SF,SFM23
2018-07-11,1.1589,1.1589,1.1589,1.1589,0.0,0.0,2018-09-26,SF,SFM23
2018-07-12,1.1586,1.1586,1.1586,1.1586,0.0,0.0,2018-09-26,SF,SFM23
2018-07-13,1.1551,1.1551,1.1551,1.1551,0.0,0.0,2018-09-26,SF,SFM23
2018-07-16,1.1619,1.1619,1.1619,1.1619,0.0,0.0,2018-09-26,SF,SFM23
2018-07-17,1.1599,1.1599,1.1599,1.1599,0.0,0.0,2018-09-26,SF,SFM23
2018-07-18,1.1619,1.1619,1.1619,1.1619,0.0,0.0,2018-09-26,SF,SFM23
2018-07-19,1.1553,1.1553,1.1553,1.1553,0.0,0.0,2018-09-26,SF,SFM23
2018-07-20,1.1608,1.1608,1.1608,1.1608,0.0,0.0,2018-09-26,SF,SFM23
2018-07-23,1.1682,1.1682,1.1682,1.1682,0.0,0.0,2018-09-26,SF,SFM23
2018-07-24,1.1737,1.1737,1.1737,1.1737,0.0,0.0,2018-09-26,SF,SFM23
2018-07-25,1.1743,1.1743,1.1743,1.1743,0.0,0.0,2018-09-26,SF,SFM23
2018-07-26,1.1724,1.1724,1.1724,1.1724,0.0,0.0,2018-09-26,SF,SFM23
2018-07-27,1.1756,1.1756,1.1756,1.1756,0.0,0.0,2018-09-26,SF,SFM23
2018-07-30,1.1815,1.1815,1.1815,1.1815,0.0,0.0,2018-09-26,SF,SFM23
2018-07-31,1.1739,1.1739,1.1739,1.1739,0.0,0.0,2018-09-26,SF,SFM23
2018-08-01,1.1771,1.1771,1.1771,1.1771,0.0,0.0,2018-09-26,SF,SFM23
2018-08-02,1.1795,1.1795,1.1795,1.1795,0.0,0.0,2018-09-26,SF,SFM23
2018-08-03,1.1748,1.1748,1.1748,1.1748,0.0,0.0,2018-09-26,SF,SFM23
2018-08-06,1.1802,1.1802,1.1802,1.1802,0.0,0.0,2018-09-26,SF,SFM23
2018-08-07,1.1732,1.1732,1.1732,1.1732,0.0,0.0,2018-09-26,SF,SFM23
2018-08-08,1.1754,1.1754,1.1754,1.1754,0.0,0.0,2018-09-26,SF,SFM23
2018-08-09,1.1821,1.1821,1.1821,1.1821,0.0,0.0,2018-09-26,SF,SFM23
2018-08-10,1.1871,1.1871,1.1871,1.1871,0.0,0.0,2018-09-26,SF,SFM23
2018-08-13,1.191,1.191,1.191,1.191,0.0,0.0,2018-09-26,SF,SFM23
2018-08-14,1.1867,1.1867,1.1867,1.1867,0.0,0.0,2018-09-26,SF,SFM23
2018-08-15,1.192,1.192,1.192,1.192,0.0,0.0,2018-09-26,SF,SFM23
2018-08-16,1.1943,1.1943,1.1943,1.1943,0.0,0.0,2018-09-26,SF,SFM23
2018-08-17,1.1948,1.1948,1.1948,1.1948,0.0,0.0,2018-09-26,SF,SFM23
