,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-02-26,1473.8252,1473.8252,1473.8252,1473.8252,0.0,0.0,2018-01-29,SI,SIF18
2016-02-29,1499.175,1499.175,1499.175,1499.175,0.0,0.0,2018-01-29,SI,SIF18
2016-03-01,1484.3332,1484.3332,1484.3332,1484.3332,0.0,0.0,2018-01-29,SI,SIF18
2016-03-02,1515.0589,1515.0589,1515.0589,1515.0589,0.0,0.0,2018-01-29,SI,SIF18
2016-03-03,1547.6327,1547.6327,1547.6327,1547.6327,0.0,0.0,2018-01-29,SI,SIF18
2016-03-04,1546.3946,1546.3946,1546.3946,1546.3946,0.0,0.0,2018-01-29,SI,SIF18
2016-03-07,1521.343,1521.343,1521.343,1521.343,0.0,0.0,2018-01-29,SI,SIF18
2016-03-08,1524.8421,1524.8421,1524.8421,1524.8421,0.0,0.0,2018-01-29,SI,SIF18
2016-03-09,1496.6325,1496.6325,1496.6325,1496.6325,0.0,0.0,2018-01-29,SI,SIF18
2016-03-10,1473.1354,1473.1354,1473.1354,1473.1354,0.0,0.0,2018-01-29,SI,SIF18
2016-03-11,1493.17,1493.17,1493.17,1493.17,0.0,0.0,2018-01-29,SI,SIF18
2016-03-14,1491.3782,1491.3782,1491.3782,1491.3782,0.0,0.0,2018-01-29,SI,SIF18
2016-03-15,1522.8463,1522.8463,1522.8463,1522.8463,0.0,0.0,2018-01-29,SI,SIF18
2016-03-16,1510.359,1510.359,1510.359,1510.359,0.0,0.0,2018-01-29,SI,SIF18
2016-03-17,1506.4321,1506.4321,1506.4321,1506.4321,0.0,0.0,2018-01-29,SI,SIF18
2016-03-18,1492.121,1492.121,1492.121,1492.121,0.0,0.0,2018-01-29,SI,SIF18
2016-03-21,1500.6261,1500.6261,1500.6261,1500.6261,0.0,0.0,2018-01-29,SI,SIF18
2016-03-22,1484.8695,1484.8695,1484.8695,1484.8695,0.0,0.0,2018-01-29,SI,SIF18
