,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-11-30,1610.7213,1610.7213,1610.7213,1610.7213,4.0,2.0,2017-02-24,SI,SIG17
2016-12-01,1633.4325,1633.4325,1633.4325,1633.4325,1.0,2.0,2017-02-24,SI,SIG17
2016-12-02,1677.8619,1677.8619,1677.8619,1677.8619,10.0,1.0,2017-02-24,SI,SIG17
2016-12-05,1679.5398,1679.5398,1679.5398,1679.5398,35.0,5.0,2017-02-24,SI,SIG17
2016-12-06,1698.0147,1698.0147,1698.0147,1698.0147,23.0,15.0,2017-02-24,SI,SIG17
2016-12-07,1688.5058,1688.5058,1688.5058,1688.5058,28.0,30.0,2017-02-24,SI,SIG17
2016-12-08,1662.1651,1662.1651,1662.1651,1662.1651,19.0,43.0,2017-02-24,SI,SIG17
2016-12-09,1669.9773,1669.9773,1669.9773,1669.9773,44.0,43.0,2017-02-24,SI,SIG17
2016-12-12,1706.8838,1706.8838,1706.8838,1706.8838,38.0,44.0,2017-02-24,SI,SIG17
2016-12-13,1669.1617,1669.1617,1669.1617,1669.1617,16.0,50.0,2017-02-24,SI,SIG17
2016-12-14,1705.5494,1705.5494,1705.5494,1705.5494,17.0,51.0,2017-02-24,SI,SIG17
2016-12-15,1716.4649,1716.4649,1716.4649,1716.4649,187.0,191.0,2017-02-24,SI,SIG17
2016-12-16,1745.4732,1745.4732,1745.4732,1745.4732,53.0,63.0,2017-02-24,SI,SIG17
2016-12-19,1709.5165,1709.5165,1709.5165,1709.5165,43.0,48.0,2017-02-24,SI,SIG17
2016-12-20,1698.4046,1698.4046,1698.4046,1698.4046,26.0,52.0,2017-02-24,SI,SIG17
2016-12-21,1660.1905,1660.1905,1660.1905,1660.1905,26.0,72.0,2017-02-24,SI,SIG17
2016-12-22,1691.4021,1691.4021,1691.4021,1691.4021,14.0,60.0,2017-02-24,SI,SIG17
2016-12-23,1678.8857,1678.8857,1678.8857,1678.8857,27.0,66.0,2017-02-24,SI,SIG17
