,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-04-28,1753.5758,1753.5758,1753.5758,1753.5758,0.0,0.0,2018-03-27,SI,SIH18
2016-04-29,1756.3815,1756.3815,1756.3815,1756.3815,0.0,0.0,2018-03-27,SI,SIH18
2016-05-02,1738.2908,1738.2908,1738.2908,1738.2908,0.0,0.0,2018-03-27,SI,SIH18
2016-05-03,1722.6462,1722.6462,1722.6462,1722.6462,0.0,0.0,2018-03-27,SI,SIH18
2016-05-04,1759.8554,1759.8554,1759.8554,1759.8554,0.0,0.0,2018-03-27,SI,SIH18
2016-05-05,1723.2504,1723.2504,1723.2504,1723.2504,0.0,0.0,2018-03-27,SI,SIH18
2016-05-06,1743.7571,1743.7571,1743.7571,1743.7571,0.0,0.0,2018-03-27,SI,SIH18
2016-05-09,1744.4546,1744.4546,1744.4546,1744.4546,0.0,0.0,2018-03-27,SI,SIH18
2016-05-10,1723.6956,1723.6956,1723.6956,1723.6956,0.0,0.0,2018-03-27,SI,SIH18
2016-05-11,1692.6691,1692.6691,1692.6691,1692.6691,0.0,0.0,2018-03-27,SI,SIH18
2016-05-12,1650.6909,1650.6909,1650.6909,1650.6909,0.0,0.0,2018-03-27,SI,SIH18
2016-05-13,1676.2766,1676.2766,1676.2766,1676.2766,0.0,0.0,2018-03-27,SI,SIH18
2016-05-16,1635.8783,1635.8783,1635.8783,1635.8783,0.0,0.0,2018-03-27,SI,SIH18
2016-05-17,1615.4298,1615.4298,1615.4298,1615.4298,0.0,0.0,2018-03-27,SI,SIH18
2016-05-18,1603.1525,1603.1525,1603.1525,1603.1525,0.0,0.0,2018-03-27,SI,SIH18
2016-05-19,1623.0316,1623.0316,1623.0316,1623.0316,0.0,0.0,2018-03-27,SI,SIH18
2016-05-20,1654.6807,1654.6807,1654.6807,1654.6807,0.0,0.0,2018-03-27,SI,SIH18
2016-05-23,1612.4863,1612.4863,1612.4863,1612.4863,0.0,0.0,2018-03-27,SI,SIH18
2016-05-24,1632.9649,1632.9649,1632.9649,1632.9649,0.0,0.0,2018-03-27,SI,SIH18
2016-05-25,1656.9695,1656.9695,1656.9695,1656.9695,0.0,0.0,2018-03-27,SI,SIH18
2016-05-26,1657.6323,1657.6323,1657.6323,1657.6323,0.0,0.0,2018-03-27,SI,SIH18
2016-05-27,1620.3356,1620.3356,1620.3356,1620.3356,0.0,0.0,2018-03-27,SI,SIH18
2016-05-31,1616.6088,1616.6088,1616.6088,1616.6088,0.0,0.0,2018-03-27,SI,SIH18
2016-06-01,1598.0178,1598.0178,1598.0178,1598.0178,0.0,0.0,2018-03-27,SI,SIH18
2016-06-02,1617.993,1617.993,1617.993,1617.993,0.0,0.0,2018-03-27,SI,SIH18
2016-06-03,1643.5573,1643.5573,1643.5573,1643.5573,0.0,0.0,2018-03-27,SI,SIH18
2016-06-06,1610.6862,1610.6862,1610.6862,1610.6862,0.0,0.0,2018-03-27,SI,SIH18
2016-06-07,1571.3855,1571.3855,1571.3855,1571.3855,0.0,0.0,2018-03-27,SI,SIH18
2016-06-08,1536.6579,1536.6579,1536.6579,1536.6579,0.0,0.0,2018-03-27,SI,SIH18
2016-06-09,1532.0479,1532.0479,1532.0479,1532.0479,0.0,0.0,2018-03-27,SI,SIH18
2016-06-10,1563.7613,1563.7613,1563.7613,1563.7613,0.0,0.0,2018-03-27,SI,SIH18
2016-06-13,1558.6009,1558.6009,1558.6009,1558.6009,0.0,0.0,2018-03-27,SI,SIH18
