,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-01-30,1700.7922,1700.7922,1700.7922,1700.7922,0.0,0.0,2015-04-28,SI,SIJ15
2015-02-02,1677.4913,1677.4913,1677.4913,1677.4913,22.0,13.0,2015-04-28,SI,SIJ15
2015-02-03,1700.8084,1700.8084,1700.8084,1700.8084,0.0,12.0,2015-04-28,SI,SIJ15
2015-02-04,1743.4987,1743.4987,1743.4987,1743.4987,12.0,19.0,2015-04-28,SI,SIJ15
2015-02-05,1759.7132,1759.7132,1759.7132,1759.7132,42.0,22.0,2015-04-28,SI,SIJ15
2015-02-06,1759.3613,1759.3613,1759.3613,1759.3613,9.0,22.0,2015-04-28,SI,SIJ15
2015-02-09,1798.771,1798.771,1798.771,1798.771,18.0,38.0,2015-04-28,SI,SIJ15
2015-02-10,1796.6125,1796.6125,1796.6125,1796.6125,28.0,55.0,2015-04-28,SI,SIJ15
2015-02-11,1835.7787,1835.7787,1835.7787,1835.7787,64.0,68.0,2015-04-28,SI,SIJ15
2015-02-12,1786.0291,1786.0291,1786.0291,1786.0291,11.0,57.0,2015-04-28,SI,SIJ15
2015-02-13,1768.3474,1768.3474,1768.3474,1768.3474,15.0,66.0,2015-04-28,SI,SIJ15
2015-02-17,1784.4394,1784.4394,1784.4394,1784.4394,88.0,57.0,2015-04-28,SI,SIJ15
2015-02-18,1730.014,1730.014,1730.014,1730.014,29.0,73.0,2015-04-28,SI,SIJ15
2015-02-19,1743.6811,1743.6811,1743.6811,1743.6811,41.0,76.0,2015-04-28,SI,SIJ15
2015-02-20,1749.4352,1749.4352,1749.4352,1749.4352,68.0,133.0,2015-04-28,SI,SIJ15
2015-02-23,1771.828,1771.828,1771.828,1771.828,150.0,161.0,2015-04-28,SI,SIJ15
2015-02-24,1747.554,1747.554,1747.554,1747.554,86.0,174.0,2015-04-28,SI,SIJ15
2015-02-25,1784.0779,1784.0779,1784.0779,1784.0779,178.0,170.0,2015-04-28,SI,SIJ15
2015-02-26,1830.8207,1830.8207,1830.8207,1830.8207,123.0,179.0,2015-04-28,SI,SIJ15
2015-02-27,1875.8589,1875.8589,1875.8589,1875.8589,88.0,184.0,2015-04-28,SI,SIJ15
2015-03-02,1840.9679,1840.9679,1840.9679,1840.9679,231.0,174.0,2015-04-28,SI,SIJ15
2015-03-03,1873.9212,1873.9212,1873.9212,1873.9212,139.0,109.0,2015-04-28,SI,SIJ15
2015-03-04,1929.9514,1929.9514,1929.9514,1929.9514,29.0,109.0,2015-04-28,SI,SIJ15
2015-03-05,1949.8299,1949.8299,1949.8299,1949.8299,21.0,152.0,2015-04-28,SI,SIJ15
2015-03-06,1983.562,1983.562,1983.562,1983.562,53.0,114.0,2015-04-28,SI,SIJ15
2015-03-09,1926.2371,1926.2371,1926.2371,1926.2371,26.0,134.0,2015-04-28,SI,SIJ15
2015-03-10,1859.3967,1859.3967,1859.3967,1859.3967,42.0,138.0,2015-04-28,SI,SIJ15
2015-03-11,1835.2245,1835.2245,1835.2245,1835.2245,63.0,177.0,2015-04-28,SI,SIJ15
2015-03-12,1810.449,1810.449,1810.449,1810.449,22.0,179.0,2015-04-28,SI,SIJ15
2015-03-13,1824.0274,1824.0274,1824.0274,1824.0274,12.0,174.0,2015-04-28,SI,SIJ15
2015-03-16,1775.3259,1775.3259,1775.3259,1775.3259,44.0,134.0,2015-04-28,SI,SIJ15
2015-03-17,1717.8053,1717.8053,1717.8053,1717.8053,27.0,181.0,2015-04-28,SI,SIJ15
2015-03-18,1770.5419,1770.5419,1770.5419,1770.5419,39.0,132.0,2015-04-28,SI,SIJ15
2015-03-19,1783.4669,1783.4669,1783.4669,1783.4669,39.0,172.0,2015-04-28,SI,SIJ15
2015-03-20,1766.3456,1766.3456,1766.3456,1766.3456,70.0,145.0,2015-04-28,SI,SIJ15
2015-03-23,1784.7156,1784.7156,1784.7156,1784.7156,23.0,103.0,2015-04-28,SI,SIJ15
2015-03-24,1831.6536,1831.6536,1831.6536,1831.6536,51.0,111.0,2015-04-28,SI,SIJ15
2015-03-25,1843.9257,1843.9257,1843.9257,1843.9257,16.0,104.0,2015-04-28,SI,SIJ15
2015-03-26,1784.3669,1784.3669,1784.3669,1784.3669,63.0,120.0,2015-04-28,SI,SIJ15
2015-03-27,1789.72,1789.72,1789.72,1789.72,166.0,116.0,2015-04-28,SI,SIJ15
2015-03-30,1791.3307,1791.3307,1791.3307,1791.3307,9.0,107.0,2015-04-28,SI,SIJ15
2015-03-31,1839.8758,1839.8758,1839.8758,1839.8758,23.0,120.0,2015-04-28,SI,SIJ15
2015-04-01,1822.213,1822.213,1822.213,1822.213,55.0,205.0,2015-04-28,SI,SIJ15
2015-04-02,1854.1017,1854.1017,1854.1017,1854.1017,0.0,183.0,2015-04-28,SI,SIJ15
2015-04-06,1833.5212,1833.5212,1833.5212,1833.5212,18.0,178.0,2015-04-28,SI,SIJ15
2015-04-07,1860.6573,1860.6573,1860.6573,1860.6573,234.0,393.0,2015-04-28,SI,SIJ15
2015-04-08,1838.1433,1838.1433,1838.1433,1838.1433,0.0,209.0,2015-04-28,SI,SIJ15
2015-04-09,1832.4451,1832.4451,1832.4451,1832.4451,98.0,143.0,2015-04-28,SI,SIJ15
2015-04-10,1802.7595,1802.7595,1802.7595,1802.7595,5.0,180.0,2015-04-28,SI,SIJ15
2015-04-13,1787.2558,1787.2558,1787.2558,1787.2558,0.0,175.0,2015-04-28,SI,SIJ15
2015-04-14,1739.7148,1739.7148,1739.7148,1739.7148,21.0,226.0,2015-04-28,SI,SIJ15
2015-04-15,1686.1316,1686.1316,1686.1316,1686.1316,0.0,197.0,2015-04-28,SI,SIJ15
2015-04-16,1630.152,1630.152,1630.152,1630.152,13.0,191.0,2015-04-28,SI,SIJ15
2015-04-17,1668.4606,1668.4606,1668.4606,1668.4606,0.0,167.0,2015-04-28,SI,SIJ15
