,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2016-06-29,1824.7431,1824.7431,1824.7431,1824.7431,0.0,0.0,2018-05-29,SI,SIK18
2016-06-30,1779.4895,1779.4895,1779.4895,1779.4895,0.0,0.0,2018-05-29,SI,SIK18
2016-07-01,1784.4721,1784.4721,1784.4721,1784.4721,0.0,0.0,2018-05-29,SI,SIK18
2016-07-05,1801.7815,1801.7815,1801.7815,1801.7815,0.0,0.0,2018-05-29,SI,SIK18
2016-07-06,1810.7904,1810.7904,1810.7904,1810.7904,0.0,0.0,2018-05-29,SI,SIK18
2016-07-07,1776.9286,1776.9286,1776.9286,1776.9286,0.0,0.0,2018-05-29,SI,SIK18
2016-07-08,1793.2763,1793.2763,1793.2763,1793.2763,0.0,0.0,2018-05-29,SI,SIK18
2016-07-11,1808.6985,1808.6985,1808.6985,1808.6985,0.0,0.0,2018-05-29,SI,SIK18
2016-07-12,1835.1055,1835.1055,1835.1055,1835.1055,0.0,0.0,2018-05-29,SI,SIK18
2016-07-13,1876.9459,1876.9459,1876.9459,1876.9459,0.0,0.0,2018-05-29,SI,SIK18
2016-07-14,1888.3953,1888.3953,1888.3953,1888.3953,0.0,0.0,2018-05-29,SI,SIK18
2016-07-15,1863.0908,1863.0908,1863.0908,1863.0908,0.0,0.0,2018-05-29,SI,SIK18
2016-07-18,1867.5622,1867.5622,1867.5622,1867.5622,0.0,0.0,2018-05-29,SI,SIK18
2016-07-19,1842.5369,1842.5369,1842.5369,1842.5369,0.0,0.0,2018-05-29,SI,SIK18
2016-07-20,1859.6725,1859.6725,1859.6725,1859.6725,0.0,0.0,2018-05-29,SI,SIK18
2016-07-21,1876.0376,1876.0376,1876.0376,1876.0376,0.0,0.0,2018-05-29,SI,SIK18
2016-07-22,1874.912,1874.912,1874.912,1874.912,0.0,0.0,2018-05-29,SI,SIK18
2016-07-25,1910.7228,1910.7228,1910.7228,1910.7228,0.0,0.0,2018-05-29,SI,SIK18
2016-07-26,1873.4637,1873.4637,1873.4637,1873.4637,0.0,0.0,2018-05-29,SI,SIK18
2016-07-27,1862.9723,1862.9723,1862.9723,1862.9723,0.0,0.0,2018-05-29,SI,SIK18
2016-07-28,1898.7414,1898.7414,1898.7414,1898.7414,0.0,0.0,2018-05-29,SI,SIK18
2016-07-29,1927.4124,1927.4124,1927.4124,1927.4124,0.0,0.0,2018-05-29,SI,SIK18
2016-08-01,1962.2986,1962.2986,1962.2986,1962.2986,0.0,0.0,2018-05-29,SI,SIK18
2016-08-02,1938.5548,1938.5548,1938.5548,1938.5548,0.0,0.0,2018-05-29,SI,SIK18
2016-08-03,1939.7179,1939.7179,1939.7179,1939.7179,0.0,0.0,2018-05-29,SI,SIK18
2016-08-04,1969.3956,1969.3956,1969.3956,1969.3956,0.0,0.0,2018-05-29,SI,SIK18
2016-08-05,1950.8833,1950.8833,1950.8833,1950.8833,0.0,0.0,2018-05-29,SI,SIK18
2016-08-08,1976.2448,1976.2448,1976.2448,1976.2448,0.0,0.0,2018-05-29,SI,SIK18
2016-08-09,1993.2405,1993.2405,1993.2405,1993.2405,0.0,0.0,2018-05-29,SI,SIK18
2016-08-10,1950.3858,1950.3858,1950.3858,1950.3858,0.0,0.0,2018-05-29,SI,SIK18
2016-08-11,1919.3747,1919.3747,1919.3747,1919.3747,0.0,0.0,2018-05-29,SI,SIK18
2016-08-12,1961.409,1961.409,1961.409,1961.409,0.0,0.0,2018-05-29,SI,SIK18
2016-08-15,1939.0489,1939.0489,1939.0489,1939.0489,0.0,0.0,2018-05-29,SI,SIK18
2016-08-16,1910.1571,1910.1571,1910.1571,1910.1571,0.0,0.0,2018-05-29,SI,SIK18
2016-08-17,1936.1352,1936.1352,1936.1352,1936.1352,0.0,0.0,2018-05-29,SI,SIK18
2016-08-18,1982.6024,1982.6024,1982.6024,1982.6024,0.0,0.0,2018-05-29,SI,SIK18
2016-08-19,2016.9014,2016.9014,2016.9014,2016.9014,0.0,0.0,2018-05-29,SI,SIK18
2016-08-22,2019.3217,2019.3217,2019.3217,2019.3217,0.0,0.0,2018-05-29,SI,SIK18
2016-08-23,1972.4734,1972.4734,1972.4734,1972.4734,0.0,0.0,2018-05-29,SI,SIK18
2016-08-24,1942.2946,1942.2946,1942.2946,1942.2946,0.0,0.0,2018-05-29,SI,SIK18
2016-08-25,1933.5543,1933.5543,1933.5543,1933.5543,0.0,0.0,2018-05-29,SI,SIK18
