,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2015-03-30,1716.5135,1716.5135,1716.5135,1716.5135,0.0,0.0,2015-06-26,SI,SIM15
2015-03-31,1753.9335,1753.9335,1753.9335,1753.9335,0.0,0.0,2015-06-26,SI,SIM15
2015-04-01,1767.2634,1767.2634,1767.2634,1767.2634,172.0,85.0,2015-06-26,SI,SIM15
2015-04-02,1735.6294,1735.6294,1735.6294,1735.6294,2.0,63.0,2015-06-26,SI,SIM15
2015-04-06,1733.7202,1733.7202,1733.7202,1733.7202,2.0,87.0,2015-06-26,SI,SIM15
2015-04-07,1737.5344,1737.5344,1737.5344,1737.5344,48.0,88.0,2015-06-26,SI,SIM15
2015-04-08,1689.926,1689.926,1689.926,1689.926,8.0,124.0,2015-06-26,SI,SIM15
2015-04-09,1642.9461,1642.9461,1642.9461,1642.9461,2.0,122.0,2015-06-26,SI,SIM15
2015-04-10,1621.7521,1621.7521,1621.7521,1621.7521,18.0,139.0,2015-06-26,SI,SIM15
2015-04-13,1633.4287,1633.4287,1633.4287,1633.4287,20.0,131.0,2015-06-26,SI,SIM15
2015-04-14,1615.6243,1615.6243,1615.6243,1615.6243,25.0,98.0,2015-06-26,SI,SIM15
2015-04-15,1661.6696,1661.6696,1661.6696,1661.6696,106.0,118.0,2015-06-26,SI,SIM15
2015-04-16,1610.1578,1610.1578,1610.1578,1610.1578,29.0,134.0,2015-06-26,SI,SIM15
2015-04-17,1609.6748,1609.6748,1609.6748,1609.6748,44.0,113.0,2015-06-26,SI,SIM15
2015-04-20,1644.9267,1644.9267,1644.9267,1644.9267,29.0,114.0,2015-06-26,SI,SIM15
2015-04-21,1627.655,1627.655,1627.655,1627.655,81.0,140.0,2015-06-26,SI,SIM15
2015-04-22,1578.4998,1578.4998,1578.4998,1578.4998,135.0,215.0,2015-06-26,SI,SIM15
2015-04-23,1559.2421,1559.2421,1559.2421,1559.2421,121.0,119.0,2015-06-26,SI,SIM15
2015-04-24,1582.163,1582.163,1582.163,1582.163,76.0,168.0,2015-06-26,SI,SIM15
2015-04-27,1627.8875,1627.8875,1627.8875,1627.8875,455.0,166.0,2015-06-26,SI,SIM15
2015-04-28,1588.3298,1588.3298,1588.3298,1588.3298,277.0,152.0,2015-06-26,SI,SIM15
2015-04-29,1556.4044,1556.4044,1556.4044,1556.4044,108.0,206.0,2015-06-26,SI,SIM15
2015-04-30,1561.2293,1561.2293,1561.2293,1561.2293,431.0,241.0,2015-06-26,SI,SIM15
2015-05-01,1558.4191,1558.4191,1558.4191,1558.4191,272.0,223.0,2015-06-26,SI,SIM15
2015-05-04,1596.2887,1596.2887,1596.2887,1596.2887,227.0,228.0,2015-06-26,SI,SIM15
2015-05-05,1580.3258,1580.3258,1580.3258,1580.3258,287.0,170.0,2015-06-26,SI,SIM15
2015-05-06,1563.8904,1563.8904,1563.8904,1563.8904,277.0,210.0,2015-06-26,SI,SIM15
2015-05-07,1592.9788,1592.9788,1592.9788,1592.9788,135.0,204.0,2015-06-26,SI,SIM15
2015-05-08,1578.9606,1578.9606,1578.9606,1578.9606,76.0,192.0,2015-06-26,SI,SIM15
2015-05-11,1575.9606,1575.9606,1575.9606,1575.9606,36.0,168.0,2015-06-26,SI,SIM15
2015-05-12,1615.202,1615.202,1615.202,1615.202,126.0,175.0,2015-06-26,SI,SIM15
2015-05-13,1655.0975,1655.0975,1655.0975,1655.0975,131.0,209.0,2015-06-26,SI,SIM15
2015-05-14,1646.16,1646.16,1646.16,1646.16,68.0,199.0,2015-06-26,SI,SIM15
