,open,high,low,close,volume,openinterest,expiration_date,root_symbol,symbol
2018-07-30,1787.6696,1787.6696,1787.6696,1787.6696,0.0,0.0,2019-03-25,SI,SIN23
2018-07-31,1783.558,1783.558,1783.558,1783.558,0.0,0.0,2019-03-25,SI,SIN23
2018-08-01,1763.7605,1763.7605,1763.7605,1763.7605,0.0,0.0,2019-03-25,SI,SIN23
2018-08-02,1740.6552,1740.6552,1740.6552,1740.6552,0.0,0.0,2019-03-25,SI,SIN23
2018-08-03,1749.7066,1749.7066,1749.7066,1749.7066,0.0,0.0,2019-03-25,SI,SIN23
2018-08-06,1766.1538,1766.1538,1766.1538,1766.1538,0.0,0.0,2019-03-25,SI,SIN23
2018-08-07,1736.3058,1736.3058,1736.3058,1736.3058,0.0,0.0,2019-03-25,SI,SIN23
2018-08-08,1753.4952,1753.4952,1753.4952,1753.4952,0.0,0.0,2019-03-25,SI,SIN23
2018-08-09,1753.4952,1753.4952,1753.4952,1753.4952,0.0,0.0,2019-03-25,SI,SIN23
2018-08-10,1771.0302,1771.0302,1771.0302,1771.0302,0.0,0.0,2019-03-25,SI,SIN23
2018-08-13,1784.8442,1784.8442,1784.8442,1784.8442,0.0,0.0,2019-03-25,SI,SIN23
2018-08-14,1807.5117,1807.5117,1807.5117,1807.5117,0.0,0.0,2019-03-25,SI,SIN23
2018-08-15,1792.8709,1792.8709,1792.8709,1792.8709,0.0,0.0,2019-03-25,SI,SIN23
2018-08-16,1803.8074,1803.8074,1803.8074,1803.8074,0.0,0.0,2019-03-25,SI,SIN23
2018-08-17,1833.7506,1833.7506,1833.7506,1833.7506,0.0,0.0,2019-03-25,SI,SIN23
2018-08-20,1849.7042,1849.7042,1849.7042,1849.7042,0.0,0.0,2019-03-25,SI,SIN23
2018-08-21,1856.7331,1856.7331,1856.7331,1856.7331,0.0,0.0,2019-03-25,SI,SIN23
2018-08-22,1828.6964,1828.6964,1828.6964,1828.6964,0.0,0.0,2019-03-25,SI,SIN23
2018-08-23,1847.1662,1847.1662,1847.1662,1847.1662,0.0,0.0,2019-03-25,SI,SIN23
2018-08-24,1839.4081,1839.4081,1839.4081,1839.4081,0.0,0.0,2019-03-25,SI,SIN23
2018-08-27,1829.4753,1829.4753,1829.4753,1829.4753,0.0,0.0,2019-03-25,SI,SIN23
2018-08-28,1838.9886,1838.9886,1838.9886,1838.9886,0.0,0.0,2019-03-25,SI,SIN23
2018-08-29,1862.8955,1862.8955,1862.8955,1862.8955,0.0,0.0,2019-03-25,SI,SIN23
2018-08-30,1870.7197,1870.7197,1870.7197,1870.7197,0.0,0.0,2019-03-25,SI,SIN23
2018-08-31,1885.6855,1885.6855,1885.6855,1885.6855,0.0,0.0,2019-03-25,SI,SIN23
2018-09-04,1889.834,1889.834,1889.834,1889.834,0.0,0.0,2019-03-25,SI,SIN23
2018-09-05,1924.6069,1924.6069,1924.6069,1924.6069,0.0,0.0,2019-03-25,SI,SIN23
2018-09-06,1943.853,1943.853,1943.853,1943.853,0.0,0.0,2019-03-25,SI,SIN23
2018-09-07,1934.3281,1934.3281,1934.3281,1934.3281,0.0,0.0,2019-03-25,SI,SIN23
2018-09-10,1922.1418,1922.1418,1922.1418,1922.1418,0.0,0.0,2019-03-25,SI,SIN23
2018-09-11,1956.9326,1956.9326,1956.9326,1956.9326,0.0,0.0,2019-03-25,SI,SIN23
2018-09-12,1974.3493,1974.3493,1974.3493,1974.3493,0.0,0.0,2019-03-25,SI,SIN23
2018-09-13,2003.1748,2003.1748,2003.1748,2003.1748,0.0,0.0,2019-03-25,SI,SIN23
2018-09-14,1999.1685,1999.1685,1999.1685,1999.1685,0.0,0.0,2019-03-25,SI,SIN23
2018-09-17,2004.3663,2004.3663,2004.3663,2004.3663,0.0,0.0,2019-03-25,SI,SIN23
2018-09-18,1973.2986,1973.2986,1973.2986,1973.2986,0.0,0.0,2019-03-25,SI,SIN23
2018-09-19,1977.2452,1977.2452,1977.2452,1977.2452,0.0,0.0,2019-03-25,SI,SIN23
2018-09-20,1993.6563,1993.6563,1993.6563,1993.6563,0.0,0.0,2019-03-25,SI,SIN23
2018-09-21,2004.8208,2004.8208,2004.8208,2004.8208,0.0,0.0,2019-03-25,SI,SIN23
2018-09-24,1970.3379,1970.3379,1970.3379,1970.3379,0.0,0.0,2019-03-25,SI,SIN23
2018-09-25,2003.8336,2003.8336,2003.8336,2003.8336,0.0,0.0,2019-03-25,SI,SIN23
2018-09-26,2021.0666,2021.0666,2021.0666,2021.0666,0.0,0.0,2019-03-25,SI,SIN23
2018-09-27,1992.9738,1992.9738,1992.9738,1992.9738,0.0,0.0,2019-03-25,SI,SIN23
2018-09-28,2010.9106,2010.9106,2010.9106,2010.9106,0.0,0.0,2019-03-25,SI,SIN23
2018-10-01,1988.7906,1988.7906,1988.7906,1988.7906,0.0,0.0,2019-03-25,SI,SIN23
2018-10-02,1964.7262,1964.7262,1964.7262,1964.7262,0.0,0.0,2019-03-25,SI,SIN23
2018-10-03,1955.492,1955.492,1955.492,1955.492,0.0,0.0,2019-03-25,SI,SIN23
2018-10-04,1919.1198,1919.1198,1919.1198,1919.1198,0.0,0.0,2019-03-25,SI,SIN23
2018-10-05,1909.7161,1909.7161,1909.7161,1909.7161,0.0,0.0,2019-03-25,SI,SIN23
2018-10-08,1912.1987,1912.1987,1912.1987,1912.1987,0.0,0.0,2019-03-25,SI,SIN23
2018-10-09,1906.0797,1906.0797,1906.0797,1906.0797,0.0,0.0,2019-03-25,SI,SIN23
2018-10-10,1914.8477,1914.8477,1914.8477,1914.8477,0.0,0.0,2019-03-25,SI,SIN23
2018-10-11,1928.2516,1928.2516,1928.2516,1928.2516,0.0,0.0,2019-03-25,SI,SIN23
2018-10-12,1910.3189,1910.3189,1910.3189,1910.3189,0.0,0.0,2019-03-25,SI,SIN23
2018-10-15,1911.2741,1911.2741,1911.2741,1911.2741,0.0,0.0,2019-03-25,SI,SIN23
2018-10-16,1941.6634,1941.6634,1941.6634,1941.6634,0.0,0.0,2019-03-25,SI,SIN23
2018-10-17,1920.6934,1920.6934,1920.6934,1920.6934,0.0,0.0,2019-03-25,SI,SIN23
2018-10-18,1910.8979,1910.8979,1910.8979,1910.8979,0.0,0.0,2019-03-25,SI,SIN23
2018-10-19,1900.1969,1900.1969,1900.1969,1900.1969,0.0,0.0,2019-03-25,SI,SIN23
2018-10-22,1889.5558,1889.5558,1889.5558,1889.5558,0.0,0.0,2019-03-25,SI,SIN23
2018-10-23,1854.0322,1854.0322,1854.0322,1854.0322,0.0,0.0,2019-03-25,SI,SIN23
2018-10-24,1869.6061,1869.6061,1869.6061,1869.6061,0.0,0.0,2019-03-25,SI,SIN23
2018-10-25,1847.5447,1847.5447,1847.5447,1847.5447,0.0,0.0,2019-03-25,SI,SIN23
